Date,Market Cap
2023-04-25,18200000.0
2023-04-24,18290000.0
2023-04-21,18290000.0
2023-04-20,18290000.0
2023-04-19,19590000.0
2023-04-18,20250000.0
2023-04-17,19200000.0
2023-04-14,18720000.0
2023-04-13,22560000.0
2023-04-12,22860000.0
2023-04-11,24250000.0
2023-04-10,24620000.0
2023-04-06,25470000.0
2023-04-05,24510000.0
2023-04-04,25470000.0
2023-04-03,26130000.0
2023-03-31,26130000.0
2023-03-30,26540000.0
2023-03-29,25040000.0
2023-03-28,25670000.0
2023-03-27,25910000.0
2023-03-24,27430000.0
2023-03-23,27950000.0
2023-03-22,26690000.0
2023-03-21,26560000.0
2023-03-20,27000000.0
2023-03-17,28220000.0
2023-03-16,24340000.0
2023-03-15,24040000.0
2023-03-14,27130000.0
2023-03-13,27480000.0
2023-03-10,27780000.0
2023-03-09,26650000.0
2023-03-08,28740000.0
2023-03-07,29390000.0
2023-03-06,33090000.000000004
2023-03-03,32570000.0
2023-03-02,31570000.0
2023-03-01,26130000.0
2023-02-28,28480000.0
2023-02-27,34140000.0
2023-02-24,47850000.0
2023-02-23,43230000.0
2023-02-22,37950000.0
2023-02-21,38080000.0
2023-02-17,26540000.0
2023-02-16,24100000.0
2023-02-15,23000000.0
2023-02-14,22430000.0
2023-02-13,23180000.0
2023-02-10,22150000.0
2023-02-09,23350000.0
2023-02-08,22650000.0
2023-02-07,22790000.0
2023-02-06,22570000.0
2023-02-03,22110000.0
2023-02-02,20910000.0
2023-02-01,21760000.0
2023-01-31,22860000.0
2023-01-30,22260000.0
2023-01-27,24810000.0
2023-01-26,26190000.0
2023-01-25,25800000.0
2023-01-24,24810000.0
2023-01-23,24490000.0
2023-01-20,25690000.0
2023-01-19,24350000.0
2023-01-18,26220000.0
2023-01-17,26580000.0
2023-01-13,24630000.0
2023-01-12,22330000.0
2023-01-11,20710000.0
2023-01-10,19760000.0
2023-01-09,20910000.0
2023-01-06,22490000.0
2023-01-05,25430000.0
2023-01-04,28320000.0
2023-01-03,24840000.0
2022-12-30,21230000.0
2022-12-29,16660000.0
2022-12-28,17680000.0
2022-12-27,19670000.0
2022-12-23,21030000.0
2022-12-22,23640000.0
2022-12-21,21620000.0
2022-12-20,21260000.0
2022-12-19,23040000.0
2022-12-16,21790000.0
2022-12-15,19850000.0
2022-12-14,12400000.0
2022-12-13,13820000.0
2022-12-12,14180000.0
2022-12-09,14180000.0
2022-12-08,13680000.0
2022-12-07,13750000.0
2022-12-06,15950000.0
2022-12-05,15770000.0
2022-12-02,17720000.0
2022-12-01,14640000.0
2022-11-30,23300000.0
2022-11-29,31890000.0
2022-11-28,19810000.0
2022-11-25,19850000.0
2022-11-23,15490000.0
2022-11-22,13110000.0
2022-11-21,11230000.0
2022-11-18,9994000.0
2022-11-17,9356000.0
2022-11-16,8895000.0
2022-11-15,7726000.0
2022-11-14,8505000.0
2022-11-11,8167999.999999999
2022-11-10,7619000.0
2022-11-09,7796000.0
2022-11-08,8116000.0
2022-11-07,9214000.0
2022-11-04,10060000.0
2022-11-03,13090000.0
2022-11-02,10100000.0
2022-11-01,9781000.0
2022-10-31,8363000.0
2022-10-28,6556000.0
2022-10-27,6521000.0
2022-10-26,6379000.0
2022-10-25,6074000.0
2022-10-24,6379000.0
2022-10-21,5954000.0
2022-10-20,5830000.0
2022-10-19,5812000.0
2022-10-18,5670000.0
2022-10-17,5777000.0
2022-10-14,6024000.0
2022-10-13,5989000.0
2022-10-12,6024000.0
2022-10-11,6024000.0
2022-10-10,6379000.0
2022-10-07,6485000.0
2022-10-06,6237000.0
2022-10-05,5493000.0
2022-10-04,5103000.0
2022-10-03,6024000.0
2022-09-30,6344000.0
2022-09-29,5376000.0
2022-09-28,5635000.0
2022-09-27,5628000.0
2022-09-26,5219000.0
2022-09-23,5470000.0
2022-09-22,5030000.0
2022-09-21,4653000.0
