Date,Market Cap
2023-04-25,480000.0
2023-04-24,540000.0
2023-04-21,540000.0
2023-04-20,540000.0
2023-04-19,540000.0
2023-04-18,540000.0
2023-04-17,600000.0
2023-04-14,600000.0
2023-04-13,600000.0
2023-04-12,600000.0
2023-04-11,480000.0
2023-04-10,1500000.0
2023-04-06,1500000.0
2023-04-05,540000.0
2023-04-04,540000.0
2023-04-03,360000.0
2023-03-31,360000.0
2023-03-30,360000.0
2023-03-29,360000.0
2023-03-28,615000.0
2023-03-27,660000.0
2023-03-24,660000.0
2023-03-23,690000.0
2023-03-22,690000.0
2023-03-21,690000.0
2023-03-20,690000.0
2023-03-17,690000.0
2023-03-16,690000.0
2023-03-15,690000.0
2023-03-14,900000.0
2023-03-13,690000.0
2023-03-10,690000.0
2023-03-09,900000.0
2023-03-08,900000.0
2023-03-07,720000.0
2023-03-06,720000.0
2023-03-03,720000.0
2023-03-02,660000.0
2023-03-01,660000.0
2023-02-28,660000.0
2023-02-27,660000.0
2023-02-24,660000.0
2023-02-23,660000.0
2023-02-22,660000.0
2023-02-21,660000.0
2023-02-17,660000.0
2023-02-16,660000.0
2023-02-15,720000.0
2023-02-14,720000.0
2023-02-13,720000.0
2023-02-10,720000.0
2023-02-09,720000.0
2023-02-08,720000.0
2023-02-07,900000.0
2023-02-06,720000.0
2023-02-03,720000.0
2023-02-02,720000.0
2023-02-01,660000.0
2023-01-31,660000.0
2023-01-30,660000.0
2023-01-27,660000.0
2023-01-26,660000.0
2023-01-25,660000.0
2023-01-24,900000.0
2023-01-23,900000.0
2023-01-20,600000.0
2023-01-19,600000.0
2023-01-18,600000.0
2023-01-17,600000.0
2023-01-13,600000.0
2023-01-12,600000.0
2023-01-11,600000.0
2023-01-10,600000.0
2023-01-09,900000.0
2023-01-06,810000.0
2023-01-05,690000.0
2023-01-04,570000.0
2023-01-03,570000.0
2022-12-30,570000.0
2022-12-29,570000.0
2022-12-28,570000.0
2022-12-27,750000.0
2022-12-23,720000.0
2022-12-22,720000.0
2022-12-21,570000.0
2022-12-20,570000.0
2022-12-19,690000.0
2022-12-16,690000.0
2022-12-15,570000.0
2022-12-14,570000.0
2022-12-13,570000.0
2022-12-12,570000.0
2022-12-09,780000.0
2022-12-08,570000.0
2022-12-07,600000.0
2022-12-06,600000.0
2022-12-05,600000.0
2022-12-02,600000.0
2022-12-01,780000.0
2022-11-30,780000.0
2022-11-29,780000.0
2022-11-28,780000.0
2022-11-25,780000.0
2022-11-23,780000.0
2022-11-22,780000.0
2022-11-21,570000.0
2022-11-18,570000.0
2022-11-17,570000.0
2022-11-16,570000.0
2022-11-15,570000.0
2022-11-14,570000.0
2022-11-11,570000.0
2022-11-10,570000.0
2022-11-09,540000.0
2022-11-08,600000.0
2022-11-07,810000.0
2022-11-04,870000.0
2022-11-03,510000.0
2022-11-02,540000.0
2022-11-01,540000.0
2022-10-31,540000.0
