Date,Market Cap
2023-04-26,2200.0
2023-04-25,2200.0
2023-04-24,2700.0
2023-04-21,2200.0
2023-04-20,2200.0
2023-04-19,2200.0
2023-04-18,3300.0
2023-04-17,3300.0
2023-04-14,2700.0
2023-04-13,2700.0
2023-04-12,2700.0
2023-04-11,2200.0
2023-04-10,2200.0
2023-04-06,3300.0
2023-04-05,2200.0
2023-04-04,2200.0
2023-04-03,2700.0
2023-03-31,2200.0
2023-03-30,2200.0
2023-03-29,3300.0
2023-03-28,2200.0
2023-03-27,3300.0
2023-03-24,3300.0
2023-03-23,2200.0
2023-03-22,2200.0
2023-03-21,2700.0
2023-03-20,3300.0
2023-03-17,2200.0
2023-03-16,2200.0
2023-03-15,2200.0
2023-03-14,2200.0
2023-03-13,2200.0
2023-03-10,2200.0
2023-03-09,2200.0
2023-03-08,2200.0
2023-03-07,2700.0
2023-03-06,2200.0
2023-03-03,3300.0
2023-03-02,3300.0
2023-03-01,2700.0
2023-02-28,3300.0
2023-02-27,3300.0
2023-02-24,2200.0
2023-02-23,3300.0
2023-02-22,2700.0
2023-02-21,2200.0
2023-02-17,3300.0
2023-02-16,2700.0
2023-02-15,3300.0
2023-02-14,3300.0
2023-02-13,3300.0
2023-02-10,3300.0
2023-02-09,3300.0
2023-02-08,3300.0
2023-02-07,3300.0
2023-02-06,2200.0
2023-02-03,3300.0
2023-02-02,3300.0
2023-02-01,2200.0
2023-01-31,3300.0
2023-01-30,3300.0
2023-01-27,3300.0
2023-01-26,3300.0
2023-01-25,3300.0
2023-01-24,2200.0
2023-01-23,3300.0
2023-01-20,3300.0
2023-01-19,3300.0
2023-01-18,3800.0
2023-01-17,2700.0
2023-01-13,3300.0
2023-01-12,3300.0
2023-01-11,3300.0
2023-01-10,3300.0
2023-01-09,4400.0
2023-01-06,4400.0
2023-01-05,4400.0
2023-01-04,4400.0
2023-01-03,4400.0
2022-12-30,3300.0
2022-12-29,3300.0
2022-12-28,3300.0
2022-12-27,4400.0
2022-12-23,4900.0
2022-12-22,4500.0
2022-12-21,4400.0
2022-12-20,4400.0
2022-12-19,3800.0
2022-12-16,4400.0
2022-12-15,4400.0
2022-12-14,4400.0
2022-12-13,5400.0
2022-12-12,4400.0
2022-12-09,4400.0
2022-12-08,4400.0
2022-12-07,5400.0
2022-12-06,5400.0
2022-12-05,5400.0
2022-12-02,5500.0
2022-12-01,5400.0
2022-11-30,5400.0
2022-11-29,6000.0
2022-11-28,6500.0
2022-11-25,6500.0
2022-11-23,5400.0
2022-11-22,5400.0
2022-11-21,5400.0
2022-11-18,5400.0
2022-11-17,4900.0
2022-11-16,4400.0
2022-11-15,6500.0
2022-11-14,4400.0
2022-11-11,4400.0
2022-11-10,4400.0
2022-11-09,5400.0
2022-11-08,5400.0
2022-11-07,6500.0
2022-11-04,6000.0
2022-11-03,6500.0
2022-11-02,6500.0
2022-11-01,5400.0
2022-10-31,5400.0
2022-10-28,6500.0
2022-10-27,6000.0
2022-10-26,6500.0
2022-10-25,6500.0
2022-10-24,6500.0
2022-10-21,6500.0
2022-10-20,5400.0
2022-10-19,6500.0
2022-10-18,7100.0
2022-10-17,7100.0
2022-10-14,7600.0
2022-10-13,7600.0
2022-10-12,7600.0
2022-10-11,7100.0
2022-10-10,7600.0
2022-10-07,7600.0
2022-10-06,8200.0
2022-10-05,7600.0
2022-10-04,6500.0
2022-10-03,6500.0
2022-09-30,7600.0
2022-09-29,7600.0
2022-09-28,6500.0
2022-09-27,6500.0
2022-09-26,7600.0
2022-09-23,6500.0
2022-09-22,8200.0
2022-09-21,6500.0
2022-09-20,7600.0
2022-09-19,8200.0
2022-09-16,7600.0
2022-09-15,6500.0
2022-09-14,7600.0
2022-09-13,8700.0
2022-09-12,7600.0
2022-09-09,8700.0
2022-09-08,7100.0
2022-09-07,7600.0
2022-09-06,7600.0
2022-09-02,7600.0
2022-09-01,7600.0
2022-08-31,7600.0
2022-08-30,6500.0
2022-08-29,7600.0
2022-08-26,6500.0
2022-08-25,7600.0
2022-08-24,6500.0
2022-08-23,6500.0
2022-08-22,7600.0
2022-08-19,7600.0
2022-08-18,6500.0
2022-08-17,7600.0
2022-08-16,7600.0
2022-08-15,8700.0
2022-08-12,9800.0
2022-08-11,8700.0
2022-08-10,9800.0
2022-08-09,8700.0
2022-08-08,8700.0
2022-08-05,8700.0
2022-08-04,7600.0
2022-08-03,8200.0
2022-08-02,7600.0
2022-08-01,7600.0
2022-07-29,8700.0
2022-07-28,7600.0
2022-07-27,8700.0
2022-07-26,7600.0
2022-07-25,7600.0
2022-07-22,8700.0
2022-07-21,8700.0
2022-07-20,8700.0
2022-07-19,8700.0
2022-07-18,9800.0
2022-07-15,9800.0
2022-07-14,8700.0
2022-07-13,9800.0
2022-07-12,8700.0
2022-07-11,9200.0
2022-07-08,8700.0
2022-07-07,8700.0
