Date,Market Cap
2023-04-26,4400.0
2023-04-25,4400.0
2023-04-24,4400.0
2023-04-21,4400.0
2023-04-20,4400.0
2023-04-19,4400.0
2023-04-18,4400.0
2023-04-17,4400.0
2023-04-14,4400.0
2023-04-13,4400.0
2023-04-12,4400.0
2023-04-11,4400.0
2023-04-10,4400.0
2023-04-06,4400.0
2023-04-05,4400.0
2023-04-04,4400.0
2023-04-03,4400.0
2023-03-31,4400.0
2023-03-30,4400.0
2023-03-29,4400.0
2023-03-28,4400.0
2023-03-27,4400.0
2023-03-24,4400.0
2023-03-23,4400.0
2023-03-22,4400.0
2023-03-21,4400.0
2023-03-20,4400.0
2023-03-17,4400.0
2023-03-16,4400.0
2023-03-15,4400.0
2023-03-14,4400.0
2023-03-13,4400.0
2023-03-10,4400.0
2023-03-09,4400.0
2023-03-08,4400.0
2023-03-07,4400.0
2023-03-06,4400.0
2023-03-03,4400.0
2023-03-02,4400.0
2023-03-01,4400.0
2023-02-28,4400.0
2023-02-27,4400.0
2023-02-24,4400.0
2023-02-23,4400.0
2023-02-22,4400.0
2023-02-21,4400.0
2023-02-17,4400.0
2023-02-16,4400.0
2023-02-15,4400.0
2023-02-14,4400.0
2023-02-13,4400.0
2023-02-10,4400.0
2023-02-09,4400.0
2023-02-08,4400.0
2023-02-07,4400.0
2023-02-06,4400.0
2023-02-03,4400.0
2023-02-02,4400.0
2023-02-01,4400.0
2023-01-31,4400.0
2023-01-30,4400.0
2023-01-27,4400.0
2023-01-26,4400.0
2023-01-25,4400.0
2023-01-24,4400.0
2023-01-23,4400.0
2023-01-20,4400.0
2023-01-19,4400.0
2023-01-18,4400.0
2023-01-17,4400.0
2023-01-13,4400.0
2023-01-12,4400.0
2023-01-11,4400.0
2023-01-10,4400.0
2023-01-09,4400.0
2023-01-06,4400.0
2023-01-05,4400.0
2023-01-04,4400.0
2023-01-03,4400.0
2022-12-30,4400.0
2022-12-29,4400.0
2022-12-28,4400.0
2022-12-27,4400.0
2022-12-23,4400.0
2022-12-22,4400.0
2022-12-21,4400.0
2022-12-20,4400.0
2022-12-19,4400.0
2022-12-16,4400.0
2022-12-15,4400.0
2022-12-14,4400.0
2022-12-13,4400.0
2022-12-12,4400.0
2022-12-09,4400.0
2022-12-08,4400.0
2022-12-07,4400.0
