Date,Market Cap
2023-04-26,115000.0
2023-04-25,90400.0
2023-04-24,65700.0
2023-04-21,41100.0
2023-04-20,57500.0
2023-04-19,41100.0
2023-04-18,32900.0
2023-04-17,32900.0
2023-04-14,32900.0
2023-04-13,32900.0
2023-04-12,32900.0
2023-04-11,32900.0
2023-04-10,41100.0
2023-04-06,24700.0
2023-04-05,24700.0
2023-04-04,24700.0
2023-04-03,24700.0
2023-03-31,24700.0
2023-03-30,16400.0
2023-03-29,24700.0
2023-03-28,24700.0
2023-03-27,24700.0
2023-03-24,24700.0
2023-03-23,24700.0
2023-03-22,24700.0
2023-03-21,32900.0
2023-03-20,24700.0
2023-03-17,24700.0
2023-03-16,16400.0
2023-03-15,16400.0
2023-03-14,16400.0
2023-03-13,16400.0
2023-03-10,24700.0
2023-03-09,24700.0
2023-03-08,24700.0
2023-03-07,16400.0
2023-03-06,16400.0
2023-03-03,16400.0
2023-03-02,24700.0
2023-03-01,24700.0
2023-02-28,16400.0
2023-02-27,16400.0
2023-02-24,24700.0
2023-02-23,20500.0
2023-02-22,16400.0
2023-02-21,24700.0
2023-02-17,24700.0
2023-02-16,24700.0
2023-02-15,32900.0
2023-02-14,24700.0
2023-02-13,24700.0
2023-02-10,16400.0
2023-02-09,32900.0
2023-02-08,32900.0
2023-02-07,32900.0
2023-02-06,28800.0
2023-02-03,28800.0
2023-02-02,32900.0
2023-02-01,32900.0
2023-01-31,24700.0
2023-01-30,32900.0
2023-01-27,24700.0
2023-01-26,24700.0
2023-01-25,32900.0
2023-01-24,24700.0
2023-01-23,32900.0
2023-01-20,32900.0
2023-01-19,32900.0
2023-01-18,32900.0
2023-01-17,16400.0
2023-01-13,16400.0
2023-01-12,32900.0
2023-01-11,24700.0
2023-01-10,32900.0
2023-01-09,16400.0
2023-01-06,24700.0
2023-01-05,24700.0
2023-01-04,24700.0
2023-01-03,24700.0
2022-12-30,16400.0
2022-12-29,16400.0
2022-12-28,24700.0
2022-12-27,24700.0
2022-12-23,16400.0
2022-12-22,24700.0
2022-12-21,16400.0
2022-12-20,16400.0
2022-12-19,24700.0
2022-12-16,16400.0
2022-12-15,32900.0
2022-12-14,24700.0
2022-12-13,24700.0
2022-12-12,24700.0
2022-12-09,32900.0
2022-12-08,24700.0
2022-12-07,24700.0
