Date,Market Cap
2023-04-25,0.0
2023-04-24,0.0
2023-04-21,0.0
2023-04-20,0.0
2023-04-19,0.0
2023-04-18,0.0
2023-04-17,0.0
2023-04-14,0.0
2023-04-13,0.0
2023-04-12,0.0
2023-04-11,0.0
2023-04-10,0.0
2023-04-06,0.0
2023-04-05,0.0
2023-04-04,0.0
2023-04-03,0.0
2023-03-31,0.0
2023-03-30,0.0
2023-03-29,0.0
2023-03-28,0.0
2023-03-27,0.0
2023-03-24,0.0
2023-03-23,0.0
2023-03-22,0.0
2023-03-21,0.0
2023-03-20,0.0
2023-03-17,0.0
2023-03-16,0.0
2023-03-15,0.0
2023-03-14,0.0
2023-03-13,0.0
2023-03-10,0.0
2023-03-09,0.0
2023-03-08,0.0
2023-03-07,0.0
2023-03-06,0.0
2023-03-03,0.0
2023-03-02,0.0
2023-03-01,0.0
2023-02-28,0.0
2023-02-27,0.0
2023-02-24,0.0
2023-02-23,0.0
2023-02-22,0.0
2023-02-21,0.0
2023-02-17,0.0
2023-02-16,0.0
2023-02-15,0.0
2023-02-14,0.0
2023-02-13,0.0
2023-02-10,0.0
2023-02-09,0.0
2023-02-08,0.0
2023-02-07,0.0
2023-02-06,0.0
2023-02-03,0.0
2023-02-02,0.0
2023-02-01,0.0
2023-01-31,0.0
2023-01-30,0.0
2023-01-27,0.0
2023-01-26,0.0
2023-01-25,0.0
2023-01-24,0.0
2023-01-23,0.0
2023-01-20,0.0
2023-01-19,0.0
2023-01-18,0.0
2023-01-17,0.0
2023-01-13,0.0
2023-01-12,0.0
2023-01-11,0.0
2023-01-10,0.0
2023-01-09,0.0
2023-01-06,0.0
2023-01-05,0.0
2023-01-04,0.0
2023-01-03,0.0
2022-12-30,0.0
2022-12-29,0.0
2022-12-28,0.0
2022-12-27,0.0
2022-12-23,0.0
2022-12-22,0.0
2022-12-21,0.0
2022-12-20,0.0
2022-12-19,0.0
2022-12-16,0.0
2022-12-15,0.0
2022-12-14,0.0
2022-12-13,260299.99999999997
2022-12-12,260299.99999999997
2022-12-09,260299.99999999997
2022-12-08,260299.99999999997
2022-12-07,260299.99999999997
2022-12-06,260299.99999999997
2022-12-05,260299.99999999997
2022-12-02,260299.99999999997
2022-12-01,260299.99999999997
2022-11-30,260299.99999999997
2022-11-29,260299.99999999997
2022-11-28,260299.99999999997
2022-11-25,260299.99999999997
2022-11-22,260299.99999999997
2022-11-21,260299.99999999997
2022-11-18,260299.99999999997
2022-11-17,260299.99999999997
2022-11-16,260299.99999999997
2022-11-15,260299.99999999997
2022-11-14,260299.99999999997
2022-11-11,260299.99999999997
2022-11-10,260299.99999999997
2022-11-09,260299.99999999997
2022-11-08,260299.99999999997
2022-11-07,260299.99999999997
2022-11-04,260299.99999999997
2022-11-03,260299.99999999997
2022-11-02,260299.99999999997
2022-11-01,260299.99999999997
2022-01-06,260299.99999999997
2022-01-05,260299.99999999997
2022-01-04,260299.99999999997
2022-01-03,260299.99999999997
2021-12-31,260299.99999999997
2021-12-30,260299.99999999997
2021-12-29,260299.99999999997
2021-12-28,260299.99999999997
2021-12-27,260299.99999999997
2021-12-23,260299.99999999997
2021-12-22,260299.99999999997
2021-12-21,260299.99999999997
2021-12-20,260299.99999999997
2021-12-17,260299.99999999997
2021-12-16,260299.99999999997
2021-12-15,260299.99999999997
2021-12-14,100.0
2021-12-13,100.0
2021-12-10,100.0
2021-12-09,100.0
2021-12-08,100.0
2021-12-07,100.0
2021-12-06,100.0
2021-10-11,325400.0
2021-10-08,325400.0
2021-10-07,325400.0
2021-10-06,325400.0
2021-10-05,325400.0
2021-10-04,325400.0
2021-10-01,325400.0
2021-09-30,325400.0
2021-09-29,325400.0
2021-09-28,325400.0
2021-09-27,325400.0
2021-09-24,325400.0
2021-09-23,325400.0
2021-09-22,325400.0
2021-09-21,325400.0
2021-09-20,325400.0
2021-09-17,325400.0
2021-09-16,325400.0
2021-09-15,325400.0
2021-09-14,351400.0
2021-09-13,357900.0
2021-09-10,357900.0
2021-09-09,357900.0
2021-09-08,351400.0
2021-09-07,357900.0
2021-09-03,357900.0
2021-09-02,357900.0
2021-09-01,357900.0
2021-08-31,357900.0
2021-08-30,357900.0
2021-08-27,357900.0
2021-08-26,423000.0
2021-08-25,507600.00000000006
2021-08-24,507600.00000000006
2021-08-23,1301000.0
2021-08-20,1301000.0
2021-08-19,1301000.0
2021-08-18,1952000.0
2021-08-17,1302000.0
2021-08-16,1324000.0
2021-08-13,1324000.0
2021-08-12,1354000.0
2021-08-11,637700.0
2021-08-10,331900.0
2021-08-09,331900.0
2021-08-06,331900.0
2021-08-05,331900.0
2021-08-04,331900.0
2021-08-03,644300.0
2021-08-02,644300.0
2021-07-30,644300.0
2021-07-29,644300.0
2021-07-28,644300.0
2021-07-27,644300.0
2021-07-26,644300.0
2021-07-23,644300.0
2021-07-22,346400.0
2021-07-21,331900.0
2021-07-20,331900.0
2021-07-19,331900.0
2021-07-16,331900.0
2021-07-15,911100.0
2021-07-14,370900.0
2021-07-13,370900.0
2021-07-12,898100.0
2021-07-09,628000.0
2021-07-08,390500.0
2021-07-07,416500.0
2021-07-06,416500.0
2021-07-02,416500.0
2021-07-01,416500.0
2021-06-30,416500.0
2021-06-29,416500.0
2021-06-28,976100.0
2021-06-25,1040999.9999999999
2021-06-24,1040999.9999999999
2021-06-23,1034999.9999999999
2021-06-22,1040999.9999999999
2021-06-21,1040999.9999999999
2021-06-18,1040999.9999999999
2021-06-17,1040999.9999999999
2021-06-16,1040999.9999999999
2021-06-15,1040999.9999999999
2021-06-14,1034999.9999999999
2021-06-11,1034999.9999999999
2021-06-10,650800.0
2021-06-09,650800.0
2021-06-08,410000.0
2021-06-07,410000.0
2021-06-04,410000.0
2021-06-03,416500.0
2021-06-02,416500.0
2021-06-01,416500.0
2021-05-28,416500.0
2021-05-27,397000.0
2021-05-26,397000.0
2021-05-25,423000.0
2021-05-24,423000.0
2021-05-21,501100.0
2021-05-20,501100.0
2021-05-19,735400.0
2021-05-18,780900.0
2021-05-17,969600.0
2021-05-14,696300.0
2021-05-13,696300.0
2021-05-12,696300.0
2021-05-11,702800.0
2021-05-10,1822000.0
2021-05-07,1302000.0
2021-05-06,1302000.0
2021-05-05,1302000.0
2021-05-04,1952000.0
2021-05-03,1562000.0
2021-04-30,1679000.0
2021-04-29,1679000.0
2021-04-28,1302000.0
2021-04-27,1204000.0
2021-04-26,1236000.0
2021-04-23,1236000.0
2021-04-22,1236000.0
2021-04-21,1236000.0
2021-04-20,292800.0
2021-04-19,331900.0
2021-04-16,312400.0
2021-04-15,1302000.0
2021-04-14,1236000.0
2021-04-13,650800.0
2021-04-12,650800.0
2021-04-09,650800.0
2021-04-08,650800.0
2021-04-07,650800.0
2021-04-06,650800.0
2021-04-05,650800.0
2021-04-01,650800.0
2021-03-31,650800.0
2021-03-30,279800.0
2021-03-29,279800.0
2021-03-26,279800.0
2021-03-25,279800.0
2021-03-24,279800.0
2021-03-23,279800.0
2021-03-22,279800.0
2021-03-19,279800.0
2021-03-18,279800.0
2021-03-17,650800.0
2021-03-16,650800.0
2021-03-15,650800.0
2021-03-12,663800.0
2021-03-11,663800.0
2021-03-10,663800.0
2021-03-09,572700.0
2021-03-08,527100.0
2021-03-05,527100.0
2021-03-04,579200.0
2021-03-03,579200.0
2021-03-02,546600.0
2021-03-01,546600.0
2021-02-26,527100.0
2021-02-25,527100.0
2021-02-24,527100.0
2021-02-23,527100.0
2021-02-22,787400.0
2021-02-19,846000.0
2021-02-18,1367000.0
2021-02-17,1627000.0
2021-02-16,546600.0
2021-02-12,846000.0
2021-02-11,650800.0
2021-02-10,650800.0
2021-02-09,455500.0
2021-02-08,397000.0
2021-02-05,449000.0
2021-02-04,449000.0
2021-02-03,439300.0
2021-02-02,439300.0
2021-02-01,247300.0
2021-01-29,381300.0
2021-01-28,381300.0
2021-01-27,381300.0
2021-01-26,381300.0
2021-01-25,381300.0
2021-01-22,415800.0
2021-01-21,415800.0
2021-01-20,415800.0
2021-01-19,357300.0
2021-01-15,357300.0
2021-01-14,208200.0
2021-01-13,208200.0
2021-01-12,208200.0
2021-01-11,208200.0
2021-01-08,201700.0
2021-01-07,201700.0
2021-01-06,201700.0
2021-01-05,201700.0
2021-01-04,201700.0
2020-12-31,201700.0
2020-12-30,201700.0
2020-12-29,377400.0
2020-12-28,201700.0
2020-12-24,201700.0
2020-12-23,201700.0
2020-12-22,227800.0
2020-12-21,292800.0
2020-12-18,292800.0
2020-12-17,292800.0
2020-12-16,292800.0
2020-12-15,292800.0
2020-12-14,201700.0
2020-12-11,292800.0
2020-12-10,471800.0
2020-12-09,780900.0
2020-12-08,650800.0
2020-12-07,260299.99999999997
2020-12-04,260299.99999999997
