Date,Market Cap
2023-04-25,1030000.0
2023-04-24,1030000.0
2023-04-21,1030000.0
2023-04-20,1030000.0
2023-04-19,1030000.0
2023-04-18,1030000.0
2023-04-17,1030000.0
2023-04-14,1030000.0
2023-04-13,103000.0
2023-04-12,103000.0
2023-04-11,3400.0
2023-04-10,0.0
2023-04-06,0.0
2023-04-05,0.0
2023-04-04,103000.0
2023-04-03,103000.0
2023-03-31,103000.0
2023-03-30,103000.0
2023-03-29,68700.0
2023-03-28,68700.0
2023-03-27,68700.0
2023-03-24,68700.0
2023-03-23,68700.0
2023-03-22,68700.0
2023-03-21,68700.0
2023-03-20,68700.0
2023-03-17,68700.0
2023-03-16,68700.0
2023-03-15,68700.0
2023-03-14,68700.0
2023-03-13,103000.0
2023-03-10,34300.0
2023-03-09,34300.0
2023-03-08,34300.0
2023-03-07,34300.0
2023-03-06,34300.0
2023-03-03,68700.0
2023-03-02,68700.0
2023-03-01,34300.0
2023-02-28,34300.0
2023-02-27,34300.0
2023-02-24,34300.0
2023-02-23,34300.0
2023-02-22,34300.0
2023-02-21,34300.0
2023-02-17,34300.0
2023-02-16,686600.0
2023-02-15,686600.0
2023-02-14,1202000.0
2023-02-13,1202000.0
2023-02-10,720900.0
2023-02-09,720900.0
2023-02-08,720900.0
2023-02-07,720900.0
2023-02-06,720900.0
2023-02-03,720900.0
2023-02-02,720900.0
2023-02-01,1339000.0
2023-01-31,1339000.0
2023-01-30,1030000.0
2023-01-27,686600.0
2023-01-26,686600.0
2023-01-25,686600.0
2023-01-24,686600.0
2023-01-23,686600.0
2023-01-20,720900.0
2023-01-19,1545000.0
2023-01-18,1545000.0
2023-01-17,1373000.0
2023-01-13,1270000.0
2023-01-12,1270000.0
2023-01-11,1167000.0
2023-01-10,1510000.0
2023-01-09,1373000.0
2023-01-06,1373000.0
2023-01-05,1545000.0
2023-01-04,1373000.0
2023-01-03,1373000.0
2022-12-30,1373000.0
2022-12-29,1304000.0
2022-12-28,1373000.0
2022-12-27,1408000.0
2022-12-23,1545000.0
2022-12-22,1613000.0
2022-12-21,1613000.0
2022-12-20,1442000.0
2022-12-19,1373000.0
2022-12-16,1716000.0
2022-12-15,1716000.0
2022-12-14,1716000.0
2022-12-13,1648000.0
2022-12-12,1819000.0
2022-12-09,1888000.0
2022-12-08,1854000.0
2022-12-07,1888000.0
2022-12-06,2060000.0
2022-12-05,2197000.0
2022-12-02,2540000.0
2022-12-01,2884000.0
2022-11-30,2712000.0
2022-11-29,2403000.0
2022-11-28,2403000.0
2022-11-25,2403000.0
2022-11-23,2231000.0
2022-11-22,2231000.0
2022-11-21,2060000.0
2022-11-18,2403000.0
2022-11-17,2266000.0
2022-11-16,2403000.0
2022-11-15,2678000.0
2022-11-14,2369000.0
2022-11-11,1991000.0
2022-11-10,2403000.0
2022-11-09,2060000.0
2022-11-08,1957000.0
2022-11-07,2025000.0
2022-11-04,1957000.0
2022-11-03,2060000.0
2022-11-02,2060000.0
2022-11-01,1991000.0
2022-10-31,2060000.0
2022-10-28,2060000.0
2022-10-27,2163000.0
2022-10-26,2060000.0
2022-10-25,2060000.0
2022-10-24,2060000.0
2022-10-21,2266000.0
2022-10-20,2403000.0
2022-10-19,3296000.0
2022-10-18,2575000.0
2022-10-17,2729000.0
2022-10-14,2918000.0
2022-10-13,2918000.0
