Date,Market Cap
2023-04-26,0.0
2023-04-25,0.0
2023-04-24,0.0
2023-04-21,0.0
2023-04-20,0.0
2023-04-19,0.0
2023-04-18,0.0
2023-04-17,0.0
2023-04-14,0.0
2023-04-13,0.0
2023-04-12,0.0
2023-04-11,0.0
2023-04-10,0.0
2023-04-06,0.0
2023-04-05,0.0
2023-04-04,0.0
2023-04-03,0.0
2023-03-31,0.0
2023-03-30,0.0
2023-03-29,0.0
2023-03-28,0.0
2023-03-27,0.0
2023-03-24,0.0
2023-03-23,0.0
2023-03-22,0.0
2023-03-21,0.0
2023-03-20,0.0
2023-03-17,0.0
2023-03-16,0.0
2023-03-15,0.0
2023-03-14,0.0
2023-03-13,0.0
2023-03-10,0.0
2023-03-09,0.0
2023-03-08,0.0
2023-03-07,0.0
2023-03-06,0.0
2023-03-03,0.0
2023-03-02,0.0
2023-03-01,0.0
2023-02-28,0.0
2023-02-27,0.0
2023-02-24,0.0
2023-02-23,0.0
2023-02-22,0.0
2023-02-21,0.0
2023-02-17,0.0
2023-02-16,0.0
2023-02-15,0.0
2023-02-14,0.0
2023-02-13,0.0
2023-02-10,0.0
2023-02-09,0.0
2023-02-08,0.0
2023-02-07,0.0
2023-02-06,0.0
2023-02-03,0.0
2023-02-02,0.0
2023-02-01,0.0
2023-01-31,0.0
2023-01-30,0.0
2023-01-27,0.0
2023-01-26,0.0
2023-01-25,0.0
2023-01-24,0.0
2023-01-23,0.0
2023-01-20,0.0
2023-01-19,0.0
2023-01-18,0.0
2023-01-17,0.0
2023-01-13,0.0
2023-01-12,0.0
2023-01-11,0.0
2023-01-10,0.0
2023-01-09,0.0
2023-01-06,0.0
2023-01-05,0.0
2023-01-04,0.0
2023-01-03,0.0
2022-12-30,0.0
2022-12-29,0.0
2022-12-28,0.0
2022-12-27,0.0
2022-12-23,0.0
2022-12-22,0.0
2022-12-21,0.0
2022-12-20,0.0
2022-12-19,0.0
2022-12-16,0.0
2022-12-15,0.0
2022-12-14,0.0
2022-12-13,0.0
2022-12-12,0.0
2022-12-09,0.0
2022-12-08,0.0
2022-12-07,0.0
2022-12-06,0.0
2022-12-05,0.0
2022-12-02,0.0
2022-12-01,0.0
2022-11-30,0.0
2022-11-29,0.0
2022-11-28,0.0
2022-11-25,0.0
2022-11-22,0.0
2022-11-21,0.0
2022-11-18,0.0
2022-11-17,0.0
2022-11-16,0.0
2022-11-15,0.0
2022-11-14,0.0
2022-11-11,0.0
2022-11-10,0.0
2022-11-09,0.0
2022-11-08,0.0
2022-11-07,0.0
2022-11-04,0.0
2022-11-03,0.0
2022-11-02,0.0
2022-11-01,0.0
2022-10-31,0.0
2022-10-28,0.0
2022-10-27,0.0
2022-10-26,0.0
2022-10-25,0.0
2022-10-24,0.0
2022-10-21,0.0
2022-10-20,0.0
2022-10-19,0.0
2022-10-18,0.0
2022-10-17,0.0
2022-10-14,0.0
2022-10-13,0.0
2022-10-12,0.0
2022-10-11,0.0
2022-10-10,100.0
2022-10-07,100.0
2022-10-06,100.0
2022-10-05,100.0
2022-10-04,100.0
2022-10-03,100.0
2022-09-30,100.0
2022-09-29,100.0
2022-06-13,100.0
2022-06-10,100.0
2022-06-09,100.0
2022-06-08,100.0
2022-06-07,100.0
2022-06-06,100.0
2022-06-03,100.0
2022-06-02,100.0
2022-06-01,100.0
2022-05-31,100.0
2022-05-27,100.0
2022-05-26,100.0
2022-05-25,100.0
2022-05-24,100.0
2022-05-23,100.0
2022-05-20,100.0
2022-04-25,0.0
2022-04-22,0.0
2022-04-21,0.0
2022-04-20,0.0
2022-04-19,0.0
2022-04-18,0.0
2022-04-14,0.0
2022-04-13,0.0
2022-04-12,0.0
2022-04-11,0.0
2022-04-08,0.0
2022-04-07,0.0
2022-04-06,0.0
2022-04-05,0.0
2022-04-04,0.0
2022-04-01,0.0
2021-09-23,100.0
2021-09-22,100.0
2021-09-21,100.0
2021-09-20,100.0
2021-09-17,100.0
2021-09-16,100.0
2021-09-15,100.0
2021-09-14,100.0
2021-09-13,100.0
2021-09-10,100.0
2021-09-09,100.0
2021-09-08,100.0
2021-09-07,100.0
2021-09-03,100.0
2021-09-02,100.0
2021-09-01,100.0
2021-08-31,0.0
2021-08-30,1200.0
2021-08-27,1200.0
2021-08-26,1200.0
2021-08-25,1200.0
2021-08-24,1200.0
2021-08-19,1300.0
2021-08-18,1300.0
2021-08-17,1300.0
2021-08-16,1300.0
2021-08-13,1300.0
2021-08-12,1300.0
2021-08-11,1300.0
2021-08-10,1300.0
2021-08-09,1300.0
2021-08-06,1300.0
2021-08-05,1300.0
2021-08-04,1300.0
2021-08-03,1300.0
2021-08-02,1300.0
2021-07-30,1300.0
2021-07-29,1300.0
2021-07-28,900.0
2021-07-27,900.0
2021-07-26,900.0
2021-07-23,900.0
2021-07-22,900.0
2021-07-21,900.0
2021-07-20,900.0
2021-07-19,900.0
2021-07-16,900.0
2021-07-15,900.0
2021-07-14,900.0
2021-07-13,2200.0
2021-07-12,2200.0
2021-07-09,2200.0
2021-07-08,2200.0
2021-07-07,2200.0
2021-07-06,2200.0
2021-07-02,2200.0
2021-07-01,2200.0
2021-06-30,3000.0
2021-06-29,3000.0
2021-06-28,2700.0
2021-06-25,1600.0
2021-06-24,1600.0
2021-06-23,1600.0
2021-06-22,1600.0
2021-06-21,1600.0
2021-06-18,1500.0
2021-06-17,1500.0
2021-06-16,1500.0
2021-06-15,1500.0
2021-06-14,1500.0
2021-06-11,2400.0
2021-06-10,2400.0
2021-06-09,2400.0
2021-06-08,1500.0
2021-06-07,3000.0
2021-06-04,3000.0
2021-06-03,1400.0
2021-06-02,1400.0
2021-06-01,2000.0
2021-05-28,2000.0
2021-05-27,3000.0
2021-05-26,2900.0
2021-05-25,2900.0
2021-05-24,3000.0
2021-05-21,3000.0
2021-05-20,2400.0
2021-05-19,2400.0
2021-05-18,2400.0
2021-05-17,2000.0
