Date,Market Cap
2023-04-25,10700000.0
2023-04-24,10700000.0
2023-04-21,10690000.0
2023-04-20,11350000.0
2023-04-19,11160000.0
2023-04-18,13000000.0
2023-04-17,12230000.0
2023-04-14,12110000.0
2023-04-13,10700000.0
2023-04-12,10700000.0
2023-04-11,10400000.0
2023-04-10,10860000.0
2023-04-06,11080000.0
2023-04-05,11000000.0
2023-04-04,11470000.0
2023-04-03,10700000.0
2023-03-31,11300000.0
2023-03-30,12190000.0
2023-03-29,12190000.0
2023-03-28,13000000.0
2023-03-27,11870000.0
2023-03-24,13610000.0
2023-03-23,11450000.0
2023-03-22,11280000.0
2023-03-21,10860000.0
2023-03-20,10700000.0
2023-03-17,10690000.0
2023-03-16,10670000.0
2023-03-15,10660000.0
2023-03-14,10960000.0
2023-03-13,10220000.0
2023-03-10,9454000.0
2023-03-09,9058000.0
2023-03-08,10740000.0
2023-03-07,10830000.0
2023-03-06,11570000.0
2023-03-03,11560000.0
2023-03-02,12500000.0
2023-03-01,12500000.0
2023-02-28,12500000.0
2023-02-27,12590000.0
2023-02-24,12660000.0
2023-02-23,12200000.0
2023-02-22,13150000.0
2023-02-21,13420000.0
2023-02-17,12650000.0
2023-02-16,12660000.0
2023-02-15,13110000.0
2023-02-14,13420000.0
2023-02-13,14270000.0
2023-02-10,14270000.0
2023-02-09,14260000.0
2023-02-08,14560000.0
2023-02-07,14390000.0
2023-02-06,14410000.0
2023-02-03,13180000.0
2023-02-02,13180000.0
2023-02-01,13450000.0
2023-01-31,13450000.0
2023-01-30,13200000.0
2023-01-27,12850000.0
2023-01-26,13230000.0
2023-01-25,12790000.0
2023-01-24,14510000.0
2023-01-23,14670000.0
2023-01-20,14700000.0
2023-01-19,14720000.0
2023-01-18,14720000.0
2023-01-17,14800000.0
2023-01-13,14760000.0
2023-01-12,14860000.0
2023-01-11,13970000.0
2023-01-10,14420000.0
2023-01-09,14550000.0
2023-01-06,14720000.0
2023-01-05,14640000.0
2023-01-04,16000000.0
2023-01-03,15790000.0
2022-12-30,14700000.0
2022-12-29,14700000.0
2022-12-28,13980000.0
2022-12-27,14020000.0
2022-12-23,13540000.0
2022-12-22,14720000.0
2022-12-21,13330000.0
2022-12-20,13520000.0
2022-12-19,13630000.0
2022-12-16,15200000.0
2022-12-15,14570000.0
2022-12-14,14570000.0
2022-12-13,14450000.0
2022-12-12,14420000.0
2022-12-09,15180000.0
2022-12-08,13380000.0
2022-12-07,13850000.0
2022-12-06,13850000.0
2022-12-05,15910000.0
2022-12-02,15910000.0
2022-12-01,16399999.999999998
2022-11-30,16460000.0
2022-11-29,15910000.0
2022-11-28,16610000.0
2022-11-25,16260000.000000002
2022-11-23,16120000.000000002
2022-11-22,16559999.999999998
2022-11-21,17340000.0
2022-11-18,16800000.0
2022-11-17,16629999.999999998
2022-11-16,17280000.0
2022-11-15,17280000.0
2022-11-14,17350000.0
2022-11-11,17350000.0
2022-11-10,17340000.0
2022-11-09,17280000.0
2022-11-08,17210000.0
2022-11-07,16640000.0
2022-11-04,17920000.0
2022-11-03,17920000.0
2022-11-02,17350000.0
2022-11-01,17920000.0
2022-10-31,17930000.0
2022-10-28,17290000.0
2022-10-27,17960000.0
2022-10-26,17980000.0
2022-10-25,19340000.0
2022-10-24,18000000.0
2022-10-21,17440000.0
2022-10-20,19740000.0
2022-10-19,19470000.0
2022-10-18,19480000.0
2022-10-17,19540000.0
2022-10-14,19180000.0
2022-10-13,18460000.0
2022-10-12,19890000.0
2022-10-11,19860000.0
2022-10-10,19880000.0
2022-10-07,21170000.0
2022-10-06,19400000.0
2022-10-05,21300000.0
2022-10-04,21300000.0
2022-10-03,21310000.0
2022-09-30,21310000.0
2022-09-29,21370000.0
2022-09-28,19890000.0
2022-09-27,19460000.0
2022-09-26,19040000.0
2022-09-23,19890000.0
2022-09-22,18470000.0
2022-09-21,16770000.0
2022-09-20,17050000.0
2022-09-19,17050000.0
2022-09-16,16770000.0
2022-09-15,16830000.0
2022-09-14,17120000.0
2022-09-13,18050000.0
2022-09-12,19080000.0
2022-09-09,19410000.0
2022-09-08,19930000.0
2022-09-07,19550000.0
2022-09-06,18120000.0
2022-09-02,15630000.0
2022-09-01,15590000.0
2022-08-31,15370000.0
2022-08-30,15460000.0
2022-08-29,15600000.0
2022-08-26,15520000.0
2022-08-25,15600000.0
2022-08-24,15600000.0
2022-08-23,15600000.0
2022-08-22,15600000.0
2022-08-19,15400000.0
2022-08-18,15590000.0
2022-08-17,15420000.0
2022-08-16,15620000.0
2022-08-15,15630000.0
2022-08-12,15600000.0
2022-08-11,15440000.0
2022-08-10,15560000.0
2022-08-09,15230000.0
2022-08-08,14780000.0
2022-08-05,14210000.0
2022-08-04,13500000.0
2022-08-03,14140000.0
2022-08-02,14170000.0
2022-08-01,13610000.0
2022-07-29,13070000.0
2022-07-28,13660000.0
2022-07-27,13300000.0
2022-07-26,14000000.0
2022-07-25,14000000.0
2022-07-22,12560000.0
2022-07-21,13690000.0
2022-07-20,14000000.0
2022-07-19,14000000.0
2022-07-18,10510000.0
2022-07-15,11170000.0
2022-07-14,11180000.0
2022-07-13,11130000.0
2022-07-12,11200000.0
2022-07-11,11690000.0
2022-07-08,11230000.0
2022-07-07,11690000.0
2022-07-06,11690000.0
2022-07-05,11690000.0
2022-07-01,11690000.0
2022-06-30,11690000.0
2022-06-29,11690000.0
2022-06-28,10920000.0
2022-06-27,11490000.0
2022-06-24,11510000.0
2022-06-23,13140000.0
2022-06-22,12920000.0
2022-06-21,11870000.0
2022-06-17,13980000.0
2022-06-16,13410000.0
2022-06-15,13410000.0
2022-06-14,13300000.0
2022-06-13,13410000.0
2022-06-10,13230000.0
2022-06-09,13230000.0
2022-06-08,13300000.0
2022-06-07,13980000.0
2022-06-06,13410000.0
2022-06-03,12990000.0
2022-06-02,13980000.0
2022-06-01,13690000.0
2022-05-31,12600000.0
2022-05-27,13960000.0
2022-05-26,14700000.0
2022-05-25,11860000.0
2022-05-24,11900000.0
2022-05-23,13630000.0
2022-05-20,13630000.0
2022-05-19,13840000.0
2022-05-18,13160000.0
2022-05-17,13910000.0
2022-05-16,14000000.0
2022-05-13,14000000.0
2022-05-12,13980000.0
2022-05-11,13070000.0
2022-05-10,12880000.0
2022-05-09,14000000.0
2022-05-06,12040000.0
2022-05-05,11050000.0
2022-05-04,10860000.0
2022-05-03,11840000.0
2022-05-02,11860000.0
2022-04-29,11180000.0
2022-04-28,11200000.0
2022-04-27,11180000.0
2022-04-26,11180000.0
2022-04-25,10920000.0
2022-04-22,11200000.0
2022-04-21,11060000.0
2022-04-20,11180000.0
2022-04-19,11450000.0
2022-04-18,12150000.0
2022-04-14,12580000.0
2022-04-13,12530000.0
2022-04-12,11920000.0
2022-04-11,13280000.0
2022-04-08,13960000.0
2022-04-07,13540000.0
2022-04-06,14000000.0
2022-04-05,14190000.0
2022-04-04,14140000.0
2022-04-01,13960000.0
2022-03-31,13970000.0
2022-03-30,13980000.0
2022-03-29,14180000.0
2022-03-28,13980000.0
2022-03-25,14290000.0
2022-03-24,14280000.0
2022-03-23,13960000.0
2022-03-22,14950000.0
2022-03-21,13690000.0
2022-03-18,14000000.0
2022-03-17,13980000.0
2022-03-16,16200000.0
2022-03-15,15150000.0
2022-03-14,15500000.0
2022-03-11,15920000.0
2022-03-10,16309999.999999998
2022-03-09,16219999.999999998
2022-03-08,16629999.999999998
2022-03-07,18100000.0
2022-03-04,18170000.0
2022-03-03,18840000.0
2022-03-02,19210000.0
2022-03-01,19210000.0
2022-02-28,19910000.0
2022-02-25,18880000.0
2022-02-24,19140000.0
2022-02-23,19940000.0
2022-02-22,19560000.0
2022-02-18,20230000.0
2022-02-17,20220000.0
2022-02-16,19100000.0
2022-02-15,19340000.0
2022-02-14,19080000.0
2022-02-11,18560000.0
2022-02-10,18850000.0
2022-02-09,17470000.0
2022-02-08,18790000.0
2022-02-07,18170000.0
2022-02-04,18570000.0
2022-02-03,18660000.0
2022-02-02,19270000.0
2022-02-01,19480000.0
2022-01-31,19280000.0
2022-01-28,17850000.0
2022-01-27,17380000.0
2022-01-26,19340000.0
2022-01-25,18630000.0
2022-01-24,19420000.0
2022-01-21,18090000.0
2022-01-20,17530000.0
2022-01-19,16820000.0
2022-01-18,15310000.0
2022-01-14,15670000.0
2022-01-13,16700000.0
2022-01-12,16700000.0
2022-01-11,15310000.0
2022-01-10,15280000.0
2022-01-07,15310000.0
2022-01-06,15310000.0
2022-01-05,13640000.0
2022-01-04,13220000.0
2022-01-03,13290000.0
2021-12-31,12080000.0
2021-12-30,12800000.0
2021-12-29,12090000.0
2021-12-28,12150000.0
2021-12-27,12900000.0
2021-12-23,13200000.0
2021-12-22,12240000.0
2021-12-21,12520000.0
2021-12-20,12940000.0
2021-12-17,12880000.0
2021-12-16,13770000.0
2021-12-15,13730000.0
2021-12-14,13680000.0
2021-12-13,13570000.0
2021-12-10,13870000.0
2021-12-09,13890000.0
2021-12-08,13640000.0
2021-12-07,13770000.0
2021-12-06,13220000.0
2021-12-03,10300000.0
2021-12-02,12660000.0
2021-12-01,12520000.0
2021-11-30,12680000.0
2021-11-29,13320000.0
2021-11-26,13360000.0
2021-11-24,14190000.0
2021-11-23,14160000.0
2021-11-22,14190000.0
2021-11-19,14240000.0
2021-11-18,13540000.0
2021-11-17,14050000.0
2021-11-16,13910000.0
2021-11-15,15220000.0
2021-11-12,14920000.0
2021-11-11,14290000.0
2021-11-10,14050000.0
2021-11-09,14920000.0
2021-11-08,15600000.0
2021-11-05,15850000.0
2021-11-04,16000000.0
2021-11-03,13500000.0
2021-11-02,13360000.0
2021-11-01,14440000.0
2021-10-29,15180000.0
2021-10-28,15550000.0
2021-10-27,15310000.0
2021-10-26,14930000.0
2021-10-25,15280000.0
2021-10-22,15880000.0
2021-10-21,15920000.0
2021-10-20,15010000.0
2021-10-19,14760000.0
2021-10-18,14900000.0
2021-10-15,15090000.0
2021-10-14,14780000.0
2021-10-13,13990000.0
2021-10-12,15890000.0
2021-10-11,14550000.0
2021-10-08,14890000.0
2021-10-07,13670000.0
2021-10-06,12750000.0
2021-10-05,12480000.0
2021-10-04,12390000.0
2021-10-01,12360000.0
2021-09-30,12370000.0
2021-09-29,11640000.0
2021-09-28,12120000.0
2021-09-27,12450000.0
2021-09-24,12120000.0
2021-09-23,12340000.0
2021-09-22,13550000.0
2021-09-21,13670000.0
2021-09-20,13270000.0
2021-09-17,13850000.0
2021-09-16,13850000.0
2021-09-15,15070000.0
2021-09-14,16579999.999999998
2021-09-13,17620000.0
2021-09-10,17430000.0
2021-09-09,17660000.0
2021-09-08,15980000.0
2021-09-07,16420000.000000002
2021-09-03,16870000.0
2021-09-02,17180000.0
2021-09-01,17300000.0
2021-08-31,15390000.0
2021-08-30,15500000.0
2021-08-27,17010000.0
2021-08-26,18070000.0
2021-08-25,18260000.0
