Date,Market Cap
2023-04-25,500.0
2023-04-24,500.0
2023-04-21,400.0
2023-04-20,400.0
2023-04-19,400.0
2023-04-18,400.0
2023-04-17,400.0
2023-04-14,400.0
2023-04-13,500.0
2023-04-12,500.0
2023-04-11,400.0
2023-04-10,300.0
2023-04-06,400.0
2023-04-05,400.0
2023-04-04,400.0
2023-04-03,500.0
2023-03-31,500.0
2023-03-30,500.0
2023-03-29,400.0
2023-03-28,400.0
2023-03-27,500.0
2023-03-24,500.0
2023-03-23,400.0
2023-03-22,500.0
2023-03-21,300.0
2023-03-20,300.0
2023-03-17,400.0
2023-03-16,400.0
2023-03-15,400.0
2023-03-14,400.0
2023-03-13,400.0
2023-03-10,400.0
2023-03-09,500.0
2023-03-08,500.0
2023-03-07,500.0
2023-03-06,500.0
2023-03-03,500.0
2023-03-02,500.0
2023-03-01,600.0
2023-02-28,600.0
2023-02-27,600.0
2023-02-24,600.0
2023-02-23,500.0
2023-02-22,500.0
2023-02-21,500.0
2023-02-17,600.0
2023-02-16,700.0
2023-02-15,600.0
2023-02-14,600.0
2023-02-13,700.0
2023-02-10,600.0
2023-02-09,700.0
2023-02-08,600.0
2023-02-07,600.0
2023-02-06,600.0
2023-02-03,600.0
2023-02-02,600.0
2023-02-01,600.0
2023-01-31,500.0
2023-01-30,500.0
2023-01-27,400.0
2023-01-26,500.0
2023-01-25,500.0
2023-01-24,400.0
2023-01-23,500.0
2023-01-20,400.0
2023-01-19,400.0
2023-01-18,400.0
2023-01-17,500.0
2023-01-13,600.0
2023-01-12,600.0
2023-01-11,600.0
2023-01-10,600.0
2023-01-09,500.0
2023-01-06,500.0
2023-01-05,600.0
2023-01-04,600.0
2023-01-03,600.0
2022-12-30,500.0
2022-12-29,900.0
2022-12-28,1000.0
2022-12-27,300.0
2022-12-23,400.0
2022-12-22,500.0
2022-12-21,700.0
2022-12-20,700.0
2022-12-19,500.0
2022-12-16,600.0
2022-12-15,500.0
2022-12-14,700.0
2022-12-13,700.0
2022-12-12,700.0
2022-12-09,700.0
2022-12-08,700.0
2022-12-07,600.0
2022-12-06,600.0
2022-12-05,700.0
2022-12-02,500.0
2022-12-01,500.0
2022-11-30,500.0
2022-11-29,500.0
2022-11-28,600.0
2022-11-25,700.0
2022-11-23,700.0
2022-11-22,700.0
2022-11-21,700.0
2022-11-18,700.0
2022-11-17,700.0
2022-11-16,700.0
2022-11-15,700.0
2022-11-14,700.0
2022-11-11,900.0
2022-11-10,900.0
2022-11-09,600.0
2022-11-08,800.0
2022-11-07,700.0
2022-11-04,700.0
2022-11-03,800.0
2022-11-02,800.0
2022-11-01,800.0
2022-10-31,900.0
2022-10-28,700.0
2022-10-27,1000.0
2022-10-26,1100.0
2022-10-25,1100.0
2022-10-24,1100.0
2022-10-21,1100.0
2022-10-20,800.0
2022-10-19,800.0
2022-10-18,800.0
2022-10-17,1000.0
2022-10-14,1100.0
2022-10-13,1100.0
2022-10-12,1100.0
2022-10-11,800.0
2022-10-10,800.0
2022-10-07,700.0
2022-10-06,900.0
2022-10-05,1100.0
2022-10-04,1100.0
2022-10-03,1100.0
2022-09-30,1000.0
2022-09-29,1000.0
2022-09-28,1000.0
2022-09-27,900.0
2022-09-26,800.0
2022-09-23,500.0
2022-09-22,800.0
2022-09-21,800.0
2022-09-20,900.0
2022-09-19,900.0
2022-09-16,800.0
2022-09-15,700.0
2022-09-14,800.0
2022-09-13,700.0
2022-09-12,500.0
2022-09-09,400.0
2022-09-08,400.0
2022-09-07,400.0
2022-09-06,400.0
2022-09-02,700.0
2022-09-01,700.0
2022-08-31,700.0
2022-08-30,700.0
2022-08-29,700.0
2022-08-26,700.0
