Date,Market Cap
2023-04-26,11100.0
2023-04-25,11100.0
2023-04-24,11100.0
2023-04-21,11100.0
2023-04-20,11100.0
2023-04-19,11100.0
2023-04-18,11100.0
2023-04-17,11100.0
2023-04-14,11100.0
2023-04-13,11100.0
2023-04-12,11100.0
2023-04-11,5600.0
2023-04-10,11100.0
2023-04-06,11100.0
2023-04-05,11100.0
2023-04-04,11100.0
2023-04-03,11100.0
2023-03-31,11100.0
2023-03-30,8300.0
2023-03-29,8300.0
2023-03-28,8300.0
2023-03-27,8300.0
2023-03-24,5600.0
2023-03-23,5600.0
2023-03-22,5600.0
2023-03-21,5600.0
2023-03-20,11100.0
2023-03-17,11100.0
2023-03-16,11100.0
2023-03-15,11100.0
2023-03-14,11100.0
2023-03-13,11100.0
2023-03-10,8300.0
2023-03-09,5600.0
2023-03-08,11100.0
2023-03-07,5600.0
2023-03-06,11100.0
2023-03-03,11100.0
2023-03-02,5600.0
2023-03-01,11100.0
2023-02-28,11100.0
2023-02-27,11100.0
2023-02-24,11100.0
2023-02-23,11100.0
2023-02-22,11100.0
2023-02-21,11100.0
2023-02-17,5600.0
2023-02-16,11100.0
2023-02-15,11100.0
2023-02-14,5600.0
2023-02-13,11100.0
2023-02-10,11100.0
2023-02-09,11100.0
2023-02-08,11100.0
2023-02-07,5600.0
2023-02-06,11100.0
2023-02-03,11100.0
2023-02-02,11100.0
2023-02-01,11100.0
2023-01-31,11100.0
2023-01-30,8300.0
2023-01-27,11100.0
2023-01-26,11100.0
2023-01-25,11100.0
2023-01-24,11100.0
2023-01-23,11100.0
2023-01-20,16700.0
2023-01-19,13900.0
2023-01-18,11100.0
2023-01-17,11100.0
2023-01-13,13900.0
2023-01-12,13900.0
2023-01-11,11100.0
2023-01-10,13900.0
2023-01-09,11100.0
2023-01-06,13900.0
2023-01-05,11100.0
2023-01-04,11100.0
2023-01-03,16700.0
2022-12-30,16700.0
2022-12-29,16700.0
2022-12-28,13900.0
2022-12-27,11100.0
2022-12-23,16700.0
2022-12-22,11100.0
2022-12-21,13900.0
2022-12-20,11100.0
2022-12-19,16700.0
2022-12-16,11100.0
2022-12-15,13900.0
2022-12-14,13900.0
2022-12-13,11100.0
2022-12-12,16700.0
2022-12-09,13900.0
2022-12-08,11100.0
2022-12-07,13900.0
2022-12-06,13900.0
2022-12-05,11100.0
2022-12-02,11100.0
2022-12-01,11100.0
2022-11-30,11100.0
2022-11-29,13900.0
2022-11-28,13900.0
2022-11-25,16700.0
2022-11-23,16700.0
2022-11-22,11100.0
2022-11-21,11100.0
2022-11-18,13900.0
2022-11-17,16700.0
2022-11-16,13900.0
2022-11-15,11100.0
2022-11-14,16700.0
2022-11-11,13900.0
2022-11-10,16700.0
2022-11-09,11100.0
2022-11-08,13900.0
2022-11-07,11100.0
2022-11-04,11100.0
2022-11-03,11100.0
2022-11-02,11100.0
2022-11-01,11100.0
2022-10-31,16700.0
2022-10-28,11100.0
2022-10-27,16700.0
