Date,Market Cap
2023-04-25,21900.0
2023-04-24,19200.0
2023-04-21,19200.0
2023-04-20,16400.0
2023-04-19,21900.0
2023-04-18,17500.0
2023-04-17,13700.0
2023-04-14,14800.0
2023-04-13,27100.0
2023-04-12,25200.0
2023-04-11,20700.0
2023-04-10,20700.0
2023-04-06,27400.0
2023-04-05,27400.0
2023-04-04,27400.0
2023-04-03,27400.0
2023-03-31,24100.0
2023-03-30,24100.0
2023-03-29,24100.0
2023-03-28,17000.0
2023-03-27,11500.0
2023-03-24,11500.0
2023-03-23,17700.0
2023-03-22,20700.0
2023-03-21,20700.0
2023-03-20,21700.0
2023-03-17,19200.0
2023-03-16,17200.0
2023-03-15,17200.0
2023-03-14,15100.0
2023-03-13,15100.0
2023-03-10,17500.0
2023-03-09,21800.0
2023-03-08,21800.0
2023-03-07,21800.0
2023-03-06,21800.0
2023-03-03,21800.0
2023-03-02,21900.0
2023-03-01,26000.0
2023-02-28,23400.0
2023-02-27,19200.0
2023-02-24,21200.0
2023-02-23,20100.0
2023-02-22,19400.0
2023-02-21,19400.0
2023-02-17,19200.0
2023-02-16,19200.0
2023-02-15,19200.0
2023-02-14,21900.0
2023-02-13,21900.0
2023-02-10,24700.0
2023-02-09,24700.0
2023-02-08,24700.0
2023-02-07,24700.0
2023-02-06,24900.0
2023-02-03,27400.0
2023-02-02,26800.0
2023-02-01,28100.0
2023-01-31,26000.0
2023-01-30,28400.0
2023-01-27,28400.0
2023-01-26,31500.0
2023-01-25,31500.0
2023-01-24,30200.0
2023-01-23,32900.0
2023-01-20,32599.999999999996
2023-01-19,32900.0
2023-01-18,32800.0
2023-01-17,35100.0
2023-01-13,35100.0
2023-01-12,35100.0
2023-01-11,35100.0
2023-01-10,35100.0
2023-01-09,35600.0
2023-01-06,25800.0
2023-01-05,27400.0
2023-01-04,24900.0
2023-01-03,26200.0
2022-12-30,32300.000000000004
2022-12-29,30200.0
2022-12-28,27700.0
2022-12-27,32300.000000000004
2022-12-23,37000.0
2022-12-22,36200.0
2022-12-21,32300.000000000004
2022-12-20,32300.000000000004
2022-12-19,30100.0
2022-12-16,30100.0
2022-12-15,30200.0
2022-12-14,27500.0
2022-12-13,27500.0
2022-12-12,27400.0
2022-12-09,30200.0
2022-12-08,30200.0
2022-12-07,30200.0
2022-12-06,32900.0
2022-12-05,32900.0
2022-12-02,30200.0
2022-12-01,27400.0
2022-11-30,32900.0
2022-11-29,33200.0
2022-11-28,35800.0
2022-11-25,35800.0
2022-11-23,35800.0
2022-11-22,33200.0
2022-11-21,35700.0
2022-11-18,35700.0
2022-11-17,41100.0
2022-11-16,41100.0
2022-11-15,37300.0
2022-11-14,40400.0
2022-11-11,43100.0
2022-11-10,41100.0
2022-11-09,43000.0
2022-11-08,41100.0
2022-11-07,41100.0
2022-11-04,43000.0
2022-11-03,43000.0
2022-11-02,41400.0
2022-11-01,41400.0
2022-10-31,41400.0
2022-10-28,49100.0
2022-10-27,38600.0
2022-10-26,47900.0
2022-10-25,41100.0
2022-10-24,43900.0
2022-10-21,38400.0
2022-10-20,43900.0
2022-10-19,47300.0
2022-10-18,47900.0
2022-10-17,51400.0
2022-10-14,47900.0
2022-10-13,47900.0
2022-10-12,43200.0
2022-10-11,43200.0
2022-10-10,42600.0
2022-10-07,42500.0
2022-10-06,47300.0
2022-10-05,47900.0
2022-10-04,47900.0
2022-10-03,43000.0
2022-09-30,43000.0
2022-09-29,43000.0
2022-09-28,43000.0
2022-09-27,43000.0
2022-09-26,43000.0
2022-09-23,43000.0
2022-09-22,43000.0
2022-09-21,43300.0
2022-09-20,43000.0
2022-09-19,43000.0
2022-09-16,43000.0
2022-09-15,54800.0
2022-09-14,54800.0
2022-09-13,54800.0
2022-09-12,54800.0
2022-09-09,63600.00000000001
2022-09-08,42500.0
2022-09-07,43000.0
2022-09-06,43000.0
2022-09-02,43000.0
2022-09-01,43000.0
2022-08-31,43000.0
2022-08-30,43000.0
2022-08-29,53700.0
2022-08-26,65100.00000000001
2022-08-25,65199.99999999999
2022-08-24,65199.99999999999
2022-08-23,65500.0
2022-08-22,55100.0
2022-08-19,58900.0
2022-08-18,58900.0
2022-08-17,57600.0
2022-08-16,65800.0
2022-08-15,59500.0
2022-08-12,65800.0
2022-08-11,64600.00000000001
2022-08-10,64600.00000000001
2022-08-09,65800.0
2022-08-08,60300.0
2022-08-05,60900.0
2022-08-04,60600.0
2022-08-03,60900.0
2022-08-02,62500.0
2022-08-01,60900.0
2022-07-29,60900.0
2022-07-28,60600.0
2022-07-27,60600.0
2022-07-26,60600.0
2022-07-25,60600.0
2022-07-22,60600.0
2022-07-21,61800.0
2022-07-20,65600.0
2022-07-19,60600.0
2022-07-18,65800.0
2022-07-15,63100.0
2022-07-14,68500.0
2022-07-13,64500.0
2022-07-12,68800.0
2022-07-11,68500.0
2022-07-08,68500.0
2022-07-07,41100.0
2022-07-06,38600.0
2022-07-05,38600.0
2022-07-01,42200.0
2022-06-30,42200.0
2022-06-29,38400.0
2022-06-28,46000.0
2022-06-27,46000.0
2022-06-24,43900.0
2022-06-23,41700.0
2022-06-22,41700.0
2022-06-21,41700.0
2022-06-17,40400.0
2022-06-16,38400.0
2022-06-15,38400.0
2022-06-14,37300.0
2022-06-13,37100.0
2022-06-10,37000.0
2022-06-09,38400.0
2022-06-08,38400.0
2022-06-07,37000.0
2022-06-06,39100.0
2022-06-03,38400.0
2022-06-02,34300.0
2022-06-01,30200.0
2022-05-31,30200.0
2022-05-27,30200.0
2022-05-26,30200.0
2022-05-25,29100.0
2022-05-24,28800.0
2022-05-23,28800.0
2022-05-20,28800.0
2022-05-19,28800.0
2022-05-18,28800.0
2022-05-17,32800.0
2022-05-16,32800.0
2022-05-13,32900.0
2022-05-12,30200.0
2022-05-11,30200.0
2022-05-10,30200.0
2022-05-09,30200.0
2022-05-06,30200.0
2022-05-05,34300.0
2022-05-04,32500.0
2022-05-03,32900.0
2022-05-02,21400.0
2022-04-29,21400.0
2022-04-28,21400.0
2022-04-27,25900.0
2022-04-26,30700.0
2022-04-25,31800.000000000004
2022-04-22,31800.000000000004
2022-04-21,32000.0
2022-04-20,27700.0
2022-04-19,26600.0
2022-04-18,26600.0
2022-04-14,26600.0
2022-04-13,26600.0
2022-04-12,32599.999999999996
2022-04-11,19500.0
2022-04-08,19500.0
2022-04-07,19500.0
2022-04-06,23900.0
2022-04-05,23900.0
2022-04-04,23900.0
2022-04-01,26600.0
2022-03-31,26600.0
2022-03-30,27100.0
2022-03-29,31700.0
2022-03-28,27400.0
2022-03-25,28800.0
2022-03-24,32900.0
2022-03-23,32900.0
2022-03-22,32900.0
2022-03-21,32900.0
2022-03-18,32900.0
2022-03-17,32900.0
2022-03-16,32700.0
2022-03-15,32099.999999999996
2022-03-14,32099.999999999996
2022-03-11,28800.0
2022-03-10,28800.0
2022-03-09,28800.0
2022-03-08,28800.0
2022-03-07,32900.0
2022-03-04,32900.0
2022-03-03,28800.0
2022-03-02,28800.0
2022-03-01,28800.0
2022-02-28,27700.0
2022-02-25,27700.0
2022-02-24,28200.0
2022-02-23,39400.0
2022-02-22,33600.0
2022-02-18,27700.0
2022-02-17,36200.0
2022-02-16,32900.0
2022-02-15,27800.0
2022-02-14,30200.0
2022-02-11,35300.0
2022-02-10,34100.0
2022-02-09,33800.0
2022-02-08,35500.0
2022-02-07,27500.0
2022-02-04,24200.0
2022-02-03,24200.0
2022-02-02,22000.0
2022-02-01,35100.0
2022-01-31,30200.0
2022-01-28,30200.0
2022-01-27,32900.0
2022-01-26,27400.0
2022-01-25,32800.0
2022-01-24,32900.0
2022-01-21,35500.0
2022-01-20,35600.0
2022-01-19,27400.0
2022-01-18,30200.0
2022-01-14,24400.0
2022-01-13,24400.0
2022-01-12,24900.0
2022-01-11,24900.0
2022-01-10,24700.0
2022-01-07,19100.0
2022-01-06,24700.0
2022-01-05,24700.0
2022-01-04,24700.0
2022-01-03,24700.0
2021-12-31,21900.0
2021-12-30,27100.0
2021-12-29,27400.0
2021-12-28,19500.0
2021-12-27,21900.0
2021-12-23,26000.0
2021-12-22,27400.0
2021-12-21,29100.0
2021-12-20,28800.0
2021-12-17,32000.0
2021-12-16,30200.0
2021-12-15,30200.0
2021-12-14,30500.0
2021-12-13,30200.0
2021-12-10,37600.0
2021-12-09,30400.0
2021-12-08,37700.0
2021-12-07,37600.0
2021-12-06,28000.0
2021-12-03,38300.0
2021-12-02,30200.0
2021-12-01,30200.0
2021-11-30,30200.0
2021-11-29,30200.0
2021-11-26,33000.0
2021-11-24,34300.0
2021-11-23,34700.0
2021-11-22,35600.0
2021-11-19,35200.0
2021-11-18,35200.0
2021-11-17,40600.0
2021-11-16,40700.0
2021-11-15,34500.0
2021-11-12,35600.0
2021-11-11,40800.0
2021-11-10,38500.0
2021-11-09,36200.0
2021-11-08,39200.0
2021-11-05,41100.0
2021-11-04,41100.0
2021-11-03,41100.0
2021-11-02,41100.0
2021-11-01,41800.0
2021-10-29,41900.0
2021-10-28,38400.0
2021-10-27,38400.0
2021-10-26,38400.0
2021-10-25,38400.0
2021-10-22,38400.0
2021-10-21,41100.0
2021-10-20,38400.0
2021-10-19,38500.0
2021-10-18,38500.0
2021-10-15,38600.0
2021-10-14,43400.0
2021-10-13,43900.0
2021-10-12,38900.0
2021-10-11,38900.0
2021-10-08,38900.0
2021-10-07,38900.0
2021-10-06,38900.0
2021-10-05,38900.0
2021-10-04,38900.0
2021-10-01,38900.0
2021-09-30,38900.0
2021-09-29,41900.0
2021-09-28,43800.0
2021-09-27,42500.0
2021-09-24,43800.0
2021-09-23,41100.0
2021-09-22,43900.0
2021-09-21,43900.0
2021-09-20,41100.0
2021-09-17,46600.0
2021-09-16,45200.0
2021-09-15,45200.0
2021-09-14,45200.0
2021-09-13,49300.0
2021-09-10,42500.0
2021-09-09,44400.0
2021-09-08,48500.0
2021-09-07,60800.0
2021-09-03,35600.0
2021-09-02,35600.0
2021-09-01,35600.0
2021-08-31,35600.0
2021-08-30,39400.0
2021-08-27,39400.0
2021-08-26,40300.0
2021-08-25,38400.0
2021-08-24,38400.0
2021-08-23,38400.0
2021-08-20,39500.0
2021-08-19,38400.0
2021-08-18,38400.0
2021-08-17,38400.0
2021-08-16,39500.0
2021-08-13,40500.0
2021-08-12,39500.0
2021-08-11,39500.0
2021-08-10,41100.0
2021-08-09,41100.0
2021-08-06,41500.0
2021-08-05,43900.0
2021-08-04,42500.0
2021-08-03,39500.0
2021-08-02,41100.0
2021-07-30,42500.0
2021-07-29,41600.0
2021-07-28,41600.0
2021-07-27,41400.0
2021-07-26,43900.0
2021-07-23,43900.0
2021-07-22,41100.0
2021-07-21,41100.0
2021-07-20,43900.0
2021-07-19,41200.0
2021-07-16,41300.0
2021-07-15,46000.0
2021-07-14,43900.0
2021-07-13,43900.0
2021-07-12,46500.0
2021-07-09,47300.0
2021-07-08,43900.0
2021-07-07,51300.0
2021-07-06,45200.0
2021-07-02,47300.0
2021-07-01,46600.0
2021-06-30,51300.0
2021-06-29,48000.0
2021-06-28,45200.0
2021-06-25,46600.0
2021-06-24,48000.0
2021-06-23,45300.0
2021-06-22,45200.0
2021-06-21,45500.0
2021-06-18,51800.0
2021-06-17,45400.0
2021-06-16,46900.0
2021-06-15,46900.0
2021-06-14,51800.0
2021-06-11,47300.0
2021-06-10,47600.0
2021-06-09,47600.0
2021-06-08,47300.0
2021-06-07,47300.0
2021-06-04,47800.0
2021-06-03,51600.0
2021-06-02,57300.0
2021-06-01,53200.0
2021-05-28,65800.0
2021-05-27,67100.0
2021-05-26,38800.0
2021-05-25,38400.0
2021-05-24,43900.0
2021-05-21,44100.0
2021-05-20,48200.0
2021-05-19,39800.0
2021-05-18,33900.0
2021-05-17,54700.0
2021-05-14,65800.0
2021-05-13,68500.0
2021-05-12,80200.0
2021-05-11,82200.0
2021-05-10,95900.0
2021-05-07,83900.0
2021-05-06,90500.0
2021-05-05,95900.0
2021-05-04,83900.0
2021-05-03,85000.0
2021-04-30,93200.0
2021-04-29,93200.0
2021-04-28,95900.0
2021-04-27,95900.0
2021-04-26,95900.0
2021-04-23,95400.0
2021-04-22,95900.0
2021-04-21,82200.0
2021-04-20,95200.0
2021-04-19,82200.0
2021-04-16,85000.0
2021-04-15,85000.0
2021-04-14,85200.0
2021-04-13,86100.0
2021-04-12,92400.0
2021-04-09,94600.0
2021-04-08,94600.0
2021-04-07,109600.0
2021-04-06,107400.0
2021-04-05,105500.0
2021-04-01,108300.0
2021-03-31,87700.0
2021-03-30,93200.0
2021-03-29,93200.0
2021-03-26,93200.0
2021-03-25,90400.0
2021-03-24,90400.0
2021-03-23,90400.0
2021-03-22,82200.0
2021-03-19,77300.0
2021-03-18,82000.0
2021-03-17,79400.0
2021-03-16,81700.0
2021-03-15,82200.0
2021-03-12,92900.0
2021-03-11,82500.0
2021-03-10,88000.0
2021-03-09,83100.0
2021-03-08,79800.0
2021-03-05,79500.0
2021-03-04,65800.0
2021-03-03,65800.0
2021-03-02,76700.0
2021-03-01,75700.0
2021-02-26,59200.0
2021-02-25,68800.0
2021-02-24,87700.0
2021-02-23,71300.0
2021-02-22,52100.0
2021-02-19,49400.0
2021-02-18,46600.0
2021-02-17,51000.0
2021-02-16,49700.0
2021-02-12,50500.0
2021-02-11,52100.0
2021-02-10,49300.0
2021-02-09,48000.0
2021-02-08,48000.0
2021-02-05,52100.0
2021-02-04,52100.0
2021-02-03,49300.0
2021-02-02,49400.0
2021-02-01,52100.0
2021-01-29,54200.0
2021-01-28,51900.0
2021-01-27,51900.0
2021-01-26,51900.0
2021-01-25,50900.0
2021-01-22,50700.0
2021-01-21,54700.0
2021-01-20,52000.0
2021-01-19,53400.0
2021-01-15,53600.0
2021-01-14,54800.0
2021-01-13,50700.0
2021-01-12,50400.0
2021-01-11,49300.0
2021-01-08,51400.0
2021-01-07,49700.0
2021-01-06,49300.0
2021-01-05,50700.0
2021-01-04,47800.0
2020-12-31,51400.0
2020-12-30,54800.0
2020-12-29,59500.0
2020-12-28,57300.0
2020-12-24,56300.0
2020-12-23,60300.0
2020-12-22,60000.0
2020-12-21,56300.0
2020-12-18,56400.0
2020-12-17,56400.0
2020-12-16,57500.0
2020-12-15,56300.0
2020-12-14,60900.0
2020-12-11,56300.0
2020-12-10,57600.0
2020-12-09,58900.0
2020-12-08,61700.0
2020-12-07,56300.0
2020-12-04,57600.0
2020-12-03,61500.0
2020-12-02,59500.0
2020-12-01,57600.0
2020-11-30,56300.0
2020-11-27,56800.0
2020-11-25,56300.0
2020-11-24,57200.0
2020-11-23,56300.0
2020-11-20,60000.0
2020-11-19,57600.0
2020-11-18,55200.0
2020-11-17,57100.0
2020-11-16,65199.99999999999
2020-11-13,60300.0
2020-11-12,57600.0
2020-11-11,63000.0
2020-11-10,65199.99999999999
2020-11-09,60300.0
2020-11-06,64400.0
2020-11-05,64699.99999999999
2020-11-04,68500.0
2020-11-03,69100.0
2020-11-02,76700.0
2020-10-30,68500.0
2020-10-29,66300.0
2020-10-28,76600.0
2020-10-27,81200.0
2020-10-26,82200.0
2020-10-23,87700.0
2020-10-22,85000.0
2020-10-21,85100.0
2020-10-20,82200.0
2020-10-19,85000.0
2020-10-16,90500.0
2020-10-15,97300.0
2020-10-14,91800.0
2020-10-13,93200.0
2020-10-12,93000.0
2020-10-09,101600.0
2020-10-08,93500.0
2020-10-07,104200.0
