Date,Market Cap
2023-04-26,513599.99999999994
2023-04-25,513599.99999999994
2023-04-24,565000.0
2023-04-21,629200.0
2023-04-20,629200.0
2023-04-19,652300.0
2023-04-18,706200.0
2023-04-17,667700.0
2023-04-14,731900.0
2023-04-13,783200.0
2023-04-12,821800.0
2023-04-11,783200.0
2023-04-10,474600.0
2023-04-06,467500.0
2023-04-05,375400.0
2023-04-04,403800.0
2023-04-03,325900.0
2023-03-31,357700.0
2023-03-30,332900.0
2023-03-29,329400.0
2023-03-28,347100.0
2023-03-27,354200.0
2023-03-24,332900.0
2023-03-23,352800.0
2023-03-22,361300.0
2023-03-21,368400.0
2023-03-20,347100.0
2023-03-17,347100.0
2023-03-16,354200.0
2023-03-15,332900.0
2023-03-14,382500.0
2023-03-13,340000.0
2023-03-10,410900.0
2023-03-09,425000.0
2023-03-08,474600.0
2023-03-07,453400.0
2023-03-06,446300.0
2023-03-03,481700.0
2023-03-02,453400.0
2023-03-01,446300.0
2023-02-28,446300.0
2023-02-27,428600.0
2023-02-24,442700.0
2023-02-23,474600.0
2023-02-22,552500.0
2023-02-21,616300.0
2023-02-17,623400.0
2023-02-16,609200.0
2023-02-15,630500.0
2023-02-14,641100.0
2023-02-13,750900.0
2023-02-10,850000.0
2023-02-09,1190000.0
2023-02-08,1336000.0
2023-02-07,1070000.0
2023-02-06,680000.0
2023-02-03,658800.0
2023-02-02,687100.0
2023-02-01,871300.0
2023-01-31,807500.0
2023-01-30,510000.0
2023-01-27,481700.0
2023-01-26,481700.0
2023-01-25,495900.0
2023-01-24,584400.0
2023-01-23,566700.0
2023-01-20,524200.0
2023-01-19,566700.0
2023-01-18,566700.0
2023-01-17,616300.0
2023-01-13,623400.0
2023-01-12,708400.0
2023-01-11,651700.0
2023-01-10,736700.0
2023-01-09,736700.0
2023-01-06,779200.0
2023-01-05,772100.0
2023-01-04,779200.0
2023-01-03,843000.0
2022-12-30,615200.0
2022-12-29,629200.0
2022-12-28,730300.0
2022-12-27,842700.0
2022-12-23,887600.0
2022-12-22,935400.0
2022-12-21,960700.0
2022-12-20,960700.0
2022-12-19,983100.0
2022-12-16,915700.0
2022-12-15,1205000.0
2022-12-14,983100.0
2022-12-13,955000.0
2022-12-12,1067000.0
2022-12-09,1081000.0
2022-12-08,1067000.0
2022-12-07,1222000.0
2022-12-06,1376000.0
2022-12-05,1376000.0
2022-12-02,1573000.0
2022-12-01,1561000.0
2022-11-30,1854000.0
2022-11-29,1629000.0
2022-11-28,1854000.0
2022-11-25,1916000.0
2022-11-23,2163000.0
2022-11-22,2049999.9999999998
2022-11-21,2219000.0
2022-11-18,1699000.0
2022-11-17,1567000.0
2022-11-16,1573000.0
2022-11-15,1517000.0
2022-11-14,1770000.0
2022-11-11,1472000.0
2022-11-10,1292000.0
2022-11-09,925700.0
2022-11-08,889200.0
2022-11-07,842800.0
2022-11-04,936500.0
2022-11-03,936500.0
2022-11-02,856900.0
2022-11-01,842800.0
2022-10-31,758600.0
2022-10-28,842800.0
2022-10-27,931800.0
2022-10-26,866300.0
2022-10-25,959900.0
2022-10-24,889700.0
2022-10-21,936500.0
2022-10-20,702400.0
2022-10-19,749200.0
2022-10-18,842800.0
2022-10-17,842800.0
2022-10-14,842800.0
2022-10-13,887300.0
2022-10-12,945900.0
2022-10-11,1130000.0
2022-10-10,1194000.0
2022-10-07,1150000.0
2022-10-06,1246000.0
2022-10-05,1405000.0
2022-10-04,1779000.0
2022-10-03,1779000.0
2022-09-30,1756000.0
2022-09-29,935400.0
2022-09-28,887000.0
2022-09-27,670400.0
2022-09-26,751400.0
2022-09-23,810700.0
2022-09-22,826200.0
2022-09-21,935400.0
2022-09-20,841800.0
2022-09-19,779500.0
2022-09-16,879300.0
2022-09-15,1028999.9999999999
2022-09-14,1247000.0
2022-09-13,1060000.0
2022-09-12,1012999.9999999999
2022-09-09,1107000.0
2022-09-08,1871000.0
2022-09-07,2564000.0
2022-09-06,779500.0
2022-09-02,779500.0
2022-09-01,751400.0
2022-08-31,748300.0
2022-08-30,642300.0
2022-08-29,966600.0
2022-08-26,1132000.0
2022-08-25,1160000.0
2022-08-24,969700.0
2022-08-23,1020000.0
2022-08-22,932300.0
2022-08-19,1169000.0
2022-08-18,1528000.0
2022-08-17,1715000.0
2022-08-16,1964000.0
2022-08-15,2107000.0
2022-08-12,1946000.0
2022-08-11,1974000.0
2022-08-10,1946000.0
2022-08-09,2224000.0
2022-08-08,2474000.0
2022-08-05,2586000.0
2022-08-04,2502000.0
2022-08-03,2572000.0
2022-08-02,2919000.0
2022-08-01,2422000.0
2022-07-29,2780000.0
2022-07-28,2725000.0
2022-07-27,2780000.0
2022-07-26,3058000.0
2022-07-25,3058000.0
2022-07-22,3058000.0
2022-07-21,3948000.0
2022-07-20,4142000.0000000005
2022-07-19,4309000.0
2022-07-18,4170000.0
2022-07-15,4309000.0
2022-07-14,4170000.0
2022-07-13,4170000.0
2022-07-12,4323000.0
2022-07-11,4974000.0
2022-07-08,5560000.0
2022-07-07,5560000.0
2022-07-06,5018000.0
2022-07-05,6144000.0
2022-07-01,7354000.0
2022-06-30,5699000.0
2022-06-29,3975000.0
2022-06-28,3786000.0
2022-06-27,2524000.0
2022-06-24,2600000.0
2022-06-23,3021000.0
2022-06-22,2774000.0
2022-06-21,3281000.0
2022-06-17,4228000.0
2022-06-16,5048000.0
2022-06-15,5553000.0
2022-06-14,5300000.0
2022-06-13,5300000.0
2022-06-10,5805000.0
2022-06-09,5553000.0
2022-06-08,6310000.0
2022-06-07,6058000.0
2022-06-06,8077000.0
2022-06-03,7900000.0
2022-06-02,9591000.0
2022-06-01,10100000.0
2022-05-31,8329000.000000001
2022-05-27,11100000.0
2022-05-26,13630000.0
2022-05-25,12620000.0
2022-05-24,13880000.0
2022-05-23,13880000.0
2022-05-20,15140000.0
2022-05-19,8329000.000000001
2022-05-18,15140000.0
2022-05-17,17920000.0
2022-05-16,16410000.0
2022-05-13,15150000.0
2022-05-12,17630000.0
2022-05-11,16370000.000000002
2022-05-10,20020000.0
2022-05-09,23670000.0
2022-05-06,23680000.0
2022-05-05,16370000.000000002
2022-05-04,15620000.0
2022-05-03,17630000.0
2022-05-02,20650000.0
2022-04-29,24940000.0
