Date,Market Cap
2023-04-25,5200.0
2023-04-24,5200.0
2023-04-21,5200.0
2023-04-20,5200.0
2023-04-19,5200.0
2023-04-18,5200.0
2023-04-17,5200.0
2023-04-14,5200.0
2023-04-13,5200.0
2023-04-12,5200.0
2023-04-11,5200.0
2023-04-10,5200.0
2023-04-06,5200.0
2023-04-05,5200.0
2023-04-04,5200.0
2023-04-03,5200.0
2023-03-31,5200.0
2023-03-30,5200.0
2023-03-29,5200.0
2023-03-28,5200.0
2023-03-27,5200.0
2023-03-24,5200.0
2023-03-23,5200.0
2023-03-22,5200.0
2023-03-21,5200.0
2023-03-20,5200.0
2023-03-17,5200.0
2023-03-16,5200.0
2023-03-15,5200.0
2023-03-14,5200.0
2023-03-13,5200.0
2023-03-10,5200.0
2023-03-09,5200.0
2023-03-08,5200.0
2023-03-07,5200.0
2023-03-06,5200.0
2023-03-03,5200.0
2023-03-02,5200.0
2023-03-01,5200.0
2023-02-28,5200.0
2023-02-27,5200.0
2023-02-24,5200.0
2023-02-23,5200.0
2023-02-22,5200.0
2023-02-21,5200.0
2023-02-17,5200.0
2023-02-16,5200.0
2023-02-15,5200.0
2023-02-14,5200.0
2023-02-13,5200.0
2023-02-10,5200.0
2023-02-09,5200.0
2023-02-08,5200.0
2023-02-07,5200.0
2023-02-06,5200.0
2023-02-03,5200.0
2023-02-02,5200.0
2023-02-01,5200.0
2023-01-31,5200.0
2023-01-30,5200.0
2023-01-27,5200.0
2023-01-26,5200.0
2023-01-25,5200.0
2023-01-24,5200.0
2023-01-23,5200.0
2023-01-20,5200.0
2023-01-19,5200.0
2023-01-18,5200.0
2023-01-17,5200.0
2023-01-13,5200.0
2023-01-12,5200.0
2023-01-11,5200.0
2023-01-10,5200.0
2023-01-09,5200.0
2023-01-06,5200.0
2023-01-05,5200.0
2023-01-04,5200.0
2023-01-03,5200.0
2022-12-30,5200.0
2022-12-29,5200.0
2022-12-28,5200.0
2022-12-27,5200.0
2022-12-23,5200.0
2022-12-22,5200.0
2022-12-21,5200.0
2022-12-20,5200.0
2022-12-19,5200.0
2022-12-16,5200.0
2022-12-15,5200.0
2022-12-14,5200.0
2022-12-13,5200.0
2022-12-12,5200.0
2022-12-09,5200.0
2022-12-08,5200.0
2022-12-07,5200.0
