Date,Market Cap
2023-04-25,8935000000.0
2023-04-24,9130000000.0
2023-04-21,9326000000.0
2023-04-20,9317000000.0
2023-04-19,9441000000.0
2023-04-18,9372000000.0
2023-04-17,9571000000.0
2023-04-14,9509000000.0
2023-04-13,9689000000.0
2023-04-12,9545000000.0
2023-04-11,9568000000.0
2023-04-10,9441000000.0
2023-04-06,9241000000.0
2023-04-05,9261000000.0
2023-04-04,9003000000.0
2023-04-03,9170000000.0
2023-03-31,9173000000.0
2023-03-30,8912000000.0
2023-03-29,8755000000.0
2023-03-28,8637000000.0
2023-03-27,8663000000.0
2023-03-24,8454000000.000001
2023-03-23,8272000000.0
2023-03-22,8582000000.000001
2023-03-21,8967000000.0
2023-03-20,8775000000.0
2023-03-17,8569000000.000001
2023-03-16,8729000000.0
2023-03-15,8667000000.0
2023-03-14,8729000000.0
2023-03-13,8846000000.0
2023-03-10,8993000000.0
2023-03-09,9405000000.0
2023-03-08,9532000000.0
2023-03-07,9699000000.0
2023-03-06,10270000000.0
2023-03-03,10230000000.0
2023-03-02,10350000000.0
2023-03-01,10320000000.0
2023-02-28,10580000000.0
2023-02-27,10700000000.0
2023-02-24,10460000000.0
2023-02-23,10790000000.0
2023-02-22,10770000000.0
2023-02-21,10900000000.0
2023-02-17,11060000000.0
2023-02-16,11080000000.0
2023-02-15,11340000000.0
2023-02-14,11460000000.0
2023-02-13,11530000000.0
2023-02-10,11460000000.0
2023-02-09,11540000000.0
2023-02-08,11780000000.0
2023-02-07,11740000000.0
2023-02-06,11760000000.0
2023-02-03,12180000000.0
2023-02-02,12510000000.0
2023-02-01,13410000000.0
2023-01-31,13260000000.0
2023-01-30,13150000000.0
2023-01-27,13240000000.0
2023-01-26,13290000000.0
2023-01-25,13150000000.0
2023-01-24,13070000000.0
2023-01-23,13120000000.0
2023-01-20,13100000000.0
2023-01-19,13120000000.0
2023-01-18,13280000000.0
2023-01-17,13670000000.0
2023-01-13,13470000000.0
2023-01-12,13290000000.0
2023-01-11,13330000000.0
2023-01-10,13190000000.0
2023-01-09,13220000000.0
2023-01-06,13370000000.0
2023-01-05,13180000000.0
2023-01-04,13140000000.0
2023-01-03,12930000000.0
2022-12-30,12830000000.0
2022-12-29,12850000000.0
2022-12-28,12670000000.0
2022-12-27,12740000000.0
2022-12-23,12810000000.0
2022-12-22,12760000000.0
2022-12-21,12770000000.0
2022-12-20,12650000000.0
2022-12-19,12600000000.0
2022-12-16,12740000000.0
2022-12-15,12850000000.0
2022-12-14,13380000000.0
2022-12-13,13540000000.0
2022-12-12,13520000000.0
2022-12-09,13540000000.0
2022-12-08,13640000000.0
2022-12-07,13610000000.0
2022-12-06,13670000000.0
2022-12-05,13860000000.0
2022-12-02,14010000000.0
2022-12-01,14170000000.0
2022-11-30,14310000000.0
2022-11-29,14060000000.0
2022-11-28,14100000000.0
2022-11-25,14240000000.0
2022-11-23,14220000000.0
2022-11-22,14020000000.0
2022-11-21,13820000000.0
2022-11-18,13810000000.0
2022-11-17,14250000000.0
2022-11-16,14470000000.0
2022-11-15,14530000000.0
2022-11-14,14490000000.0
2022-11-11,14620000000.0
2022-11-10,14400000000.0
2022-11-09,14050000000.0
2022-11-08,14070000000.0
2022-11-07,13950000000.0
2022-11-04,13640000000.0
2022-11-03,13800000000.0
2022-11-02,13790000000.0
2022-11-01,13890000000.0
2022-10-31,13860000000.0
