Date,Market Cap
2023-04-25,8908000000.0
2023-04-24,9095000000.0
2023-04-21,9281000000.0
2023-04-20,9261000000.0
2023-04-19,9398000000.0
2023-04-18,9326000000.0
2023-04-17,9548000000.0
2023-04-14,9470000000.0
2023-04-13,9646000000.0
2023-04-12,9509000000.0
2023-04-11,9529000000.0
2023-04-10,9411000000.0
2023-04-06,9196000000.0
2023-04-05,9222000000.0
2023-04-04,8980000000.0
2023-04-03,9144000000.0
2023-03-31,9140000000.0
2023-03-30,8882000000.0
2023-03-29,8722000000.0
2023-03-28,8611000000.0
2023-03-27,8650000000.0
2023-03-24,8409000000.000001
2023-03-23,8255000000.000001
2023-03-22,8558999999.999999
2023-03-21,8938000000.0
2023-03-20,8719000000.0
2023-03-17,8552000000.0
2023-03-16,8696000000.0
2023-03-15,8644000000.0
2023-03-14,8709000000.0
2023-03-13,8817000000.0
2023-03-10,8967000000.0
2023-03-09,9382000000.0
2023-03-08,9493000000.0
2023-03-07,9692000000.0
2023-03-06,10220000000.0
2023-03-03,10190000000.0
2023-03-02,10320000000.0
2023-03-01,10290000000.0
2023-02-28,10520000000.0
2023-02-27,10680000000.0
2023-02-24,10450000000.0
2023-02-23,10780000000.0
2023-02-22,10760000000.0
2023-02-21,10860000000.0
2023-02-17,11050000000.0
2023-02-16,11050000000.0
2023-02-15,11320000000.0
2023-02-14,11440000000.0
2023-02-13,11480000000.0
2023-02-10,11400000000.0
2023-02-09,11480000000.0
2023-02-08,11720000000.0
2023-02-07,11680000000.0
2023-02-06,11670000000.0
2023-02-03,12100000000.0
2023-02-02,12450000000.0
2023-02-01,13360000000.0
2023-01-31,13160000000.0
2023-01-30,13100000000.0
2023-01-27,13190000000.0
2023-01-26,13250000000.0
2023-01-25,13120000000.0
2023-01-24,13050000000.0
2023-01-23,13070000000.0
2023-01-20,13060000000.0
2023-01-19,13040000000.0
2023-01-18,13200000000.0
2023-01-17,13610000000.0
2023-01-13,13450000000.0
2023-01-12,13280000000.0
2023-01-11,13280000000.0
2023-01-10,13170000000.0
2023-01-09,13180000000.0
2023-01-06,13320000000.0
2023-01-05,13130000000.0
2023-01-04,13110000000.0
2023-01-03,12880000000.0
2022-12-30,12770000000.0
2022-12-29,12840000000.0
2022-12-28,12640000000.0
2022-12-27,12700000000.0
2022-12-23,12780000000.0
2022-12-22,12730000000.0
2022-12-21,12740000000.0
2022-12-20,12590000000.0
2022-12-19,12570000000.0
2022-12-16,12690000000.0
2022-12-15,12790000000.0
2022-12-14,13320000000.0
2022-12-13,13510000000.0
2022-12-12,13490000000.0
2022-12-09,13500000000.0
2022-12-08,13610000000.0
2022-12-07,13560000000.0
2022-12-06,13640000000.0
2022-12-05,13830000000.0
2022-12-02,13990000000.0
2022-12-01,14130000000.0
2022-11-30,14310000000.0
2022-11-29,14000000000.0
2022-11-28,14030000000.0
2022-11-25,14180000000.0
2022-11-23,14160000000.0
2022-11-22,13990000000.0
2022-11-21,13750000000.0
2022-11-18,13700000000.0
2022-11-17,14160000000.0
2022-11-16,14450000000.0
2022-11-15,14500000000.0
2022-11-14,14430000000.0
2022-11-11,14590000000.0
2022-11-10,14370000000.0
2022-11-09,14010000000.0
2022-11-08,14040000000.0
2022-11-07,13910000000.0
2022-11-04,13600000000.0
2022-11-03,13720000000.0
2022-11-02,13730000000.0
2022-11-01,13830000000.0
2022-10-31,13770000000.0
2022-10-28,13920000000.0
2022-10-27,13680000000.0
2022-10-26,13690000000.0
2022-10-25,13810000000.0
2022-10-24,13710000000.0
2022-10-21,13570000000.0
2022-10-20,13220000000.0
2022-10-19,13190000000.0
2022-10-18,13370000000.0
2022-10-17,13270000000.0
2022-10-14,12820000000.0
2022-10-13,12840000000.0
2022-10-12,12580000000.0
2022-10-11,12750000000.0
2022-10-10,12860000000.0
2022-10-07,12840000000.0
2022-10-06,12970000000.0
2022-10-05,13060000000.0
2022-10-04,13020000000.0
2022-10-03,12580000000.0
2022-09-30,12310000000.0
2022-09-29,12230000000.0
2022-09-28,12390000000.0
2022-09-27,12150000000.0
2022-09-26,12150000000.0
2022-09-23,12270000000.0
2022-09-22,12730000000.0
2022-09-21,13030000000.0
2022-09-20,13130000000.0
2022-09-19,13260000000.0
2022-09-16,13200000000.0
2022-09-15,13390000000.0
2022-09-14,13490000000.0
2022-09-13,13500000000.0
2022-09-12,14020000000.0
2022-09-09,13830000000.0
2022-09-08,13440000000.0
2022-09-07,13340000000.0
2022-09-06,13100000000.0
2022-09-02,13460000000.0
2022-09-01,13460000000.0
2022-08-31,13510000000.0
2022-08-30,13540000000.0
2022-08-29,13680000000.0
2022-08-26,13780000000.0
2022-08-25,13960000000.0
2022-08-24,13800000000.0
2022-08-23,13800000000.0
2022-08-22,13930000000.0
2022-08-19,14020000000.0
2022-08-18,14320000000.0
2022-08-17,14480000000.0
2022-08-16,14660000000.0
2022-08-15,14700000000.0
2022-08-12,14560000000.0
2022-08-11,14300000000.0
2022-08-10,13930000000.0
2022-08-09,13520000000.0
2022-08-08,13550000000.0
2022-08-05,13380000000.0
2022-08-04,13540000000.0
2022-08-03,13420000000.0
2022-08-02,13140000000.0
2022-08-01,13120000000.0
2022-07-29,13040000000.0
2022-07-28,13020000000.0
2022-07-27,12870000000.0
2022-07-26,12850000000.0
2022-07-25,12900000000.0
2022-07-22,12910000000.0
2022-07-21,12990000000.0
2022-07-20,12730000000.0
2022-07-19,12340000000.0
2022-07-18,12010000000.0
2022-07-15,11970000000.0
2022-07-14,11740000000.0
2022-07-13,11970000000.0
2022-07-12,11850000000.0
2022-07-11,11800000000.0
2022-07-08,11990000000.0
2022-07-07,12150000000.0
2022-07-06,12100000000.0
2022-07-05,12160000000.0
2022-07-01,12060000000.0
2022-06-30,11800000000.0
2022-06-29,11900000000.0
2022-06-28,11850000000.0
2022-06-27,11980000000.0
2022-06-24,11880000000.0
2022-06-23,11620000000.0
2022-06-22,11470000000.0
2022-06-21,11630000000.0
2022-06-17,11720000000.0
2022-06-16,11510000000.0
2022-06-15,12060000000.0
2022-06-14,11920000000.0
2022-06-13,11950000000.0
2022-06-10,12640000000.0
2022-06-09,12940000000.0
2022-06-08,13150000000.0
2022-06-07,13310000000.0
2022-06-06,13450000000.0
2022-06-03,13380000000.0
2022-06-02,13510000000.0
2022-06-01,13500000000.0
2022-05-31,13530000000.0
2022-05-27,13670000000.0
2022-05-26,13540000000.0
2022-05-25,13400000000.0
2022-05-24,13120000000.0
2022-05-23,13260000000.0
2022-05-20,13170000000.0
2022-05-19,13260000000.0
2022-05-18,13020000000.0
2022-05-17,13240000000.0
2022-05-16,12820000000.0
2022-05-13,12980000000.0
2022-05-12,12990000000.0
2022-05-11,12860000000.0
2022-05-10,12770000000.0
2022-05-09,12660000000.0
2022-05-06,13240000000.0
2022-05-05,13820000000.0
2022-05-04,14050000000.0
2022-05-03,13800000000.0
2022-05-02,13850000000.0
2022-04-29,13790000000.0
2022-04-28,14110000000.0
2022-04-27,13770000000.0
2022-04-26,14180000000.0
2022-04-25,14430000000.0
2022-04-22,14450000000.0
2022-04-21,14630000000.0
2022-04-20,14800000000.0
2022-04-19,14920000000.0
2022-04-18,14630000000.0
2022-04-14,14930000000.0
2022-04-13,14990000000.0
2022-04-12,14830000000.0
2022-04-11,14740000000.0
2022-04-08,14670000000.0
2022-04-07,14680000000.0
2022-04-06,14760000000.0
2022-04-05,14940000000.0
2022-04-04,15180000000.0
2022-04-01,15100000000.0
2022-03-31,15070000000.0
2022-03-30,15340000000.0
2022-03-29,15340000000.0
2022-03-28,15340000000.0
2022-03-25,15470000000.0
2022-03-24,15380000000.0
2022-03-23,15120000000.0
2022-03-22,15300000000.0
