Date,Market Cap
2023-04-25,8100.0
2023-04-24,8100.0
2023-04-21,8100.0
2023-04-20,8100.0
2023-04-19,8100.0
2023-04-18,8100.0
2023-04-17,8100.0
2023-04-14,8100.0
2023-04-13,8100.0
2023-04-12,8100.0
2023-04-11,8100.0
2023-04-10,8100.0
2023-04-06,8100.0
2023-04-05,8100.0
2023-04-04,8100.0
2023-04-03,8100.0
2023-03-31,8100.0
2023-03-30,8100.0
2023-03-29,8100.0
2023-03-28,8100.0
2023-03-27,8100.0
2023-03-24,8100.0
2023-03-23,8100.0
2023-03-22,8100.0
2023-03-21,8100.0
2023-03-20,8100.0
2023-03-17,8100.0
2023-03-16,8100.0
2023-03-15,8100.0
2023-03-14,8100.0
2023-03-13,8100.0
2023-03-10,8100.0
2023-03-09,8100.0
2023-03-08,8100.0
2023-03-07,8100.0
2023-03-06,8100.0
2023-03-03,8100.0
2023-03-02,8100.0
2023-03-01,8100.0
2023-02-28,8100.0
2023-02-27,8100.0
2023-02-24,8100.0
2023-02-23,8100.0
2023-02-22,8100.0
2023-02-21,8100.0
2023-02-17,8100.0
2023-02-16,8100.0
2023-02-15,8100.0
2023-02-14,8100.0
2023-02-13,8100.0
2023-02-10,8100.0
2023-02-09,8100.0
2023-02-08,8100.0
2023-02-07,8100.0
2023-02-06,8100.0
2023-02-03,8100.0
2023-02-02,8100.0
2023-02-01,8100.0
2023-01-31,8100.0
2023-01-30,8100.0
2023-01-27,8100.0
2023-01-26,8100.0
2023-01-25,8100.0
2023-01-24,8100.0
2023-01-23,8100.0
2023-01-20,8100.0
2023-01-19,8100.0
2023-01-18,8100.0
2023-01-17,8100.0
2023-01-13,8100.0
2023-01-12,8100.0
2023-01-11,8100.0
2023-01-10,8100.0
2023-01-09,8100.0
2023-01-06,8100.0
2023-01-05,8100.0
2023-01-04,8100.0
2023-01-03,8100.0
2022-12-30,8100.0
2022-12-29,8100.0
2022-12-28,8100.0
2022-12-27,8100.0
2022-12-23,8100.0
2022-12-22,8100.0
2022-12-21,8100.0
2022-12-20,8100.0
2022-12-19,8100.0
2022-12-16,8100.0
2022-12-15,8100.0
2022-12-14,8100.0
2022-12-13,8100.0
2022-12-12,8100.0
2022-12-09,8100.0
2022-12-08,8100.0
2022-12-07,8100.0
2022-12-06,8100.0
2022-12-05,8100.0
2022-12-02,8100.0
2022-12-01,8100.0
2022-11-30,8100.0
2022-11-29,8100.0
2022-11-28,8100.0
2022-11-25,8100.0
2022-11-23,8100.0
2022-11-22,8100.0
2022-11-21,8100.0
2022-11-18,8100.0
2022-11-17,8100.0
2022-11-16,8100.0
2022-11-15,8100.0
2022-11-14,8100.0
2022-11-11,8100.0
2022-11-10,8100.0
2022-11-09,8100.0
2022-11-08,8100.0
2022-11-07,8100.0
2022-11-04,8100.0
2022-11-03,8100.0
2022-11-02,8100.0
2022-11-01,8100.0
2022-10-31,8100.0
2022-10-28,8100.0
2022-10-27,8100.0
2022-10-26,8100.0
2022-10-25,8100.0
2022-10-24,8100.0
2022-10-21,8100.0
2022-10-20,8100.0
2022-10-19,8100.0
2022-10-18,8100.0
2022-10-17,8100.0
2022-10-14,8100.0
2022-10-13,8100.0
2022-10-12,8100.0
2022-10-11,8100.0
2022-10-10,8100.0
2022-10-07,8100.0
2022-10-06,8100.0
2022-10-05,8100.0
2022-10-04,8100.0
2022-10-03,8100.0
2022-09-30,8100.0
2022-09-29,8100.0
2022-09-28,8100.0
2022-09-27,8100.0
2022-09-26,8100.0
2022-09-23,8100.0
2022-09-22,8100.0
2022-09-21,8100.0
2022-09-20,8100.0
2022-09-19,8100.0
2022-09-16,8100.0
2022-09-15,8100.0
2022-09-14,8100.0
2022-09-13,8100.0
2022-09-12,8100.0
