Date,Market Cap
2023-04-25,100.0
2023-04-24,200.0
2023-04-21,200.0
2023-04-20,200.0
2023-04-19,200.0
2023-04-18,200.0
2023-04-17,200.0
2023-04-14,200.0
2023-04-13,200.0
2023-04-12,200.0
2023-04-11,200.0
2023-04-10,200.0
2023-04-06,200.0
2023-04-05,200.0
2023-04-04,200.0
2023-04-03,200.0
2023-03-31,200.0
2023-03-30,200.0
2023-03-29,200.0
2023-03-28,200.0
2023-03-27,300.0
2023-03-24,300.0
2023-03-23,300.0
2023-03-22,300.0
2023-03-21,300.0
2023-03-20,300.0
2023-03-17,300.0
2023-03-16,300.0
2023-03-15,300.0
2023-03-14,300.0
2023-03-13,300.0
2023-03-10,200.0
2023-03-09,200.0
2023-03-08,200.0
2023-03-07,200.0
2023-03-06,200.0
2023-03-03,200.0
2023-03-02,200.0
2023-03-01,200.0
2023-02-28,200.0
2023-02-27,200.0
2023-02-24,200.0
2023-02-23,300.0
2023-02-22,300.0
2023-02-21,300.0
2023-02-17,300.0
2023-02-16,300.0
2023-02-15,300.0
2023-02-14,300.0
2023-02-13,300.0
2023-02-10,300.0
2023-02-09,400.0
2023-02-08,300.0
2023-02-07,300.0
2023-02-06,300.0
2023-02-03,300.0
2023-02-02,300.0
2023-02-01,300.0
2023-01-31,400.0
2023-01-30,400.0
2023-01-27,400.0
2023-01-26,300.0
2023-01-25,300.0
2023-01-24,300.0
2023-01-23,300.0
2023-01-20,300.0
2023-01-19,300.0
2023-01-18,300.0
2023-01-17,300.0
2023-01-13,300.0
2023-01-12,200.0
2023-01-11,300.0
2023-01-10,300.0
2023-01-09,300.0
2023-01-06,300.0
2023-01-05,300.0
2023-01-04,300.0
2023-01-03,300.0
2022-12-30,300.0
2022-12-29,300.0
2022-12-28,300.0
2022-12-27,300.0
2022-12-23,300.0
2022-12-22,300.0
2022-12-21,300.0
2022-12-20,300.0
2022-12-19,300.0
2022-12-16,300.0
2022-12-15,300.0
2022-12-14,300.0
2022-12-13,300.0
2022-12-12,300.0
2022-12-09,200.0
2022-12-08,300.0
2022-12-07,300.0
2022-12-06,300.0
2022-12-05,300.0
2022-12-02,300.0
2022-12-01,300.0
2022-11-30,300.0
2022-11-29,300.0
2022-11-28,300.0
2022-11-25,300.0
2022-11-23,300.0
2022-11-22,300.0
2022-11-21,200.0
2022-11-18,300.0
2022-11-17,200.0
2022-11-16,200.0
2022-11-15,200.0
2022-11-14,200.0
2022-11-11,300.0
2022-11-10,300.0
2022-11-09,200.0
2022-11-08,200.0
2022-11-07,300.0
2022-11-04,300.0
2022-11-03,300.0
2022-11-02,300.0
2022-11-01,200.0
2022-10-31,200.0
2022-10-28,200.0
2022-10-27,200.0
2022-10-26,200.0
2022-10-25,200.0
2022-10-24,200.0
2022-10-21,200.0
2022-10-20,200.0
2022-10-19,200.0
2022-10-18,200.0
2022-10-17,200.0
2022-10-14,200.0
2022-10-13,200.0
2022-10-12,200.0
2022-10-11,200.0
2022-10-10,200.0
2022-10-07,200.0
2022-10-06,200.0
2022-10-05,200.0
2022-10-04,200.0
2022-10-03,200.0
2022-09-30,200.0
2022-09-29,200.0
2022-09-28,200.0
2022-09-27,200.0
2022-09-26,200.0
2022-09-23,200.0
