Date,Market Cap
2023-04-26,688800.0
2023-04-25,688800.0
2023-04-24,679700.0
2023-04-21,734800.0
2023-04-20,642900.0
2023-04-19,649400.0
2023-04-18,649400.0
2023-04-17,649400.0
2023-04-14,698000.0
2023-04-13,702600.0
2023-04-12,698000.0
2023-04-11,870200.0
2023-04-10,868000.0
2023-04-06,785300.0
2023-04-05,704900.0
2023-04-04,704900.0
2023-04-03,783000.0
2023-03-31,822000.0
2023-03-30,746300.0
2023-03-29,794500.0
2023-03-28,702600.0
2023-03-27,702600.0
2023-03-24,780700.0
2023-03-23,780700.0
2023-03-22,780700.0
2023-03-21,794500.0
2023-03-20,693400.0
2023-03-17,918500.0
2023-03-16,688800.0
2023-03-15,688800.0
2023-03-14,803700.0
2023-03-13,688800.0
2023-03-10,803700.0
2023-03-09,688800.0
2023-03-08,688800.0
2023-03-07,711800.0
2023-03-06,713200.0
2023-03-03,872500.0
2023-03-02,918500.0
2023-03-01,675100.0
2023-02-28,665900.0
2023-02-27,826600.0
2023-02-24,780700.0
2023-02-23,780700.0
2023-02-22,688800.0
2023-02-21,886300.0
2023-02-17,789900.0
2023-02-16,688800.0
2023-02-15,688800.0
2023-02-14,688800.0
2023-02-13,890900.0
2023-02-10,803700.0
2023-02-09,803700.0
2023-02-08,803700.0
2023-02-07,688800.0
2023-02-06,872500.0
2023-02-03,780700.0
2023-02-02,872500.0
2023-02-01,688800.0
2023-01-31,918500.0
2023-01-30,642900.0
2023-01-27,642900.0
2023-01-26,642900.0
2023-01-25,688800.0
2023-01-24,691100.0
2023-01-23,688800.0
2023-01-20,688800.0
2023-01-19,661300.0
2023-01-18,574000.0
2023-01-17,574000.0
2023-01-13,454600.0
2023-01-12,367400.0
2023-01-11,367400.0
2023-01-10,344400.0
2023-01-09,459200.0
2023-01-06,459200.0
2023-01-05,459200.0
2023-01-04,459200.0
2023-01-03,459200.0
2022-12-30,459200.0
2022-12-29,459200.0
2022-12-28,394900.0
2022-12-27,459200.0
2022-12-23,459200.0
2022-12-22,468400.0
2022-12-21,459200.0
2022-12-20,631400.0
2022-12-19,803700.0
2022-12-16,642900.0
2022-12-15,913900.0
2022-12-14,913900.0
2022-12-13,734800.0
2022-12-12,734800.0
2022-12-09,872500.0
2022-12-08,1010000.0
2022-12-07,918500.0
2022-12-06,923100.0
2022-12-05,1137000.0
2022-12-02,927700.0
2022-12-01,1240000.0
2022-11-30,1056000.0
2022-11-29,1010000.0
2022-11-28,1010000.0
2022-11-25,964400.0
2022-11-23,1010000.0
2022-11-22,1030999.9999999999
2022-11-21,1162000.0
2022-11-18,1010000.0
2022-11-17,1010000.0
2022-11-16,1323000.0
2022-11-15,1332000.0
2022-11-14,1240000.0
2022-11-11,1148000.0
2022-11-10,1148000.0
2022-11-09,1148000.0
