Date,Market Cap
2023-04-25,2057999.9999999998
2023-04-24,2057999.9999999998
2023-04-21,2170000.0
2023-04-20,2469000.0
2023-04-19,2245000.0
2023-04-18,2132000.0
2023-04-17,2207000.0
2023-04-14,2469000.0
2023-04-13,2207000.0
2023-04-12,2245000.0
2023-04-11,2207000.0
2023-04-10,2057999.9999999998
2023-04-06,2507000.0
2023-04-05,2507000.0
2023-04-04,2507000.0
2023-04-03,2432000.0
2023-03-31,2432000.0
2023-03-30,2132000.0
2023-03-29,2020000.0
2023-03-28,1946000.0
2023-03-27,2394000.0
2023-03-24,2432000.0
2023-03-23,2357000.0
2023-03-22,2320000.0
2023-03-21,2282000.0
2023-03-20,2357000.0
2023-03-17,2469000.0
2023-03-16,2357000.0
2023-03-15,2881000.0
2023-03-14,2881000.0
2023-03-13,2918000.0
2023-03-10,3218000.0
2023-03-09,3292000.0
2023-03-08,2918000.0
2023-03-07,2918000.0
2023-03-06,2956000.0
2023-03-03,2918000.0
2023-03-02,2956000.0
2023-03-01,3030000.0
2023-02-28,2768000.0
2023-02-27,2768000.0
2023-02-24,3405000.0
2023-02-23,2768000.0
2023-02-22,2993000.0
2023-02-21,3180000.0
2023-02-17,2881000.0
2023-02-16,3330000.0
2023-02-15,3180000.0
2023-02-14,2694000.0
2023-02-13,3367000.0
2023-02-10,3143000.0
2023-02-09,2881000.0
2023-02-08,2881000.0
2023-02-07,2881000.0
2023-02-06,2918000.0
2023-02-03,2918000.0
2023-02-02,3180000.0
2023-02-01,2694000.0
2023-01-31,2881000.0
2023-01-30,3367000.0
2023-01-27,4152999.9999999995
2023-01-26,4152999.9999999995
2023-01-25,4265000.0
2023-01-24,3741000.0
2023-01-23,4265000.0
2023-01-20,4452000.0
2023-01-19,4190000.0000000005
2023-01-18,4490000.0
2023-01-17,4340000.0
2023-01-13,4115000.0
2023-01-12,4152999.9999999995
2023-01-11,3816000.0
2023-01-10,4490000.0
2023-01-09,4415000.0
2023-01-06,4789000.0
2023-01-05,4490000.0
2023-01-04,4826000.0
2023-01-03,4302000.0
2022-12-30,4490000.0
2022-12-29,4789000.0
2022-12-28,4938000.0
2022-12-27,4677000.0
2022-12-23,5200000.0
2022-12-22,5574000.0
2022-12-21,5612000.0
2022-12-20,5949000.0
2022-12-19,5612000.0
2022-12-16,5911000.0
2022-12-15,5986000.0
2022-12-14,6173000.0
2022-12-13,5724000.0
2022-12-12,5425000.0
2022-12-09,5762000.0
2022-12-08,5612000.0
2022-12-07,5986000.0
