Date,Market Cap
2023-04-25,2998000.0
2023-04-24,3046000.0
2023-04-21,2522000.0
2023-04-20,2474000.0
2023-04-19,2570000.0
2023-04-18,2570000.0
2023-04-17,2760000.0
2023-04-14,2855000.0
2023-04-13,2855000.0
2023-04-12,3046000.0
2023-04-11,3046000.0
2023-04-10,2712000.0
2023-04-06,2760000.0
2023-04-05,2831000.0
2023-04-04,2546000.0
2023-04-03,2808000.0
2023-03-31,2998000.0
2023-03-30,2427000.0
2023-03-29,2570000.0
2023-03-28,2237000.0
2023-03-27,2760000.0
2023-03-24,2760000.0
2023-03-23,2665000.0
2023-03-22,2760000.0
2023-03-21,2760000.0
2023-03-20,2189000.0
2023-03-17,1999000.0
2023-03-16,1713000.0
2023-03-15,1808000.0
2023-03-14,1808000.0
2023-03-13,2045999.9999999998
2023-03-10,1880000.0
2023-03-09,1618000.0
2023-03-08,1594000.0
2023-03-07,1618000.0
2023-03-06,1618000.0
2023-03-03,1761000.0
2023-03-02,1951000.0
2023-03-01,1951000.0
2023-02-28,2093999.9999999998
2023-02-27,1904000.0
2023-02-24,2093999.9999999998
2023-02-23,1999000.0
2023-02-22,2165000.0
2023-02-21,2141000.0
2023-02-17,2045999.9999999998
2023-02-16,2141000.0
2023-02-15,1904000.0
2023-02-14,1761000.0
2023-02-13,2069999.9999999998
2023-02-10,1904000.0
2023-02-09,1808000.0
2023-02-08,2141000.0
2023-02-07,2379000.0
2023-02-06,1761000.0
2023-02-03,1332000.0
2023-02-02,1285000.0
2023-02-01,1142000.0
2023-01-31,1142000.0
2023-01-30,1332000.0
2023-01-27,1237000.0
2023-01-26,1380000.0
2023-01-25,1380000.0
2023-01-24,1380000.0
2023-01-23,1285000.0
2023-01-20,1309000.0
2023-01-19,1190000.0
2023-01-18,1332000.0
2023-01-17,1356000.0
2023-01-13,1380000.0
2023-01-12,1142000.0
2023-01-11,1142000.0
2023-01-10,1190000.0
2023-01-09,1214000.0
2023-01-06,1094000.0
2023-01-05,1142000.0
2023-01-04,1142000.0
2023-01-03,1094000.0
2022-12-30,1142000.0
2022-12-29,1142000.0
2022-12-28,999300.0
2022-12-27,1046999.9999999999
2022-12-23,1380000.0
2022-12-22,1285000.0
2022-12-21,1190000.0
2022-12-20,1428000.0
2022-12-19,1190000.0
2022-12-16,1523000.0
2022-12-15,1475000.0
2022-12-14,1309000.0
2022-12-13,1237000.0
2022-12-12,1404000.0
2022-12-09,1285000.0
2022-12-08,1347000.0
2022-12-07,1332000.0
2022-12-06,1523000.0
2022-12-05,1523000.0
2022-12-02,1428000.0
2022-12-01,1475000.0
2022-11-30,1309000.0
2022-11-29,1209000.0
2022-11-28,1380000.0
2022-11-25,1332000.0
2022-11-23,1332000.0
2022-11-22,1304000.0
2022-11-21,1428000.0
2022-11-18,1332000.0
2022-11-17,1285000.0
2022-11-16,1285000.0
2022-11-15,1404000.0
2022-11-14,1428000.0
2022-11-11,1332000.0
2022-11-10,1332000.0
2022-11-09,1237000.0
2022-11-08,1285000.0
2022-11-07,1380000.0
2022-11-04,1380000.0
2022-11-03,1237000.0
2022-11-02,1190000.0
2022-11-01,1237000.0
2022-10-31,1190000.0
2022-10-28,1190000.0
2022-10-27,1380000.0
2022-10-26,1380000.0
2022-10-25,1352000.0
2022-10-24,1285000.0
2022-10-21,1237000.0
2022-10-20,1356000.0
2022-10-19,1570000.0
2022-10-18,1570000.0
2022-10-17,1475000.0
2022-10-14,1475000.0
2022-10-13,1237000.0
2022-10-12,1475000.0
2022-10-11,1285000.0
2022-10-10,1380000.0
2022-10-07,1499000.0
2022-10-06,1666000.0
2022-10-05,1856000.0
2022-10-04,1951000.0
2022-10-03,2093999.9999999998
2022-09-30,1951000.0
2022-09-29,1999000.0
2022-09-28,2021999.9999999998
2022-09-27,1880000.0
2022-09-26,1856000.0
2022-09-23,2237000.0
2022-09-22,1713000.0
2022-09-21,2474000.0
2022-09-20,2617000.0
2022-09-19,2641000.0
2022-09-16,2594000.0
2022-09-15,2546000.0
