Date,Market Cap
2023-04-26,0.0
2023-04-25,0.0
2023-04-24,0.0
2023-04-21,0.0
2023-04-20,0.0
2023-04-19,0.0
2023-04-18,0.0
2023-04-17,0.0
2023-04-14,0.0
2023-04-13,0.0
2023-04-12,0.0
2023-04-11,0.0
2023-04-10,0.0
2023-04-06,0.0
2023-04-05,0.0
2023-04-04,0.0
2023-04-03,0.0
2023-03-31,0.0
2023-03-30,0.0
2023-03-29,0.0
2023-03-28,0.0
2023-03-27,0.0
2023-03-24,0.0
2023-03-23,0.0
2023-03-22,0.0
2023-03-21,0.0
2023-03-20,0.0
2023-03-17,0.0
2023-03-16,0.0
2023-03-15,0.0
2023-03-14,0.0
2023-03-13,0.0
2023-03-10,0.0
2023-03-09,0.0
2023-03-08,0.0
2023-03-07,0.0
2023-03-06,0.0
2023-03-03,0.0
2023-03-02,0.0
2023-03-01,0.0
2023-02-28,0.0
2023-02-27,0.0
2023-02-24,0.0
2023-02-23,0.0
2023-02-22,0.0
2023-02-21,0.0
2023-02-17,0.0
2023-02-16,0.0
2023-02-15,0.0
2023-02-14,0.0
2023-02-13,0.0
2023-02-10,0.0
2023-02-09,0.0
2023-02-08,0.0
2023-02-07,0.0
2023-02-06,0.0
2023-02-03,0.0
2023-02-02,0.0
2023-02-01,0.0
2023-01-31,0.0
2023-01-30,0.0
2023-01-27,0.0
2023-01-26,0.0
2023-01-25,0.0
2023-01-24,0.0
2023-01-23,0.0
2023-01-20,0.0
2023-01-19,0.0
2023-01-18,0.0
2023-01-17,0.0
2023-01-13,0.0
2023-01-12,0.0
2023-01-11,0.0
2023-01-10,0.0
2023-01-09,0.0
2023-01-06,0.0
2023-01-05,0.0
2023-01-04,0.0
2023-01-03,0.0
2022-12-30,0.0
2022-12-29,0.0
2022-12-28,0.0
2022-12-27,0.0
2022-12-23,0.0
2022-12-22,0.0
2022-12-21,0.0
2022-12-20,0.0
2022-12-19,0.0
2022-12-16,0.0
2022-12-15,0.0
2022-12-14,0.0
2022-12-13,0.0
2022-12-12,0.0
2022-12-09,0.0
2022-12-08,0.0
2022-12-07,0.0
2022-12-06,0.0
2022-12-05,0.0
2022-12-02,0.0
2022-12-01,0.0
2022-11-30,0.0
2022-11-29,0.0
2022-11-28,0.0
2022-11-25,0.0
2022-11-22,0.0
2022-11-21,0.0
2022-11-18,0.0
2022-11-17,0.0
2022-11-16,0.0
2022-11-15,0.0
2022-11-14,0.0
2022-11-11,0.0
2022-11-10,0.0
2022-11-09,0.0
2022-11-08,0.0
2022-11-07,0.0
2022-11-04,0.0
2022-11-03,0.0
2022-11-02,0.0
2022-11-01,0.0
2022-10-04,0.0
2022-10-03,0.0
2022-09-30,0.0
2022-09-29,0.0
2022-09-28,0.0
2022-09-27,0.0
2022-09-26,0.0
2022-09-23,0.0
2022-09-22,0.0
2022-09-21,0.0
2022-09-20,0.0
2022-09-19,0.0
2022-09-16,0.0
2022-09-15,0.0
2022-09-14,0.0
2022-09-13,0.0
2022-01-24,0.0
2022-01-21,0.0
2022-01-20,0.0
2022-01-19,0.0
2022-01-18,0.0
2022-01-14,0.0
2022-01-13,0.0
2022-01-12,0.0
2022-01-11,0.0
2022-01-10,0.0
2022-01-07,0.0
2022-01-06,0.0
2022-01-05,0.0
2022-01-04,0.0
2022-01-03,0.0
2021-12-31,0.0
2021-12-09,600.0
2021-12-08,600.0
2021-12-07,600.0
2021-12-06,600.0
2021-12-03,600.0
2021-12-02,600.0
2021-12-01,600.0
2021-11-30,600.0
2021-11-29,600.0
2021-11-26,600.0
2021-11-24,600.0
2021-11-23,600.0
2021-11-22,600.0
2021-11-19,600.0
2021-11-18,600.0
2021-11-17,600.0
2021-11-16,600.0
2021-11-15,600.0
2021-11-12,600.0
2021-11-11,600.0
2021-11-10,600.0
2021-11-09,600.0
2021-11-08,600.0
2021-11-05,600.0
2021-11-04,600.0
2021-11-03,600.0
2021-11-02,600.0
2021-11-01,600.0
2021-10-28,600.0
2021-10-27,600.0
2021-10-26,600.0
2021-10-25,600.0
2021-10-22,600.0
2021-10-21,600.0
2021-10-20,600.0
2021-10-19,600.0
2021-10-18,600.0
2021-10-15,600.0
2021-10-14,600.0
2021-10-13,600.0
2021-10-12,600.0
2021-10-11,600.0
2021-10-08,600.0
2021-10-07,600.0
2021-10-06,600.0
2021-10-05,600.0
2021-10-04,600.0
2021-10-01,600.0
2021-09-30,600.0
2021-09-29,600.0
2021-09-28,600.0
2021-09-27,600.0
2021-09-24,600.0
2021-09-23,600.0
2021-09-22,600.0
2021-09-21,600.0
2021-09-20,600.0
2021-09-17,600.0
2021-09-16,600.0
2021-09-15,600.0
2021-09-14,600.0
2021-09-13,600.0
2021-09-10,600.0
2021-09-09,600.0
2021-09-08,600.0
2021-09-07,600.0
2021-09-03,600.0
2021-09-02,600.0
2021-09-01,600.0
2021-08-31,600.0
2021-08-30,600.0
2021-08-27,600.0
2021-08-26,600.0
2021-08-25,600.0
2021-08-24,600.0
2021-08-23,600.0
2021-08-20,600.0
2021-08-19,600.0
2021-08-18,600.0
2021-08-17,600.0
2021-08-16,600.0
2021-08-13,600.0
2021-08-12,600.0
2021-08-11,600.0
2021-08-10,600.0
2021-08-09,600.0
2021-08-06,600.0
2021-08-05,600.0
2021-08-04,600.0
2021-08-03,600.0
2021-08-02,600.0
2021-07-30,600.0
2021-07-29,600.0
2021-07-28,600.0
2021-07-27,600.0
2021-07-26,600.0
2021-07-23,600.0
2021-07-22,600.0
2021-07-21,600.0
2021-07-20,600.0
2021-07-19,600.0
2021-07-16,600.0
2021-07-15,600.0
2021-07-14,600.0
2021-07-08,600.0
2021-07-07,600.0
2021-07-06,600.0
2021-07-02,600.0
2021-07-01,600.0
2021-06-30,600.0
2021-06-29,600.0
2021-06-28,600.0
2021-06-25,600.0
2021-06-24,600.0
2021-06-23,600.0
2021-06-22,600.0
2021-06-21,600.0
2021-06-18,600.0
