Date,Market Cap
2023-04-25,286600.0
2023-04-24,286600.0
2023-04-21,278300.0
2023-04-20,261700.0
2023-04-19,247100.0
2023-04-18,286600.0
2023-04-17,203500.0
2023-04-14,203500.0
2023-04-13,249200.0
2023-04-12,228400.0
2023-04-11,207700.0
2023-04-10,207700.0
2023-04-06,249200.0
2023-04-05,224300.0
2023-04-04,228400.0
2023-04-03,232600.0
2023-03-31,232600.0
2023-03-30,249200.0
2023-03-29,249200.0
2023-03-28,249200.0
2023-03-27,249200.0
2023-03-24,267900.0
2023-03-23,290700.0
2023-03-22,290700.0
2023-03-21,332300.0
2023-03-20,332300.0
2023-03-17,290700.0
2023-03-16,332300.0
2023-03-15,302400.0
2023-03-14,286600.0
2023-03-13,315700.0
2023-03-10,294900.0
2023-03-09,332300.0
2023-03-08,313600.0
2023-03-07,332300.0
2023-03-06,297800.0
2023-03-03,313600.0
2023-03-02,294900.0
2023-03-01,313600.0
2023-02-28,311500.0
2023-02-27,311500.0
2023-02-24,311500.0
2023-02-23,311500.0
2023-02-22,282400.0
2023-02-21,282400.0
2023-02-17,330200.0
2023-02-16,330200.0
2023-02-15,340600.0
2023-02-14,330200.0
2023-02-13,313600.0
2023-02-10,353000.0
2023-02-09,353000.0
2023-02-08,311500.0
2023-02-07,282400.0
2023-02-06,285300.0
2023-02-03,290700.0
2023-02-02,303200.0
2023-02-01,304400.0
2023-01-31,304400.0
2023-01-30,348900.0
2023-01-27,282400.0
2023-01-26,290700.0
2023-01-25,282400.0
2023-01-24,357200.0
2023-01-23,293600.0
2023-01-20,369700.0
2023-01-19,369700.0
2023-01-18,332300.0
2023-01-17,311500.0
2023-01-13,311500.0
2023-01-12,311500.0
2023-01-11,311500.0
2023-01-10,311500.0
2023-01-09,311500.0
2023-01-06,340600.0
2023-01-05,330200.0
2023-01-04,311500.0
2023-01-03,265800.0
2022-12-30,290700.0
2022-12-29,311500.0
2022-12-28,290700.0
2022-12-27,311500.0
2022-12-23,332300.0
2022-12-22,280400.0
2022-12-21,270000.0
2022-12-20,270000.0
2022-12-19,332300.0
2022-12-16,311500.0
2022-12-15,328100.0
2022-12-14,328100.0
2022-12-13,294900.0
2022-12-12,324000.0
2022-12-09,324000.0
2022-12-08,324000.0
2022-12-07,324000.0
2022-12-06,324000.0
2022-12-05,324000.0
2022-12-02,338500.0
2022-12-01,324000.0
2022-11-30,332300.0
2022-11-29,319800.0
2022-11-28,332300.0
2022-11-25,290700.0
2022-11-23,344700.0
2022-11-22,342700.0
2022-11-21,301100.0
2022-11-18,332300.0
2022-11-17,313600.0
2022-11-16,290700.0
2022-11-15,311500.0
2022-11-14,321900.0
2022-11-11,321900.0
2022-11-10,321900.0
2022-11-09,351000.0
2022-11-08,332300.0
2022-11-07,357200.0
2022-11-04,324000.0
2022-11-03,303200.0
2022-11-02,290700.0
2022-11-01,290700.0
2022-10-31,311500.0
2022-10-28,290700.0
2022-10-27,297000.0
2022-10-26,348900.0
2022-10-25,369700.0
2022-10-24,353000.0
2022-10-21,319800.0
2022-10-20,319800.0
2022-10-19,319800.0
2022-10-18,332300.0
2022-10-17,336400.0
2022-10-14,332300.0
2022-10-13,332300.0
2022-10-12,348900.0
2022-10-11,348900.0
2022-10-10,402900.0
2022-10-07,390400.0
2022-10-06,363400.0
2022-10-05,411200.0
2022-10-04,382100.0
2022-10-03,382100.0
2022-09-30,386300.0
2022-09-29,369700.0
2022-09-28,332300.0
2022-09-27,290700.0
2022-09-26,332300.0
2022-09-23,332300.0
2022-09-22,359300.0
2022-09-21,359300.0
2022-09-20,373800.0
2022-09-19,394600.0
2022-09-16,373800.0
2022-09-15,373800.0
2022-09-14,373800.0
2022-09-13,375900.0
2022-09-12,398700.0
2022-09-09,398700.0
2022-09-08,398700.0
2022-09-07,398700.0
2022-09-06,373800.0
2022-09-02,361400.0
2022-09-01,353000.0
2022-08-31,384200.0
2022-08-30,373800.0
2022-08-29,373800.0
2022-08-26,415300.0
2022-08-25,415300.0
2022-08-24,373800.0
2022-08-23,415300.0
2022-08-22,394600.0
2022-08-19,415300.0
2022-08-18,421600.0
2022-08-17,444400.0
2022-08-16,446500.0
2022-08-15,494300.0
2022-08-12,448600.0
2022-08-11,436100.0
2022-08-10,419500.0
2022-08-09,423700.0
2022-08-08,396700.0
2022-08-05,423700.0
2022-08-04,436100.0
2022-08-03,415300.0
2022-08-02,398700.0
2022-08-01,415300.0
2022-07-29,444400.0
2022-07-28,415300.0
2022-07-27,415300.0
2022-07-26,456900.0
2022-07-25,542000.0
2022-07-22,539900.0
2022-07-21,706100.0
2022-07-20,643800.0
2022-07-19,581500.0
2022-07-18,631300.0
2022-07-15,498400.0
2022-07-14,382100.0
2022-07-13,382100.0
2022-07-12,394600.0
2022-07-11,369700.0
2022-07-08,394600.0
2022-07-07,394600.0
2022-07-06,384200.0
2022-07-05,452700.0
2022-07-01,415300.0
2022-06-30,382100.0
2022-06-29,415300.0
2022-06-28,456900.0
2022-06-27,452700.0
2022-06-24,344700.0
2022-06-23,348900.0
2022-06-22,371700.0
2022-06-21,373800.0
2022-06-17,371700.0
2022-06-16,371700.0
