Date,Market Cap
2023-04-25,789000.0
2023-04-24,736400.0
2023-04-21,631200.0
2023-04-20,631200.0
2023-04-19,596100.0
2023-04-18,701300.0
2023-04-17,806500.0
2023-04-14,561100.0
2023-04-13,596100.0
2023-04-12,385700.0
2023-04-11,596100.0
2023-04-10,666300.0
2023-04-06,666300.0
2023-04-05,596100.0
2023-04-04,599700.0
2023-04-03,666300.0
2023-03-31,666300.0
2023-03-30,736400.0
2023-03-29,701300.0
2023-03-28,701300.0
2023-03-27,753900.0
2023-03-24,701300.0
2023-03-23,806500.0
2023-03-22,771500.0
2023-03-21,736400.0
2023-03-20,701300.0
2023-03-17,718900.0
2023-03-16,750400.0
2023-03-15,806500.0
2023-03-14,841600.0
2023-03-13,1052000.0
2023-03-10,981900.0
2023-03-09,771500.0
2023-03-08,841600.0
2023-03-07,806500.0
2023-03-06,841600.0
2023-03-03,911700.0
2023-03-02,887200.0
2023-03-01,911700.0
2023-02-28,1052000.0
2023-02-27,1052000.0
2023-02-24,1052000.0
2023-02-23,1157000.0
2023-02-22,1227000.0
2023-02-21,1192000.0
2023-02-17,1312000.0
2023-02-16,1508000.0
2023-02-15,1929000.0
2023-02-14,1753000.0
2023-02-13,1473000.0
2023-02-10,1403000.0
2023-02-09,1438000.0
2023-02-08,1929000.0
2023-02-07,2314000.0
2023-02-06,1929000.0
2023-02-03,1964000.0
2023-02-02,2104000.0
2023-02-01,1964000.0
2023-01-31,1929000.0
2023-01-30,2033999.9999999998
2023-01-27,2279000.0
2023-01-26,2409000.0
2023-01-25,2420000.0
2023-01-24,2946000.0
2023-01-23,3086000.0
2023-01-20,3033000.0
2023-01-19,2805000.0
2023-01-18,3086000.0
2023-01-17,3156000.0
2023-01-13,3156000.0
2023-01-12,3331000.0
2023-01-11,3331000.0
2023-01-10,3402000.0
2023-01-09,3647000.0
2023-01-06,3507000.0
2023-01-05,3507000.0
2023-01-04,3857000.0
2023-01-03,3928000.0
2022-12-30,3682000.0
2022-12-29,3507000.0
2022-12-28,3507000.0
2022-12-27,3857000.0
2022-12-23,3682000.0
2022-12-22,3507000.0
2022-12-21,3507000.0
2022-12-20,3507000.0
2022-12-19,3682000.0
2022-12-16,3626000.0
2022-12-15,3626000.0
2022-12-14,3756000.0
2022-12-13,3717000.0
2022-12-12,3857000.0
2022-12-09,3857000.0
2022-12-08,3801000.0
2022-12-07,3661000.0
2022-12-06,4033000.0000000005
2022-12-05,3963000.0
2022-12-02,3507000.0
2022-12-01,3454000.0
2022-11-30,3857000.0
2022-11-29,3945000.0
2022-11-28,4110000.0000000005
2022-11-25,4033000.0000000005
2022-11-23,3998000.0
2022-11-22,4208000.0
2022-11-21,3868000.0
2022-11-18,4208000.0
2022-11-17,3727000.0
2022-11-16,3394000.0
2022-11-15,3994000.0
2022-11-14,4659000.0
2022-11-11,4493000.0
2022-11-10,4539000.0
2022-11-09,4326000.0
2022-11-08,3461000.0
2022-11-07,3994000.0
2022-11-04,3810000.0
2022-11-03,3474000.0
2022-11-02,3361000.0
2022-11-01,3608000.0
2022-10-31,3608000.0
2022-10-28,3761000.0
2022-10-27,3508000.0
2022-10-26,3627000.0
2022-10-25,3627000.0
2022-10-24,3770000.0
2022-10-21,3994000.0
2022-10-20,3994000.0
2022-10-19,3704000.0
2022-10-18,4062999.9999999995
2022-10-17,4059999.9999999995
2022-10-14,4034000.0
2022-10-13,3860000.0
2022-10-12,4260000.0
2022-10-11,4093000.0
2022-10-10,4160000.0
2022-10-07,3900000.0
2022-10-06,4493000.0
2022-10-05,3954000.0
2022-10-04,3574000.0
2022-10-03,3328000.0
2022-09-30,3328000.0
2022-09-29,3488000.0
2022-09-28,3679000.0
2022-09-27,3488000.0
2022-09-26,3330000.0
2022-09-23,3330000.0
2022-09-22,3477000.0
2022-09-21,3540000.0
2022-09-20,3540000.0
2022-09-19,3477000.0
2022-09-16,4268000.0
2022-09-15,3983000.0
2022-09-14,5184000.0
2022-09-13,5406000.0
2022-09-12,5342000.0
2022-09-09,5058000.0
2022-09-08,5911000.0
2022-09-07,5500000.0
2022-09-06,5500000.0
2022-09-02,6069000.0
2022-09-01,5674000.0
2022-08-31,5816000.0
2022-08-30,5690000.0
2022-08-29,6006000.0
2022-08-26,6765000.0
2022-08-25,6638000.0
2022-08-24,6575000.0
2022-08-23,6705000.0
2022-08-22,6670000.0
2022-08-19,7049000.0
2022-08-18,7049000.0
2022-08-17,7239000.0
2022-08-16,7618000.0
2022-08-15,7018000.0
2022-08-12,6607000.0
2022-08-11,7270000.0
2022-08-10,7618000.0
2022-08-09,8377000.000000001
2022-08-08,7587000.0
2022-08-05,9483000.0
2022-08-04,10120000.0
2022-08-03,6638000.0
2022-08-02,6322000.0
2022-08-01,6227000.0
2022-07-29,5026000.0
2022-07-28,5042000.0
2022-07-27,5058000.0
2022-07-26,5247000.0
2022-07-25,5358000.0
2022-07-22,5406000.0
2022-07-21,5943000.0
2022-07-20,5816000.0
2022-07-19,6291000.0
2022-07-18,6544000.0
2022-07-15,6449000.0
2022-07-14,5690000.0
2022-07-13,5722000.0
2022-07-12,6006000.0
2022-07-11,6227000.0
2022-07-08,6575000.0
2022-07-07,6954000.0
2022-07-06,7375000.0
2022-07-05,6512000.0
2022-07-01,8124000.000000001
2022-06-30,6006000.0
2022-06-29,6516000.0
