Date,Market Cap
2023-04-25,259500.0
2023-04-24,296600.0
2023-04-21,296600.0
2023-04-20,222400.0
2023-04-19,222400.0
2023-04-18,222400.0
2023-04-17,222400.0
2023-04-14,185400.0
2023-04-13,222400.0
2023-04-12,222400.0
2023-04-11,222400.0
2023-04-10,222400.0
2023-04-06,222400.0
2023-04-05,222400.0
2023-04-04,222400.0
2023-04-03,222400.0
2023-03-31,185400.0
2023-03-30,222400.0
2023-03-29,222400.0
2023-03-28,222400.0
2023-03-27,222400.0
2023-03-24,222400.0
2023-03-23,222400.0
2023-03-22,148300.0
2023-03-21,222400.0
2023-03-20,222400.0
2023-03-17,148300.0
2023-03-16,185400.0
2023-03-15,185400.0
2023-03-14,222400.0
2023-03-13,185400.0
2023-03-10,222400.0
2023-03-09,222400.0
2023-03-08,222400.0
2023-03-07,148300.0
2023-03-06,185400.0
2023-03-03,222400.0
2023-03-02,222400.0
2023-03-01,222400.0
2023-02-28,222400.0
2023-02-27,185400.0
2023-02-24,185400.0
2023-02-23,222400.0
2023-02-22,148300.0
2023-02-21,148300.0
2023-02-17,222400.0
2023-02-16,222400.0
2023-02-15,222400.0
2023-02-14,222400.0
2023-02-13,148300.0
2023-02-10,185400.0
2023-02-09,148300.0
2023-02-08,148300.0
2023-02-07,185400.0
2023-02-06,148300.0
2023-02-03,222400.0
2023-02-02,148300.0
2023-02-01,185400.0
2023-01-31,222400.0
2023-01-30,185400.0
2023-01-27,222400.0
2023-01-26,222400.0
2023-01-25,259500.0
2023-01-24,222400.0
2023-01-23,222400.0
2023-01-20,222400.0
2023-01-19,259500.0
2023-01-18,222400.0
2023-01-17,296600.0
2023-01-13,259500.0
2023-01-12,296600.0
2023-01-11,222400.0
2023-01-10,259500.0
2023-01-09,259500.0
2023-01-06,222400.0
2023-01-05,222400.0
2023-01-04,148300.0
2023-01-03,185400.0
2022-12-30,222400.0
2022-12-29,185400.0
2022-12-28,222400.0
2022-12-27,222400.0
2022-12-23,148300.0
2022-12-22,185400.0
2022-12-21,222400.0
2022-12-20,222400.0
2022-12-19,296600.0
2022-12-16,296600.0
2022-12-15,296600.0
2022-12-14,296600.0
2022-12-13,259500.0
2022-12-12,296600.0
2022-12-09,296600.0
2022-12-08,296600.0
2022-12-07,296600.0
2022-12-06,333600.0
2022-12-05,296600.0
2022-12-02,296600.0
2022-12-01,222400.0
2022-11-30,222400.0
2022-11-29,259500.0
2022-11-28,296600.0
2022-11-25,296600.0
2022-11-23,296600.0
2022-11-22,296600.0
2022-11-21,296600.0
2022-11-18,296600.0
2022-11-17,296600.0
2022-11-16,222400.0
2022-11-15,222400.0
2022-11-14,259500.0
2022-11-11,296600.0
2022-11-10,296600.0
2022-11-09,222400.0
2022-11-08,222400.0
2022-11-07,222400.0
2022-11-04,296600.0
2022-11-03,296600.0
2022-11-02,296600.0
2022-11-01,296600.0
2022-10-31,296600.0
2022-10-28,296600.0
2022-10-27,296600.0
2022-10-26,296600.0
2022-10-25,296600.0
2022-10-24,222400.0
2022-10-21,296600.0
2022-10-20,296600.0
2022-10-19,326200.0
2022-10-18,296600.0
2022-10-17,296600.0
2022-10-14,370700.0
2022-10-13,296600.0
2022-10-12,296600.0
2022-10-11,296600.0
2022-10-10,296600.0
2022-10-07,296600.0
2022-10-06,296600.0
2022-10-05,296600.0
2022-10-04,296600.0
2022-10-03,296600.0
2022-09-30,296600.0
2022-09-29,370700.0
2022-09-28,370700.0
2022-09-27,370700.0
2022-09-26,444900.0
2022-09-23,444900.0
2022-09-22,444900.0
2022-09-21,444900.0
2022-09-20,444900.0
2022-09-19,444900.0
2022-09-16,444900.0
2022-09-15,444900.0
2022-09-14,519000.0
2022-09-13,519000.0
2022-09-12,444900.0
2022-09-09,519000.0
2022-09-08,519000.0
2022-09-07,519000.0
2022-09-06,444900.0
2022-09-02,593100.0
2022-09-01,667300.0
2022-08-31,593100.0
2022-08-30,667300.0
2022-08-29,593100.0
2022-08-26,556100.0
2022-08-25,593100.0
2022-08-24,593100.0
2022-08-23,519000.0
2022-08-22,519000.0
2022-08-19,370700.0
2022-08-18,296600.0
2022-08-17,296600.0
2022-08-16,296600.0
2022-08-15,370700.0
2022-08-12,296600.0
2022-08-11,370700.0
2022-08-10,296600.0
2022-08-09,370700.0
2022-08-08,333600.0
2022-08-05,370700.0
2022-08-04,370700.0
2022-08-03,370700.0
2022-08-02,370700.0
2022-08-01,370700.0
2022-07-29,370700.0
2022-07-28,370700.0
2022-07-27,444900.0
2022-07-26,444900.0
2022-07-25,370700.0
2022-07-22,444900.0
2022-07-21,444900.0
2022-07-20,370700.0
2022-07-19,370700.0
2022-07-18,370700.0
2022-07-15,444900.0
2022-07-14,370700.0
2022-07-13,444900.0
2022-07-12,370700.0
2022-07-11,444900.0
2022-07-08,370700.0
2022-07-07,444900.0
2022-07-06,370700.0
2022-07-05,370700.0
2022-07-01,370700.0
2022-06-30,370700.0
2022-06-29,444900.0
2022-06-28,370700.0
2022-06-27,444900.0
2022-06-24,519000.0
2022-06-23,444900.0
2022-06-22,444900.0
2022-06-21,444900.0
2022-06-17,370700.0
2022-06-16,296600.0
2022-06-15,370700.0
2022-06-14,333600.0
2022-06-13,296600.0
2022-06-10,296600.0
2022-06-09,370700.0
2022-06-08,296600.0
2022-06-07,333600.0
2022-06-06,444900.0
2022-06-03,444900.0
2022-06-02,370700.0
2022-06-01,407800.0
2022-05-31,333600.0
2022-05-27,296600.0
2022-05-26,296600.0
2022-05-25,370700.0
2022-05-24,370700.0
2022-05-23,296600.0
2022-05-20,370700.0
2022-05-19,444900.0
2022-05-18,296600.0
2022-05-17,370700.0
2022-05-16,370700.0
2022-05-13,370700.0
2022-05-12,370700.0
2022-05-11,370700.0
2022-05-10,370700.0
2022-05-09,444900.0
2022-05-06,444900.0
2022-05-05,444900.0
2022-05-04,519000.0
2022-05-03,593100.0
2022-05-02,630200.0
2022-04-29,667300.0
2022-04-28,667300.0
2022-04-27,667300.0
2022-04-26,704400.0
2022-04-25,667300.0
2022-04-22,815600.0
2022-04-21,622800.0
2022-04-20,741400.0
2022-04-19,815600.0
2022-04-18,852600.0
2022-04-14,741400.0
2022-04-13,889700.0
2022-04-12,1112000.0
2022-04-11,741400.0
2022-04-08,741400.0
2022-04-07,741400.0
2022-04-06,889700.0
2022-04-05,815600.0
2022-04-04,741400.0
2022-04-01,593100.0
2022-03-31,741400.0
2022-03-30,630200.0
2022-03-29,630200.0
2022-03-28,593100.0
2022-03-25,593100.0
2022-03-24,630200.0
2022-03-23,593100.0
2022-03-22,593100.0
2022-03-21,593100.0
2022-03-18,667300.0
2022-03-17,593100.0
2022-03-16,556100.0
2022-03-15,593100.0
2022-03-14,593100.0
2022-03-11,630200.0
2022-03-10,593100.0
2022-03-09,667300.0
2022-03-08,667300.0
2022-03-07,667300.0
2022-03-04,667300.0
2022-03-03,667300.0
