Date,Market Cap
2023-04-25,87300000.0
2023-04-24,92880000.0
2023-04-21,85150000.0
2023-04-20,84970000.0
2023-04-19,69840000.0
2023-04-18,72630000.0
2023-04-17,73560000.0
2023-04-14,79150000.0
2023-04-13,79150000.0
2023-04-12,88920000.0
2023-04-11,87760000.0
2023-04-10,80780000.0
2023-04-06,69840000.0
2023-04-05,79150000.0
2023-04-04,81480000.0
2023-04-03,97770000.0
2023-03-31,98930000.0
2023-03-30,101030000.0
2023-03-29,102730000.0
2023-03-28,107080000.0
2023-03-27,107080000.0
2023-03-24,113370000.0
2023-03-23,107080000.0
2023-03-22,109410000.0
2023-03-21,113600000.0
2023-03-20,115230000.0
2023-03-17,110020000.0
2023-03-16,102080000.0
2023-03-15,100490000.0
2023-03-14,103210000.0
2023-03-13,114730000.0
2023-03-10,115690000.0
2023-03-09,125550000.0
2023-03-08,124530000.0
2023-03-07,113870000.0
2023-03-06,118750000.0
2023-03-03,113420000.0
2023-03-02,110020000.0
2023-03-01,130430000.0
2023-02-28,124760000.0
2023-02-27,98900000.0
2023-02-24,133830000.00000001
2023-02-23,149490000.0
2023-02-22,174440000.0
2023-02-21,182810000.0
2023-02-17,178970000.0
2023-02-16,142910000.0
2023-02-15,127030000.0
2023-02-14,216060000.0
2023-02-13,225140000.0
2023-02-10,174420000.0
2023-02-09,210440000.0
2023-02-08,178230000.0
2023-02-07,129710000.00000001
2023-02-06,103050000.0
2023-02-03,90220000.0
2023-02-02,77690000.0
2023-02-01,90220000.0
2023-01-31,98440000.0
2023-01-30,76940000.0
2023-01-27,60340000.0
2023-01-26,62550000.0
2023-01-25,63550000.0
2023-01-24,70170000.0
2023-01-23,64550000.0
2023-01-20,59440000.0
2023-01-19,53730000.0
2023-01-18,46110000.0
2023-01-17,56740000.0
2023-01-13,62150000.0
2023-01-12,49120000.0
2023-01-11,40100000.0
2023-01-10,35080000.0
2023-01-09,35890000.0
2023-01-06,28070000.0
2023-01-05,28470000.0
2023-01-04,28870000.0
2023-01-03,28070000.0
2022-12-30,28480000.0
2022-12-29,30370000.0
2022-12-28,28380000.0
2022-12-27,29970000.0
2022-12-23,30770000.0
2022-12-22,30970000.0
2022-12-21,29410000.0
2022-12-20,28020000.0
2022-12-19,27820000.0
2022-12-16,24720000.0
2022-12-15,24340000.0
2022-12-14,24040000.0
2022-12-13,23250000.0
2022-12-12,22450000.0
2022-12-09,24040000.0
2022-12-08,25040000.0
2022-12-07,24640000.0
2022-12-06,25630000.0
2022-12-05,26530000.0
2022-12-02,28020000.0
2022-12-01,28810000.0
2022-11-30,26820000.0
2022-11-29,24340000.0
2022-11-28,23840000.0
2022-11-25,25040000.0
2022-11-23,23840000.0
2022-11-22,26330000.0
2022-11-21,26820000.0
2022-11-18,28220000.0
2022-11-17,30600000.0
2022-11-16,27220000.0
2022-11-15,27820000.0
2022-11-14,27520000.0
2022-11-11,28120000.0
2022-11-10,27820000.0
2022-11-09,27820000.0
2022-11-08,29800000.0
2022-11-07,27700000.0
2022-11-04,28810000.0
2022-11-03,26630000.0
2022-11-02,26730000.0
2022-11-01,27420000.0
2022-10-31,27220000.0
2022-10-28,26630000.0
2022-10-27,26030000.0
2022-10-26,26730000.0
2022-10-25,28080000.0
2022-10-24,26530000.0
2022-10-21,26090000.0
2022-10-20,27820000.0
2022-10-19,28490000.0
2022-10-18,24440000.0
2022-10-17,24440000.0
2022-10-14,24840000.0
2022-10-13,25830000.0
2022-10-12,23840000.0
2022-10-11,28180000.0
2022-10-10,25040000.0
2022-10-07,27820000.0
2022-10-06,26430000.0
2022-10-05,23250000.0
2022-10-04,23450000.0
2022-10-03,22450000.0
2022-09-30,22850000.0
2022-09-29,19130000.0
2022-09-28,19320000.0
2022-09-27,22860000.0
2022-09-26,22280000.0
2022-09-23,19130000.0
2022-09-22,19320000.0
2022-09-21,22950000.0
2022-09-20,25060000.0
2022-09-19,23910000.0
2022-09-16,24670000.0
2022-09-15,23910000.0
2022-09-14,23530000.0
2022-09-13,23140000.0
2022-09-12,24870000.0
2022-09-09,26590000.0
2022-09-08,26780000.0
2022-09-07,27350000.0
2022-09-06,26970000.0
2022-09-02,26780000.0
2022-09-01,28120000.0
2022-08-31,28690000.0
2022-08-30,29260000.0
2022-08-29,29420000.0
2022-08-26,29650000.0
2022-08-25,30600000.0
2022-08-24,31750000.0
2022-08-23,33470000.0
2022-08-22,30110000.0
2022-08-19,31560000.0
2022-08-18,33280000.0
2022-08-17,32900000.0
2022-08-16,33470000.0
2022-08-15,32520000.000000004
2022-08-12,32270000.000000004
2022-08-11,33470000.0
2022-08-10,34430000.0
2022-08-09,33280000.0
2022-08-08,35390000.0
2022-08-05,36150000.0
2022-08-04,36920000.0
2022-08-03,37110000.0
2022-08-02,32520000.000000004
2022-08-01,32900000.0
2022-07-29,31560000.0
2022-07-28,32590000.000000004
2022-07-27,34430000.0
2022-07-26,34430000.0
2022-07-25,36340000.0
2022-07-22,35190000.0
2022-07-21,32130000.000000004
2022-07-20,31330000.0
2022-07-19,31940000.0
2022-07-18,32799999.999999996
2022-07-15,28080000.0
2022-07-14,27930000.0
2022-07-13,28120000.0
2022-07-12,28690000.0
2022-07-11,27160000.0
2022-07-08,27160000.0
2022-07-07,27730000.0
2022-07-06,27730000.0
2022-07-05,28690000.0
2022-07-01,30130000.0
2022-06-30,32520000.000000004
2022-06-29,28710000.0
2022-06-28,33119999.999999996
2022-06-27,29260000.0
2022-06-24,27050000.0
2022-06-23,26680000.0
2022-06-22,27600000.0
2022-06-21,28520000.0
2022-06-17,31100000.0
2022-06-16,30820000.0
2022-06-15,32020000.000000004
2022-06-14,34960000.0
2022-06-13,35700000.0
2022-06-10,35410000.0
2022-06-09,34960000.0
2022-06-08,39930000.0
2022-06-07,39570000.0
2022-06-06,36800000.0
2022-06-03,35330000.0
2022-06-02,34040000.0
2022-06-01,36800000.0
2022-05-31,33490000.000000004
2022-05-27,34960000.0
2022-05-26,38650000.0
2022-05-25,43250000.0
2022-05-24,40690000.0
2022-05-23,36660000.0
2022-05-20,35190000.0
2022-05-19,34090000.0
2022-05-18,34820000.0
2022-05-17,36660000.0
2022-05-16,37210000.0
2022-05-13,34090000.0
2022-05-12,28900000.0
2022-05-11,28530000.0
2022-05-10,26980000.0
2022-05-09,27440000.0
2022-05-06,28170000.0
2022-05-05,25240000.0
2022-05-04,26890000.0
2022-05-03,26340000.0
2022-05-02,26340000.0
2022-04-29,25880000.0
2022-04-28,25610000.0
2022-04-27,25480000.0
2022-04-26,25790000.0
2022-04-25,24690000.0
2022-04-22,25790000.0
2022-04-21,26520000.0
2022-04-20,27250000.0
2022-04-19,27070000.0
2022-04-18,26160000.0
2022-04-14,28440000.0
2022-04-13,28350000.0
2022-04-12,27860000.0
2022-04-11,25970000.0
2022-04-08,27710000.0
2022-04-07,29630000.0
2022-04-06,28350000.0
2022-04-05,29080000.0
2022-04-04,29360000.0
2022-04-01,27440000.0
2022-03-31,28170000.0
2022-03-30,25040000.0
2022-03-29,25670000.0
2022-03-28,24870000.0
2022-03-25,24870000.0
2022-03-24,27530000.0
2022-03-23,24870000.0
2022-03-22,26290000.0
2022-03-21,28420000.0
2022-03-18,28770000.0
2022-03-17,31080000.0
2022-03-16,37300000.0
2022-03-15,28060000.0
2022-03-14,28510000.0
2022-03-11,27350000.0
2022-03-10,33570000.0
2022-03-09,32409999.999999996
2022-03-08,24330000.0
2022-03-07,29660000.0
2022-03-04,22880000.0
2022-03-03,21850000.0
2022-03-02,19890000.0
2022-03-01,20440000.0
2022-02-28,22200000.0
2022-02-25,20070000.0
2022-02-24,19720000.0
2022-02-23,21850000.0
2022-02-22,19720000.0
2022-02-18,21050000.0
2022-02-17,20980000.0
2022-02-16,20780000.0
2022-02-15,20390000.0
2022-02-14,20600000.0
2022-02-11,20780000.0
2022-02-10,22200000.0
2022-02-09,19720000.0
2022-02-08,19180000.0
2022-02-07,20580000.0
2022-02-04,19180000.0
2022-02-03,19350000.0
2022-02-02,18820000.0
2022-02-01,18650000.0
2022-01-31,19350000.0
2022-01-28,19880000.0
2022-01-27,19700000.0
2022-01-26,21110000.0
2022-01-25,19600000.0
2022-01-24,19180000.0
2022-01-21,20060000.0
2022-01-20,21110000.0
2022-01-19,20410000.0
2022-01-18,20230000.0
2022-01-14,21110000.0
2022-01-13,20230000.0
2022-01-12,20230000.0
2022-01-11,20230000.0
2022-01-10,20230000.0
2022-01-07,21900000.0
2022-01-06,21110000.0
2022-01-05,21110000.0
2022-01-04,22520000.0
2022-01-03,20230000.0
2021-12-31,20230000.0
2021-12-30,21640000.0
2021-12-29,21640000.0
2021-12-28,21220000.0
2021-12-27,19660000.0
2021-12-23,18340000.0
2021-12-22,20340000.0
2021-12-21,20960000.0
2021-12-20,20960000.0
2021-12-17,20960000.0
2021-12-16,21830000.0
2021-12-15,22700000.0
2021-12-14,23570000.0
2021-12-13,20950000.0
2021-12-10,23290000.0
2021-12-09,24590000.0
2021-12-08,25630000.0
2021-12-07,23370000.0
2021-12-06,23370000.0
2021-12-03,23370000.0
2021-12-02,23370000.0
2021-12-01,24410000.0
2021-11-30,24410000.0
2021-11-29,24330000.0
2021-11-26,24150000.0
2021-11-24,24240000.0
2021-11-23,23550000.0
2021-11-22,24670000.0
2021-11-19,23810000.0
2021-11-18,25110000.0
2021-11-17,26140000.0
2021-11-16,24590000.0
2021-11-15,25280000.0
2021-11-12,26490000.0
2021-11-11,26140000.0
2021-11-10,25970000.0
2021-11-09,26760000.0
2021-11-08,27360000.0
2021-11-05,27160000.0
2021-11-04,26840000.0
2021-11-03,25970000.0
2021-11-02,28570000.0
2021-11-01,28220000.0
2021-10-29,29430000.0
2021-10-28,29950000.0
2021-10-27,28920000.0
2021-10-26,31170000.0
2021-10-25,29780000.0
2021-10-22,28920000.0
2021-10-21,29430000.0
2021-10-20,28400000.0
2021-10-19,28830000.0
