Date,Market Cap,% Change
2023-04-26,70014488880,1.04%
2023-04-25,69290816955,-3.11%
2023-04-24,71517262920,0.54%
2023-04-21,71135410500,-2.45%
2023-04-20,72921494400,-1.42%
2023-04-19,73968509100,0.76%
2023-04-18,73408048290,2.60%
2023-04-17,71548057470,1.33%
2023-04-14,70611903150,0.61%
2023-04-13,70180779450,1.36%
2023-04-12,69238466220,-1.60%
2023-04-11,70365546750,1.47%
2023-04-10,69349326600,2.65%
2023-04-06,67557083790,-4.90%
2023-04-05,71036867940,-2.63%
2023-04-04,72958447860,-2.47%
2023-04-03,74806120860,-2.36%
2023-03-31,76616840400,1.73%
2023-03-30,75311151480,2.93%
2023-03-29,73167850800,1.88%
2023-03-28,71819049510,-1.10%
2023-03-27,72619707810,0.85%
2023-03-24,72009975720,-2.81%
2023-03-23,74091687300,-0.72%
2023-03-22,74627512470,-2.04%
2023-03-21,76179557790,4.47%
2023-03-20,72921494400,0.21%
2023-03-17,72767521650,-1.53%
2023-03-16,73900761090,5.64%
2023-03-15,69952899780,-2.39%
2023-03-14,71665076760,0.34%
2023-03-13,71418720360,-1.98%
2023-03-10,72859905300,-1.29%
2023-03-09,73808377440,-4.13%
2023-03-08,76986375000,-1.53%
2023-03-07,78181203540,0.48%
2023-03-06,77805510030,0.48%
2023-03-03,77435975430,2.74%
2023-03-02,75372740580,1.28%
2023-03-01,74418109530,-1.99%
2023-02-28,75927042480,-0.20%
2023-02-27,76081015230,0.61%
2023-02-24,75619096980,-2.18%
2023-02-23,77306638320,-1.33%
2023-02-22,78347494110,-1.22%
2023-02-21,79314442980,-2.14%
2023-02-17,81051255600,-5.61%
2023-02-16,85867523219,1.76%
2023-02-15,84383225910,13.35%
2023-02-14,74442745170,3.82%
2023-02-13,71702030220,6.93%
2023-02-10,67052053170,-5.28%
2023-02-09,70790511540,-1.22%
2023-02-08,71665076760,-2.78%
2023-02-07,73715993790,1.13%
2023-02-06,72890699850,-0.29%
2023-02-03,73106261700,0.15%
2023-02-02,72995401320,3.97%
2023-02-01,70205415090,2.59%
2023-01-31,68431649010,1.49%
2023-01-30,67427746680,-5.57%
2023-01-27,71406402540,5.96%
2023-01-26,67390793220,4.77%
2023-01-25,64323656040,0.30%
2023-01-24,64132729830,-1.04%
2023-01-23,64804051020,3.89%
2023-01-20,62377440480,2.20%
2023-01-19,61034798100,-1.99%
2023-01-18,62272739010,-0.16%
2023-01-17,62371281570,0.90%
2023-01-13,61816979670,1.91%
2023-01-12,60659104590,4.29%
2023-01-11,58164746040,6.66%
2023-01-10,54530989140,-0.78%
2023-01-09,54962112840,0.81%
2023-01-06,54518671320,0.92%
2023-01-05,54019799609,-1.14%
2023-01-04,54641849520,4.50%
2023-01-03,52289145900,-3.54%
2022-12-30,54207000000,0.32%
2022-12-29,54035820000,3.32%
2022-12-28,52298660000,-1.20%
2022-12-27,52932660000,-2.06%
2022-12-23,54048500000,0.45%
2022-12-22,53807580000,-2.53%
2022-12-21,55202379999,-0.63%
2022-12-20,55551080000,1.97%
2022-12-19,54479620000,-4.06%
2022-12-16,56787379999,-1.15%
2022-12-15,57446740000,-3.53%
2022-12-14,59551620000,0.63%
2022-12-13,59177560000,-2.34%
2022-12-12,60597720000,0.93%
2022-12-09,60039800000,-0.14%
2022-12-08,60122220000,3.64%
2022-12-07,58011000000,-1.74%
2022-12-06,59038080000,-5.47%
2022-12-05,62455340000,-2.47%
2022-12-02,64034000000,-0.27%
2022-12-01,64205180000,-0.85%
2022-11-30,64756760000,7.09%
2022-11-29,60470920000,0.08%
2022-11-28,60420200000,-2.43%
2022-11-25,61922780000,1.08%
2022-11-23,61263420000,1.42%
2022-11-22,60407520000,-0.45%
