Date,Market Cap,% Change
2023-04-26,40428910,-4.55%
2023-04-25,42354096,-2.65%
2023-04-24,43509208,
2023-04-21,43509208,2.73%
2023-04-20,42354096,2.80%
2023-04-19,41198984,-2.73%
2023-04-18,42354096,-1.79%
2023-04-17,43124170,-1.75%
2023-04-14,43894245,0.65%
2023-04-13,43609317,-1.15%
2023-04-12,44117566,1.40%
2023-04-11,43509208,
2023-04-10,43509208,-2.59%
2023-04-06,44664319,0.87%
2023-04-05,44279282,-4.17%
2023-04-04,46204468,0.84%
2023-04-03,45819431,-1.24%
2023-03-31,46396987,1.26%
2023-03-30,45819431,2.59%
2023-03-29,44664319,1.75%
2023-03-28,43894245,-0.44%
2023-03-27,44086763,-1.29%
2023-03-24,44664319,-0.85%
2023-03-23,45049357,1.30%
2023-03-22,44471801,-1.28%
2023-03-21,45049357,0.86%
2023-03-20,44664319,-2.52%
2023-03-17,45819431,-4.03%
2023-03-16,47744617,5.98%
2023-03-15,45049357,-8.59%
2023-03-14,49284766,2.40%
2023-03-13,48129655,-5.30%
2023-03-10,50824915,-3.65%
2023-03-09,52750101,6.20%
2023-03-08,49669803,3.20%
2023-03-07,48129655,-2.34%
2023-03-06,49284766,-6.57%
2023-03-03,52750101,3.79%
2023-03-02,50824915,0.76%
2023-03-01,50439878,-6.43%
2023-02-28,53905213,-3.45%
2023-02-27,55830399,
2023-02-24,55830399,0.69%
2023-02-23,55445362,0.70%
2023-02-22,55060325,-0.01%
2023-02-21,55064175,-3.37%
2023-02-17,56985511,2.78%
2023-02-16,55445362,3.00%
2023-02-15,53832056,2.80%
2023-02-14,52365064,3.20%
2023-02-13,50740207,-1.07%
2023-02-10,51290810,-3.47%
2023-02-09,53135139,5.34%
2023-02-08,50439878,-2.96%
2023-02-07,51980027,7.14%
2023-02-06,48514692,-0.79%
2023-02-03,48899729,2.42%
2023-02-02,47744617,
2023-02-01,47744617,1.64%
2023-01-31,46974543,2.52%
2023-01-30,45819431,
2023-01-27,45819431,2.44%
2023-01-26,44725925,-3.19%
2023-01-25,46200618,-2.45%
2023-01-24,47359580,4.21%
2023-01-23,45445945,1.44%
2023-01-20,44802933,-2.22%
2023-01-19,45819431,3.48%
2023-01-18,44279282,-2.54%
2023-01-17,45434394,-3.28%
2023-01-13,46974543,3.39%
2023-01-12,45434394,1.72%
2023-01-11,44664319,-5.69%
2023-01-10,47359580,5.13%
2023-01-09,45049357,-2.50%
2023-01-06,46204468,
2023-01-05,46204468,4.35%
2023-01-04,44279282,4.55%
2023-01-03,42354096,3.18%
2022-12-30,41049430,2.94%
2022-12-29,39876589,2.87%
2022-12-28,38762391,-0.85%
2022-12-27,39094696,-1.96%
2022-12-23,39876589,5.52%
2022-12-22,37788933,-2.36%
2022-12-21,38703749,4.21%
2022-12-20,37139961,-2.63%
2022-12-19,38144694,-2.43%
2022-12-16,39094696,-1.96%
2022-12-15,39876589,-0.97%
2022-12-14,40267536,-1.90%
2022-12-13,41049430,
2022-12-12,41049430,1.94%
2022-12-09,40267536,2.84%
2022-12-08,39157247,10.05%
2022-12-07,35580082,-0.10%
2022-12-06,35615268,-5.84%
2022-12-05,37824118,-0.27%
2022-12-02,37925764,-1.01%
2022-12-01,38312802,-29.49%
2022-11-30,54337717,2.20%
2022-11-29,53168786,2.26%
2022-11-28,51995945,-5.00%
2022-11-25,54732574,4.48%
2022-11-23,52386892,1.52%
2022-11-22,51604998,
2022-11-21,51604998,3.94%
2022-11-18,49650263,1.60%
2022-11-17,48868370,-1.57%
2022-11-16,49650263,-1.17%
2022-11-15,50236684,0.39%
2022-11-14,50041210,1.59%
2022-11-11,49259316,-3.08%
2022-11-10,50823104,4.27%
2022-11-09,48743266,-3.94%
2022-11-08,50741005,1.40%
2022-11-07,50041210,3.23%
2022-11-04,48477423,-0.80%
2022-11-03,48868370,7.76%
2022-11-02,45349847,-4.02%
2022-11-01,47249849,4.19%
2022-10-31,45349847,-1.59%
2022-10-28,46080918,-0.95%
2022-10-27,46522688,2.59%
2022-10-26,45349847,-4.12%
2022-10-25,47300672,4.30%
2022-10-24,45349847,0.87%
2022-10-21,44958900,-1.53%
2022-10-20,45658695,1.56%
2022-10-19,44958900,-0.86%
2022-10-18,45349847,2.65%
2022-10-17,44177006,0.89%
2022-10-14,43786059,-1.75%
2022-10-13,44567953,0.89%
2022-10-12,44173097,-0.01%
2022-10-11,44177006,-3.41%
2022-10-10,45736884,-0.86%
2022-10-07,46131741,-2.88%
2022-10-06,47500055,0.41%
2022-10-05,47304582,-0.82%
2022-10-04,47695529,1.24%
2022-10-03,47109108,2.99%
2022-09-30,45740794,-0.63%
2022-09-29,46030095,0.63%
2022-09-28,45740794,0.86%
2022-09-27,45349847,-1.69%
2022-09-26,46127831,-1.67%
2022-09-23,46913635,-1.64%
2022-09-22,47695529,-3.17%
2022-09-21,49259316,-1.56%
2022-09-20,50041210,
2022-09-19,50041210,-4.48%
2022-09-16,52386892,3.08%
2022-09-15,50823104,-0.76%
2022-09-14,51214051,0.78%
2022-09-13,50819195,-2.99%
2022-09-12,52386892,
2022-09-09,52386892,-4.20%
2022-09-08,54681751,-0.80%
2022-09-07,55123521,0.01%
2022-09-06,55119611,-0.01%
2022-09-02,55123521,-2.75%
2022-09-01,56683399,-3.34%
2022-08-31,58642044,-3.98%
2022-08-30,61069824,6.27%
2022-08-29,57469203,0.69%
2022-08-26,57074346,0.68%
2022-08-25,56687309,-1.91%
2022-08-24,57793689,-0.05%
2022-08-23,57821055,-0.74%
2022-08-22,58251097,-2.61%
2022-08-19,59814884,
2022-08-18,59814884,-0.65%
2022-08-17,60205831,
2022-08-16,60205831,-1.91%
2022-08-15,61378672,
2022-08-12,61378672,
2022-08-11,61378672,0.64%
2022-08-10,60987725,0.65%
2022-08-09,60596778,0.01%
2022-08-08,60592869,0.64%
2022-08-05,60205831,-4.94%
2022-08-04,63333407,1.89%
2022-08-03,62160566,0.64%
2022-08-02,61765710,1.28%
2022-08-01,60987725,-2.50%
2022-07-29,62551513,1.91%
2022-07-28,61378672,-0.63%
2022-07-27,61769619,-0.63%
2022-07-26,62160566,-1.24%
2022-07-25,62942460,1.90%
2022-07-22,61769619,1.28%
2022-07-21,60987725,2.63%
2022-07-20,59423937,0.66%
2022-07-19,59032990,-2.58%
2022-07-18,60596778,1.64%
2022-07-15,59619411,2.42%
2022-07-14,58208092,-3.31%
2022-07-13,60201922,-0.01%
2022-07-12,60205831,3.36%
2022-07-11,58251097,-3.25%
2022-07-08,60205831,1.32%
2022-07-07,59423937,1.33%
2022-07-06,58642044,2.74%
2022-07-05,57078256,2.82%
2022-07-01,55514468,-0.76%
2022-06-30,55937177,1.42%
2022-06-29,55154838,
2022-06-28,55154838,-1.40%
2022-06-27,55937177,-0.69%
2022-06-24,56328346,2.13%
2022-06-23,55154838,
2022-06-22,55154838,
2022-06-21,55154838,
2022-06-17,55154838,
2022-06-16,55154838,0.71%
2022-06-15,54763669,2.19%
2022-06-14,53590162,-2.84%
2022-06-13,55154838,-4.73%
2022-06-10,57893022,-3.90%
2022-06-09,60240036,-1.91%
2022-06-08,61413543,2.61%
2022-06-07,59848867,-0.65%
2022-06-06,60240036,-0.65%
2022-06-03,60631205,0.65%
2022-06-02,60240036,2.05%
2022-06-01,59031324,-1.36%
2022-05-31,59844956,2.77%
2022-05-27,58229427,2.66%
2022-05-26,56719515,-2.68%
2022-05-25,58284191,4.20%
2022-05-24,55937177,
2022-05-23,55937177,4.38%
2022-05-20,53590162,-0.72%
2022-05-19,53981331,1.47%
2022-05-18,53198993,-2.79%
2022-05-17,54724552,2.12%
2022-05-16,53590162,1.48%
2022-05-13,52807824,
2022-05-12,52807824,-2.17%
2022-05-11,53981331,-2.13%
2022-05-10,55154838,2.17%
2022-05-09,53981331,-8.91%
2022-05-06,59262114,1.00%
2022-05-05,58675360,-7.41%
2022-05-04,63369389,1.25%
2022-05-03,62587051,2.56%
2022-05-02,61022374,-0.64%
2022-04-29,61413543,-1.26%
2022-04-28,62195882,1.27%
2022-04-27,61413543,-1.26%
2022-04-26,62195882,-1.24%
2022-04-25,62978220,-2.37%
2022-04-22,64503779,1.79%
2022-04-21,63369389,-4.14%
2022-04-20,66107572,-1.74%
2022-04-19,67281080,2.38%
2022-04-18,65716403,-1.75%
2022-04-14,66889910,-2.29%
2022-04-13,68454587,-1.02%
2022-04-12,69158691,0.45%
2022-04-11,68845756,
2022-04-08,68845756,-1.12%
2022-04-07,69628094,-3.26%
2022-04-06,71975108,1.66%
2022-04-05,70801601,-2.16%
2022-04-04,72366277,2.21%
2022-04-01,70801601,5.07%
2022-03-31,67386198,-1.43%
2022-03-30,68362810,-3.31%
2022-03-29,70706678,0.56%
2022-03-28,70316033,1.12%
2022-03-25,69534744,-0.56%
2022-03-24,69925388,4.07%
2022-03-23,67190876,-1.15%
2022-03-22,67972165,3.57%
2022-03-21,65628297,-1.18%
2022-03-18,66409587,1.80%
2022-03-17,65237653,4.38%
2022-03-16,62503140,-1.84%
2022-03-15,63675074,-2.98%
2022-03-14,65628297,-2.33%
2022-03-11,67190876,-1.71%
2022-03-10,68362810,-1.69%
2022-03-09,69534744,3.49%
2022-03-08,67190876,1.78%
2022-03-07,66018942,-5.59%
2022-03-04,69925388,-2.19%
2022-03-03,71487967,
2022-03-02,71487967,3.98%
2022-03-01,68753454,-2.22%
2022-02-28,70316033,1.69%
2022-02-25,69144099,-1.67%
2022-02-24,70316033,-1.10%
2022-02-23,71097322,6.43%
2022-02-22,66800231,-3.93%
2022-02-18,69534744,-1.66%
2022-02-17,70706678,-1.09%
2022-02-16,71487967,-0.54%
2022-02-15,71878611,4.55%
2022-02-14,68753454,-1.12%
2022-02-11,69534744,-0.56%
2022-02-10,69925388,-2.72%
2022-02-09,71878611,1.10%
2022-02-08,71097322,3.41%
2022-02-07,68753454,-2.22%
2022-02-04,70316033,
2022-02-03,70316033,-1.64%
2022-02-02,71487967,-1.08%
2022-02-01,72269256,0.54%
2022-01-31,71878611,-1.08%
2022-01-28,72659901,5.08%
2022-01-27,69144099,-2.21%
2022-01-26,70706678,-0.55%
2022-01-25,71097322,2.25%
2022-01-24,69534744,-1.11%
2022-01-21,70316033,-4.76%
2022-01-20,73831835,9.25%
2022-01-19,67581520,-2.81%
2022-01-18,69534744,-7.29%
2022-01-14,75003768,1.05%
2022-01-13,74222479,-2.56%
2022-01-12,76175702,-3.47%
2022-01-11,78910215,5.76%
2022-01-10,74613124,3.24%
2022-01-07,72269256,
2022-01-06,72269256,5.11%
2022-01-05,68753454,-1.12%
2022-01-04,69534744,-1.66%
2022-01-03,70706678,6.01%
2021-12-31,66697382,-1.81%
2021-12-30,67924218,2.35%
2021-12-29,66362741,-2.30%
2021-12-28,67924218,-2.79%
2021-12-27,69876063,-4.28%
2021-12-23,72999016,-0.53%
2021-12-22,73389385,-1.57%
2021-12-21,74560492,2.14%
2021-12-20,72999016,-1.06%
2021-12-17,73779754,-1.05%
2021-12-16,74560492,3.24%
2021-12-15,72218277,5.71%
2021-12-14,68314587,-3.85%
2021-12-13,71047170,-5.70%
2021-12-10,75341230,-3.50%
2021-12-09,78073814,0.50%
2021-12-08,77683444,7.57%
2021-12-07,72218277,-1.07%
2021-12-06,72999016,-2.09%
