Date,Market Cap,% Change
2023-04-26,5453221245,1.07%
2023-04-25,5395598350,3.83%
2023-04-24,5196537440,-0.60%
2023-04-21,5227968110,0.40%
2023-04-20,5207014330,-2.55%
2023-04-19,5343213900,0.99%
2023-04-18,5290829450,-2.88%
2023-04-17,5447982800,1.56%
2023-04-14,5364167680,-6.23%
2023-04-13,5720381940,2.25%
2023-04-12,5594659260,-1.66%
2023-04-11,5688951270,3.63%
2023-04-10,5489890360,6.94%
2023-04-06,5133676100,20.99%
2023-04-05,4243140450,3.58%
2023-04-04,4096463990,-23.48%
2023-04-03,5353690790,2.00%
2023-03-31,5248921890,0.80%
2023-03-30,5207014330,-0.60%
2023-03-29,5238445000,-2.91%
2023-03-28,5395598350,13.19%
2023-03-27,4766984950,1.79%
2023-03-24,4683169830,
2023-03-23,4683169830,3.00%
2023-03-22,4546970260,-1.59%
2023-03-21,4620308490,3.28%
2023-03-20,4473632030,2.15%
2023-03-17,4379340020,-4.78%
2023-03-16,4599354710,4.28%
2023-03-15,4410770690,-9.27%
2023-03-14,4861276960,-15.02%
2023-03-13,5720381940,1.49%
2023-03-10,5636566820,-4.78%
2023-03-09,5919442850,-3.25%
2023-03-08,6118503760,-2.83%
2023-03-07,6296610890,-3.84%
2023-03-06,6548056250,-5.02%
2023-03-03,6893793620,7.87%
2023-03-02,6390902900,-7.15%
2023-03-01,6883316730,-7.98%
2023-02-28,7480499460,-6.18%
2023-02-27,7972913290,22.74%
2023-02-24,6495671800,-0.48%
2023-02-23,6527102470,-0.48%
2023-02-22,6558533140,2.62%
2023-02-21,6390902900,16.41%
2023-02-17,5489890360,-0.19%
2023-02-16,5500367250,1.55%
2023-02-15,5416552130,14.89%
2023-02-14,4714600500,-3.85%
2023-02-13,4903184520,-4.49%
2023-02-10,5133676100,-8.58%
2023-02-09,5615613040,-6.29%
2023-02-08,5992781080,-7.44%
2023-02-07,6474718020,-9.12%
2023-02-06,7124285200,11.84%
2023-02-03,6369949120,
2023-02-02,6369949120,6.48%
2023-02-01,5982304190,6.73%
2023-01-31,5605136150,6.79%
2023-01-30,5248921890,-9.07%
2023-01-27,5772766390,4.36%
2023-01-26,5531797920,-0.94%
2023-01-25,5584182370,-3.09%
2023-01-24,5762289500,-2.83%
2023-01-23,5929919740,2.54%
2023-01-20,5783243280,
2023-01-19,5783243280,-2.30%
2023-01-18,5919442850,-6.92%
2023-01-17,6359472230,19.96%
2023-01-13,5301306340,0.80%
2023-01-12,5259398780,2.03%
2023-01-11,5154629880,21.18%
2023-01-10,4253617339,3.31%
2023-01-09,4117417770,2.08%
2023-01-06,4033602650,-2.78%
2023-01-05,4148848440,-3.18%
2023-01-04,4285048010,4.07%
2023-01-03,4117417770,93.79%
2022-12-30,2124678860,-1.69%
2022-12-29,2161221248,7.81%
2022-12-28,2004611013,-4.71%
2022-12-27,2103797495,-8.41%
2022-12-23,2296950119,-10.39%
2022-12-22,2563187519,-7.36%
2022-12-21,2766780825,4.33%
2022-12-20,2651933319,3.89%
2022-12-19,2552746837,-7.91%
2022-12-16,2772001166,-5.18%
2022-12-15,2923391060,-2.61%
2022-12-14,3001696178,0.52%
2022-12-13,2986035154,-3.87%
2022-12-12,3106103002,0.17%
2022-12-09,3100882660,-2.14%
2022-12-08,3168747096,0.33%
2022-12-07,3158306413,-10.37%
2022-12-06,3523730296,-9.40%
2022-12-05,3889154179,-8.81%
2022-12-02,4265018744,
2022-12-01,4265018744,13.00%
