Date,Market Cap,% Change
2023-04-25,612077290,0.15%
2023-04-24,611131510,-0.92%
2023-04-21,616806190,0.33%
2023-04-20,614757000,0.57%
2023-04-19,611289140,-1.70%
2023-04-18,621850350,-2.04%
2023-04-17,634776010,1.26%
2023-04-14,626894510,-1.58%
2023-04-13,636982830,-0.39%
2023-04-12,639504910,-1.43%
2023-04-11,648805080,0.15%
2023-04-10,647859300,-1.42%
2023-04-06,657159470,-0.88%
2023-04-05,662991780,2.39%
2023-04-04,647544040,-0.27%
2023-04-03,649277970,0.66%
2023-03-31,645021960,2.17%
2023-03-30,631308150,0.91%
2023-03-29,625633470,0.56%
2023-03-28,622165610,0.84%
2023-03-27,616963820,1.03%
2023-03-24,610658620,0.26%
2023-03-23,609082320,-0.16%
2023-03-22,610028100,-2.69%
2023-03-21,626894510,0.63%
2023-03-20,622953760,0.66%
2023-03-17,618855380,-3.82%
2023-03-16,643445660,0.99%
2023-03-15,637140460,-1.75%
2023-03-14,648489820,2.59%
2023-03-13,632096300,-0.96%
2023-03-10,638243870,-0.49%
2023-03-09,641396470,-0.80%
2023-03-08,646598260,2.70%
2023-03-07,629574220,-0.05%
2023-03-06,629889480,-0.42%
2023-03-03,632569190,-1.55%
2023-03-02,642499880,-2.32%
2023-03-01,657789990,-0.76%
2023-02-28,662834150,0.62%
2023-02-27,658735770,-2.02%
2023-02-24,672291950,4.38%
2023-02-23,644076180,-13.83%
2023-02-22,747481460,0.47%
2023-02-21,744013600,-1.15%
2023-02-17,752683250,5.08%
2023-02-16,716270720,-2.15%
2023-02-15,732033720,-1.65%
2023-02-14,744328860,-0.36%
2023-02-13,747008570,0.77%
2023-02-10,741333890,1.71%
2023-02-09,728881120,-1.32%
2023-02-08,738654180,-1.41%
2023-02-07,749215390,-0.92%
2023-02-06,756151110,-0.27%
2023-02-03,758200300,-1.78%
2023-02-02,771914110,-0.95%
2023-02-01,779322720,1.15%
2023-01-31,770495440,3.56%
2023-01-30,744013600,-1.28%
2023-01-27,753629030,-0.62%
2023-01-26,758357930,0.63%
2023-01-25,753629030,0.72%
2023-01-24,748269610,1.93%
2023-01-23,734082910,-2.25%
2023-01-20,750949320,1.49%
2023-01-19,739915220,-0.06%
2023-01-18,740388110,-0.93%
2023-01-17,747323830,-0.38%
2023-01-13,750161170,1.82%
2023-01-12,736762620,2.59%
2023-01-11,718162280,-0.89%
2023-01-10,724625110,1.01%
2023-01-09,717374130,-2.28%
2023-01-06,734082910,2.15%
2023-01-05,718635170,0.71%
2023-01-04,713591010,-4.17%
2023-01-03,744644120,4.34%
2022-12-30,713677810,-1.73%
2022-12-29,726278610,1.21%
2022-12-28,717615560,-2.52%
2022-12-27,736201740,-1.79%
2022-12-23,749590090,1.49%
2022-12-22,738564390,-1.62%
2022-12-21,750692660,2.98%
2022-12-20,728956280,3.40%
2022-12-19,705014760,10.44%
2022-12-16,638388030,-2.05%
2022-12-15,651776380,-2.36%
2022-12-14,667527380,-2.37%
2022-12-13,683750910,-2.21%
2022-12-12,699186890,-2.22%
2022-12-09,715095400,-2.03%
2022-12-08,729901340,-1.70%
2022-12-07,742502140,-1.57%
2022-12-06,754315390,0.02%
2022-12-05,754157880,-3.02%
2022-12-02,777626870,0.02%
2022-12-01,777469360,1.96%
2022-11-30,762505910,2.41%
2022-11-29,744549770,1.20%
2022-11-28,735729210,-0.57%
2022-11-25,739981980,-0.04%
2022-11-23,740297000,-2.00%
2022-11-22,755417960,-0.54%
