Date,Market Cap,% Change
2023-04-26,1278696120,-1.05%
2023-04-25,1292285280,-5.66%
2023-04-24,1369875000,0.45%
2023-04-21,1363737960,-0.42%
2023-04-20,1369436640,-2.56%
2023-04-19,1405382160,0.75%
2023-04-18,1394861520,-1.49%
2023-04-17,1415902799,-1.49%
2023-04-14,1437382440,-0.97%
2023-04-13,1451409960,2.63%
2023-04-12,1414149360,-1.47%
2023-04-11,1435190640,-1.42%
2023-04-10,1455793560,3.78%
2023-04-06,1402752000,0.79%
2023-04-05,1391793000,-0.41%
2023-04-04,1397491680,-0.59%
2023-04-03,1405820520,0.28%
2023-03-31,1401875280,3.03%
2023-03-30,1360669440,1.34%
2023-03-29,1342696680,1.36%
2023-03-28,1324723920,-0.33%
2023-03-27,1329107520,3.23%
2023-03-24,1287463320,0.69%
2023-03-23,1278696120,-0.61%
2023-03-22,1286586600,-1.54%
2023-03-21,1306751160,2.79%
2023-03-20,1271244000,1.08%
2023-03-17,1257654840,-2.05%
2023-03-16,1283956440,2.16%
2023-03-15,1256778120,-0.80%
2023-03-14,1266860400,1.26%
2023-03-13,1251079440,-0.45%
2023-03-10,1256778120,-1.21%
2023-03-09,1272120720,-1.43%
2023-03-08,1290531840,-0.57%
2023-03-07,1297983960,-0.64%
2023-03-06,1306312800,4.75%
2023-03-03,1247134200,-1.18%
2023-03-02,1262038440,-0.35%
2023-03-01,1266422040,-0.58%
2023-02-28,1273874160,-1.52%
2023-02-27,1293600360,1.72%
2023-02-24,1271682360,-2.68%
2023-02-23,1306751160,0.07%
2023-02-22,1305874440,-0.57%
2023-02-21,1313326560,-2.82%
2023-02-17,1351463880,-1.28%
2023-02-16,1368998280,-0.32%
2023-02-15,1373381880,2.32%
2023-02-14,1342258320,0.07%
2023-02-13,1341381600,2.62%
2023-02-10,1307189520,0.85%
2023-02-09,1296230520,-0.14%
2023-02-08,1297983960,-2.95%
2023-02-07,1337436360,1.36%
2023-02-06,1319463600,-6.55%
2023-02-03,1411957560,-0.71%
2023-02-02,1422039840,2.95%
2023-02-01,1381272360,3.96%
2023-01-31,1328669160,-0.23%
2023-01-30,1331737680,-1.52%
2023-01-27,1352340600,-0.93%
2023-01-26,1365053040,1.73%
2023-01-25,1341819960,0.82%
2023-01-24,1330860960,-0.03%
2023-01-23,1331299320,1.91%
2023-01-20,1306312800,2.30%
2023-01-19,1276942680,0.31%
2023-01-18,1272997440,1.04%
2023-01-17,1259846640,-0.73%
2023-01-13,1269052200,0.24%
2023-01-12,1265983680,1.73%
2023-01-11,1244504040,1.65%
2023-01-10,1224339480,0.72%
2023-01-09,1215572280,1.54%
2023-01-06,1197161160,4.08%
2023-01-05,1150256640,-0.11%
2023-01-04,1151571720,-1.68%
2023-01-03,1171297920,-1.08%
2022-12-30,1184079290,1.92%
2022-12-29,1161813790,4.49%
2022-12-28,1111939070,-1.07%
2022-12-27,1123962440,-0.24%
2022-12-23,1126634300,-0.67%
2022-12-22,1134204570,-1.01%
2022-12-21,1145782630,2.22%
2022-12-20,1120845270,0.48%
2022-12-19,1115501550,0.24%
2022-12-16,1112829690,-1.81%
2022-12-15,1133313950,-4.86%
2022-12-14,1191204250,-1.65%
2022-12-13,1211243200,-0.55%
2022-12-12,1217922850,1.71%
2022-12-09,1197438590,-0.52%
2022-12-08,1203672930,2.50%
2022-12-07,1174282470,-2.33%
2022-12-06,1202337000,-5.10%
2022-12-05,1266906950,-3.30%
2022-12-02,1310102020,0.41%
2022-12-01,1304758300,4.34%
2022-11-30,1250430480,6.04%
2022-11-29,1179180880,-4.47%
2022-11-28,1234399320,-1.35%
2022-11-25,1251321100,-0.99%
2022-11-23,1263789780,1.79%
2022-11-22,1241524280,0.87%
2022-11-21,1230836840,-1.71%
2022-11-18,1252211720,-0.60%
2022-11-17,1259781990,2.50%
2022-11-16,1229055600,0.33%
2022-11-15,1225047810,0.51%
2022-11-14,1218813470,-1.08%
2022-11-11,1232172770,2.79%
2022-11-10,1198774520,14.21%
2022-11-09,1049595670,-3.76%
2022-11-08,1090564190,-1.96%
2022-11-07,1112384380,2.00%
2022-11-04,1090564190,2.51%
2022-11-03,1063845590,-3.40%
2022-11-02,1101251630,-10.69%
2022-11-01,1233063390,0.73%
2022-10-31,1224157190,0.51%
2022-10-28,1217922850,-0.33%
2022-10-27,1221930640,0.07%
2022-10-26,1221040020,-2.07%
2022-10-25,1246868000,1.12%
2022-10-24,1233063390,3.05%
2022-10-21,1196547970,3.75%
2022-10-20,1153352900,-0.61%
2022-10-19,1160477860,-1.10%
2022-10-18,1173391850,1.78%
2022-10-17,1152907590,6.28%
2022-10-14,1084775160,-1.42%
2022-10-13,1100361010,4.31%
2022-10-12,1054939390,-1.17%
2022-10-11,1067408070,0.88%
2022-10-10,1058056560,-2.74%
2022-10-07,1087892330,-4.08%
2022-10-06,1134204570,0.08%
2022-10-05,1133313950,2.54%
2022-10-04,1105259420,4.20%
2022-10-03,1060728420,2.41%
2022-09-30,1035791060,2.23%
2022-09-29,1013163280,-2.11%
2022-09-28,1034956520,6.35%
2022-09-27,973134880,2.82%
2022-09-26,946449280,-3.54%
2022-09-23,981140560,0.14%
2022-09-22,979806280,-2.57%
2022-09-21,1005602360,-3.42%
2022-09-20,1041183160,-1.80%
2022-09-19,1060307840,-0.87%
2022-09-16,1069647800,1.14%
2022-09-15,1057639280,-6.89%
2022-09-14,1135917040,-0.35%
2022-09-13,1139919880,-2.58%
2022-09-12,1170163560,3.42%
2022-09-09,1131469440,0.67%
2022-09-08,1123908520,0.84%
2022-09-07,1114568560,3.34%
2022-09-06,1078543000,-8.11%
2022-09-02,1173721640,-0.08%
2022-09-01,1174611160,-3.44%
2022-08-31,1216418600,1.15%
2022-08-30,1202631040,12.06%
2022-08-29,1073205880,-0.37%
2022-08-26,1077208720,-6.85%
2022-08-25,1156376000,2.48%
2022-08-24,1128356120,-0.86%
2022-08-23,1138140840,-3.14%
2022-08-22,1175055920,-1.42%
2022-08-19,1191956800,0.07%
2022-08-18,1191067280,0.56%
2022-08-17,1184395880,-4.24%
2022-08-16,1236877560,0.11%
2022-08-15,1235543280,-0.61%
2022-08-12,1243104200,0.40%
2022-08-11,1238211840,2.58%
2022-08-10,1207078640,3.47%
2022-08-09,1166605480,0.50%
2022-08-08,1160823600,-2.06%
2022-08-05,1185285400,1.56%
2022-08-04,1167050240,-2.85%
2022-08-03,1201296760,-3.84%
2022-08-02,1249330840,-0.64%
2022-08-01,1257336520,0.75%
2022-07-29,1247996560,-0.04%
2022-07-28,1248441320,1.52%
2022-07-27,1229761400,4.18%
2022-07-26,1180393040,-3.88%
2022-07-25,1227982360,-0.65%
2022-07-22,1235988040,-4.24%
2022-07-21,1290693520,1.50%
2022-07-20,1271568840,3.93%
2022-07-19,1223534760,3.23%
2022-07-18,1185285400,-1.22%
2022-07-15,1199962480,2.16%
2022-07-14,1174611160,-2.47%
2022-07-13,1204410080,1.46%
2022-07-12,1187064440,-7.58%
2022-07-11,1284466880,-0.89%
2022-07-08,1296030640,2.07%
2022-07-07,1269789800,1.24%
2022-07-06,1254223200,7.14%
2022-07-05,1170608320,0.84%
2022-07-01,1160823600,0.58%
2022-06-30,1154152200,-0.21%
2022-06-29,1156529000,-0.69%
2022-06-28,1164582200,-4.41%
2022-06-27,1218270200,-1.20%
2022-06-24,1233034400,1.66%
2022-06-23,1212901400,4.39%
2022-06-22,1161897800,1.13%
2022-06-21,1148923200,0.86%
2022-06-17,1139080400,0.87%
2022-06-16,1129237600,-1.79%
2022-06-15,1149818000,1.90%
2022-06-14,1128342800,0.04%
2022-06-13,1127895400,-4.18%
2022-06-10,1177109400,-3.87%
2022-06-09,1224533800,-3.56%
2022-06-08,1269721200,-1.56%
2022-06-07,1289854200,0.98%
2022-06-06,1277327000,-1.07%
2022-06-03,1291196400,-1.30%
2022-06-02,1308197600,2.63%
2022-06-01,1274642600,-2.73%
2022-05-31,1310434600,-1.55%
2022-05-27,1331015000,4.64%
2022-05-26,1271958200,2.86%
2022-05-25,1236613600,7.55%
2022-05-24,1149818000,-1.53%
2022-05-23,1167714000,-2.36%
2022-05-20,1195900200,2.18%
2022-05-19,1170398400,8.86%
2022-05-18,1075102200,-5.32%
2022-05-17,1135501200,3.97%
2022-05-16,1092103400,6.36%
2022-05-13,1026783000,1.82%
2022-05-12,1008439600,5.08%
2022-05-11,959673000,-8.41%
2022-05-10,1047810800,1.83%
2022-05-09,1029020000,-1.84%
2022-05-06,1048258200,-7.83%
2022-05-05,1137290800,-21.08%
2022-05-04,1441075400,-0.74%
2022-05-03,1451813000,1.79%
2022-05-02,1426311200,0.54%
2022-04-29,1418705400,-0.06%
2022-04-28,1419600200,1.02%
2022-04-27,1405283400,-0.91%
2022-04-26,1418258000,-6.60%
2022-04-25,1518475600,0.30%
2022-04-22,1514001600,-4.00%
2022-04-21,1577085000,-0.62%
2022-04-20,1586927800,-0.87%
2022-04-19,1600797200,-2.24%
2022-04-18,1637484000,0.97%
2022-04-14,1621825000,-1.28%
2022-04-13,1642852800,4.20%
2022-04-12,1576637600,2.17%
2022-04-11,1543082600,0.73%
2022-04-08,1531897600,-0.78%
2022-04-07,1543977400,0.47%
2022-04-06,1536819000,-2.72%
2022-04-05,1579769400,-3.63%
2022-04-04,1639273600,3.42%
2022-04-01,1585138200,1.61%
2022-03-31,1560083800,-1.56%
2022-03-30,1584729120,-2.02%
2022-03-29,1617445530,1.38%
2022-03-28,1595485200,-0.11%
2022-03-25,1597277880,-3.07%
2022-03-24,1647921090,3.05%
2022-03-23,1599070560,2.26%
2022-03-22,1563665130,3.59%
2022-03-21,1509436560,5.22%
2022-03-18,1434592170,1.62%
2022-03-17,1411735500,0.96%
2022-03-16,1398290400,5.41%
2022-03-15,1326583200,5.90%
2022-03-14,1252635150,0.36%
2022-03-11,1248153450,-0.57%
2022-03-10,1255324170,-2.71%
2022-03-09,1290281430,3.64%
2022-03-08,1245016260,-2.56%
2022-03-07,1277732670,-5.94%
2022-03-04,1358403270,-5.69%
2022-03-03,1440418380,-0.31%
2022-03-02,1444900080,11.17%
2022-03-01,1299693000,-7.82%
2022-02-28,1409942820,-0.94%
2022-02-25,1423387920,2.62%
2022-02-24,1387086150,7.43%
2022-02-23,1291177770,-3.52%
2022-02-22,1338235620,-2.45%
2022-02-18,1371848370,-1.58%
2022-02-17,1393808700,-2.66%
2022-02-16,1431903150,0.53%
2022-02-15,1424284260,4.64%
2022-02-14,1361092290,2.57%
2022-02-11,1327031370,-1.17%
2022-02-10,1342717320,-3.48%
2022-02-09,1391119680,1.07%
2022-02-08,1376330070,4.96%
2022-02-07,1311345420,0.65%
2022-02-04,1302830190,-0.24%
2022-02-03,1305967380,-3.48%
2022-02-02,1353025230,-3.08%
2022-02-01,1396049550,-0.67%
2022-01-31,1405461120,0.64%
2022-01-28,1396497720,10.38%
2022-01-27,1265183910,-5.90%
2022-01-26,1344510000,-2.41%
2022-01-25,1377674580,-0.03%
2022-01-24,1378122750,5.74%
2022-01-21,1303278360,-5.06%
2022-01-20,1372744710,0.56%
2022-01-19,1365125820,-1.65%
2022-01-18,1387982490,-5.35%
2022-01-14,1466412240,3.94%
2022-01-13,1410839160,-0.10%
2022-01-12,1412183670,8.32%
2022-01-11,1303726530,-0.17%
2022-01-10,1305967380,0.34%
2022-01-07,1301485680,-4.00%
2022-01-06,1355714250,0.36%
2022-01-05,1350784380,-4.32%
2022-01-04,1411735500,-0.41%
2022-01-03,1417561710,-2.89%
2021-12-31,1459689690,2.49%
2021-12-30,1424215000,0.43%
2021-12-29,1418079920,-0.86%
2021-12-28,1430350080,-0.97%
2021-12-27,1444373120,3.42%
2021-12-23,1396607140,-0.87%
2021-12-22,1408877300,5.65%
2021-12-21,1333503460,3.33%
2021-12-20,1290557900,-3.73%
2021-12-17,1340514980,0.30%
2021-12-16,1336571000,-2.06%
2021-12-15,1364617080,4.43%
2021-12-14,1306772040,-4.33%
2021-12-13,1365931740,-4.45%
2021-12-10,1429473640,-0.15%
2021-12-09,1431664740,-3.83%
2021-12-08,1488633340,2.04%
2021-12-07,1458834380,3.10%
2021-12-06,1415012380,-0.09%
2021-12-03,1416327040,-1.49%
2021-12-02,1437799820,5.23%
2021-12-01,1366369960,-2.74%
2021-11-30,1404933320,-2.61%
2021-11-29,1442620240,0.70%
2021-11-26,1432541180,-4.33%
2021-11-24,1497397740,-0.78%
2021-11-23,1509229680,-0.09%
2021-11-22,1510544340,-2.52%
2021-11-19,1549545920,2.46%
2021-11-18,1512297220,1.29%
2021-11-17,1493015540,-1.67%
2021-11-16,1518432300,2.76%
2021-11-15,1477677840,-0.12%
2021-11-12,1479430720,-1.80%
2021-11-11,1506600360,6.67%
2021-11-10,1412383059,18.28%
2021-11-09,1194149500,-6.03%
2021-11-08,1270838000,-1.29%
2021-11-05,1287490360,-0.74%
2021-11-04,1297131200,2.49%
2021-11-03,1265579360,-1.80%
2021-11-02,1288805020,0.41%
2021-11-01,1283546380,2.27%
2021-10-29,1255062080,0.42%
2021-10-28,1249803440,
2021-10-27,1249803440,0.11%
2021-10-26,1248488780,-1.01%
2021-10-25,1261197160,-0.52%
2021-10-22,1267770460,-3.47%
2021-10-21,1313345340,-0.93%
2021-10-20,1325615500,2.79%
2021-10-19,1289681460,0.96%
2021-10-18,1277411300,-2.05%
2021-10-15,1304142720,-0.67%
2021-10-14,1312907120,0.84%
2021-10-13,1301951620,3.77%
2021-10-12,1254623860,0.81%
2021-10-11,1244544800,-2.97%
2021-10-08,1282669940,-3.78%
