Date,Market Cap,% Change
2023-04-26,73348838,3.59%
2023-04-25,70808463,-1.05%
2023-04-24,71559842,-0.74%
2023-04-21,72096540,-0.71%
2023-04-20,72615349,-3.36%
2023-04-19,75137834,-3.00%
2023-04-18,77463528,-1.61%
2023-04-17,78733716,0.02%
2023-04-14,78715826,
2023-04-13,78715826,0.85%
2023-04-12,78053897,-2.61%
2023-04-11,80147023,4.55%
2023-04-10,76658480,3.03%
2023-04-06,74404345,0.97%
2023-04-05,73688747,0.96%
2023-04-04,72991038,-0.66%
2023-04-03,73474067,-2.21%
2023-03-31,75137834,
2023-03-30,75137834,-2.33%
2023-03-29,76926830,-4.23%
2023-03-28,80325922,-0.62%
2023-03-27,80826841,0.42%
2023-03-24,80486932,1.33%
2023-03-23,79431424,3.86%
2023-03-22,76479581,-3.39%
2023-03-21,79163075,-1.67%
2023-03-20,80504822,-2.81%
2023-03-17,82830517,-0.90%
2023-03-16,83581895,7.40%
2023-03-15,77821328,-7.21%
2023-03-14,83868134,-3.34%
2023-03-13,86766308,-10.00%
2023-03-10,96408997,3.30%
2023-03-09,93331923,-6.74%
2023-03-08,100076439,-6.08%
2023-03-07,106552604,4.49%
2023-03-06,101972774,4.86%
2023-03-03,97249825,3.52%
2023-03-02,93940182,5.02%
2023-03-01,89449802,1.63%
2023-02-28,88018605,13.36%
2023-02-27,77642428,1.40%
2023-02-24,76569030,-6.96%
2023-02-23,82293818,-6.12%
2023-02-22,87660806,4.06%
2023-02-21,84243823,1.29%
2023-02-17,83170426,-8.66%
2023-02-16,91059898,-7.13%
2023-02-15,98054873,-0.35%
2023-02-14,98394782,-7.58%
2023-02-13,106463154,-0.82%
2023-02-10,107339763,0.52%
2023-02-09,106785174,1.36%
2023-02-08,105353977,3.59%
2023-02-07,101704425,1.21%
2023-02-06,100487908,-3.26%
2023-02-03,103869110,-5.29%
2023-02-02,109665457,4.63%
2023-02-01,104817278,1.03%
2023-01-31,103743880,1.95%
2023-01-30,101758095,2.38%
2023-01-27,99396620,-2.49%
2023-01-26,101936994,0.35%
2023-01-25,101579195,-0.39%
2023-01-24,101972774,0.49%
2023-01-23,101471855,6.22%
2023-01-20,95532389,6.16%
2023-01-19,89986501,1.02%
2023-01-18,89074113,-0.46%
2023-01-17,89485582,4.19%
2023-01-13,85889700,-2.95%
2023-01-12,88501634,3.06%
2023-01-11,85871810,-6.63%
2023-01-10,91972286,8.00%
2023-01-09,85156211,1.73%
2023-01-06,83707125,8.84%
2023-01-05,76908940,-1.62%
2023-01-04,78179127,9.28%
2023-01-03,71541952,3.15%
2022-12-30,69359376,1.23%
2022-12-29,68518548,1.06%
2022-12-28,67802950,-4.17%
2022-12-27,70754793,-4.70%
2022-12-23,74243336,1.12%
2022-12-22,73420397,-2.29%
2022-12-21,75137834,-0.24%
2022-12-20,75316733,-2.02%
2022-12-19,76873160,-4.47%
2022-12-16,80469042,-1.16%
2022-12-15,81417210,-4.19%
2022-12-14,84977312,-1.39%
2022-12-13,86175939,2.71%
2022-12-12,83903914,-2.09%
2022-12-09,85692910,2.11%
2022-12-08,83921804,-0.42%
2022-12-07,84279603,3.47%
2022-12-06,81452990,-7.52%
2022-12-05,88072275,2.61%
2022-12-02,85836030,-0.04%
2022-12-01,85871810,1.01%
2022-11-30,85013092,5.02%
2022-11-29,80952071,-2.65%
2022-11-28,83152536,-0.90%
2022-11-25,83903914,3.30%
2022-11-23,81220420,-0.77%
2022-11-22,81846569,-0.13%
2022-11-21,81953909,-1.36%
2022-11-18,83080976,-2.58%
2022-11-17,85281441,-6.53%
2022-11-16,91238798,-5.56%
2022-11-15,96605786,-9.64%
2022-11-14,106910403,-1.55%
2022-11-11,108592060,4.66%
2022-11-10,103761770,-1.56%
2022-11-09,105407647,-2.64%
2022-11-08,108270040,5.40%
2022-11-07,102724153,2.92%
2022-11-04,99808089,5.26%
2022-11-03,94816790,-2.52%
2022-11-02,97267715,1.70%
2022-11-01,95639728,1.02%
2022-10-31,94673670,-0.53%
2022-10-28,95174589,-1.46%
2022-10-27,96587896,2.82%
2022-10-26,93940182,4.44%
2022-10-25,89950721,7.02%
2022-10-24,84047034,4.75%
2022-10-21,80236472,0.74%
2022-10-20,79646104,0.72%
2022-10-19,79073625,-8.07%
2022-10-18,86014930,0.15%
2022-10-17,85889700,-4.86%
2022-10-14,90272740,12.43%
2022-10-13,80290142,6.93%
2022-10-12,75084164,2.37%
2022-10-11,73348838,-0.73%
2022-10-10,73885536,-3.98%
2022-10-07,76944720,-5.45%
2022-10-06,81381430,7.04%
2022-10-05,76032332,-1.16%
2022-10-04,76926830,2.38%
2022-10-03,75137834,6.38%
2022-09-30,70629564,-4.27%
2022-09-29,73783057,-7.00%
2022-09-28,79337572,1.95%
2022-09-27,77816271,-3.55%
2022-09-26,80681976,-3.70%
2022-09-23,83777645,-0.94%
2022-09-22,84573674,-2.01%
2022-09-21,86307249,8.06%
2022-09-20,79868258,-8.79%
2022-09-19,87563206,-1.00%
2022-09-16,88447683,-1.38%
2022-09-15,89685951,-5.76%
2022-09-14,95169707,-0.48%
2022-09-13,95629635,-3.69%
2022-09-12,99291369,3.79%
2022-09-09,95665014,1.69%
2022-09-08,94072956,5.47%
2022-09-07,89190644,-2.32%
2022-09-06,91313388,-2.07%
2022-09-02,93241547,1.17%
2022-09-01,92162486,-3.54%
2022-08-31,95541187,-1.32%
2022-08-30,96814834,-3.47%
2022-08-29,100299673,-2.38%
2022-08-26,102740829,-2.19%
2022-08-25,105040468,1.75%
2022-08-24,103236136,-0.02%
2022-08-23,103253825,1.30%
2022-08-22,101927110,-2.82%
2022-08-19,104881263,-6.31%
2022-08-18,111939388,
2022-08-17,111939388,0.11%
2022-08-16,111815561,-17.16%
2022-08-15,134971165,-0.75%
2022-08-12,135997158,14.75%
2022-08-11,118519895,4.69%
2022-08-10,113213034,4.40%
2022-08-09,108436859,-1.90%
2022-08-08,110541914,-0.45%
2022-08-05,111037221,3.92%
2022-08-04,106844801,0.50%
2022-08-03,106314115,0.94%
2022-08-02,105323501,2.67%
2022-08-01,102581623,3.11%
2022-07-29,99485954,-1.58%
2022-07-28,101078012,0.62%
2022-07-27,100458878,4.41%
2022-07-26,96213390,-5.43%
2022-07-25,101732525,-0.55%
2022-07-22,102298590,-8.09%
2022-07-21,111302564,3.15%
2022-07-20,107906173,3.39%
2022-07-19,104368266,1.57%
2022-07-18,102758518,5.58%
2022-07-15,97327830,1.42%
2022-07-14,95965736,-1.13%
2022-07-13,97062487,4.26%
2022-07-12,93100031,6.17%
2022-07-11,87687033,-4.67%
2022-07-08,91985590,0.44%
2022-07-07,91578731,4.95%
2022-07-06,87262484,-3.27%
2022-07-05,90216637,
2022-07-01,90216637,3.66%
2022-06-30,87032520,-7.07%
2022-06-29,93656962,-14.40%
2022-06-28,109409716,-10.39%
2022-06-27,122092613,7.86%
2022-06-24,113198797,9.37%
2022-06-23,103498048,5.64%
2022-06-22,97972305,-0.27%
2022-06-21,98235435,9.80%
2022-06-17,89464414,-5.10%
2022-06-16,94270934,-7.34%
2022-06-15,101743844,3.28%
2022-06-14,98516108,-3.41%
2022-06-13,101989432,-11.56%
2022-06-10,115321384,-1.88%
2022-06-09,117531682,-2.90%
2022-06-08,121040090,6.98%
2022-06-07,113146171,-3.01%
2022-06-06,116654579,-1.47%
2022-06-03,118391242,2.04%
2022-06-02,116023066,2.54%
2022-06-01,113146171,-8.00%
2022-05-31,122987257,4.63%
2022-05-27,117549224,4.67%
2022-05-26,112304153,2.19%
2022-05-25,109900893,1.05%
2022-05-24,108760661,-5.01%
2022-05-23,114496908,5.53%
2022-05-20,108497530,-6.05%
2022-05-19,115479263,5.50%
2022-05-18,109462342,-9.06%
2022-05-17,120373492,3.97%
2022-05-16,115777477,0.76%
2022-05-13,114900375,10.42%
2022-05-12,104059393,3.89%
2022-05-11,100165060,-8.30%
