Date,Market Cap,% Change
2023-04-25,1942404878,-2.61%
2023-04-24,1994476829,-0.06%
2023-04-21,1995687805,-0.24%
2023-04-20,2000531707,-0.30%
2023-04-19,2006586585,0.18%
2023-04-18,2002953658,-0.90%
2023-04-17,2021118293,2.52%
2023-04-14,1971468293,-1.51%
2023-04-13,2001742683,1.22%
2023-04-12,1977523171,0.31%
2023-04-11,1971468293,0.43%
2023-04-10,1962991463,6.57%
2023-04-06,1841893902,5.99%
2023-04-05,1737750000,-1.58%
2023-04-04,1765602439,-1.88%
2023-04-03,1799509756,0.47%
2023-03-31,1791032927,2.57%
2023-03-30,1746226829,1.05%
2023-03-29,1728062195,1.71%
2023-03-28,1698998780,1.89%
2023-03-27,1667513414,2.61%
2023-03-24,1625129268,1.36%
2023-03-23,1603331707,5.75%
2023-03-22,1516141463,-3.62%
2023-03-21,1573057317,0.70%
2023-03-20,1562158536,5.13%
2023-03-17,1485867073,-2.85%
2023-03-16,1529462195,0.16%
2023-03-15,1527040244,-1.64%
2023-03-14,1552470732,-0.31%
2023-03-13,1557314634,0.08%
2023-03-10,1556103658,0.23%
2023-03-09,1552470732,-4.40%
2023-03-08,1623918293,0.75%
2023-03-07,1611808536,-1.55%
2023-03-06,1637239024,-1.67%
2023-03-03,1665091463,-0.15%
2023-03-02,1667513414,2.53%
2023-03-01,1626340244,-1.32%
2023-02-28,1648137805,-2.37%
2023-02-27,1688100000,5.05%
2023-02-24,1606964634,1.38%
2023-02-23,1585167073,2.51%
2023-02-22,1546415853,2.32%
2023-02-21,1511297561,6.85%
2023-02-17,1414419512,-1.10%
2023-02-16,1430162195,-4.37%
2023-02-15,1495554878,4.57%
2023-02-14,1430162195,
2023-02-13,1430162195,0.94%
2023-02-10,1416841463,-4.18%
2023-02-09,1478601219,-2.94%
2023-02-08,1523407317,-1.02%
2023-02-07,1539150000,-0.08%
2023-02-06,1540360975,1.03%
2023-02-03,1524618292,-2.02%
2023-02-02,1556103658,3.80%
2023-02-01,1499187805,3.69%
2023-01-31,1445904878,6.99%
2023-01-30,1351448780,-3.46%
2023-01-27,1399887805,0.78%
2023-01-26,1388989024,-0.35%
2023-01-25,1393832927,-1.03%
2023-01-24,1408364634,3.93%
2023-01-23,1355081707,1.36%
2023-01-20,1336917073,3.18%
2023-01-19,1295743902,-0.19%
2023-01-18,1298165853,-3.34%
2023-01-17,1342971951,2.59%
2023-01-13,1309064634,3.05%
2023-01-12,1270313414,10.07%
2023-01-11,1154059756,-1.24%
2023-01-10,1168591463,9.78%
2023-01-09,1064447561,4.39%
2023-01-06,1019641463,-2.66%
2023-01-05,1047493902,-1.37%
2023-01-04,1062025609,4.16%
2023-01-03,1019641463,-0.39%
2022-12-30,1023612000,0.12%
2022-12-29,1022430000,3.59%
2022-12-28,986970000,-4.46%
2022-12-27,1033068000,1.16%
2022-12-23,1021248000,-7.79%
2022-12-22,1107534000,4.69%
2022-12-21,1057889999,-2.82%
2022-12-20,1088622000,-5.15%
2022-12-19,1147722000,-10.34%
2022-12-16,1280106000,-5.58%
2022-12-15,1355754000,-4.42%
2022-12-14,1418400000,-2.20%
2022-12-13,1450314000,0.16%
2022-12-12,1447950000,0.41%
2022-12-09,1442040000,-1.61%
2022-12-08,1465680000,3.16%
2022-12-07,1420764000,-4.68%
2022-12-06,1490502000,-4.76%
2022-12-05,1564968000,-3.85%
2022-12-02,1627614000,-0.07%
2022-12-01,1628796000,1.25%
2022-11-30,1608702000,1.26%
2022-11-29,1588608000,0.30%
2022-11-28,1583880000,-3.25%
2022-11-25,1637070000,0.22%
2022-11-23,1633524000,12.63%
2022-11-22,1450314000,2.34%
2022-11-21,1417218000,-5.14%
2022-11-18,1494048000,-0.71%
2022-11-17,1504686000,-0.55%
2022-11-16,1512960000,-0.85%
2022-11-15,1525962000,3.53%
2022-11-14,1473954000,0.65%
2022-11-11,1464498000,3.94%
2022-11-10,1408944000,1.79%
2022-11-09,1384122000,-3.86%
2022-11-08,1439676000,-0.25%
2022-11-07,1443222000,5.17%
2022-11-04,1372302000,9.43%
2022-11-03,1254102000,1.14%
2022-11-02,1239918000,-2.42%
2022-11-01,1270650000,1.32%
2022-10-31,1254102000,-1.67%
2022-10-28,1275378000,4.25%
2022-10-27,1223370000,0.78%
2022-10-26,1213914000,2.60%
2022-10-25,1183182000,3.52%
2022-10-24,1142994000,-1.02%
2022-10-21,1154814000,6.78%
2022-10-20,1081530000,-0.44%
2022-10-19,1086258000,-3.57%
2022-10-18,1126446000,-1.35%
2022-10-17,1141812000,3.21%
2022-10-14,1106352000,-5.74%
2022-10-13,1173726000,-2.46%
2022-10-12,1203276000,-2.21%
2022-10-11,1230462000,-6.89%
2022-10-10,1321476000,-2.61%
2022-10-07,1356936000,-5.05%
2022-10-06,1429038000,-1.95%
2022-10-05,1457406000,-2.99%
2022-10-04,1502322000,3.25%
2022-10-03,1455042000,1.65%
2022-09-30,1431402000,-3.67%
2022-09-29,1485920000,0.24%
2022-09-28,1482368000,3.05%
2022-09-27,1438560000,2.45%
2022-09-26,1404224000,-2.06%
2022-09-23,1433824000,-3.12%
2022-09-22,1480000000,-0.56%
2022-09-21,1488288000,-3.75%
2022-09-20,1546304000,-2.61%
2022-09-19,1587744000,-1.18%
2022-09-16,1606688000,-1.74%
2022-09-15,1635104000,-0.86%
2022-09-14,1649312000,4.27%
2022-09-13,1581824000,-4.16%
2022-09-12,1650496000,-0.92%
2022-09-09,1665888000,3.00%
2022-09-08,1617344000,-0.51%
2022-09-07,1625632000,3.47%
