Date,Market Cap,% Change
2023-04-25,38429722,-3.16%
2023-04-24,39682866,-2.56%
2023-04-21,40727152,-7.14%
2023-04-20,43860009,-2.33%
2023-04-19,44904295,-5.29%
2023-04-18,47410582,3.18%
2023-04-17,45948581,10.00%
2023-04-14,41771438,-0.50%
2023-04-13,41980295,2.03%
2023-04-12,41144866,-6.19%
2023-04-11,43860009,5.00%
2023-04-10,41771438,0.50%
2023-04-06,41562580,17.75%
2023-04-05,35296865,3.68%
2023-04-04,34043721,-11.41%
2023-04-03,38429722,-8.00%
2023-03-31,41771438,-37.50%
2023-03-30,66834300,4.92%
2023-03-29,63701442,6.27%
2023-03-28,59942013,7.49%
2023-03-27,55764869,3.89%
2023-03-24,53676297,-0.77%
2023-03-23,54094012,3.60%
2023-03-22,52214297,-3.85%
2023-03-21,54302869,
2023-03-20,54302869,-5.11%
2023-03-17,57226870,-6.16%
2023-03-16,60986299,-1.02%
2023-03-15,61612871,-1.99%
2023-03-14,62866014,-7.67%
2023-03-13,68087443,-6.05%
2023-03-10,72473444,-8.20%
2023-03-09,78948017,-5.26%
2023-03-08,83334018,-1.48%
2023-03-07,84587161,-0.25%
2023-03-06,84796019,-2.40%
2023-03-03,86884591,0.48%
2023-03-02,86466876,0.98%
2023-03-01,85631447,-6.61%
2023-02-28,91688306,1.62%
2023-02-27,90226306,-4.42%
2023-02-24,94403449,-6.22%
2023-02-23,100669165,
2023-02-22,100669165,1.26%
2023-02-21,99416022,-10.36%
2023-02-17,110903167,-1.67%
2023-02-16,112782882,1.12%
2023-02-15,111529739,0.75%
2023-02-14,110694310,-1.94%
2023-02-13,112887311,-0.64%
2023-02-10,113618311,-3.89%
2023-02-09,118213169,-7.06%
2023-02-08,127194028,-4.84%
2023-02-07,133668601,0.79%
2023-02-06,132624315,-6.75%
2023-02-03,142231746,0.89%
2023-02-02,140978603,7.14%
2023-02-01,131580029,1.29%
2023-01-31,129909172,3.15%
2023-01-30,125940885,-3.83%
2023-01-27,130953458,5.91%
2023-01-26,123643456,3.14%
2023-01-25,119884027,0.70%
2023-01-24,119048598,-0.52%
2023-01-23,119675169,6.11%
2023-01-20,112782882,0.93%
2023-01-19,111738596,-3.95%
2023-01-18,116333454,-4.13%
2023-01-17,121346027,1.57%
2023-01-13,119466312,0.18%
2023-01-12,119257455,-0.35%
2023-01-11,119675169,-1.72%
2023-01-10,121763741,0.52%
2023-01-09,121137170,3.20%
2023-01-06,117377740,1.44%
2023-01-05,115706883,3.17%
2023-01-04,112156311,2.09%
2023-01-03,109858881,24.30%
2022-12-30,88378675,-7.25%
2022-12-29,95283259,8.45%
2022-12-28,87860831,0.20%
2022-12-27,87688216,-0.97%
2022-12-23,88551289,-3.57%
2022-12-22,91830967,-2.74%
2022-12-21,94420186,3.01%
2022-12-20,91658352,0.95%
2022-12-19,90795279,-9.62%
2022-12-16,100461697,-3.00%
2022-12-15,103568760,-2.28%
2022-12-14,105985364,0.99%
2022-12-13,104949676,1.84%
2022-12-12,103050916,-2.61%
2022-12-09,105812749,0.33%
2022-12-08,105467520,0.16%
2022-12-07,105294906,-0.97%
2022-12-06,106330593,-5.95%
2022-12-05,113062563,-4.38%
2022-12-02,118241001,
2022-12-01,118241001,4.42%
2022-11-30,113235177,3.47%
2022-11-29,109437656,0.16%
2022-11-28,109265041,-4.38%
2022-11-25,114270865,-1.19%
2022-11-23,115651782,1.36%
2022-11-22,114098250,-1.05%
2022-11-21,115306552,-4.02%
2022-11-18,120139761,-6.45%
2022-11-17,128425262,-1.72%
2022-11-16,130669252,1.61%
2022-11-15,128597877,5.23%
2022-11-14,122211136,-1.67%
2022-11-11,124282512,7.46%
2022-11-10,115651782,3.08%
2022-11-09,112199490,-7.54%
2022-11-08,121348063,1.59%
2022-11-07,119449303,7.79%
2022-11-04,110818573,-6.14%
2022-11-03,118068386,-1.44%
2022-11-02,119794532,-4.28%
2022-11-01,125145585,0.83%
2022-10-31,124109897,2.71%
2022-10-28,120830220,5.26%
2022-10-27,114788709,-0.45%
2022-10-26,115306552,5.36%
2022-10-25,109437656,5.49%
2022-10-24,103741374,-0.33%
2022-10-21,104086603,0.50%
2022-10-20,103568760,0.17%
2022-10-19,103396145,-2.76%
