Date,Market Cap,% Change
2023-04-26,31656529,3.45%
2023-04-25,30601311,-3.24%
2023-04-24,31624414,1.37%
2023-04-21,31197739,-1.45%
2023-04-20,31656529,-6.12%
2023-04-19,33721085,0.68%
2023-04-18,33491690,-2.67%
2023-04-17,34409271,-4.48%
2023-04-14,36024212,2.64%
2023-04-13,35097456,3.38%
2023-04-12,33950480,-5.73%
2023-04-11,36015036,-1.87%
2023-04-10,36703222,5.26%
2023-04-06,34868061,-2.56%
2023-04-05,35785641,0.65%
2023-04-04,35556246,-3.12%
2023-04-03,36703222,-3.03%
2023-03-31,37850198,5.77%
2023-03-30,35785641,-1.27%
2023-03-29,36244432,
2023-03-28,36244432,-1.86%
2023-03-27,36932617,-1.23%
2023-03-24,37391407,1.88%
2023-03-23,36703222,-5.33%
2023-03-22,38767778,-3.98%
2023-03-21,40373544,-0.56%
2023-03-20,40602939,-8.29%
2023-03-17,44273262,4.32%
2023-03-16,42438100,-1.07%
2023-03-15,42896891,-0.27%
2023-03-14,43011588,4.17%
2023-03-13,41291125,-2.17%
2023-03-10,42208705,1.66%
2023-03-09,41520520,-3.21%
2023-03-08,42896891,3.31%
2023-03-07,41520520,-6.22%
2023-03-06,44273262,1.58%
2023-03-03,43585076,2.70%
2023-03-02,42438100,-4.15%
2023-03-01,44273262,-3.50%
2023-02-28,45879028,6.95%
2023-02-27,42896891,-3.61%
2023-02-24,44502657,-1.27%
2023-02-23,45076145,1.81%
2023-02-22,44273262,-1.03%
2023-02-21,44732052,-1.76%
2023-02-17,45534935,-0.75%
2023-02-16,45879028,0.61%
2023-02-15,45601459,7.45%
2023-02-14,42438100,2.78%
2023-02-13,41291125,-2.17%
2023-02-10,42208705,-0.54%
2023-02-09,42438100,3.35%
2023-02-08,41061730,
2023-02-07,41061730,2.29%
2023-02-06,40144149,-0.57%
2023-02-03,40373544,-1.12%
2023-02-02,40832334,-2.20%
2023-02-01,41749915,0.55%
2023-01-31,41520520,-0.55%
2023-01-30,41749915,-0.55%
2023-01-27,41979310,1.10%
2023-01-26,41520520,2.26%
2023-01-25,40602939,-1.67%
2023-01-24,41291125,-1.64%
2023-01-23,41979310,3.98%
2023-01-20,40373544,-1.68%
2023-01-19,41061730,-0.56%
2023-01-18,41291125,-10.00%
2023-01-17,45879028,1.52%
2023-01-13,45190842,5.91%
2023-01-12,42667496,
2023-01-11,42667496,-5.10%
2023-01-10,44961447,2.08%
2023-01-09,44043866,-3.99%
2023-01-06,45874440,-0.01%
