Date,Market Cap,% Change
2023-04-26,22261815000,1.20%
2023-04-25,21998544840,-5.11%
2023-04-24,23183260560,-2.30%
2023-04-21,23729158980,2.90%
2023-04-20,23059368720,-3.52%
2023-04-19,23899510260,-1.06%
2023-04-18,24155037180,2.92%
2023-04-17,23469760440,-1.78%
2023-04-14,23895638640,0.44%
2023-04-13,23791104900,2.25%
2023-04-12,23268436200,-4.48%
2023-04-11,24360233040,2.18%
2023-04-10,23841435960,1.48%
2023-04-06,23492990160,-0.30%
2023-04-05,23562679320,-3.92%
2023-04-04,24522841080,-0.94%
2023-04-03,24755138280,0.60%
2023-03-31,24608016720,2.88%
2023-03-30,23918868360,3.21%
2023-03-29,23175517320,1.39%
2023-03-28,22858044480,-1.44%
2023-03-27,23191003800,-1.27%
2023-03-24,23489118540,0.60%
2023-03-23,23349740220,2.01%
2023-03-22,22889017440,-2.07%
2023-03-21,23372969940,1.77%
2023-03-20,22966449840,-0.54%
2023-03-17,23090341680,-1.79%
2023-03-16,23512348260,3.87%
2023-03-15,22637362140,2.60%
2023-03-14,22064362380,5.93%
2023-03-13,20829315600,1.07%
2023-03-10,20608633260,-3.71%
2023-03-09,21402315360,-5.02%
2023-03-08,22532828400,0.07%
2023-03-07,22517341920,3.95%
2023-03-06,21661713900,-2.42%
2023-03-03,22199869080,3.73%
2023-03-02,21402315360,2.52%
2023-03-01,20875775040,-1.35%
2023-02-28,21162274920,0.87%
2023-02-27,20980308780,-1.63%
2023-02-24,21328754580,-2.62%
2023-02-23,21901754340,-2.28%
2023-02-22,22412808180,-0.29%
2023-02-21,22478625720,-6.07%
2023-02-17,23930483220,-7.59%
2023-02-16,25897266180,-1.89%
2023-02-15,26396705160,10.66%
2023-02-14,23853050820,3.91%
2023-02-13,22954834980,2.72%
2023-02-10,22346990640,-6.68%
2023-02-09,23945969700,-0.85%
2023-02-08,24151165560,3.93%
2023-02-07,23237463240,0.57%
2023-02-06,23105828160,1.08%
2023-02-03,22858044480,-7.48%
2023-02-02,24704807220,8.32%
2023-02-01,22807713420,1.71%
2023-01-31,22424423040,2.40%
2023-01-30,21897882720,-3.53%
2023-01-27,22699308060,2.95%
2023-01-26,22048875900,-4.33%
2023-01-25,23047753860,
2023-01-24,23047753860,-1.75%
2023-01-23,23458145580,4.43%
2023-01-20,22463139240,6.17%
2023-01-19,21158403300,-1.19%
2023-01-18,21413930220,1.54%
2023-01-17,21088714140,4.07%
2023-01-13,20264059080,0.60%
2023-01-12,20144038860,0.44%
2023-01-11,20054991600,7.83%
2023-01-10,18599262480,-0.02%
2023-01-09,18603134100,0.10%
2023-01-06,18583776000,1.85%
2023-01-05,18246945060,-3.68%
2023-01-04,18943836660,1.18%
2023-01-03,18723154320,3.26%
2022-12-30,18132382660,-1.53%
2022-12-29,18414656540,5.83%
2022-12-28,17400699050,-3.26%
2022-12-27,17987531590,-4.46%
2022-12-23,18826924970,-1.30%
2022-12-22,19075771680,-2.95%
2022-12-21,19655175960,3.10%
2022-12-20,19064629290,-0.21%
2022-12-19,19105484720,-2.06%
2022-12-16,19506610760,-4.94%
2022-12-15,20520568250,-5.56%
2022-12-14,21727660500,0.45%
2022-12-13,21631093120,0.38%
2022-12-12,21549382260,4.98%
2022-12-09,20527996510,2.33%
2022-12-08,20060016130,0.73%
2022-12-07,19915165060,1.73%
2022-12-06,19577179230,-0.98%
2022-12-05,19770313990,-3.55%
2022-12-02,20498283470,-3.38%
2022-12-01,21215110560,-1.94%
2022-11-30,21634807250,9.21%
2022-11-29,19811169420,-2.40%
2022-11-28,20297720450,-1.48%
2022-11-25,20602279110,-1.96%
2022-11-23,21014547540,4.87%
2022-11-22,20037731350,-2.39%
2022-11-21,20527996510,-5.18%
2022-11-18,21649663770,-0.70%
2022-11-17,21801943100,-3.42%
2022-11-16,22574482140,-4.10%
2022-11-15,23540155940,2.19%
2022-11-14,23035034260,-1.54%
2022-11-11,23395304870,5.94%
2022-11-10,22084216980,11.66%
2022-11-09,19777742250,-2.35%
2022-11-08,20253150890,4.66%
2022-11-07,19350617300,1.03%
2022-11-04,19153768410,8.32%
2022-11-03,17682972930,5.52%
2022-11-02,16758154560,0.04%
2022-11-01,16750726300,3.61%
2022-10-31,16167607890,-7.50%
2022-10-28,17478695780,1.55%
2022-10-27,17211278420,-1.88%
2022-10-26,17541835990,-0.48%
2022-10-25,17627260980,6.82%
2022-10-24,16501879590,-1.77%
2022-10-21,16799009989,-0.66%
2022-10-20,16910433890,-0.55%
2022-10-19,17003287140,-2.39%
2022-10-18,17419269700,2.60%
2022-10-17,16977288230,6.15%
2022-10-14,15993043780,-6.21%
2022-10-13,17051570829,-1.73%
2022-10-12,17352415360,4.17%
2022-10-11,16657873050,-5.99%
2022-10-10,17720114230,-3.40%
2022-10-07,18344088070,-6.79%
2022-10-06,19681174870,
2022-10-05,19681174870,-2.16%
2022-10-04,20115728080,7.21%
2022-10-03,18763784760,2.16%
2022-09-30,18366372850,-4.22%
2022-09-29,19176239040,-5.43%
2022-09-28,20276641200,3.03%
2022-09-27,19680269400,0.83%
2022-09-26,19518671880,-2.46%
2022-09-23,20011159560,-3.69%
2022-09-22,20776824000,-5.54%
2022-09-21,21996500520,-0.85%
2022-09-20,22185030960,-2.07%
2022-09-19,22654433280,-0.42%
2022-09-16,22750622280,-8.20%
2022-09-15,24782133960,-0.19%
2022-09-14,24828304680,3.96%
2022-09-13,23881804920,-5.77%
2022-09-12,25343877720,2.43%
2022-09-09,24743658360,8.39%
2022-09-08,22827573480,0.36%
2022-09-07,22746774720,1.53%
2022-09-06,22404341880,
2022-09-02,22404341880,-1.10%
2022-09-01,22654433280,-1.70%
2022-08-31,23046884400,-2.47%
2022-08-30,23631713520,1.42%
2022-08-29,23300823360,-1.78%
2022-08-26,23724054960,-5.07%
2022-08-25,24989902200,1.29%
2022-08-24,24670554720,0.79%
2022-08-23,24478176720,0.46%
2022-08-22,24366597480,-2.55%
2022-08-19,25005292439,-2.56%
2022-08-18,25663225200,-2.17%
2022-08-17,26232664080,-7.33%
2022-08-16,28306498919,-5.39%
2022-08-15,29918626560,0.50%
2022-08-12,29768571720,-0.67%
2022-08-11,29968644840,-3.36%
2022-08-10,31011333599,10.37%
2022-08-09,28098730680,-3.32%
2022-08-08,29064468240,-5.92%
2022-08-05,30892059240,-1.32%
2022-08-04,31303748160,2.34%
2022-08-03,30588102000,4.96%
2022-08-02,29141419439,5.15%
2022-08-01,27713974680,3.27%
2022-07-29,26836731000,-0.46%
2022-07-28,26959852919,-1.89%
2022-07-27,27479273520,3.96%
2022-07-26,26432737200,-4.26%
2022-07-25,27610090560,-2.30%
2022-07-22,28260328200,-5.36%
2022-07-21,29860913160,0.57%
2022-07-20,29691620520,4.65%
2022-07-19,28371907439,1.79%
2022-07-18,27871724640,3.34%
2022-07-15,26971395599,1.11%
2022-07-14,26675133480,-3.36%
2022-07-13,27602395439,0.86%
2022-07-12,27367694280,-0.27%
2022-07-11,27440797919,-4.86%
2022-07-08,28841309759,-1.37%
2022-07-07,29241456000,9.57%
2022-07-06,26686676160,-7.40%
2022-07-05,28818224400,10.23%
2022-07-01,26144170200,5.89%
2022-06-30,24689792520,0.62%
2022-06-29,24538250620,-0.04%
2022-06-28,24549169450,-5.27%
2022-06-27,25914023200,-3.93%
2022-06-24,26973149710,5.46%
2022-06-23,25575539470,7.86%
2022-06-22,23712059150,3.30%
2022-06-21,22955020270,2.24%
2022-06-17,22452754090,5.67%
2022-06-16,21248043180,-8.24%
2022-06-15,23155198820,8.83%
2022-06-14,21277160060,0.14%
2022-06-13,21248043180,-6.11%
2022-06-10,22631094980,-9.42%
2022-06-09,24985922650,-6.97%
2022-06-08,26856682190,5.52%
2022-06-07,25451792730,-0.03%
2022-06-06,25459071950,2.81%
2022-06-03,24763906440,-6.76%
2022-06-02,26558234170,1.42%
2022-06-01,26186993950,-6.45%
2022-05-31,27992240510,-1.51%
2022-05-27,28421714490,5.97%
2022-05-26,26820286090,7.61%
2022-05-25,24924049280,9.29%
2022-05-24,22805796260,-7.59%
2022-05-23,24680195410,2.39%
2022-05-20,24105137030,-1.08%
2022-05-19,24367188950,5.22%
2022-05-18,23158838430,-8.29%
2022-05-17,25251614180,5.46%
2022-05-16,23944994190,-10.74%
2022-05-13,26827565309,12.38%
2022-05-12,23872201990,10.22%
2022-05-11,21659319110,-13.16%
2022-05-10,24942247330,6.78%
2022-05-09,23359016980,-11.00%
2022-05-06,26245227710,-1.42%
2022-05-05,26623747150,-10.40%
2022-05-04,29713776040,3.11%
2022-05-03,28818431980,-3.74%
2022-05-02,29939431860,1.02%
2022-04-29,29637344230,-6.82%
2022-04-28,31806551790,6.29%
2022-04-27,29924873420,-2.42%
2022-04-26,30667353860,-7.66%
2022-04-25,33211441250,2.53%
2022-04-22,32392529000,-3.21%
2022-04-21,33466213950,-8.18%
2022-04-20,36447054540,-5.98%
2022-04-19,38765486110,3.31%
2022-04-18,37524379100,-5.68%
2022-04-14,39784576910,-1.31%
2022-04-13,40312320360,6.07%
2022-04-12,38004807620,-0.29%
2022-04-11,38113995920,-1.60%
2022-04-08,38732729620,-4.05%
2022-04-07,40366914510,-2.37%
2022-04-06,41345969600,-3.89%
2022-04-05,43020190200,-7.08%
2022-04-04,46299478810,5.22%
2022-04-01,44002884900,3.17%
2022-03-31,42652589590,3.30%
2022-03-30,41288162370,-4.31%
2022-03-29,43146007450,7.97%
2022-03-28,39961130170,8.68%
2022-03-25,36769268510,-8.35%
2022-03-24,40118278720,0.47%
2022-03-23,39929700460,2.78%
2022-03-22,38850613750,3.87%
2022-03-21,37401354900,-0.18%
2022-03-18,37467706510,11.66%
2022-03-17,33556453710,6.18%
2022-03-16,31604319500,13.45%
2022-03-15,27857199630,4.88%
2022-03-14,26561597140,-12.54%
2022-03-11,30371576430,-2.99%
2022-03-10,31307483350,-2.38%
2022-03-09,32072272960,8.03%
2022-03-08,29687107190,6.45%
2022-03-07,27888629340,-11.13%
2022-03-04,31380819340,-11.62%
2022-03-03,35508587920,-1.87%
2022-03-02,36186072780,1.16%
2022-03-01,35770502170,-2.40%
2022-02-28,36650534050,4.59%
2022-02-25,35040634460,-0.08%
2022-02-24,35068571980,10.90%
2022-02-23,31621780450,-2.81%
2022-02-22,32536734230,-3.16%
2022-02-18,33598359989,-8.40%
2022-02-17,36678471570,10.69%
2022-02-16,33137390910,-6.80%
2022-02-15,35553986390,4.84%
2022-02-14,33912657090,2.21%
2022-02-11,33179297190,-2.86%
2022-02-10,34157110390,-9.54%
2022-02-09,37761050470,7.58%
2022-02-08,35100001690,2.66%
2022-02-07,34192032290,-0.59%
2022-02-04,34394579310,6.72%
2022-02-03,32229421510,-11.40%
2022-02-02,36378143230,-9.12%
2022-02-01,40027481780,1.00%
2022-01-31,39632864310,9.47%
2022-01-28,36203533730,7.89%
2022-01-27,33556453710,-5.30%
2022-01-26,35435251930,-7.24%
2022-01-25,38201066410,-6.78%
2022-01-24,40980849650,0.34%
2022-01-21,40841162050,-7.75%
2022-01-20,44273984820,-3.78%
2022-01-19,46013095440,2.47%
2022-01-18,44902579020,-2.24%
2022-01-14,45932775070,-0.19%
2022-01-13,46020079820,-6.31%
2022-01-12,49121144540,-2.07%
2022-01-11,50161817159,7.64%
2022-01-10,46603275549,0.89%
2022-01-07,46191197130,-3.65%
2022-01-06,47940784320,7.28%
2022-01-05,44689555430,-5.84%
2022-01-04,47462354290,-6.49%
2022-01-03,50755489460,-2.39%
2021-12-31,51998709100,-0.94%
2021-12-30,52490186220,1.51%
2021-12-29,51708241590,-2.25%
2021-12-28,52896659640,-1.59%
2021-12-27,53750942760,1.54%
2021-12-23,52937995920,2.98%
2021-12-22,51408553560,-1.56%
2021-12-21,52224945090,2.39%
2021-12-20,51005524830,-0.50%
2021-12-17,51260431890,3.03%
2021-12-16,49755102360,-7.55%
2021-12-15,53819836560,-0.12%
2021-12-14,53885285670,0.76%
2021-12-13,53478812250,-1.74%
2021-12-10,54426102000,-4.16%
2021-12-09,56789159340,-2.41%
2021-12-08,58191148170,3.35%
2021-12-07,56306902740,1.19%
2021-12-06,55645522260,2.43%
2021-12-03,54326205990,-5.06%
2021-12-02,57223190280,2.78%
2021-12-01,55673079780,-9.59%
2021-11-30,61580723130,-2.32%
2021-11-29,63041271690,-2.61%
