Date,Market Cap,% Change
2023-04-25,372499303,-0.62%
2023-04-24,374826477,-0.56%
2023-04-21,376947097,-0.35%
2023-04-20,378269042,-1.19%
2023-04-19,382813228,-1.40%
2023-04-18,388252480,-2.10%
2023-04-17,396583488,1.30%
2023-04-14,391488491,0.07%
2023-04-13,391213086,-1.80%
2023-04-12,398373605,
2023-04-11,398373621,1.15%
2023-04-10,393829436,-0.59%
2023-04-06,396170380,1.48%
2023-04-05,390386871,0.57%
2023-04-04,388156088,-0.04%
2023-04-03,388321332,-1.04%
2023-03-31,392397328,2.14%
2023-03-30,384190254,0.44%
2023-03-29,382510282,1.37%
2023-03-28,377332664,-1.18%
2023-03-27,381835539,2.02%
2023-03-24,374275666,-0.80%
2023-03-23,377305124,1.85%
2023-03-22,370433764,-1.10%
2023-03-21,374551072,0.02%
2023-03-20,374468450,-0.78%
2023-03-17,377429056,-0.44%
2023-03-16,379095257,2.27%
2023-03-15,370695399,0.45%
2023-03-14,369042968,0.37%
2023-03-13,367665942,-1.86%
2023-03-10,374619923,-1.36%
2023-03-09,379783770,1.39%
2023-03-08,374564842,-0.22%
2023-03-07,375377287,-0.87%
2023-03-06,378682150,-4.31%
2023-03-03,395757272,-4.20%
2023-03-02,413107800,2.39%
2023-03-01,403482388,-3.51%
2023-02-28,418175255,-2.68%
2023-02-27,429700963,1.64%
2023-02-24,422746982,-1.70%
2023-02-23,430058990,1.81%
2023-02-22,422402725,1.52%
2023-02-21,416095946,2.35%
2023-02-17,406525615,-4.36%
2023-02-16,425060385,1.21%
2023-02-15,419992930,3.97%
2023-02-14,403964347,0.30%
2023-02-13,402752564,1.13%
2023-02-10,398263459,-0.30%
2023-02-09,399475242,-3.48%
2023-02-08,413892704,-1.45%
2023-02-07,419992930,-0.04%
2023-02-06,420158173,-1.26%
2023-02-03,425501034,-1.43%
2023-02-02,431683880,-0.08%
2023-02-01,432028137,2.53%
2023-01-31,421369956,2.68%
2023-01-30,410353748,-1.55%
2023-01-27,416825770,-0.58%
2023-01-26,419276876,4.38%
2023-01-25,401678484,-0.95%
2023-01-24,405534157,0.79%
2023-01-23,402353226,-0.48%
2023-01-20,404308603,2.58%
2023-01-19,394132381,-0.96%
2023-01-18,397960514,-2.03%
2023-01-17,406222670,0.20%
2023-01-13,405396454,0.14%
2023-01-12,404831873,-0.85%
2023-01-11,408301979,0.85%
2023-01-10,404845644,1.45%
2023-01-09,399062134,-3.08%
2023-01-06,411730774,6.17%
2023-01-05,387798062,0.57%
2023-01-04,385581050,5.76%
2023-01-03,364595174,5.69%
2022-12-30,344958783,-6.25%
2022-12-29,367941347,-2.59%
2022-12-28,377718231,-3.75%
2022-12-27,392452410,-5.25%
2022-12-23,414209420,3.95%
2022-12-22,398456243,-2.90%
2022-12-21,410353748,3.48%
2022-12-20,396569717,1.18%
2022-12-19,391956680,3.37%
2022-12-16,379191649,-0.01%
2022-12-15,379232960,1.55%
2022-12-14,373435680,2.29%
2022-12-13,365090903,-1.24%
2022-12-12,369662629,2.80%
2022-12-09,359610339,-1.45%
2022-12-08,364898119,0.21%
2022-12-07,364126985,-2.06%
2022-12-06,371797020,-0.37%
2022-12-05,373160275,-0.76%
2022-12-02,376010719,-1.71%
2022-12-01,382537822,1.02%
2022-11-30,378682150,0.00%
2022-11-29,378668379,0.73%
2022-11-28,375914327,-1.09%
2022-11-25,380059176,
2022-11-23,380059176,1.06%
2022-11-22,376065800,0.59%
2022-11-21,373876329,-3.03%
2022-11-18,385567280,-0.28%
2022-11-17,386655130,3.23%
2022-11-16,374564842,-1.12%
2022-11-15,378806082,1.87%
2022-11-14,371865871,-1.80%
2022-11-11,378682150,0.36%
2022-11-10,377305124,1.86%
2022-11-09,370419994,-0.20%
2022-11-08,371177358,-0.53%
2022-11-07,373146505,1.15%
2022-11-04,368905265,3.04%
2022-11-03,358026760,
2022-11-02,358026760,-1.37%
2022-11-01,362984053,-1.73%
2022-10-31,369387224,-2.09%
2022-10-28,377291353,3.39%
2022-10-27,364911890,-1.50%
2022-10-26,370461304,0.38%
2022-10-25,369042968,0.39%
2022-10-24,367597090,-2.92%
2022-10-21,378668379,-3.86%
2022-10-20,393884517,6.46%
2022-10-19,369993115,1.42%
2022-10-18,364829268,1.81%
2022-10-17,358357246,2.05%
2022-10-14,351155400,1.65%
2022-10-13,345468282,-1.23%
2022-10-12,349764604,3.00%
2022-10-11,339574611,-4.51%
2022-10-10,355616964,1.27%
2022-10-07,351141630,-2.04%
2022-10-06,358453638,-0.87%
2022-10-05,361607027,-2.74%
2022-10-04,371783249,1.15%
2022-10-03,367569550,4.11%
2022-09-30,353055696,-1.38%
2022-09-29,358006675,-0.40%
2022-09-28,359441517,5.48%
2022-09-27,340774785,4.66%
2022-09-26,325612376,-7.81%
2022-09-23,353191680,0.11%
2022-09-22,352819173,0.12%
2022-09-21,352405276,-1.00%
2022-09-20,355950990,-3.37%
2022-09-19,368367885,
2022-09-16,368367885,2.61%
2022-09-15,359000027,-0.80%
2022-09-14,361883506,0.11%
2022-09-13,361469610,-2.12%
2022-09-12,369306050,1.20%
2022-09-09,364932544,-0.11%
2022-09-08,365318847,0.30%
2022-09-07,364228920,1.11%
2022-09-06,360241717,-0.94%
2022-09-02,363677058,0.48%
2022-09-01,361938692,0.44%
2022-08-31,360365886,-1.06%
2022-08-30,364228920,0.76%
2022-08-29,361469610,-0.91%
2022-08-26,364780781,-3.71%
2022-08-25,378853263,2.92%
2022-08-24,368091954,3.39%
2022-08-23,356006176,0.49%
2022-08-22,354267810,-1.31%
2022-08-19,358986231,-4.39%
2022-08-18,375459311,3.08%
2022-08-17,364228920,-1.84%
2022-08-16,371072008,1.10%
2022-08-15,367029619,-2.37%
2022-08-12,375955987,1.26%
2022-08-11,371265160,0.41%
2022-08-10,369747540,1.32%
2022-08-09,364918747,-1.25%
2022-08-08,369540591,-0.43%
2022-08-05,371127195,-0.74%
2022-08-04,373886505,0.37%
2022-08-03,372506850,1.75%
2022-08-02,366091454,-2.25%
2022-08-01,374521146,0.43%
2022-07-29,372920746,0.11%
2022-07-28,372506850,0.52%
2022-07-27,370561536,3.75%
2022-07-26,357151289,-5.95%
2022-07-25,379736242,1.47%
2022-07-22,374245215,-0.29%
2022-07-21,375335142,0.84%
2022-07-20,372217122,1.04%
2022-07-19,368367885,3.69%
2022-07-18,355261162,-2.38%
2022-07-15,363925395,4.99%
2022-07-14,346638318,-0.50%
2022-07-13,348362887,
2022-07-12,348362887,-3.37%
2022-07-11,360503851,-3.94%
2022-07-08,375293753,-2.05%
2022-07-07,383130193,2.42%
2022-07-06,374093453,0.80%
2022-07-05,371127195,1.13%
2022-07-01,366988230,2.78%
2022-06-30,357054714,-0.25%
2022-06-29,357951294,0.76%
2022-06-28,355246234,-0.94%
2022-06-27,358613758,-1.20%
2022-06-24,362974979,1.31%
2022-06-23,358268725,-1.83%
2022-06-22,364948569,-1.15%
2022-06-21,369185577,1.60%
2022-06-17,363389018,1.39%
2022-06-16,358420540,-3.39%
2022-06-15,370979750,2.62%
2022-06-14,361525839,1.99%
2022-06-13,354473359,-5.32%
2022-06-10,374374877,-4.11%
2022-06-09,390439625,-2.92%
2022-06-08,402170756,0.31%
2022-06-07,400928636,1.82%
2022-06-06,393751944,2.81%
2022-06-03,382986907,-1.25%
2022-06-02,387817373,1.81%
2022-06-01,380916708,0.07%
2022-05-31,380668284,-0.77%
2022-05-27,383635570,-0.76%
2022-05-26,386575253,4.13%
2022-05-25,371255777,3.37%
2022-05-24,359165811,-2.82%
2022-05-23,369599617,9.02%
2022-05-20,339015870,0.47%
2022-05-19,337442518,-1.27%
2022-05-18,341789937,-1.88%
2022-05-17,348345569,2.50%
2022-05-16,339857751,-2.57%
2022-05-13,348828615,-1.00%
2022-05-12,352347954,0.16%
2022-05-11,351782100,0.59%
2022-05-10,349705000,1.77%
2022-05-09,343611713,-3.12%
2022-05-06,354694181,0.38%
2022-05-05,353341650,-6.00%
2022-05-04,375906825,5.10%
2022-05-03,357675268,-2.56%
2022-05-02,367060172,3.43%
