Date,Market Cap,% Change
2023-04-25,635962880,-3.66%
2023-04-24,660157120,0.92%
2023-04-21,654108560,-2.13%
2023-04-20,668365880,-1.78%
2023-04-19,680463000,2.41%
2023-04-18,664477520,-1.47%
2023-04-17,674414440,0.32%
2023-04-14,672254240,-1.27%
2023-04-13,680895040,1.29%
2023-04-12,672254240,-1.39%
2023-04-11,681759120,-0.13%
2023-04-10,682623200,0.96%
2023-04-06,676142600,0.97%
2023-04-05,669662000,-0.83%
2023-04-04,675278520,-2.98%
2023-04-03,696016440,0.69%
2023-03-31,691264000,2.17%
2023-03-30,676574640,0.45%
2023-03-29,673550360,0.65%
2023-03-28,669229960,0.13%
2023-03-27,668365880,2.45%
2023-03-24,652380400,0.80%
2023-03-23,647195920,-1.90%
2023-03-22,659725080,-2.92%
2023-03-21,679598920,3.83%
2023-03-20,654540600,4.84%
2023-03-17,624297800,-6.05%
2023-03-16,664477520,-3.27%
2023-03-15,686943600,-2.93%
2023-03-14,707681520,3.08%
2023-03-13,686511560,-8.26%
2023-03-10,748293280,-3.67%
2023-03-09,776807920,0.45%
2023-03-08,773351599,1.42%
2023-03-07,762550599,-0.34%
2023-03-06,765142840,-3.70%
2023-03-03,794521560,1.60%
2023-03-02,781992400,0.67%
2023-03-01,776807920,-2.49%
2023-02-28,796681760,0.33%
2023-02-27,794089520,0.11%
2023-02-24,793225440,-3.77%
2023-02-23,824332319,2.14%
2023-02-22,807050720,1.03%
2023-02-21,798841959,-3.24%
2023-02-17,825628440,-1.90%
2023-02-16,841613920,-0.36%
2023-02-15,844638200,1.98%
2023-02-14,828220680,-1.64%
2023-02-13,842045959,
2023-02-10,842045959,1.09%
2023-02-09,832973120,-3.84%
2023-02-08,866240200,-1.23%
2023-02-07,877041200,1.91%
2023-02-06,860623680,-2.50%
2023-02-03,882657720,-3.72%
2023-02-02,916788880,4.79%
2023-02-01,874881000,1.30%
2023-01-31,863647959,1.68%
2023-01-30,849390640,-1.65%
2023-01-27,863647959,1.11%
2023-01-26,854143080,-0.05%
2023-01-25,854575120,2.22%
2023-01-24,835997400,-0.41%
2023-01-23,839453720,0.99%
2023-01-20,831244959,-0.26%
2023-01-19,833405160,-0.26%
2023-01-18,835565360,-0.41%
2023-01-17,839021680,0.10%
2023-01-13,838157599,-0.87%
2023-01-12,845502280,0.72%
2023-01-11,839453720,2.21%
2023-01-10,821308040,1.60%
2023-01-09,808346840,-2.25%
2023-01-06,826924560,4.08%
2023-01-05,794521560,-1.82%
2023-01-04,809210920,2.86%
2023-01-03,786744840,8.51%
2022-12-30,725046000,-0.76%
2022-12-29,730597000,3.89%
2022-12-28,703269000,-4.13%
2022-12-27,733586000,0.88%
2022-12-23,727181000,1.13%
2022-12-22,719068000,-1.75%
2022-12-21,731878000,3.63%
2022-12-20,706258000,-2.36%
2022-12-19,723338000,3.42%
2022-12-16,699426000,-2.50%
2022-12-15,717360000,-5.41%
2022-12-14,758352000,1.08%
2022-12-13,750239000,0.57%
2022-12-12,745969000,1.51%
2022-12-09,734867000,-3.96%
2022-12-08,765184000,0.73%
2022-12-07,759633000,-5.82%
2022-12-06,806603000,-0.32%
