Date,Market Cap,% Change
2023-04-26,26145242,-0.93%
2023-04-25,26390054,-4.18%
2023-04-24,27541440,-1.79%
2023-04-21,28042541,10.12%
2023-04-20,25464356,3.37%
2023-04-19,24634288,-12.06%
2023-04-18,28011939,-2.36%
2023-04-17,28689000,1.35%
2023-04-14,28306480,4.89%
2023-04-13,26986786,-2.03%
2023-04-12,27545265,-4.24%
2023-04-11,28765504,-5.76%
2023-04-10,30525096,2.31%
2023-04-06,29836560,-1.27%
2023-04-05,30219080,-8.72%
2023-04-04,33107106,-2.65%
2023-04-03,34009853,-20.62%
2023-03-31,42842240,4.67%
2023-03-30,40929640,33.42%
2023-03-29,30678104,14.56%
2023-03-28,26780225,12.52%
2023-03-27,23800394,-2.78%
2023-03-24,24481280,4.92%
2023-03-23,23333720,-6.66%
2023-03-22,24997682,-2.49%
2023-03-21,25636490,4.72%
2023-03-20,24481280,4.12%
2023-03-17,23513504,-7.55%
2023-03-16,25433754,-3.64%
2023-03-15,26393879,-3.70%
2023-03-14,27407558,-1.16%
2023-03-13,27728874,3.56%
2023-03-10,26776400,-9.09%
2023-03-09,29454040,-7.00%
2023-03-08,31672656,3.50%
2023-03-07,30601600,-8.05%
2023-03-06,33279240,-23.01%
2023-03-03,43224759,-2.59%
2023-03-02,44372320,-1.69%
2023-03-01,45137360,-2.07%
2023-02-28,46093660,-0.41%
2023-02-27,46284920,-2.42%
2023-02-24,47432480,3.33%
2023-02-23,45902400,-6.25%
2023-02-22,48962560,3.23%
2023-02-21,47432480,-7.46%
2023-02-17,51257680,-2.90%
2023-02-16,52787759,2.22%
2023-02-15,51640200,4.46%
2023-02-14,49436884,5.93%
2023-02-13,46667440,-3.17%
2023-02-10,48197520,0.80%
2023-02-09,47815000,-6.72%
2023-02-08,51257680,-2.19%
2023-02-07,52405240,-4.86%
2023-02-06,55082880,-2.70%
2023-02-03,56612960,4.96%
2023-02-02,53935320,-2.08%
2023-02-01,55082880,4.35%
2023-01-31,52787759,-2.82%
2023-01-30,54317840,2.90%
2023-01-27,52787759,-0.72%
2023-01-26,53170279,-0.19%
2023-01-25,53273560,5.51%
2023-01-24,50492640,-0.41%
2023-01-23,50699200,-0.35%
2023-01-20,50875160,-3.62%
2023-01-19,52787759,
2023-01-18,52787759,-1.43%
2023-01-17,53552800,-1.41%
2023-01-13,54317840,1.11%
2023-01-12,53721108,5.59%
2023-01-11,50875160,-0.75%
2023-01-10,51257680,1.90%
2023-01-09,50301380,1.94%
2023-01-06,49345080,-4.44%
2023-01-05,51640200,-4.26%
2023-01-04,53935320,4.44%
2023-01-03,51640200,-3.56%
2022-12-30,53547740,-0.74%
2022-12-29,53947350,3.85%
2022-12-28,51949300,
2022-12-27,51949300,11.11%
2022-12-23,46754370,4.46%
2022-12-22,44756320,0.90%
2022-12-21,44356710,0.91%
2022-12-20,43957100,-1.79%
2022-12-19,44756320,-10.40%
2022-12-16,49951250,-5.30%
2022-12-15,52748520,-5.71%
2022-12-14,55945400,-6.04%
