Date,Market Cap,% Change
2023-04-26,47478771,-2.43%
2023-04-25,48661516,-3.36%
2023-04-24,50351152,-4.18%
2023-04-21,52547679,-1.58%
2023-04-20,53392497,-0.32%
2023-04-19,53561461,22.39%
2023-04-18,43761572,9.28%
2023-04-17,40044373,0.85%
2023-04-14,39706446,-6.00%
2023-04-13,42240900,-1.19%
2023-04-12,42747790,-9.96%
2023-04-11,47478771,-1.75%
2023-04-10,48323589,0.35%
2023-04-06,48154626,-2.40%
2023-04-05,49337371,-2.34%
2023-04-04,50520116,-3.24%
2023-04-03,52209752,-4.63%
2023-03-31,54744206,3.85%
2023-03-30,52716643,5.41%
2023-03-29,50013225,-3.27%
2023-03-28,51702861,0.33%
2023-03-27,51533898,-13.11%
2023-03-24,59306223,1.74%
2023-03-23,58292442,-18.63%
2023-03-22,71640566,4.69%
2023-03-21,68430258,-2.17%
2023-03-20,69950930,4.55%
2023-03-17,66909585,-1.49%
2023-03-16,67923367,4.42%
2023-03-15,65050986,-5.64%
2023-03-14,68937148,3.29%
2023-03-13,66740622,-6.18%
2023-03-10,71133675,-6.86%
2023-03-09,76371547,-3.21%
2023-03-08,78906001,6.38%
2023-03-07,74175020,-0.45%
2023-03-06,74512947,-3.71%
2023-03-03,77385328,4.57%
2023-03-02,74006056,3.79%
2023-03-01,71302639,1.93%
2023-02-28,69950930,-8.81%
2023-02-27,76709474,-0.22%
2023-02-24,76878438,-5.99%
2023-02-23,81778382,-0.21%
2023-02-22,81947346,4.98%
2023-02-21,78061183,-1.70%
2023-02-17,79412892,-5.24%
2023-02-16,83805945,-4.43%
2023-02-15,87692108,1.96%
2023-02-14,86002472,-2.40%
2023-02-13,88114517,2.05%
2023-02-10,86340399,-7.26%
2023-02-09,93098943,-5.49%
2023-02-08,98505778,5.62%
2023-02-07,93267907,2.41%
2023-02-06,91071380,-2.71%
2023-02-03,93605834,10.14%
2023-02-02,84988690,-4.01%
2023-02-01,88536926,-8.87%
2023-01-31,97154070,12.52%
2023-01-30,86340399,-0.78%
2023-01-27,87016254,15.47%
2023-01-26,75357765,6.70%
2023-01-25,70626784,-0.83%
2023-01-24,71218157,3.56%
2023-01-23,68768185,-2.40%
2023-01-20,70457821,-0.24%
2023-01-19,70626784,4.50%
2023-01-18,67585440,2.83%
2023-01-17,65726840,5.71%
2023-01-13,62178604,29.12%
2023-01-12,48154626,6.34%
2023-01-11,45282244,-5.30%
2023-01-10,47816698,8.02%
2023-01-09,44268463,-5.07%
2023-01-06,46633953,-0.36%
2023-01-05,46801227,3.74%
2023-01-04,45113281,4.17%
2023-01-03,43305370,22.83%
2022-12-30,35255641,-3.58%
2022-12-29,36564098,9.59%
2022-12-28,33365648,-2.13%
2022-12-27,34092569,-6.20%
2022-12-23,36346022,-4.94%
2022-12-22,38236015,1.15%
2022-12-21,37799863,
