Date,Market Cap,% Change
2023-04-25,136520280,5.89%
2023-04-24,128923587,-4.49%
2023-04-21,134978922,-2.03%
2023-04-20,137775385,-1.65%
2023-04-19,140087422,-5.04%
2023-04-18,147529980,-6.36%
2023-04-17,157548807,3.97%
2023-04-14,151537510,-5.02%
2023-04-13,159552572,0.61%
2023-04-12,158583718,-0.65%
2023-04-11,159618630,-0.98%
2023-04-10,161204027,1.47%
2023-04-06,158869971,3.56%
2023-04-05,153409159,-4.94%
2023-04-04,161380182,-4.20%
2023-04-03,168448410,-3.30%
2023-03-31,174195473,4.80%
2023-03-30,166224450,-3.71%
2023-03-29,172632096,10.52%
2023-03-28,156205623,0.04%
2023-03-27,156139565,-2.62%
2023-03-24,160345270,-0.11%
2023-03-23,160521426,-2.37%
2023-03-22,164418859,-7.00%
2023-03-21,176793762,1.44%
2023-03-20,174283551,-7.97%
2023-03-17,189366840,3.12%
2023-03-16,183641796,1.15%
2023-03-15,181549953,-4.15%
2023-03-14,189410878,-1.16%
2023-03-13,191634838,-15.50%
2023-03-10,226799820,-5.50%
2023-03-09,240011460,-7.63%
2023-03-08,259828920,-6.35%
2023-03-07,277444440,0.80%
2023-03-06,275242500,-3.85%
2023-03-03,286252200,6.56%
2023-03-02,268636680,-2.40%
2023-03-01,275242500,1.63%
2023-02-28,270838620,
2023-02-27,270838620,
2023-02-24,270838620,-3.15%
2023-02-23,279646380,1.60%
2023-02-22,275242500,-4.58%
2023-02-21,288454140,-2.96%
2023-02-17,297261900,-5.59%
2023-02-16,314877420,-1.38%
2023-02-15,319281300,
2023-02-14,319281300,3.57%
2023-02-13,308271600,0.72%
2023-02-10,306069660,-1.77%
2023-02-09,311574510,-9.87%
2023-02-08,345704580,-3.68%
2023-02-07,358916220,-0.61%
2023-02-06,361118160,
2023-02-03,361118160,-6.29%
2023-02-02,385339500,11.46%
2023-02-01,345704580,
2023-01-31,345704580,1.95%
2023-01-30,339098760,-1.91%
2023-01-27,345704580,1.95%
2023-01-26,339098760,1.99%
2023-01-25,332492940,2.03%
2023-01-24,325887120,7.25%
2023-01-23,303867720,2.22%
2023-01-20,297261900,1.50%
2023-01-19,292858020,-8.28%
2023-01-18,319281300,2.11%
2023-01-17,312675480,-3.40%
2023-01-13,323685180,4.26%
2023-01-12,310473540,3.68%
2023-01-11,299463840,4.62%
2023-01-10,286252200,-2.26%
2023-01-09,292858020,3.10%
2023-01-06,284050260,4.03%
2023-01-05,273040560,6.90%
2023-01-04,255425039,3.57%
2023-01-03,246617280,-0.88%
2022-12-30,248819219,3.67%
2022-12-29,240011460,6.86%
2022-12-28,224597880,-2.86%
2022-12-27,231203700,-1.87%
2022-12-23,235607580,
2022-12-22,235607580,-3.60%
2022-12-21,244415340,-5.13%
2022-12-20,257626979,-0.85%
2022-12-19,259828920,-7.81%
2022-12-16,281848320,4.07%
2022-12-15,270838620,-4.65%
2022-12-14,284050260,0.78%
2022-12-13,281848320,
2022-12-12,281848320,0.79%
2022-12-09,279646380,
2022-12-08,279646380,-2.31%
2022-12-07,286252200,-6.47%
2022-12-06,306069660,-4.14%
2022-12-05,319281300,-5.23%
2022-12-02,336896820,2.68%
2022-12-01,328089060,3.47%
2022-11-30,317079360,
2022-11-29,317079360,1.41%
2022-11-28,312675480,-5.33%
2022-11-25,330291000,2.04%
2022-11-23,323685180,2.80%
2022-11-22,314877420,-2.72%
2022-11-21,323685180,2.08%
2022-11-18,317079360,7.46%
2022-11-17,295059960,4.69%
2022-11-16,281848320,-4.48%
2022-11-15,295059960,6.35%
2022-11-14,277444440,-1.95%
2022-11-11,282949290,-7.55%
2022-11-10,306069660,-35.65%
2022-11-09,475619040,-3.57%
2022-11-08,493234560,-1.75%
2022-11-07,502042319,-0.44%
2022-11-04,504244260,-2.97%
2022-11-03,519657840,-2.88%
2022-11-02,535071420,-8.65%
2022-11-01,585716040,-1.12%
2022-10-31,592321860,-1.82%
2022-10-28,603331560,-1.44%
2022-10-27,612139320,-3.14%
2022-10-26,631956780,-3.69%
2022-10-25,656178120,6.43%
2022-10-24,616543200,-0.71%
2022-10-21,620947080,1.08%
2022-10-20,614341260,-0.71%
2022-10-19,618745140,
2022-10-18,618745140,2.93%
2022-10-17,601129620,5.00%
2022-10-14,572504400,-5.80%
2022-10-13,607735440,1.47%
2022-10-12,598927680,-0.73%
2022-10-11,603331560,-2.14%
2022-10-10,616543200,-4.44%
2022-10-07,645168420,-2.98%
2022-10-06,664985880,-2.89%
2022-10-05,684803340,
2022-10-04,684803340,8.74%
2022-10-03,629754840,2.88%
2022-09-30,612139320,-1.07%
2022-09-29,618745140,-4.10%
2022-09-28,645168420,3.53%
2022-09-27,623149020,7.20%
2022-09-26,581312160,-1.86%
2022-09-23,592321860,-5.94%
2022-09-22,629754840,-4.98%
2022-09-21,662783940,-1.31%
2022-09-20,671591700,-1.29%
2022-09-19,680399460,-1.59%
2022-09-16,691409160,-0.95%
2022-09-15,698014980,-4.80%
2022-09-14,733246020,-1.77%
2022-09-13,746457660,-2.59%
2022-09-12,766275120,2.35%
2022-09-09,748659600,1.80%
2022-09-08,735447960,-2.91%
2022-09-07,757467360,0.88%
2022-09-06,750861540,-3.12%
2022-09-02,775082880,0.57%
2022-09-01,770679000,-4.89%
2022-08-31,810313920,1.38%
2022-08-30,799304220,-2.68%
2022-08-29,821323620,2.19%
2022-08-26,803708100,-5.19%
2022-08-25,847746900,7.24%
2022-08-24,790496460,-0.28%
2022-08-23,792698400,2.56%
2022-08-22,772880940,-2.77%
2022-08-19,794900340,-2.17%
2022-08-18,812515860,0.54%
2022-08-17,808111980,0.82%
2022-08-16,801506160,
2022-08-15,801506160,-0.27%
2022-08-12,803708100,1.96%
2022-08-11,788294520,2.29%
2022-08-10,770679000,3.24%
2022-08-09,746457660,20.64%
2022-08-08,618745140,2.18%
2022-08-05,605533500,-0.36%
2022-08-04,607735440,1.47%
2022-08-03,598927680,1.49%
2022-08-02,590119920,5.93%
2022-08-01,557090820,
2022-07-29,557090820,3.69%
2022-07-28,537273360,2.52%
2022-07-27,524061720,1.28%
2022-07-26,517455900,-0.84%
2022-07-25,521859780,3.49%
2022-07-22,504244260,-4.18%
2022-07-21,526263660,0.84%
2022-07-20,521859780,6.76%
2022-07-19,488830680,5.71%
2022-07-18,462407400,0.48%
2022-07-15,460205459,
2022-07-14,460205459,-1.88%
2022-07-13,469013220,-4.48%
2022-07-12,491032620,0.45%
2022-07-11,488830680,-5.13%
2022-07-08,515253959,0.43%
2022-07-07,513052020,4.02%
2022-07-06,493234560,-3.86%
2022-07-05,513052020,2.64%
2022-07-01,499840380,-1.73%
2022-06-30,508648140,45.71%
2022-06-29,349084800,-0.43%
2022-06-28,350602560,0.43%
2022-06-27,349084800,-3.36%
2022-06-24,361226880,1.28%
2022-06-23,356673600,2.62%
2022-06-22,347567040,
2022-06-21,347567040,4.57%
2022-06-17,332389440,-0.45%
2022-06-16,333907200,-10.57%
2022-06-15,373368960,1.65%
2022-06-14,367297920,-0.41%
2022-06-13,368815680,-7.95%
2022-06-10,400688640,-1.49%
2022-06-09,406759680,-3.25%
2022-06-08,420419520,
2022-06-07,420419520,-0.72%
2022-06-06,423455040,-2.11%
2022-06-03,432561600,-2.40%
2022-06-02,443185920,-16.09%
2022-06-01,528180480,-3.87%
2022-05-31,549429120,-0.55%
2022-05-27,552464640,3.70%
2022-05-26,532733759,2.03%
2022-05-25,522109440,2.69%
2022-05-24,508449600,-4.83%
2022-05-23,534251520,0.57%
2022-05-20,531216000,
2022-05-19,531216000,0.29%
2022-05-18,529698240,0.58%
2022-05-17,526662720,5.79%
2022-05-16,497825280,-3.53%
2022-05-13,516038400,5.92%
2022-05-12,487200960,3.22%
2022-05-11,472023360,-0.96%
2022-05-10,476576640,-4.27%
2022-05-09,497825280,-6.02%
2022-05-06,529698240,-5.93%
2022-05-05,563088960,
2022-05-04,563088960,4.80%
2022-05-03,537287040,0.28%
2022-05-02,535769280,-1.12%
2022-04-29,541840320,5.62%
2022-04-28,513002880,-25.06%
2022-04-27,684509760,2.50%
2022-04-26,667814400,-7.95%
2022-04-25,725489280,-1.44%
2022-04-22,736113600,-3.39%
2022-04-21,761915519,-3.46%
