Date,Market Cap,% Change
2023-04-25,59952234,-3.74%
2023-04-24,62280635,2.00%
2023-04-21,61059446,-1.32%
2023-04-20,61873572,
2023-04-19,61873572,-1.30%
2023-04-18,62687698,-4.82%
2023-04-17,65862789,-0.12%
2023-04-14,65944201,1.25%
2023-04-13,65130076,-0.84%
2023-04-12,65683681,8.67%
2023-04-11,60440710,3.27%
2023-04-10,58527514,-3.76%
2023-04-06,60815208,-6.62%
2023-04-05,65130076,-6.16%
2023-04-04,69404237,-0.05%
2023-04-03,69436802,4.01%
2023-03-31,66758327,2.50%
2023-03-30,65130076,
2023-03-29,65130076,-0.11%
2023-03-28,65203347,5.15%
2023-03-27,62011973,-3.34%
2023-03-24,64153124,-4.14%
2023-03-23,66921153,-1.06%
2023-03-22,67637583,17.01%
2023-03-21,57802942,4.27%
2023-03-20,55433835,-2.11%
2023-03-17,56630601,-9.43%
2023-03-16,62524872,-32.63%
2023-03-15,92810358,-5.00%
2023-03-14,97695114,-4.00%
2023-03-13,101765743,-8.09%
2023-03-10,110721129,-10.53%
2023-03-09,123747144,0.66%
2023-03-08,122933018,4.86%
2023-03-07,117234136,-2.70%
2023-03-06,120490640,3.50%
2023-03-03,116420010,2.14%
2023-03-02,113977633,-2.10%
2023-03-01,116420010,-0.69%
2023-02-28,117234136,
2023-02-27,117234136,0.70%
2023-02-24,116420010,-4.03%
2023-02-23,121304766,2.05%
2023-02-22,118862388,-3.95%
2023-02-21,123747144,-7.88%
2023-02-17,134330781,-0.60%
2023-02-16,135144907,-2.92%
2023-02-15,139215537,3.64%
2023-02-14,134330781,4.43%
2023-02-13,128631900,1.28%
2023-02-10,127003648,-0.64%
2023-02-09,127817774,-1.26%
2023-02-08,129446026,-1.85%
2023-02-07,131888403,0.62%
2023-02-06,131074277,9.52%
2023-02-03,119676514,-0.68%
2023-02-02,120490640,10.45%
2023-02-01,109092877,-0.73%
2023-01-31,109898861,3.84%
2023-01-30,105836373,-6.47%
2023-01-27,113163507,-2.11%
2023-01-26,115605884,-0.70%
2023-01-25,116420010,0.70%
2023-01-24,115605884,-4.05%
2023-01-23,120490640,8.03%
2023-01-20,111535255,1.48%
2023-01-19,109907003,-4.93%
2023-01-18,115605884,-9.55%
2023-01-17,127817774,12.95%
2023-01-13,113163507,3.73%
2023-01-12,109092877,
2023-01-11,109092877,3.88%
2023-01-10,105022247,4.88%
2023-01-09,100137491,3.36%
