Date,Market Cap,% Change
2023-04-26,239580250,-3.85%
2023-04-25,249163460,-2.15%
2023-04-24,254639580,3.33%
2023-04-21,246425400,-0.55%
2023-04-20,247794430,-1.63%
2023-04-19,251901520,2.79%
2023-04-18,245056370,-1.65%
2023-04-17,249163460,-0.55%
2023-04-14,250532490,-4.19%
2023-04-13,261484730,-3.54%
2023-04-12,271067940,1.54%
2023-04-11,266960850,8.33%
2023-04-10,246425400,5.88%
2023-04-06,232735100,3.03%
2023-04-05,225889950,-4.62%
2023-04-04,236842190,-5.46%
2023-04-03,250532490,-2.14%
2023-03-31,256008610,2.75%
2023-03-30,249163460,1.11%
2023-03-29,246425400,-0.55%
2023-03-28,247794430,-0.55%
2023-03-27,249163460,-0.55%
2023-03-24,250532490,-1.61%
2023-03-23,254639580,-6.06%
2023-03-22,271067940,-1.98%
2023-03-21,276544060,1.51%
2023-03-20,272436970,-0.50%
2023-03-17,273806000,-3.85%
2023-03-16,284758240,-0.48%
2023-03-15,286127270,-3.24%
2023-03-14,295710480,1.41%
2023-03-13,291603390,-13.06%
2023-03-10,335412350,-4.67%
2023-03-09,351840710,-0.77%
2023-03-08,354578770,-0.77%
2023-03-07,357316830,-4.04%
2023-03-06,372376160,-8.72%
2023-03-03,407970940,1.02%
2023-03-02,403863850,4.61%
2023-03-01,386066460,-6.93%
2023-02-28,414816090,-0.33%
2023-02-27,416185120,
2023-02-24,416185120,-4.70%
2023-02-23,436720570,23.64%
2023-02-22,353209740,3.20%
2023-02-21,342257500,-6.72%
2023-02-17,366900040,-7.59%
2023-02-16,397018700,7.01%
2023-02-15,371007130,5.04%
2023-02-14,353209740,7.05%
2023-02-13,329936230,4.33%
2023-02-10,316245930,-2.53%
2023-02-09,324460110,-0.42%
2023-02-08,325829140,2.15%
2023-02-07,318983990,0.43%
2023-02-06,317614960,-6.07%
2023-02-03,338150410,0.82%
2023-02-02,335412350,5.60%
2023-02-01,317614960,2.65%
2023-01-31,309400780,-1.31%
2023-01-30,313507870,3.15%
2023-01-27,303924660,1.83%
2023-01-26,298448540,2.83%
2023-01-25,290234360,0.47%
2023-01-24,288865330,-0.94%
2023-01-23,291603390,4.41%
2023-01-20,279282120,2.00%
2023-01-19,273806000,-8.26%
2023-01-18,298448540,-7.63%
2023-01-17,323091080,0.43%
2023-01-13,321722050,-0.84%
2023-01-12,324460110,1.28%
2023-01-11,320353020,-2.50%
2023-01-10,328567200,3.00%
2023-01-09,318983990,1.75%
2023-01-06,313507870,-0.43%
2023-01-05,314876900,0.44%
2023-01-04,313507870,8.02%
2023-01-03,290234360,4.72%
2022-12-30,277154209,1.50%
2022-12-29,273058334,4.71%
2022-12-28,260770708,-7.73%
2022-12-27,282615375,-1.43%
2022-12-23,286711250,0.48%
2022-12-22,285345959,1.46%
2022-12-21,281250084,2.49%
2022-12-20,274423625,6.35%
2022-12-19,258040125,-7.35%
2022-12-16,278519500,-5.56%
2022-12-15,294903000,-1.82%
2022-12-14,300364167,-5.58%
2022-12-13,318112959,-3.32%
2022-12-12,329035292,-2.43%
2022-12-09,337227042,-0.80%
2022-12-08,339957625,-0.80%
2022-12-07,342688209,-9.39%
2022-12-06,378185792,6.13%
2022-12-05,356341125,1.16%
2022-12-02,352245250,4.88%
2022-12-01,335861750,-1.60%
2022-11-30,341322917,7.76%
2022-11-29,316747667,0.43%
2022-11-28,315382375,1.76%
2022-11-25,309921209,1.79%
2022-11-23,304460042,4.21%
2022-11-22,292172417,2.39%
2022-11-21,285345959,
2022-11-18,285345959,-2.34%
2022-11-17,292172417,-2.28%
2022-11-16,298998875,-2.67%
2022-11-15,307190625,2.27%
2022-11-14,300364167,-3.51%
2022-11-11,311286500,12.32%
