Date,Market Cap,% Change
2023-04-26,379871,-6.89%
2023-04-25,407983,-5.17%
2023-04-24,430214,-3.86%
2023-04-21,447497,1.79%
2023-04-20,439609,-2.70%
2023-04-19,451800,-1.53%
2023-04-18,458827,-1.86%
2023-04-17,467539,3.50%
2023-04-14,451728,-0.65%
2023-04-13,454669,2.24%
2023-04-12,444700,-2.35%
2023-04-11,455386,-0.86%
2023-04-10,459330,1.96%
2023-04-06,450509,-0.29%
2023-04-05,451799,0.13%
2023-04-04,451226,-6.79%
2023-04-03,484072,2.27%
2023-03-31,473314,5.10%
2023-03-30,450366,-3.38%
2023-03-29,466143,-2.99%
2023-03-28,480486,0.75%
2023-03-27,476900,6.20%
2023-03-24,449075,0.19%
2023-03-23,448214,0.63%
2023-03-22,445418,-4.17%
2023-03-21,464780,6.96%
2023-03-20,434517,4.47%
2023-03-17,415943,-7.13%
2023-03-16,447856,-3.78%
2023-03-15,465426,-1.25%
2023-03-14,471306,0.80%
2023-03-13,467577,-5.49%
2023-03-10,494757,-4.19%
2023-03-09,516415,-10.55%
2023-03-08,577300,-1.60%
2023-03-07,586695,-6.98%
2023-03-06,630727,-5.32%
2023-03-03,666154,6.61%
2023-03-02,624847,0.73%
2023-03-01,620329,-6.48%
2023-02-28,663286,1.08%
2023-02-27,656186,-5.24%
2023-02-24,692473,-8.04%
2023-02-23,753000,-6.25%
2023-02-22,803200,3.70%
2023-02-21,774514,-9.24%
2023-02-17,853400,-9.16%
2023-02-16,939457,-4.38%
2023-02-15,982486,-1.44%
2023-02-14,996829,-1.42%
2023-02-13,1011172,-3.42%
2023-02-10,1047029,-7.01%
2023-02-09,1125914,-3.09%
2023-02-08,1161772,-1.22%
2023-02-07,1176114,-9.39%
2023-02-06,1298029,-4.23%
2023-02-03,1355400,-6.90%
2023-02-02,1455800,-1.93%
2023-02-01,1484486,-3.72%
2023-01-31,1541857,5.91%
2023-01-30,1455800,-0.98%
2023-01-27,1470143,9.04%
2023-01-26,1348229,-8.74%
2023-01-25,1477315,-35.62%
2023-01-24,2294857,44.14%
2023-01-23,1592057,29.07%
2023-01-20,1233486,6.17%
2023-01-19,1161772,14.89%
2023-01-18,1011172,-7.84%
2023-01-17,1097229,-4.37%
2023-01-13,1147429,21.21%
2023-01-12,946629,-5.04%
2023-01-11,996829,-4.14%
2023-01-10,1039857,-1.36%
2023-01-09,1054200,-5.77%
2023-01-06,1118743,-6.16%
2023-01-05,1192178,2.62%
2023-01-04,1161772,-8.99%
2023-01-03,1276514,15.58%
2022-12-30,1104400,14.07%
2022-12-29,968143,5.47%
2022-12-28,917943,-5.19%
2022-12-27,968143,4.65%
2022-12-23,925114,-5.84%
2022-12-22,982486,-9.27%
2022-12-21,1082886,27.97%
2022-12-20,846229,-5.60%
2022-12-19,896429,-11.97%
2022-12-16,1018343,4.41%
2022-12-15,975314,-9.33%
2022-12-14,1075714,-4.46%
2022-12-13,1125914,17.16%
2022-12-12,960972,3.08%
2022-12-09,932286,-66.28%
2022-12-08,2764586,16.92%
2022-12-07,2364420,-27.46%
2022-12-06,3259415,-4.72%
2022-12-05,3420772,-5.75%
2022-12-02,3629604,-2.93%
2022-12-01,3739183,3.39%
2022-11-30,3616552,-1.12%
2022-11-29,3657429,-5.67%
2022-11-28,3877377,0.74%
2022-11-25,3848906,-0.39%
2022-11-23,3863966,5.65%
2022-11-22,3657429,-0.47%
2022-11-21,3674641,-2.40%
2022-11-18,3765001,1.74%
2022-11-17,3700458,-1.04%
2022-11-16,3739183,-2.25%
2022-11-15,3825241,2.18%
2022-11-14,3743486,7.81%
2022-11-11,3472406,0.12%
2022-11-10,3468103,-41.02%
2022-11-09,5879855,-4.00%
2022-11-08,6125118,-8.75%
2022-11-07,6712458,7.14%
2022-11-04,6264961,-3.48%
2022-11-03,6490861,-2.71%
2022-11-02,6671581,-3.58%
2022-11-01,6918995,2.81%
2022-10-31,6729670,-2.49%
2022-10-28,6901784,3.92%
2022-10-27,6641461,-11.66%
2022-10-26,7518455,10.59%
2022-10-25,6798515,5.33%
2022-10-24,6454287,-4.21%
2022-10-21,6738275,1.13%
2022-10-20,6662975,-5.29%
2022-10-19,7035173,-4.16%
2022-10-18,7340675,-0.29%
2022-10-17,7362190,3.20%
2022-10-14,7134138,-4.88%
2022-10-13,7499881,5.32%
2022-10-12,7121230,-3.55%
2022-10-11,7383704,-4.45%
2022-10-10,7727933,5.58%
2022-10-07,7319161,-10.43%
2022-10-06,8171127,13.44%
2022-10-05,7202984,-4.34%
2022-10-04,7530001,6.03%
2022-10-03,7101867,-0.87%
2022-09-30,7164258,-0.60%
2022-09-29,7207287,3.20%
2022-09-28,6983538,-1.64%
2022-09-27,7099715,-1.64%
2022-09-26,7218044,3.74%
2022-09-23,6957721,-4.18%
2022-09-22,7261073,-6.25%
2022-09-21,7745144,-5.54%
2022-09-20,8199096,4.24%
2022-09-19,7865624,-3.79%
2022-09-16,8175430,-12.98%
2022-09-15,9395290,4.37%
2022-09-14,9001579,4.47%
2022-09-13,8616473,-5.12%
2022-09-12,9081181,11.08%
2022-09-09,8175430,-0.26%
2022-09-08,8196944,1.28%
2022-09-07,8093676,0.32%
2022-09-06,8067858,-6.25%
2022-09-02,8605716,0.35%
2022-09-01,8575596,1.94%
2022-08-31,8412087,-3.31%
2022-08-30,8700378,-2.48%
2022-08-29,8921976,1.15%
2022-08-26,8820858,-2.73%
2022-08-25,9068273,-1.26%
2022-08-24,9184450,-1.84%
2022-08-23,9356564,
2022-08-22,9356564,-12.88%
2022-08-19,10739933,7.56%
2022-08-18,9984782,-4.29%
2022-08-17,10432278,6.06%
2022-08-16,9836333,3.93%
2022-08-15,9464136,3.68%
2022-08-12,9128513,-3.04%
2022-08-11,9414653,10.83%
2022-08-10,8494917,3.34%
2022-08-09,8220610,-4.50%
2022-08-08,8607867,5.68%
2022-08-05,8145310,1.72%
2022-08-04,8007618,2.53%
2022-08-03,7809687,-0.17%
2022-08-02,7822595,2.39%
2022-08-01,7639724,-3.14%
2022-07-29,7887138,-5.42%
2022-07-28,8338938,-3.10%
2022-07-27,8605716,1.99%
2022-07-26,8437904,-3.38%
2022-07-25,8732650,-4.90%
2022-07-22,9182299,1.89%
2022-07-21,9012336,3.41%
2022-07-20,8715438,5.69%
2022-07-19,8246427,0.87%
2022-07-18,8175430,-3.80%
2022-07-15,8498144,-1.86%
2022-07-14,8659501,-1.35%
2022-07-13,8777830,-1.09%
2022-07-12,8874644,-8.13%
2022-07-11,9659916,4.42%
2022-07-08,9251144,10.48%
2022-07-07,8373361,3.04%
2022-07-06,8125947,-7.88%
2022-07-05,8820858,2.50%
2022-07-01,8605716,-1.86%
2022-06-30,8769224,3.46%
2022-06-29,8476322,-19.51%
2022-06-28,10530903,27.09%
2022-06-27,8286118,2.59%
2022-06-24,8077082,2.12%
2022-06-23,7909477,-0.07%
2022-06-22,7915126,-0.40%
2022-06-21,7947141,-0.68%
2022-06-17,8001754,-1.19%
2022-06-16,8097797,-4.44%
2022-06-15,8474439,3.93%
2022-06-14,8154294,-2.70%
2022-06-13,8380279,-12.57%
2022-06-10,9585532,-4.84%
2022-06-09,10073283,-0.06%
2022-06-08,10078932,0.04%
2022-06-07,10075166,-5.46%
2022-06-06,10657078,-4.10%
2022-06-03,11112814,-15.69%
2022-06-02,13180577,-2.63%
2022-06-01,13536504,-3.50%
2022-05-31,14028021,-1.08%
2022-05-27,14180561,25.48%
2022-05-26,11301135,3.77%
