Date,Market Cap,% Change
2023-04-25,61885853,-1.30%
2023-04-24,62700140,-0.82%
2023-04-21,63218323,0.71%
2023-04-20,62774166,-2.86%
2023-04-19,64624820,-0.34%
2023-04-18,64846898,-0.45%
2023-04-17,65143003,1.03%
2023-04-14,64476767,-4.29%
2023-04-13,67363787,3.76%
2023-04-12,64920924,-2.23%
2023-04-11,66401447,-2.71%
2023-04-10,68252101,6.84%
2023-04-06,63884558,-4.11%
2023-04-05,66623526,-2.49%
2023-04-04,68326127,-1.81%
2023-04-03,69584571,-0.11%
2023-03-31,69658597,0.11%
2023-03-30,69584571,0.64%
2023-03-29,69140414,0.65%
2023-03-28,68696257,3.46%
2023-03-27,66401447,0.67%
2023-03-24,65957290,-4.19%
2023-03-23,68844310,0.11%
2023-03-22,68770284,-3.83%
2023-03-21,71509251,1.58%
2023-03-20,70398859,0.11%
2023-03-17,70324833,2.37%
2023-03-16,68696257,5.10%
2023-03-15,65365081,-4.85%
2023-03-14,68696257,-1.17%
2023-03-13,69510545,-2.49%
2023-03-10,71287172,-5.59%
2023-03-09,75506662,-0.87%
2023-03-08,76172898,0.88%
2023-03-07,75506662,-1.92%
2023-03-06,76987185,-5.02%
2023-03-03,81058623,1.58%
2023-03-02,79800178,1.70%
2023-03-01,78467708,-0.19%
2023-02-28,78615760,0.19%
2023-02-27,78467708,0.57%
2023-02-24,78023551,-1.31%
2023-02-23,79059917,-1.20%
2023-02-22,80022257,4.44%
2023-02-21,76617054,-6.92%
2023-02-17,82317067,-4.14%
2023-02-16,85870322,0.69%
2023-02-15,85278113,1.32%
2023-02-14,84167721,0.18%
2023-02-13,84019668,4.32%
2023-02-10,80540440,-1.98%
2023-02-09,82169015,
2023-02-08,82169015,-0.18%
2023-02-07,82317067,-0.27%
2023-02-06,82539146,-2.79%
2023-02-03,84907982,-5.21%
2023-02-02,89571629,0.75%
2023-02-01,88905394,-3.69%
2023-01-31,92310596,2.72%
2023-01-30,89867733,2.27%
2023-01-27,87869028,-2.55%
2023-01-26,90163838,4.82%
2023-01-25,86018374,-5.61%
2023-01-24,91126178,-10.34%
2023-01-23,101637890,2.39%
2023-01-20,99269053,7.37%
2023-01-19,92458648,-4.22%
2023-01-18,96530086,-4.40%
2023-01-17,100971654,0.66%
2023-01-13,100305419,1.50%
2023-01-12,98824896,5.53%
2023-01-11,93643067,1.85%
2023-01-10,91940465,
2023-01-09,91940465,2.56%
2023-01-06,89645655,3.24%
2023-01-05,86832662,-2.82%
2023-01-04,89349550,5.14%
2023-01-03,84982008,2.46%
2022-12-30,82945249,1.83%
2022-12-29,81455214,1.68%
2022-12-28,80107088,-0.88%
2022-12-27,80816628,-0.96%
2022-12-23,81597123,-2.46%
2022-12-22,83654789,-1.75%
2022-12-21,85144824,5.26%
2022-12-20,80887582,0.62%
2022-12-19,80390904,-6.75%
2022-12-16,86209134,0.50%
2022-12-15,85783410,-1.87%
2022-12-14,87415352,5.75%
2022-12-13,82661433,5.62%
2022-12-12,78262284,-2.09%
2022-12-09,79929703,-5.34%
2022-12-08,84435283,5.68%
2022-12-07,79894226,-2.00%
2022-12-06,81526168,6.69%
2022-12-05,76417479,-2.71%
2022-12-02,78546100,4.53%
2022-12-01,75140307,5.48%
2022-11-30,71237836,-0.50%
2022-11-29,71592606,-0.20%
2022-11-28,71734514,-3.25%
2022-11-25,74146950,-0.76%
2022-11-23,74714583,1.84%
2022-11-22,73366456,-0.67%
2022-11-21,73863134,0.77%
2022-11-18,73295502,-6.35%
2022-11-17,78262284,1.66%
2022-11-16,76985111,-3.21%
2022-11-15,79539456,4.28%
2022-11-14,76275571,5.08%
2022-11-11,72585962,-4.39%
2022-11-10,75920801,1.33%
2022-11-09,74927445,0.28%
2022-11-08,74714583,-0.28%
2022-11-07,74927445,1.34%
2022-11-04,73934088,-7.38%
2022-11-03,79823272,-2.43%
2022-11-02,81809985,-1.62%
2022-11-01,83158111,2.18%
2022-10-31,81384260,-4.18%
2022-10-28,84931961,2.48%
2022-10-27,82874295,1.39%
2022-10-26,81739031,3.50%
2022-10-25,78971824,3.15%
2022-10-24,76559387,1.22%
2022-10-21,75636985,3.80%
2022-10-20,72869778,-1.91%
2022-10-19,74288858,-2.15%
2022-10-18,75920801,1.42%
2022-10-17,74856491,-3.74%
2022-10-14,77765605,-2.49%
2022-10-13,79752318,3.12%
2022-10-12,77339881,1.40%
2022-10-11,76275571,-2.18%
2022-10-10,77978467,1.95%
2022-10-07,76488433,-6.18%
2022-10-06,81526168,1.59%
2022-10-05,80248996,0.89%
2022-10-04,79539456,0.72%
