Date,Market Cap,% Change
2023-04-25,41949633,-26.15%
2023-04-24,56802613,8.02%
2023-04-21,52587578,7.38%
2023-04-20,48974691,8.44%
2023-04-19,45161088,-2.17%
2023-04-18,46164668,-0.43%
2023-04-17,46365384,-2.94%
2023-04-14,47770396,-7.75%
2023-04-13,51784715,8.86%
2023-04-12,47569680,-4.05%
2023-04-11,49576839,2.07%
2023-04-10,48573259,
2023-04-06,48573259,3.86%
2023-04-05,46766816,3.56%
2023-04-04,45161088,-7.41%
2023-04-03,48773975,9.46%
2023-03-31,44558940,0.91%
2023-03-30,44157509,4.27%
2023-03-29,42351065,0.48%
2023-03-28,42150349,-1.87%
2023-03-27,42953213,-3.60%
2023-03-24,44558940,1.37%
2023-03-23,43956793,-4.37%
2023-03-22,45963952,0.88%
2023-03-21,45562520,3.65%
2023-03-20,43956793,-0.45%
2023-03-17,44157509,3.77%
2023-03-16,42551781,-1.85%
2023-03-15,43354645,2.86%
2023-03-14,42150349,-0.47%
2023-03-13,42351065,-1.86%
2023-03-10,43153929,
2023-03-09,43153929,1.90%
2023-03-08,42351065,-1.86%
2023-03-07,43153929,
2023-03-06,43153929,
2023-03-03,43153929,-2.27%
2023-03-02,44157509,4.27%
2023-03-01,42351065,3.43%
2023-02-28,40946053,4.62%
2023-02-27,39139610,-0.51%
2023-02-24,39340326,-6.22%
2023-02-23,41949633,-4.13%
2023-02-22,43756077,-0.91%
2023-02-21,44157509,-3.51%
2023-02-17,45763236,-8.06%
2023-02-16,49777555,-6.42%
2023-02-15,53189726,3.11%
2023-02-14,51583999,-4.46%
2023-02-13,53992590,-0.37%
2023-02-10,54193306,-7.22%
2023-02-09,58408341,-3.00%
2023-02-08,60214785,-2.91%
2023-02-07,62021228,-51.42%
2023-02-06,127655344,-17.62%
2023-02-03,154952713,-9.18%
2023-02-02,170608557,-1.73%
2023-02-01,173619296,-3.89%
2023-01-31,180644355,4.29%
2023-01-30,173217864,-14.13%
2023-01-27,201719529,14.20%
2023-01-26,176630036,-23.08%
2023-01-25,229619046,-8.33%
2023-01-24,250493505,-3.70%
2023-01-23,260127871,15.51%
2023-01-20,225203295,35.18%
2023-01-19,166594238,1.97%
2023-01-18,163382783,7.39%
2023-01-17,152142690,-4.65%
2023-01-13,159569180,3.65%
2023-01-12,153949133,2.54%
2023-01-11,150135530,-2.22%
2023-01-10,153547701,37.34%
2023-01-09,111798784,22.42%
2023-01-06,91325757,51.67%
2023-01-05,60214785,16.73%
2023-01-04,51583999,4.90%
2023-01-03,49175407,-57.37%
2022-12-30,115348400,0.45%
2022-12-29,114835199,-7.38%
2022-12-28,123981365,-2.40%
2022-12-27,127030087,
