Date,Market Cap,% Change
2023-04-26,2054433439,-1.20%
2023-04-25,2079421419,-1.12%
2023-04-24,2102904099,-1.31%
2023-04-21,2130902680,-0.37%
2023-04-20,2138730240,0.25%
2023-04-19,2133311160,-1.86%
2023-04-18,2173653200,-0.56%
2023-04-17,2185996660,-1.75%
2023-04-14,2224833400,-0.26%
2023-04-13,2230553540,0.87%
2023-04-12,2211285700,2.28%
2023-04-11,2161911860,-1.87%
2023-04-10,2203157080,0.27%
2023-04-06,2197135880,0.07%
2023-04-05,2195630580,-0.50%
2023-04-04,2206769800,0.92%
2023-04-03,2186598780,-0.37%
2023-03-31,2194727400,0.51%
2023-03-30,2183588180,0.01%
2023-03-29,2183287120,0.69%
2023-03-28,2168234120,-1.65%
2023-03-27,2204662380,1.05%
2023-03-24,2181781820,-0.41%
2023-03-23,2190813620,0.82%
2023-03-22,2173051080,-1.64%
2023-03-21,2209178280,-0.24%
2023-03-20,2214597360,1.34%
2023-03-17,2185394540,-2.47%
2023-03-16,2240789580,1.36%
2023-03-15,2210683580,-1.58%
2023-03-14,2246208660,1.63%
2023-03-13,2210081460,-0.26%
2023-03-10,2215801600,-0.35%
2023-03-09,2223629160,-0.14%
2023-03-08,2226639760,2.10%
2023-03-07,2180878640,-0.74%
2023-03-06,2197135880,-0.73%
2023-03-03,2213393120,0.86%
2023-03-02,2194426340,-0.38%
2023-03-01,2202856020,0.25%
2023-02-28,2197436940,-1.20%
2023-02-27,2224231280,0.09%
2023-02-24,2222123860,-0.70%
2023-02-23,2237778980,3.02%
2023-02-22,2172147900,0.50%
2023-02-21,2161309740,-3.38%
2023-02-17,2236875800,-0.08%
2023-02-16,2238682160,-0.22%
2023-02-15,2243649650,2.17%
2023-02-14,2195931640,0.80%
2023-02-13,2178470160,
2023-02-10,2178470160,-0.55%
2023-02-09,2190512560,-0.08%
2023-02-08,2192318920,-0.91%
2023-02-07,2212489940,5.23%
2023-02-06,2102603040,-2.03%
2023-02-03,2146256740,
2023-02-02,2146256740,0.32%
2023-02-01,2139332360,1.59%
2023-01-31,2105914700,1.33%
2023-01-30,2078217180,-0.68%
2023-01-27,2092367000,1.27%
2023-01-26,2066174779,0.62%
2023-01-25,2053530259,0.22%
2023-01-24,2049014360,-1.89%
2023-01-23,2088453220,10.25%
2023-01-20,1894269520,1.32%
2023-01-19,1869582600,4.70%
2023-01-18,1785586860,0.61%
2023-01-17,1774748700,-0.51%
2023-01-13,1783780500,0.08%
2023-01-12,1782275200,0.27%
2023-01-11,1777458240,-0.02%
2023-01-10,1777759300,1.57%
2023-01-09,1750362840,-0.24%
2023-01-06,1754577680,0.31%
2023-01-05,1749158600,0.89%
2023-01-04,1733804540,2.44%
2023-01-03,1692559320,13.62%
2022-12-30,1489644880,-1.63%
2022-12-29,1514331800,0.04%
2022-12-28,1513729680,0.04%
2022-12-27,1513127560,1.05%
2022-12-23,1497472440,-0.50%
2022-12-22,1504998940,0.97%
2022-12-21,1490548060,3.25%
2022-12-20,1443582700,-0.04%
2022-12-19,1444184820,-0.21%
2022-12-16,1447195420,0.35%
2022-12-15,1442077400,-2.20%
2022-12-14,1474591880,-1.09%
2022-12-13,1490849120,0.41%
2022-12-12,1484827920,-0.16%
2022-12-09,1487236400,2.21%
2022-12-08,1455022980,0.21%
2022-12-07,1452012380,-0.66%
2022-12-06,1461646300,-2.00%
2022-12-05,1491451240,-1.06%
2022-12-02,1507407420,-1.34%
2022-12-01,1527879500,1.16%
2022-11-30,1510418020,3.46%
2022-11-29,1459839940,0.35%
2022-11-28,1454721920,-1.41%
2022-11-25,1475495060,-1.03%
2022-11-23,1490849120,0.41%
2022-11-22,1484827920,1.13%
2022-11-21,1468269620,-0.45%
2022-11-18,1474892940,1.74%
