Date,Market Cap,% Change
2023-04-25,34749550,-6.36%
2023-04-24,37110123,-6.09%
2023-04-21,39518626,3.13%
2023-04-20,38320366,-3.15%
2023-04-19,39566557,0.06%
2023-04-18,39542591,-2.97%
2023-04-17,40752834,0.38%
2023-04-14,40596941,1.10%
2023-04-13,40153704,17.41%
2023-04-12,34198350,-0.59%
2023-04-11,34402054,-0.59%
2023-04-10,34605759,-2.50%
2023-04-06,35492471,1.37%
2023-04-05,35013167,0.76%
2023-04-04,34749550,-4.45%
2023-04-03,36367201,4.05%
2023-03-31,34953254,-3.22%
2023-03-30,36115567,-1.28%
2023-03-29,36582888,8.92%
2023-03-28,33587237,-5.59%
2023-03-27,35576350,-0.30%
2023-03-24,35684193,-0.73%
2023-03-23,35947810,
2023-03-22,35947810,-3.91%
2023-03-21,37409688,3.86%
2023-03-20,36019706,-3.03%
2023-03-17,37146071,0.65%
2023-03-16,36906419,-0.55%
2023-03-15,37110123,2.55%
2023-03-14,36187462,2.17%
2023-03-13,35420576,0.61%
2023-03-10,35204889,-11.13%
2023-03-09,39614487,-10.04%
2023-03-08,44035948,0.71%
2023-03-07,43724520,-5.22%
2023-03-06,46133023,-2.06%
2023-03-03,47103614,1.11%
2023-03-02,46588362,0.60%
2023-03-01,46312762,0.39%
2023-02-28,46133023,1.21%
2023-02-27,45581824,0.63%
2023-02-24,45294241,-1.82%
2023-02-23,46133023,0.29%
2023-02-22,46001215,-3.15%
2023-02-21,47499040,-2.56%
2023-02-17,48745111,-5.37%
2023-02-16,51513212,2.45%
2023-02-15,50279004,7.51%
2023-02-14,46768101,-3.65%
2023-02-13,48541527,2.27%
2023-02-10,47463092,-0.23%
2023-02-09,47570936,-7.70%
2023-02-08,51537178,-2.89%
2023-02-07,53070951,-3.00%
2023-02-06,54712568,-6.28%
2023-02-03,58379244,0.16%
2023-02-02,58283383,8.09%
2023-02-01,53921716,-1.32%
2023-01-31,54640672,11.52%
2023-01-30,48996866,3.60%
2023-01-27,47295336,8.29%
2023-01-26,43676590,8.19%
2023-01-25,40369391,6.08%
2023-01-24,38056749,-3.08%
2023-01-23,39266991,6.47%
2023-01-20,36882453,0.56%
2023-01-19,36678869,-5.20%
2023-01-18,38691827,-8.60%
2023-01-17,42334538,-1.70%
2023-01-13,43065477,9.57%
2023-01-12,39302939,23.73%
2023-01-11,31765882,-0.93%
2023-01-10,32065447,-2.94%
2023-01-09,33036038,2.76%
2023-01-06,32149205,2.95%
2023-01-05,31226784,6.80%
2023-01-04,29237552,2.95%
2023-01-03,28398770,7.00%
2022-12-30,26541466,5.43%
2022-12-29,25175450,2.74%
2022-12-28,24504424,-4.88%
2022-12-27,25762597,-12.21%
2022-12-23,29345396,3.03%
2022-12-22,28482768,-1.82%
2022-12-21,29009883,-3.28%
2022-12-20,29992456,-1.05%
2022-12-19,30309995,-9.66%
2022-12-16,33551290,3.63%
2022-12-15,32376994,-5.03%
2022-12-14,34090507,-0.80%
2022-12-13,34366107,2.32%
2022-12-12,33587237,4.61%
2022-12-09,32107266,-3.34%
2022-12-08,33215777,0.80%
2022-12-07,32952159,-2.10%
2022-12-06,33659133,0.14%
2022-12-05,33611203,-6.47%
2022-12-02,35935828,3.31%
2022-12-01,34785498,-2.58%
2022-11-30,35708158,-1.65%
2022-11-29,36307288,-0.59%
2022-11-28,36522975,-4.78%
2022-11-25,38356314,3.16%
2022-11-23,37182018,-3.03%
2022-11-22,38344331,-3.03%
2022-11-21,39542591,-2.94%
2022-11-18,40740852,0.06%
2022-11-17,40716887,-3.71%
2022-11-16,42286608,-0.20%
2022-11-15,42370486,-18.34%
2022-11-14,51884673,4.84%
2022-11-11,49488152,7.27%
2022-11-10,46133023,6.94%
2022-11-09,43137372,-1.21%
2022-11-08,43665805,-0.22%
2022-11-07,43760468,-1.30%
2022-11-04,44335633,-0.03%
2022-11-03,44347615,-2.61%
2022-11-02,45533893,-0.73%
2022-11-01,45869406,3.43%
2022-10-31,44347615,-2.61%
2022-10-28,45533893,-2.01%
2022-10-27,46468536,0.99%
2022-10-26,46013197,0.55%
2022-10-25,45761443,3.24%
2022-10-24,44323650,-1.75%
2022-10-21,45114502,-0.03%
2022-10-20,45126485,-1.67%
2022-10-19,45893371,-3.82%
2022-10-18,47714727,5.68%
2022-10-17,45150450,-0.79%
2022-10-14,45509928,2.34%
2022-10-13,44467441,-1.33%
2022-10-12,45066572,-1.13%
2022-10-11,45581824,-0.16%
2022-10-10,45653719,-5.97%
