Date,Market Cap,% Change
2023-04-26,7981783560,-2.51%
2023-04-25,8187617520,-2.79%
2023-04-24,8422674820,-1.44%
2023-04-21,8545921080,3.43%
2023-04-20,8262581740,10.90%
2023-04-19,7450681120,-0.31%
2023-04-18,7473551560,-2.18%
2023-04-17,7639997540,1.18%
2023-04-14,7551056940,-0.05%
2023-04-13,7554868680,0.17%
2023-04-12,7542162880,-1.02%
2023-04-11,7619668260,-0.93%
2023-04-10,7690820740,-0.74%
2023-04-06,7747996840,-0.10%
2023-04-05,7755620320,-0.97%
2023-04-04,7831855120,-0.68%
2023-04-03,7885219480,0.21%
2023-03-31,7868701940,1.06%
2023-03-30,7786114240,0.23%
2023-03-29,7768326120,-0.46%
2023-03-28,7803902360,0.79%
2023-03-27,7742914520,1.82%
2023-03-24,7604421300,0.27%
2023-03-23,7584092020,0.51%
2023-03-22,7545974620,-2.51%
2023-03-21,7740373360,0.49%
2023-03-20,7702255960,2.29%
2023-03-17,7529457080,-2.84%
2023-03-16,7749267420,0.64%
2023-03-15,7699714800,-2.24%
2023-03-14,7876325420,4.24%
2023-03-13,7556139260,1.33%
2023-03-10,7457034020,-1.18%
2023-03-09,7545974620,0.22%
2023-03-08,7529457080,-2.55%
2023-03-07,7726396980,-0.39%
2023-03-06,7756890900,-2.43%
2023-03-03,7950019060,1.31%
2023-03-02,7847102080,0.28%
2023-03-01,7825502220,0.36%
2023-02-28,7797549460,1.00%
2023-02-27,7720044080,-1.70%
2023-02-24,7853454980,-2.23%
2023-02-23,8032606760,0.56%
2023-02-22,7988136460,-1.52%
2023-02-21,8111382720,-1.77%
2023-02-17,8257499419,9.58%
2023-02-16,7535809980,3.89%
2023-02-15,7253741220,0.26%
2023-02-14,7234682520,-0.77%
2023-02-13,7290588040,0.67%
2023-02-10,7242306000,0.16%
2023-02-09,7230870780,-1.01%
2023-02-08,7304564420,-2.94%
2023-02-07,7525645340,-0.50%
2023-02-06,7563762740,-0.20%
2023-02-03,7579009700,-1.31%
2023-02-02,7679385520,-0.82%
2023-02-01,7742914520,1.84%
2023-01-31,7603150720,2.26%
2023-01-30,7435434160,-0.90%
2023-01-27,7502774900,-0.19%
2023-01-26,7516751280,-0.22%
2023-01-25,7533268820,-0.49%
2023-01-24,7570115640,-0.45%
2023-01-23,7604421300,-0.27%
2023-01-20,7624750580,1.76%
2023-01-19,7492610260,-1.39%
2023-01-18,7598068400,-1.35%
2023-01-17,7702255960,-1.65%
2023-01-13,7831855120,1.08%
2023-01-12,7747996840,2.06%
2023-01-11,7591715500,-0.45%
2023-01-10,7626021160,1.28%
2023-01-09,7529457080,-1.22%
2023-01-06,7622209420,12.81%
2023-01-05,6756944440,0.02%
2023-01-04,6755673860,0.70%
2023-01-03,6708662400,1.77%
2022-12-30,6592307000,-0.54%
2022-12-29,6628218400,1.93%
2022-12-28,6502528500,-0.63%
2022-12-27,6543570100,0.79%
2022-12-23,6492268100,1.36%
2022-12-22,6405054700,-3.10%
2022-12-21,6610262700,1.52%
2022-12-20,6511506350,2.26%
2022-12-19,6367860750,-1.35%
2022-12-16,6455074150,-0.34%
2022-12-15,6476877500,-2.11%
2022-12-14,6616675450,0.35%
2022-12-13,6593589550,0.96%
2022-12-12,6530744600,0.81%
2022-12-09,6478160050,-0.16%
2022-12-08,6488420450,2.55%
2022-12-07,6326819150,-0.70%
2022-12-06,6371708400,-1.88%
2022-12-05,6493550650,-3.98%
2022-12-02,6762886150,0.13%
2022-12-01,6753908300,-0.83%
2022-11-30,6810340500,3.07%
2022-11-29,6607697600,
2022-11-28,6607697600,-1.68%
2022-11-25,6720562000,1.22%
2022-11-23,6639761350,0.06%
2022-11-22,6635913700,1.29%
2022-11-21,6551265400,-2.26%
2022-11-18,6702606300,0.35%
2022-11-17,6679520400,-0.38%
2022-11-16,6705171400,1.38%
2022-11-15,6614110350,2.63%
2022-11-14,6444813750,1.29%
