Date,Market Cap,% Change
2023-04-25,279086984,-3.51%
2023-04-24,289235602,2.19%
2023-04-21,283033669,0.40%
2023-04-20,281906045,-0.99%
2023-04-19,284725105,0.40%
2023-04-18,283597481,2.65%
2023-04-17,276267924,0.41%
2023-04-14,275140299,4.72%
2023-04-13,262736433,-6.99%
2023-04-12,282469857,4.16%
2023-04-11,271193615,-0.41%
2023-04-10,272321239,1.68%
2023-04-06,267810742,-8.12%
2023-04-05,291490850,5.94%
2023-04-04,275140299,-12.07%
2023-04-03,312915709,-3.48%
2023-03-31,324191951,5.12%
2023-03-30,308410851,6.84%
2023-03-29,288671790,1.39%
2023-03-28,284725105,0.20%
2023-03-27,284161293,-8.20%
2023-03-24,309532837,-5.67%
2023-03-23,328138636,-1.69%
2023-03-22,333776757,
2023-03-21,333776757,-1.33%
2023-03-20,338287254,-1.64%
2023-03-17,343925374,4.45%
2023-03-16,329266260,6.18%
2023-03-15,310096649,-0.90%
2023-03-14,312915709,-6.25%
2023-03-13,333776757,-1.33%
2023-03-10,338287254,2.39%
2023-03-09,330393884,-2.82%
2023-03-08,339978690,0.50%
2023-03-07,338287254,1.69%
2023-03-06,332649133,0.85%
2023-03-03,329830072,0.86%
2023-03-02,327011012,-2.03%
2023-03-01,333776757,2.42%
2023-02-28,325883388,3.31%
2023-02-27,315452864,1.36%
2023-02-24,311224273,-2.47%
2023-02-23,319117642,-1.57%
2023-02-22,324191951,3.23%
2023-02-21,314043334,-5.91%
2023-02-17,333776757,7.44%
2023-02-16,310660461,-6.93%
2023-02-15,333776757,5.90%
2023-02-14,315170958,-3.95%
2023-02-13,328138636,2.11%
2023-02-10,321372891,-5.79%
2023-02-09,341106314,-1.47%
2023-02-08,346180623,2.33%
2023-02-07,338287254,-1.48%
2023-02-06,343361562,4.10%
2023-02-03,329830072,1.74%
2023-02-02,324191951,-3.20%
2023-02-01,334904381,-1.00%
2023-01-31,338287254,
2023-01-30,338287254,0.33%
2023-01-27,337159629,0.67%
2023-01-26,334904381,-0.35%
2023-01-25,336088386,-1.47%
2023-01-24,341106314,-2.10%
2023-01-23,348435871,2.83%
2023-01-20,338851066,-1.80%
2023-01-19,345052999,2.34%
2023-01-18,337159629,3.28%
2023-01-17,326447200,-3.50%
2023-01-13,338287254,3.45%
2023-01-12,327011012,-0.85%
2023-01-11,329830072,1.74%
2023-01-10,324191951,4.55%
2023-01-09,310096649,1.66%
2023-01-06,305022340,-8.61%
2023-01-05,333776757,-1.33%
2023-01-04,338287254,-3.69%
2023-01-03,351254932,-5.89%
2022-12-30,373243603,7.64%
2022-12-29,346744435,3.89%
2022-12-28,333776757,3.68%
2022-12-27,321936703,-6.55%
2022-12-23,344489186,-0.65%
2022-12-22,346744435,-3.30%
2022-12-21,358584489,2.75%
2022-12-20,348999683,3.69%
2022-12-19,336595817,-1.49%
2022-12-16,341670126,6.69%
2022-12-15,320245267,10.08%
2022-12-14,290927038,-6.18%
2022-12-13,310096649,-5.17%
2022-12-12,327011012,-2.52%
2022-12-09,335468193,0.51%
2022-12-08,333776757,-1.33%
2022-12-07,338287254,-7.55%
2022-12-06,365914046,10.00%
2022-12-05,332649133,47.50%
2022-12-02,225524836,2.30%
2022-12-01,220450527,-2.01%
2022-11-30,224961023,-2.44%
2022-11-29,230599144,-2.62%
2022-11-28,236806715,-14.46%
2022-11-25,276831736,16.35%
2022-11-23,237928701,0.72%
2022-11-22,236237265,-0.24%
2022-11-21,236801077,3.70%
2022-11-18,228343896,-4.71%
2022-11-17,239620138,5.72%
2022-11-16,226652460,1.26%
2022-11-15,223827761,-0.50%
2022-11-14,224961023,-0.25%
2022-11-11,225524836,1.01%
2022-11-10,223269587,2.19%
2022-11-09,218477184,-0.13%
2022-11-08,218759090,-2.02%
2022-11-07,223269587,2.59%
2022-11-04,217631466,-2.28%
2022-11-03,222705775,1.80%
2022-11-02,218759090,0.39%
2022-11-01,217913372,-5.73%
2022-10-31,231162956,-0.49%
2022-10-28,232290581,0.49%
2022-10-27,231162956,-3.53%
2022-10-26,239620138,-3.63%
2022-10-25,248641131,0.23%
2022-10-24,248077319,-1.57%
2022-10-21,252024004,3.71%
2022-10-20,243003010,-2.71%
2022-10-19,249768755,2.78%
2022-10-18,243003010,-2.93%
2022-10-17,250332567,-0.22%
2022-10-14,250896380,6.46%
2022-10-13,235673453,1.46%
2022-10-12,232290581,-0.24%
2022-10-11,232854393,-1.20%
2022-10-10,235673453,4.24%
2022-10-07,226088648,-9.48%
2022-10-06,249768755,-0.23%
2022-10-05,250332567,1.60%
2022-10-04,246385883,-1.35%
2022-10-03,249768755,-0.67%
2022-09-30,251460192,10.60%
2022-09-29,227352639,0.43%
2022-09-28,226389280,-0.63%
2022-09-27,227834318,0.85%
2022-09-26,225907601,-1.68%
2022-09-23,229761035,-3.64%
2022-09-22,238431263,-46.20%
2022-09-21,443144974,-2.34%
2022-09-20,453741919,18.94%
2022-09-19,381490021,8.64%
2022-09-16,351144224,-11.64%
2022-09-15,397385439,-2.48%
2022-09-14,407500704,-13.10%
2022-09-13,468914818,7.18%
2022-09-12,437485242,8.13%
2022-09-09,404610628,-1.75%
2022-09-08,411835818,-10.38%
2022-09-07,459522071,-14.05%
2022-09-06,534664045,28.03%
2022-09-02,417615970,1.40%
2022-09-01,411835818,3.73%
2022-08-31,397024179,4.87%
2022-08-30,378599945,9.17%
2022-08-29,346809110,
2022-08-26,346809110,-8.05%
2022-08-25,377154907,-2.97%
2022-08-24,388715211,-5.94%
2022-08-23,413280856,
2022-08-22,413280856,-1.04%
2022-08-19,417615970,-2.03%
2022-08-18,426286198,
2022-08-17,426286198,-0.67%
2022-08-16,429176274,1.71%
2022-08-15,421951084,-1.02%
2022-08-12,426286198,
2022-08-11,426286198,
2022-08-10,426286198,3.51%
2022-08-09,411835818,-1.72%
2022-08-08,419061008,1.75%
2022-08-05,411835818,-0.70%
2022-08-04,414725894,-1.37%
2022-08-03,420506046,2.11%
2022-08-02,411835818,-3.39%
2022-08-01,426286198,13.46%
2022-07-29,375709869,-3.70%
2022-07-28,390160249,3.85%
2022-07-27,375709869,-11.56%
2022-07-26,424841160,8.89%
2022-07-25,390160249,9.76%
2022-07-22,355479338,
2022-07-21,355479338,-6.11%
2022-07-20,378599945,15.93%
2022-07-19,326578578,
2022-07-18,326578578,1.35%
2022-07-15,322243465,8.78%
2022-07-14,296232781,-10.48%
2022-07-13,330913692,4.09%
2022-07-12,317908351,-6.38%
2022-07-11,339583920,-4.86%
2022-07-08,356924376,-1.20%
2022-07-07,361259490,
2022-07-06,361259490,-4.58%
2022-07-05,378599945,-3.32%
2022-07-01,391605287,
2022-06-30,391605287,-8.57%
2022-06-29,428315021,
2022-06-28,428315021,4.89%
2022-06-27,408357691,-1.30%
2022-06-24,413730818,-1.28%
2022-06-23,419103946,
2022-06-22,419103946,1.49%
2022-06-21,412963229,-3.24%
2022-06-17,426779842,
2022-06-16,426779842,-0.36%
2022-06-15,428315021,3.33%
2022-06-14,414498408,0.37%
2022-06-13,412963229,4.26%
2022-06-10,396076256,-4.09%
2022-06-09,412963229,-1.47%
2022-06-08,419103946,2.63%
2022-06-07,408357691,0.38%
2022-06-06,406822511,
2022-06-03,406822511,
2022-06-02,406822511,-8.62%
2022-06-01,445201994,4.32%
2022-05-31,426779842,2.58%
2022-05-27,416033587,-3.21%
2022-05-26,429850201,3.70%
2022-05-25,414498408,0.75%
2022-05-24,411428049,-0.74%
2022-05-23,414498408,
2022-05-20,414498408,
2022-05-19,414498408,
2022-05-18,414498408,-3.57%
2022-05-17,429850201,8.53%
2022-05-16,396076256,
2022-05-13,396076256,-2.64%
2022-05-12,406822511,5.58%
2022-05-11,385330001,-10.36%
2022-05-10,429850201,5.26%
2022-05-09,408357691,-8.28%
2022-05-06,445201994,5.45%
2022-05-05,422174304,
2022-05-04,422174304,-2.14%
2022-05-03,431385380,10.20%
2022-05-02,391470718,
2022-04-29,391470718,-5.56%
2022-04-28,414498408,-1.46%
2022-04-27,420639125,-2.14%
2022-04-26,429850201,-3.11%
2022-04-25,443666814,1.40%
2022-04-22,437526097,3.63%
2022-04-21,422189656,0.00%
2022-04-20,422174304,
2022-04-19,422174304,
2022-04-18,422174304,-3.51%
2022-04-14,437526097,3.64%
2022-04-13,422174304,
2022-04-12,422174304,
2022-04-11,422174304,5.77%
2022-04-08,399146615,1.96%
2022-04-07,391470718,
2022-04-06,391470718,-3.77%
2022-04-05,406822511,
2022-04-04,406822511,6.00%
2022-04-01,383794822,
2022-03-31,383794822,12.39%
2022-03-30,341489962,
2022-03-29,341489962,
2022-03-28,341489962,-3.85%
2022-03-25,355149561,6.12%
2022-03-24,334660163,-5.77%
2022-03-23,355149561,13.04%
2022-03-22,314184425,-4.16%
2022-03-21,327830364,
2022-03-18,327830364,
2022-03-17,327830364,2.13%
2022-03-16,321000564,
2022-03-15,321000564,-4.08%
2022-03-14,334660163,2.08%
2022-03-11,327830364,
2022-03-10,327830364,2.13%
2022-03-09,321000564,-2.08%
2022-03-08,327830364,-4.00%
2022-03-07,341489962,-3.85%
2022-03-04,355149561,
2022-03-03,355149561,
2022-03-02,355149561,6.56%
2022-03-01,333294203,3.83%
2022-02-28,321000564,-6.00%
2022-02-25,341489962,8.23%
2022-02-24,315536725,-9.41%
2022-02-23,348319761,2.00%
2022-02-22,341489962,2.04%
2022-02-18,334660163,
2022-02-17,334660163,
2022-02-16,334660163,-2.00%
2022-02-15,341489962,-5.66%
2022-02-14,361979360,-1.85%
2022-02-11,368809159,-1.82%
2022-02-10,375638958,-6.78%
2022-02-09,402958155,17.53%
2022-02-08,342855922,0.40%
2022-02-07,341489962,-7.06%
2022-02-04,367443199,7.60%
2022-02-03,341489962,-3.85%
2022-02-02,355149561,-5.45%
2022-02-01,375638958,10.00%
2022-01-31,341489962,-3.85%
