Date,Market Cap,% Change
2023-04-20,1674749999,1.04%
2023-04-19,1657500000,-4.95%
2023-04-18,1743750000,
2023-04-17,1743750000,-0.77%
2023-04-14,1757250000,1.87%
2023-04-13,1725000000,
2023-04-12,1725000000,
2023-04-11,1725000000,6.98%
2023-04-10,1612500000,
2023-04-06,1612500000,
2023-04-05,1612500000,-14.00%
2023-04-04,1875000000,
2023-04-03,1875000000,-0.79%
2023-03-31,1890000000,-1.18%
2023-03-30,1912500000,8.97%
2023-03-29,1755000000,0.04%
2023-03-28,1754250000,0.82%
2023-03-27,1740000000,1.75%
2023-03-24,1710000000,-3.43%
2023-03-23,1770750000,0.85%
2023-03-22,1755750000,-0.81%
2023-03-21,1770000000,
2023-03-20,1770000000,0.68%
2023-03-17,1758000000,1.82%
2023-03-16,1726500000,
2023-03-15,1726500000,-7.92%
2023-03-14,1875000000,-0.83%
2023-03-13,1890750000,5.04%
2023-03-10,1800000000,-0.95%
2023-03-09,1817250000,-8.57%
2023-03-08,1987500000,
2023-03-07,1987500000,
2023-03-06,1987500000,
2023-03-03,1987500000,
2023-03-02,1987500000,
2023-03-01,1987500000,3.92%
2023-02-28,1912500000,5.15%
2023-02-27,1818750000,-0.04%
2023-02-24,1819500000,-3.04%
2023-02-23,1876500000,
2023-02-22,1876500000,
2023-02-21,1876500000,-4.81%
2023-02-17,1971375000,1.10%
2023-02-16,1950000000,
2023-02-15,1950000000,
2023-02-14,1950000000,-3.17%
2023-02-13,2013750000,-3.14%
2023-02-10,2079000000,3.98%
2023-02-09,1999500000,
2023-02-08,1999500000,2.54%
2023-02-07,1950000000,
2023-02-06,1950000000,-3.17%
2023-02-03,2013750000,-1.32%
2023-02-02,2040750000,0.37%
2023-02-01,2033250000,0.41%
2023-01-31,2025000000,-1.82%
2023-01-30,2062492500,-1.79%
2023-01-27,2100000000,
2023-01-26,2100000000,4.87%
2023-01-25,2002500000,-4.78%
2023-01-24,2103000000,
2023-01-23,2103000000,3.47%
2023-01-20,2032500000,-3.56%
2023-01-19,2107500000,
2023-01-18,2107500000,2.48%
2023-01-17,2056500000,0.81%
2023-01-13,2040000000,
2023-01-12,2040000000,
2023-01-11,2040000000,
2023-01-10,2040000000,0.09%
2023-01-09,2038125000,3.33%
2023-01-06,1972500000,1.35%
2023-01-05,1946250000,0.19%
2023-01-04,1942500000,-1.52%
2023-01-03,1972500000,5.20%
2022-12-30,1875000000,-2.27%
2022-12-29,1918499999,-4.19%
2022-12-28,2002500000,-1.48%
2022-12-27,2032500000,5.37%
2022-12-23,1929000000,-6.13%
2022-12-22,2055000000,
2022-12-21,2055000000,7.41%
2022-12-20,1913257500,0.75%
2022-12-19,1899000000,-3.73%
2022-12-16,1972500000,
2022-12-15,1972500000,1.04%
2022-12-14,1952250000,2.08%
2022-12-13,1912500000,
2022-12-12,1912500000,-1.92%
2022-12-09,1950000000,5.22%
2022-12-08,1853250000,-1.87%
2022-12-07,1888500000,3.84%
2022-12-06,1818750000,-4.83%
2022-12-05,1911000000,
2022-12-02,1911000000,-2.79%
