Date,Market Cap,% Change
2023-04-25,538036574,-0.58%
2023-04-24,541179311,-0.06%
2023-04-21,541493585,-0.06%
2023-04-20,541807858,-0.75%
2023-04-19,545893416,0.12%
2023-04-18,545264869,-0.97%
2023-04-17,550607522,-0.11%
2023-04-14,551236069,-1.18%
2023-04-13,557835817,-0.50%
2023-04-12,560664280,-0.50%
2023-04-11,563492744,1.36%
2023-04-10,555950175,7.73%
2023-04-06,516037415,1.99%
2023-04-05,505980657,-0.49%
2023-04-04,508494846,0.06%
2023-04-03,508180572,1.06%
2023-03-31,502837920,1.27%
2023-03-30,496552446,0.45%
2023-03-29,494352530,-0.06%
2023-03-28,494666803,0.58%
2023-03-27,491838340,0.84%
2023-03-24,487752782,2.65%
2023-03-23,475181834,1.27%
2023-03-22,469210634,-0.67%
2023-03-21,472353371,1.55%
2023-03-20,465125076,1.65%
2023-03-17,457582507,-2.93%
2023-03-16,471410550,-0.20%
2023-03-15,472353371,-2.66%
2023-03-14,485238592,1.11%
2023-03-13,479895939,-0.78%
2023-03-10,483667224,-0.45%
2023-03-09,485867140,-1.34%
2023-03-08,492466887,-2.00%
2023-03-07,502523646,0.25%
2023-03-06,501266551,-0.31%
2023-03-03,502837920,4.37%
2023-03-02,481781582,-4.07%
2023-03-01,502209372,-0.68%
2023-02-28,505666383,-0.06%
2023-02-27,505980657,2.55%
2023-02-24,493409709,-2.36%
2023-02-23,505352109,0.63%
2023-02-22,502209372,-1.05%
2023-02-21,507552025,1.83%
2023-02-17,498438088,0.63%
2023-02-16,495295351,2.47%
2023-02-15,483352950,0.65%
2023-02-14,480210213,-0.65%
2023-02-13,483352950,0.13%
2023-02-10,482724403,-1.22%
2023-02-09,488695603,0.19%
2023-02-08,487752782,-0.83%
2023-02-07,491838340,0.90%
2023-02-06,487438508,-0.32%
2023-02-03,489009877,-0.13%
2023-02-02,489638424,2.77%
2023-02-01,476438929,0.13%
2023-01-31,475810381,3.42%
2023-01-30,460096696,-1.68%
2023-01-27,467953539,-1.33%
2023-01-26,474239013,-0.26%
2023-01-25,475496108,0.60%
2023-01-24,472667644,-0.46%
2023-01-23,474867560,0.73%
2023-01-20,471410550,-0.07%
2023-01-19,471724823,-1.25%
2023-01-18,477696024,-1.94%
2023-01-17,487124235,0.19%
2023-01-13,486181413,-0.06%
2023-01-12,486495687,3.75%
2023-01-11,468896360,1.43%
2023-01-10,462296612,1.38%
2023-01-09,456011138,-0.68%
2023-01-06,459153875,2.81%
2023-01-05,446582927,-2.54%
2023-01-04,458211054,1.46%
2023-01-03,451611306,-0.14%
2022-12-30,452239854,0.98%
2022-12-29,447840022,2.33%
2022-12-28,437639675,-1.70%
2022-12-27,445206932,1.51%
2022-12-23,438585582,-0.22%
2022-12-22,439531489,-0.43%
2022-12-21,441423304,-0.99%
2022-12-20,445837537,-5.73%
2022-12-19,472953540,-1.90%
2022-12-16,482097308,-0.78%
2022-12-15,485880936,-3.20%
2022-12-14,501961357,1.21%
2022-12-13,495970612,-0.06%
2022-12-12,496285914,0.13%
2022-12-09,495655309,-2.36%
2022-12-08,507636799,0.50%
2022-12-07,505114380,-2.32%
2022-12-06,517095870,-1.91%
2022-12-05,527185545,2.39%
2022-12-02,514888753,0.12%
2022-12-01,514258149,0.43%
2022-11-30,512051032,0.68%
2022-11-29,508582706,-0.49%
2022-11-28,511105125,0.19%
2022-11-25,510159218,1.19%
2022-11-23,504168473,1.52%
2022-11-22,496601217,
2022-11-21,496601217,-0.44%
2022-11-18,498808333,0.13%
2022-11-17,498177728,-0.25%
2022-11-16,499438938,-0.25%
2022-11-15,500700147,1.66%
2022-11-14,492502286,-1.01%
2022-11-11,497547124,2.40%
2022-11-10,485880936,3.98%
2022-11-09,467278097,-3.14%
2022-11-08,482412610,0.39%
2022-11-07,480520796,1.74%
2022-11-04,472322935,3.60%
2022-11-03,455927212,-0.21%
2022-11-02,456873119,-1.43%
2022-11-01,463494469,-2.26%
2022-10-31,474214749,-1.96%
2022-10-28,483673820,-0.65%
2022-10-27,486826843,0.39%
2022-10-26,484935029,
2022-10-25,484935029,1.85%
2022-10-24,476106563,1.27%
2022-10-21,470115818,0.95%
2022-10-20,465701585,-0.94%
2022-10-19,470115818,0.68%
2022-10-18,466962795,1.65%
2022-10-17,459395538,1.32%
2022-10-14,453404793,-0.62%
2022-10-13,456242514,2.77%
2022-10-12,443945722,-0.28%
