Date,Market Cap,% Change
2023-04-25,15587700,-7.54%
2023-04-24,16858800,-1.56%
2023-04-21,17126400,2.40%
2023-04-20,16725000,2.46%
2023-04-19,16323600,-5.43%
2023-04-18,17260200,4.88%
2023-04-17,16457400,11.82%
2023-04-14,14718000,1.85%
2023-04-13,14450400,1.89%
2023-04-12,14182800,-3.20%
2023-04-11,14651100,0.92%
2023-04-10,14517300,-0.46%
2023-04-06,14584200,-5.22%
2023-04-05,15386999,5.50%
2023-04-04,14584200,-2.68%
2023-04-03,14985600,-3.45%
2023-03-31,15520799,7.41%
2023-03-30,14450400,-4.42%
2023-03-29,15119399,0.89%
2023-03-28,14985600,-2.61%
2023-03-27,15386999,4.55%
2023-03-24,14718000,-7.56%
2023-03-23,15922200,-2.46%
2023-03-22,16323600,-1.61%
2023-03-21,16591200,8.77%
2023-03-20,15253199,-8.06%
2023-03-17,16591200,-8.15%
2023-03-16,18063000,7.14%
2023-03-15,16858800,18.87%
2023-03-14,14182800,0.95%
2023-03-13,14049000,-3.67%
2023-03-10,14584200,-4.80%
2023-03-09,15320100,0.44%
2023-03-08,15253199,-3.39%
2023-03-07,15788400,-0.84%
2023-03-06,15922200,6.31%
2023-03-03,14977572,-0.05%
2023-03-02,14985600,-0.88%
2023-03-01,15119399,-3.42%
2023-02-28,15654599,-1.68%
2023-02-27,15922200,1.71%
2023-02-24,15654599,0.03%
2023-02-23,15650586,-0.03%
2023-02-22,15654599,-3.31%
2023-02-21,16189800,-3.97%
2023-02-17,16858800,-0.79%
2023-02-16,16992600,1.60%
2023-02-15,16725000,1.63%
2023-02-14,16457400,-1.60%
2023-02-13,16725000,-1.19%
2023-02-10,16925700,-1.94%
2023-02-09,17260200,-5.15%
2023-02-08,18196800,-1.45%
2023-02-07,18464400,-2.82%
2023-02-06,18999600,-5.96%
2023-02-03,20203800,
2023-02-02,20203800,2.72%
2023-02-01,19668600,2.08%
2023-01-31,19267200,-1.37%
2023-01-30,19534800,0.69%
2023-01-27,19401000,-1.36%
2023-01-26,19668600,4.26%
2023-01-25,18865800,-6.00%
2023-01-24,20070000,4.90%
2023-01-23,19133400,3.62%
2023-01-20,18464400,-2.82%
2023-01-19,18999600,
2023-01-18,18999600,-10.13%
2023-01-17,21140400,-1.86%
2023-01-13,21541800,6.62%
2023-01-12,20203800,0.67%
2023-01-11,20070000,-0.66%
2023-01-10,20203800,-3.82%
2023-01-09,21006600,-8.19%
2023-01-06,22879800,14.00%
2023-01-05,20070000,-3.23%
2023-01-04,20739000,12.32%
2023-01-03,18464400,20.16%
2022-12-30,15366930,-1.84%
2022-12-29,15654599,1.74%
2022-12-28,15386999,-2.54%
2022-12-27,15788400,2.61%
2022-12-23,15386999,-8.00%
2022-12-22,16725000,1.63%
2022-12-21,16457400,18.27%
2022-12-20,13915200,-9.57%
2022-12-19,15388337,-5.73%
2022-12-16,16323600,-12.86%
2022-12-15,18732000,-13.04%
2022-12-14,21541800,27.78%
2022-12-13,16858800,16.39%
2022-12-12,14485188,3.10%
2022-12-09,14049000,-3.12%
2022-12-08,14501244,-1.47%
2022-12-07,14718000,0.92%
2022-12-06,14584200,-9.92%
2022-12-05,16189800,8.04%
2022-12-02,14985600,-1.75%
2022-12-01,15253199,1.91%
2022-11-30,14966868,-0.12%
2022-11-29,14985600,2.75%
2022-11-28,14584200,-5.22%
2022-11-25,15386999,0.50%
2022-11-23,15310734,-4.76%
2022-11-22,16076070,-1.52%
2022-11-21,16323600,-7.58%
