Date,Market Cap,% Change
2023-04-26,562657800000,0.89%
2023-04-25,557686850000,-2.46%
2023-04-24,571766730000,-0.05%
2023-04-21,572035430000,-0.08%
2023-04-20,572519090000,-1.22%
2023-04-19,579585900000,-1.01%
2023-04-18,585470430000,-0.44%
2023-04-17,588076820000,-1.19%
2023-04-14,595143630000,0.52%
2023-04-13,592080450000,2.97%
2023-04-12,575018000000,0.07%
2023-04-11,574614950000,-0.42%
2023-04-10,577033250000,-0.62%
2023-04-06,580660700000,2.18%
2023-04-05,568246760000,-1.51%
2023-04-04,576952640000,0.77%
2023-04-03,572519090000,0.53%
2023-03-31,569482780000,1.97%
2023-03-30,558466080000,1.21%
2023-03-29,551775450000,2.33%
2023-03-28,539227160000,-1.06%
2023-03-27,545031080000,-1.54%
2023-03-24,553548870000,0.85%
2023-03-23,548900360000,2.24%
2023-03-22,536889470000,-1.16%
2023-03-21,543203920000,2.20%
2023-03-20,531515470000,1.12%
2023-03-17,525604070000,-4.55%
2023-03-16,550646910000,3.63%
2023-03-15,531354250000,1.92%
2023-03-14,521331740000,7.25%
2023-03-13,486078300000,0.77%
2023-03-10,482343370000,-1.20%
2023-03-09,488201030000,-1.77%
2023-03-08,497014390000,0.25%
2023-03-07,495778370000,-0.21%
2023-03-06,496826300000,-0.19%
2023-03-03,497766750000,6.14%
2023-03-02,468962110000,0.64%
2023-03-01,465979539999,-0.87%
2023-02-28,470063780000,3.19%
2023-02-27,455553980000,-0.50%
2023-02-24,457837929999,-0.96%
2023-02-23,462271480000,0.54%
2023-02-22,459799440000,-0.56%
2023-02-21,462378960000,-0.46%
2023-02-17,464528560000,0.26%
2023-02-16,463346280000,-2.66%
2023-02-15,476028920000,-1.29%
2023-02-14,482262760000,0.03%
2023-02-13,482128410000,3.03%
2023-02-10,467941050000,-2.12%
2023-02-09,478071039999,-3.00%
2023-02-08,492876410000,-4.27%
2023-02-07,514882940000,2.99%
2023-02-06,499943220000,-0.25%
2023-02-03,501206110000,-1.19%
2023-02-02,507224990000,23.28%
2023-02-01,411433440000,2.79%
2023-01-31,400282390000,1.30%
2023-01-30,395150220000,-3.08%
2023-01-27,407725380000,3.01%
2023-01-26,395795100000,4.10%
2023-01-25,380210500000,-1.15%
2023-01-24,384617179999,-0.09%
2023-01-23,384966490000,2.80%
2023-01-20,374487190000,2.37%
2023-01-19,365835050000,2.35%
2023-01-18,357424740000,-1.73%
2023-01-17,363712320000,-1.18%
2023-01-13,368065260000,0.20%
2023-01-12,367339770000,2.87%
2023-01-11,357075429999,-0.08%
2023-01-10,357344130000,2.72%
2023-01-09,347885890000,-0.42%
2023-01-06,349363740000,2.43%
2023-01-05,341087780000,-0.34%
2023-01-04,342243190000,2.11%
2023-01-03,335176380000,5.58%
2022-12-30,317456920000,0.07%
2022-12-29,317245880000,4.01%
2022-12-28,305005560000,-1.08%
2022-12-27,308329440000,-0.98%
2022-12-23,311389520000,0.79%
2022-12-22,308962560000,-2.20%
2022-12-21,315926880000,2.28%
2022-12-20,308883420000,2.28%
2022-12-19,301998240000,-4.14%
2022-12-16,315056340000,2.82%
2022-12-15,306403700000,-4.47%
2022-12-14,320754420000,1.20%
2022-12-13,316955700000,4.74%
2022-12-12,302604980000,-1.03%
2022-12-09,305744200000,0.49%
2022-12-08,304240540000,1.23%
2022-12-07,300547340000,-0.17%
2022-12-06,301048560000,-6.79%
2022-12-05,322970340000,-0.86%
2022-12-02,325766620000,2.53%
2022-12-01,317720720000,1.98%
2022-11-30,311547800000,7.89%
2022-11-29,288755480000,0.63%
2022-11-28,286961640000,-2.36%
2022-11-25,293899580000,-0.74%
2022-11-23,296089120000,0.72%
2022-11-22,293978720000,1.44%
2022-11-21,289810680000,-1.95%
2022-11-18,295587900000,0.54%
2022-11-17,294005100000,-1.57%
2022-11-16,298700740000,-3.29%
2022-11-15,308857040000,2.50%
2022-11-14,301312360000,1.06%
2022-11-11,298146760000,1.03%
2022-11-10,295113060000,10.25%
2022-11-09,267677860000,5.18%
2022-11-08,254487860000,-0.26%
2022-11-07,255147360000,6.53%
2022-11-04,239504020000,2.11%
2022-11-03,234544580000,-1.80%
2022-11-02,238844520000,-4.89%
2022-11-01,251137600000,2.19%
2022-10-31,245756080000,-6.09%
