Date,Market Cap,% Change
2023-04-26,1334658,7.05%
2023-04-25,1246713,-9.89%
2023-04-24,1383517,-8.56%
2023-04-21,1512993,-14.77%
2023-04-20,1775201,14.74%
2023-04-19,1547194,-5.00%
2023-04-18,1628625,-21.26%
2023-04-17,2068354,22.23%
2023-04-14,1692142,9.66%
2023-04-13,1543122,13.00%
2023-04-12,1365602,-0.59%
2023-04-11,1373745,-7.31%
2023-04-10,1482049,7.06%
2023-04-06,1384331,1.74%
2023-04-05,1360716,2.52%
2023-04-04,1327330,-1.15%
2023-04-03,1342801,-8.13%
2023-03-31,1461691,-4.01%
2023-03-30,1522765,-1.58%
2023-03-29,1547194,-0.78%
2023-03-28,1559409,-4.25%
2023-03-27,1628625,5.26%
2023-03-24,1547194,-1.09%
2023-03-23,1564295,3.22%
2023-03-22,1515436,-0.96%
2023-03-21,1530093,3.19%
2023-03-20,1482863,-12.79%
2023-03-17,1700285,4.35%
2023-03-16,1629440,0.05%
2023-03-15,1628625,-0.10%
2023-03-14,1630254,-4.67%
2023-03-13,1710056,-7.89%
2023-03-10,1856633,-2.56%
2023-03-09,1905491,-4.10%
2023-03-08,1986923,1.62%
2023-03-07,1955165,-4.34%
2023-03-06,2043925,0.40%
2023-03-03,2035782,3.78%
2023-03-02,1961679,-2.86%
2023-03-01,2019495,1.22%
2023-02-28,1995066,0.62%
2023-02-27,1982851,-1.42%
2023-02-24,2011352,-5.90%
2023-02-23,2137571,-2.42%
2023-02-22,2190501,-13.23%
2023-02-21,2524369,4.87%
2023-02-17,2407108,-7.62%
2023-02-16,2605800,-12.09%
2023-02-15,2964098,2.54%
2023-02-14,2890810,-32.77%
2023-02-13,4299571,5.60%
2023-02-10,4071563,-3.85%
2023-02-09,4234426,3.71%
2023-02-08,4082963,-14.29%
2023-02-07,4763729,-13.35%
2023-02-06,5497424,-0.72%
2023-02-03,5537326,-0.32%
2023-02-02,5555241,0.41%
2023-02-01,5532440,5.81%
2023-01-31,5228701,18.93%
2023-01-30,4396474,-0.94%
2023-01-27,4438004,-2.68%
2023-01-26,4560151,1.67%
2023-01-25,4485234,-6.64%
2023-01-24,4804444,3.47%
2023-01-23,4643210,2.30%
2023-01-20,4538978,3.22%
2023-01-19,4397288,-3.57%
2023-01-18,4560151,-7.56%
2023-01-17,4933106,6.09%
2023-01-13,4649725,-4.83%
2023-01-12,4885876,
2023-01-11,4885876,-8.94%
2023-01-10,5365506,6.27%
2023-01-09,5048738,13.35%
2023-01-06,4454290,-7.29%
2023-01-05,4804444,-3.28%
2023-01-04,4967307,2.52%
2023-01-03,4845160,11.21%
2022-12-30,4356572,21.29%
2022-12-29,3591933,5.91%
2022-12-28,3391612,-0.83%
2022-12-27,3420113,-14.30%
2022-12-23,3990946,-5.73%
2022-12-22,4233611,-0.02%
2022-12-21,4234426,-11.43%
2022-12-20,4780829,-2.13%
2022-12-19,4885061,0.30%
2022-12-16,4870404,-0.32%
2022-12-15,4885876,1.39%
2022-12-14,4819102,3.82%
2022-12-13,4641582,-1.72%
2022-12-12,4723013,-15.94%
2022-12-09,5618757,2.99%
2022-12-08,5455894,-3.69%
2022-12-07,5665173,-9.07%
2022-12-06,6230306,-13.44%
2022-12-05,7197709,-4.00%
2022-12-02,7497376,2.36%
2022-12-01,7324742,-9.14%
2022-11-30,8061695,-3.41%
2022-11-29,8346704,-2.38%
2022-11-28,8550282,-5.79%
2022-11-25,9075514,6.14%
2022-11-23,8550282,-15.32%
2022-11-22,10097476,-5.34%
2022-11-21,10667495,5.65%
2022-11-18,10097476,12.73%
2022-11-17,8957439,-10.26%
2022-11-16,9981030,10.42%
2022-11-15,9038870,0.91%
2022-11-14,8957439,-4.35%
2022-11-11,9364595,-5.74%
2022-11-10,9934614,-0.81%
2022-11-09,10016044,-6.82%
2022-11-08,10748926,3.13%
2022-11-07,10423201,-6.91%
2022-11-04,11196798,-3.85%
2022-11-03,11644670,-0.69%
2022-11-02,11726101,6.67%
2022-11-01,10993220,-2.17%
2022-10-31,11237513,-4.17%
2022-10-28,11726101,
2022-10-27,11726101,2.13%
2022-10-26,11481807,-2.08%
2022-10-25,11726101,12.50%
2022-10-24,10423201,-7.73%
2022-10-21,11296144,-0.20%
2022-10-20,11318945,-0.71%
2022-10-19,11400376,-0.71%
2022-10-18,11481807,-3.42%
2022-10-17,11888963,3.55%
2022-10-14,11481807,-6.00%
2022-10-13,12214689,
2022-10-12,12214689,0.67%
2022-10-11,12133257,0.68%
2022-10-10,12051826,3.50%
2022-10-07,11644670,10.00%
2022-10-06,10586063,1.17%
2022-10-05,10463916,23.56%
2022-10-04,8468851,-1.89%
2022-10-03,8631714,-8.62%
2022-09-30,9446026,-16.61%
2022-09-29,11327622,1.57%
2022-09-28,11152000,7.63%
2022-09-27,10361701,3.51%
2022-09-26,10010457,-10.94%
2022-09-23,11239811,-5.19%
2022-09-22,11854489,-0.74%
2022-09-21,11942300,
2022-09-20,11942300,2.26%
2022-09-19,11678866,2.31%
2022-09-16,11415433,-12.16%
2022-09-15,12996032,-4.52%
2022-09-14,13610709,-1.90%
2022-09-13,13874142,-5.39%
2022-09-12,14664442,1.21%
2022-09-09,14488819,-5.71%
2022-09-08,15366930,0.57%
2022-09-07,15279119,1.16%
2022-09-06,15103497,1.18%
2022-09-02,14927875,-1.73%
2022-09-01,15191308,8.13%
2022-08-31,14049764,-5.33%
2022-08-30,14840064,6.29%
2022-08-29,13961953,-8.62%
2022-08-26,15279119,-2.79%
2022-08-25,15718174,-7.25%
2022-08-24,16947528,9.66%
2022-08-23,15454741,18.92%
2022-08-22,12996032,8.03%
2022-08-19,12030111,5.38%
2022-08-18,11415433,1.56%
2022-08-17,11239811,-1.54%
2022-08-16,11415433,0.78%
2022-08-15,11327622,
2022-08-12,11327622,2.38%
2022-08-11,11064189,-11.27%
2022-08-10,12469166,-7.79%
2022-08-09,13522898,-15.38%
2022-08-08,15981607,-0.55%
2022-08-05,16069418,17.31%
2022-08-04,13698520,-4.29%
2022-08-03,14313197,-5.23%
2022-08-02,15103497,10.26%
2022-08-01,13698520,5.41%
2022-07-29,12996032,23.33%
2022-07-28,10537323,12.02%
2022-07-27,9406318,-6.85%
2022-07-26,10098268,-8.00%
2022-07-25,10976378,-4.58%
2022-07-22,11503244,3.15%
2022-07-21,11152000,5.83%
2022-07-20,10537323,-3.23%
2022-07-19,10888567,-3.88%
2022-07-18,11327622,
2022-07-15,11327622,-1.53%
2022-07-14,11503244,
2022-07-13,11503244,-0.76%
2022-07-12,11591055,-5.71%
2022-07-11,12293544,-2.10%
2022-07-08,12556977,-5.30%
2022-07-07,13259465,-5.03%
2022-07-06,13961953,0.63%
2022-07-05,13874142,-1.25%
2022-07-01,14049764,11.89%
2022-06-30,12556977,182.39%
2022-06-29,4446655,-5.70%
2022-06-28,4715245,16.18%
2022-06-27,4058692,
2022-06-24,4058692,6.25%
2022-06-23,3819945,-3.28%
2022-06-22,3949465,8.48%
2022-06-21,3640885,1.67%
2022-06-17,3581198,8.11%
2022-06-16,3312609,-25.50%
2022-06-15,4446655,8.76%
2022-06-14,4088535,-1.44%
2022-06-13,4148221,0.72%
2022-06-10,4118378,18.97%
2022-06-09,3461825,40.40%
2022-06-08,2465774,-2.80%
2022-06-07,2536682,0.01%
2022-06-06,2536384,1.74%
2022-06-03,2493111,2.88%
2022-06-02,2423278,-5.03%
2022-06-01,2551601,1.18%
2022-05-31,2521761,-2.84%
2022-05-27,2595474,-0.15%
2022-05-26,2599353,-7.83%
2022-05-25,2820194,-0.53%
2022-05-24,2835112,3.26%
2022-05-23,2745585,3.93%
2022-05-20,2641731,0.31%
2022-05-19,2633673,-0.98%
2022-05-18,2659637,-0.98%
2022-05-17,2685899,2.27%
2022-05-16,2626212,3.63%
2022-05-13,2534295,19.66%
2022-05-12,2117980,-3.18%
2022-05-11,2187515,-14.77%
2022-05-10,2566526,-7.73%
2022-05-09,2781397,-9.51%
2022-05-06,3073862,-5.50%
2022-05-05,3252922,-0.62%
2022-05-04,3273215,-2.94%
2022-05-03,3372295,6.60%
2022-05-02,3163392,-7.02%
2022-04-29,3402138,-10.94%
2022-04-28,3819945,-3.76%
2022-04-27,3969162,-5.67%
2022-04-26,4207908,-3.09%
2022-04-25,4342203,-0.34%
2022-04-22,4357125,-0.68%
2022-04-21,4386968,-0.89%
2022-04-20,4426361,6.71%
2022-04-19,4148221,3.73%
2022-04-18,3999005,-6.94%
2022-04-14,4297438,-3.36%
2022-04-13,4446655,-3.25%
2022-04-12,4595871,-15.85%
2022-04-11,5461328,-16.44%
2022-04-08,6535687,-0.90%
2022-04-07,6595374,5.24%
2022-04-06,6267097,29.63%
2022-04-05,4834618,-1.22%
2022-04-04,4894304,5.81%
2022-04-01,4625715,-0.64%
2022-03-31,4655558,-53.40%
2022-03-30,9990236,12.50%
2022-03-29,8880210,0.74%
2022-03-28,8814914,-3.57%
2022-03-25,9141392,-2.78%
2022-03-24,9402575,-6.49%
2022-03-23,10055531,3.36%
2022-03-22,9729053,-2.61%
2022-03-21,9990236,6.99%
2022-03-18,9337279,-15.38%
2022-03-17,11034966,6.96%
2022-03-16,10316714,10.49%
2022-03-15,9337279,3.62%
2022-03-14,9010801,-15.34%
2022-03-11,10643192,2.52%
