Date,Market Cap,% Change
2023-04-26,4771224900,-0.41%
2023-04-25,4791011500,-0.28%
2023-04-24,4804524300,0.22%
2023-04-21,4793907100,-0.12%
2023-04-20,4799698300,-0.62%
2023-04-19,4829860800,0.13%
2023-04-18,4823587000,2.77%
2023-04-17,4693526300,-1.26%
2023-04-14,4753368700,-0.95%
2023-04-13,4798974400,1.41%
2023-04-12,4732134300,-1.06%
2023-04-11,4783048600,2.20%
2023-04-10,4680013500,-0.15%
2023-04-06,4687011200,-0.18%
2023-04-05,4695698000,0.03%
2023-04-04,4694250200,-0.22%
2023-04-03,4704384800,0.06%
2023-03-31,4701730500,0.83%
2023-03-30,4663122500,0.39%
2023-03-29,4645025000,0.06%
2023-03-28,4642129400,1.11%
2023-03-27,4590973800,1.01%
2023-03-24,4545126800,0.54%
2023-03-23,4520514200,0.32%
2023-03-22,4506036200,-0.83%
2023-03-21,4543920300,0.31%
2023-03-20,4529924900,2.32%
2023-03-17,4427372400,-0.26%
2023-03-16,4438713500,0.99%
2023-03-15,4395279500,-1.28%
2023-03-14,4452467600,-0.07%
2023-03-13,4455604500,-1.31%
2023-03-10,4514964300,-1.45%
2023-03-09,4581321800,-0.78%
2023-03-08,4617275500,-0.60%
2023-03-07,4645266300,-0.84%
2023-03-06,4684839500,-0.57%
2023-03-03,4711623800,
2023-03-02,4711623800,1.32%
2023-03-01,4650092300,0.82%
2023-02-28,4612208200,-0.04%
2023-02-27,4614138600,0.59%
2023-02-24,4586871700,-1.21%
2023-02-23,4642853300,0.47%
2023-02-22,4621136300,0.56%
2023-02-21,4595558500,0.01%
2023-02-17,4595075900,0.22%
2023-02-16,4584941300,0.52%
2023-02-15,4561293900,0.73%
2023-02-14,4528235800,-0.34%
2023-02-13,4543679000,0.76%
2023-02-10,4509414400,-0.54%
2023-02-09,4534027000,-0.05%
2023-02-08,4536440000,3.82%
2023-02-07,4369460400,0.75%
2023-02-06,4336884900,-0.20%
2023-02-03,4345571700,-1.22%
2023-02-02,4399140300,-0.70%
2023-02-01,4430268000,0.97%
2023-01-31,4387799200,0.92%
2023-01-30,4347743400,-0.15%
2023-01-27,4354258500,-1.67%
2023-01-26,4428096300,0.92%
2023-01-25,4387799200,0.61%
2023-01-24,4361256200,-0.16%
2023-01-23,4368253900,-0.41%
2023-01-20,4386351400,2.22%
2023-01-19,4291037900,0.23%
2023-01-18,4281144599,-0.35%
2023-01-17,4296346500,-0.87%
2023-01-13,4334230600,0.85%
2023-01-12,4297553000,-1.61%
2023-01-11,4367771300,-1.22%
2023-01-10,4421581200,-0.14%
2023-01-09,4427613700,-0.10%
2023-01-06,4431957100,-0.18%
2023-01-05,4439920000,-1.34%
2023-01-04,4500003700,2.88%
2023-01-03,4374045100,-1.12%
2022-12-30,4423752900,1.02%
2022-12-29,4379112400,1.33%
2022-12-28,4321683000,-2.16%
2022-12-27,4416996500,0.83%
2022-12-23,4380560200,2.24%
2022-12-22,4284764100,2.74%
2022-12-21,4170629200,6.04%
2022-12-20,3932948700,1.99%
2022-12-19,3856215300,-0.26%
2022-12-16,3866108600,0.14%
2022-12-15,3860800000,-0.26%
2022-12-14,3870934599,-0.35%
2022-12-13,3884447399,0.06%
2022-12-12,3882034400,0.46%
2022-12-09,3864178199,-0.35%
2022-12-08,3877932300,0.87%
2022-12-07,3844632900,-1.68%
2022-12-06,3910507800,-1.63%
2022-12-05,3975176200,-0.15%
2022-12-02,3981208700,1.60%
2022-12-01,3918470699,-0.28%
2022-11-30,3929329200,1.78%
2022-11-29,3860800000,-0.45%
2022-11-28,3878414899,0.14%
2022-11-25,3873106300,4.40%
2022-11-23,3709987500,0.49%
2022-11-22,3691890000,3.07%
2022-11-21,3582098499,-0.08%
2022-11-18,3584994100,-0.97%
2022-11-17,3620223900,0.44%
2022-11-16,3604298100,0.98%
2022-11-15,3569309599,-0.80%
2022-11-14,3598024300,-0.53%
2022-11-11,3617328300,-0.13%
2022-11-10,3621913000,1.84%
2022-11-09,3556520699,-0.97%
2022-11-08,3591267900,-1.39%
2022-11-07,3641940900,1.60%
2022-11-04,3584511500,-0.80%
2022-11-03,3613467500,-1.37%
2022-11-02,3663657900,-2.10%
2022-11-01,3742080400,-0.98%
2022-10-31,3778999300,1.48%
2022-10-28,3723982900,2.38%
2022-10-27,3637356200,-1.17%
2022-10-26,3680307600,-0.77%
2022-10-25,3709022300,1.11%
2022-10-24,3668483900,0.66%
2022-10-21,3644353900,-0.58%
2022-10-20,3665588300,-0.97%
2022-10-19,3701542000,-0.14%
2022-10-18,3706850600,1.27%
2022-10-17,3660279700,2.42%
2022-10-14,3573894300,-5.25%
2022-10-13,3771760300,1.56%
2022-10-12,3713848300,-0.10%
2022-10-11,3717467800,0.86%
2022-10-10,3685857500,0.57%
2022-10-07,3664864400,8.21%
2022-10-06,3386886800,-1.72%
2022-10-05,3446005300,-0.59%
2022-10-04,3466515800,1.27%
2022-10-03,3423081800,3.81%
2022-09-30,3297605800,-1.53%
2022-09-29,3348822800,-2.18%
2022-09-28,3423408450,0.60%
2022-09-27,3403000650,0.68%
2022-09-26,3379920400,-2.84%
2022-09-23,3478801050,-1.65%
2022-09-22,3537109050,-2.12%
2022-09-21,3613881250,0.55%
2022-09-20,3594202300,-1.18%
2022-09-19,3636961499,-0.35%
2022-09-16,3649594900,-2.98%
2022-09-15,3761837800,-0.94%
2022-09-14,3797551450,0.62%
2022-09-13,3773985300,-2.30%
2022-09-12,3862905000,-0.73%
2022-09-09,3891330149,1.48%
2022-09-08,3834479850,-0.85%
2022-09-07,3867521050,0.91%
2022-09-06,3832536250,-0.20%
2022-09-02,3840310650,-0.32%
2022-09-01,3852701100,-1.05%
2022-08-31,3893759650,-0.06%
2022-08-30,3896189150,0.34%
2022-08-29,3882826900,-0.44%
2022-08-26,3899833400,-2.90%
2022-08-25,4016449400,-0.45%
2022-08-24,4034427700,-0.50%
2022-08-23,4054835500,-0.33%
2022-08-22,4068197749,-3.69%
2022-08-19,4223928700,1.83%
2022-08-18,4147885349,5.94%
2022-08-17,3915382200,-0.80%
2022-08-16,3946965700,1.58%
2022-08-15,3885742300,0.21%
2022-08-12,3877724950,1.79%
2022-08-11,3809698950,-0.11%
2022-08-10,3814072050,0.81%
2022-08-09,3783460349,-0.31%
2022-08-08,3795364900,1.31%
2022-08-05,3746288999,-1.64%
2022-08-04,3808727150,0.92%
2022-08-03,3773985300,0.80%
2022-08-02,3744102450,-1.01%
2022-08-01,3782488550,1.24%
2022-07-29,3736085100,-1.02%
2022-07-28,3774471200,-1.59%
2022-07-27,3835451650,0.84%
2022-07-26,3803625200,-0.58%
2022-07-25,3825733650,-0.11%
2022-07-22,3829863799,-0.12%
2022-07-21,3834479850,-0.94%
2022-07-20,3870679400,1.80%
2022-07-19,3802167500,3.19%
2022-07-18,3684579700,-0.38%
2022-07-15,3698670800,1.65%
2022-07-14,3638662150,-0.55%
2022-07-13,3658827000,0.81%
2022-07-12,3629430049,-0.23%
2022-07-11,3637690349,-0.27%
2022-07-08,3647651299,-0.89%
2022-07-07,3680449550,-0.90%
2022-07-06,3713976650,-1.89%
2022-07-05,3785646900,1.27%
2022-07-01,3738028700,1.89%
2022-06-30,3668545000,0.19%
2022-06-29,3661457140,-0.17%
2022-06-28,3667769160,-1.72%
2022-06-27,3731860440,-0.16%
2022-06-24,3737686920,1.95%
2022-06-23,3666069770,-0.67%
2022-06-22,3690832310,2.21%
2022-06-21,3610960980,-1.35%
2022-06-17,3660243290,3.30%
2022-06-16,3543470920,-4.66%
2022-06-15,3716565930,1.64%
2022-06-14,3656601740,-0.34%
2022-06-13,3668983010,-3.47%
2022-06-10,3800807120,-1.30%
2022-06-09,3850817740,-2.01%
2022-06-08,3929960760,-0.57%
2022-06-07,3952295600,-0.09%
2022-06-06,3955694380,-0.91%
2022-06-03,3991867110,-0.52%
2022-06-02,4012745330,2.12%
2022-06-01,3929475220,-1.22%
2022-05-31,3978029220,0.01%
2022-05-27,3977543680,0.28%
2022-05-26,3966619029,0.08%
2022-05-25,3963463020,2.29%
2022-05-24,3874851970,-3.61%
2022-05-23,4020028430,1.46%
2022-05-20,3962006399,0.42%
2022-05-19,3945498040,2.50%
2022-05-18,3849118350,0.35%
2022-05-17,3835766000,3.15%
2022-05-16,3718750860,-0.54%
2022-05-13,3738900770,0.61%
2022-05-12,3716323160,-0.82%
2022-05-11,3747154950,-0.92%
2022-05-10,3781871060,-0.49%
2022-05-09,3800321580,-3.83%
2022-05-06,3951567290,-3.31%
2022-05-05,4087032950,5.89%
2022-05-04,3859800230,-0.54%
2022-05-03,3880921220,0.43%
2022-05-02,3864170089,-1.81%
2022-04-29,3935544470,-2.36%
2022-04-28,4030710310,0.08%
2022-04-27,4027554300,0.52%
2022-04-26,4006676080,-3.17%
2022-04-25,4138014649,1.74%
2022-04-22,4067125810,-1.23%
2022-04-21,4117621970,-3.59%
2022-04-20,4271052610,-0.27%
2022-04-19,4282705570,0.81%
2022-04-18,4248475000,-0.84%
2022-04-14,4284647730,1.24%
2022-04-13,4232209410,1.28%
2022-04-12,4178557240,0.35%
2022-04-11,4163991040,-0.41%
2022-04-08,4181227709,-0.99%
2022-04-07,4222984149,-0.58%
2022-04-06,4247746690,-1.18%
2022-04-05,4298485620,-2.21%
2022-04-04,4395836390,1.58%
2022-04-01,4327618020,-0.61%
2022-03-31,4354322720,-0.14%
2022-03-30,4360275500,2.49%
2022-03-29,4254193750,0.30%
2022-03-28,4241570749,1.01%
2022-03-25,4199332250,0.11%
2022-03-24,4194720000,0.55%
2022-03-23,4171658750,-0.77%
2022-03-22,4203944500,0.87%
2022-03-21,4167532000,1.04%
2022-03-18,4124807999,-0.68%
2022-03-17,4153209750,-0.53%
2022-03-16,4175542750,1.38%
2022-03-15,4118739249,0.87%
2022-03-14,4083054999,0.07%
2022-03-11,4080142000,-2.36%
2022-03-10,4178698499,1.94%
2022-03-09,4099076500,4.77%
2022-03-08,3912401749,1.99%
2022-03-07,3835935500,-3.55%
2022-03-04,3977216000,-2.59%
2022-03-03,4082812250,-1.99%
2022-03-02,4165832750,-0.49%
2022-03-01,4186223749,-0.32%
2022-02-28,4199575000,-0.53%
2022-02-25,4221907999,0.33%
2022-02-24,4208071250,0.81%
2022-02-23,4174086249,-1.48%
2022-02-22,4236958500,-1.86%
2022-02-18,4317066000,0.22%
2022-02-17,4307598750,-1.70%
2022-02-16,4382123000,0.75%
2022-02-15,4349594500,2.15%
2022-02-14,4258077750,0.29%
2022-02-11,4245697500,-0.78%
2022-02-10,4278954250,1.22%
2022-02-09,4227491250,1.40%
2022-02-08,4168988500,-0.17%
2022-02-07,4176271000,1.95%
2022-02-04,4096406250,2.84%
2022-02-03,3983284750,-1.22%
2022-02-02,4032563000,0.56%
