Date,Market Cap,% Change
2023-04-26,9363565260,1.03%
2023-04-25,9268560420,-3.80%
2023-04-24,9634608480,-1.26%
2023-04-21,9757555920,0.87%
2023-04-20,9673728120,-1.42%
2023-04-19,9813441120,-0.26%
2023-04-18,9838589460,-2.36%
2023-04-17,10076101560,1.98%
2023-04-14,9880503360,-1.04%
2023-04-13,9983890980,3.93%
2023-04-12,9606665880,-4.76%
2023-04-11,10087278600,1.21%
2023-04-10,9967125420,-0.14%
2023-04-06,9981096720,-0.81%
2023-04-05,10062130260,-2.75%
2023-04-04,10347144780,-3.69%
2023-04-03,10743929700,0.16%
2023-03-31,10727164140,2.07%
2023-03-30,10509211860,-3.98%
2023-03-29,10945116420,-0.82%
2023-03-28,11035929870,-2.07%
2023-03-27,11269250580,0.32%
2023-03-24,11232925200,1.21%
2023-03-23,11098800720,1.27%
2023-03-22,10959087720,2.27%
2023-03-21,10715987100,2.98%
2023-03-20,10405824240,1.42%
2023-03-17,10260522720,0.27%
2023-03-16,10232580120,0.33%
2023-03-15,10199049000,-0.65%
2023-03-14,10266111240,5.61%
2023-03-13,9721230540,-1.97%
2023-03-10,9916828740,-3.17%
2023-03-09,10240962900,-3.73%
2023-03-08,10637747820,-1.96%
2023-03-07,10850111580,-1.87%
2023-03-06,11056886820,-4.97%
2023-03-03,11635298640,-0.19%
2023-03-02,11657652720,0.24%
2023-03-01,11629710120,0.48%
2023-02-28,11573824920,0.10%
2023-02-27,11562647880,0.10%
2023-02-24,11551470840,-5.27%
2023-02-23,12194150640,-0.46%
2023-02-22,12250035840,3.30%
2023-02-21,11858839440,-2.73%
2023-02-17,12191356380,-0.66%
2023-02-16,12272389920,-3.62%
2023-02-15,12733442820,1.18%
2023-02-14,12585347040,-1.29%
2023-02-13,12750208380,1.22%
2023-02-10,12596524080,-4.55%
2023-02-09,13197289980,-1.46%
2023-02-08,13392888180,-1.80%
2023-02-07,13638783060,2.84%
2023-02-06,13261557960,-2.04%
2023-02-03,13538189700,-7.84%
2023-02-02,14689424820,2.26%
2023-02-01,14365290660,-5.01%
2023-01-31,15122535120,3.28%
2023-01-30,14641922400,-2.35%
2023-01-27,14993999160,3.63%
2023-01-26,14468678280,2.45%
2023-01-25,14122190040,-0.61%
2023-01-24,14208812100,-2.34%
2023-01-23,14549711820,3.27%
2023-01-20,14088658920,5.39%
2023-01-19,13367739840,1.33%
2023-01-18,13191701460,-0.17%
2023-01-17,13214055540,2.51%
2023-01-13,12889921380,0.15%
2023-01-12,12870361560,0.83%
2023-01-11,12764179680,1.58%
2023-01-10,12565787220,2.51%
2023-01-09,12258418620,3.59%
2023-01-06,11833691100,-0.35%
2023-01-05,11875605000,0.57%
2023-01-04,11808542760,2.92%
2023-01-03,11473231560,-0.15%
2022-12-30,11490862950,0.97%
2022-12-29,11380080950,4.42%
2022-12-28,10898179250,0.43%
2022-12-27,10851096900,-3.45%
2022-12-23,11238833900,1.73%
2022-12-22,11047734950,-2.01%
2022-12-21,11274838050,1.72%
2022-12-20,11083739100,-0.87%
2022-12-19,11180673350,-3.74%
2022-12-16,11615492700,-0.02%
2022-12-15,11618262250,-5.86%
2022-12-14,12341114800,-4.97%
2022-12-13,12986419950,7.67%
2022-12-12,12061390250,-0.07%
2022-12-09,12069698900,-1.02%
2022-12-08,12194328650,2.28%
2022-12-07,11922912750,-0.65%
2022-12-06,12000460150,-5.35%
2022-12-05,12678999900,-5.94%
2022-12-02,13479399850,-2.58%
2022-12-01,13836671800,-1.19%
2022-11-30,14002844800,7.85%
2022-11-29,12983650400,-1.22%
2022-11-28,13144284300,0.40%
2022-11-25,13091662850,-2.07%
2022-11-23,13368617850,2.05%
2022-11-22,13099971500,0.68%
2022-11-21,13011345900,1.25%
2022-11-18,12850712000,-1.34%
2022-11-17,13025193650,-4.68%
2022-11-16,13664959700,-4.97%
2022-11-15,14379503600,6.66%
2022-11-14,13482169400,-5.37%
2022-11-11,14246565200,5.32%
2022-11-10,13526482200,13.74%
2022-11-09,11892447700,-2.63%
2022-11-08,12213715500,-0.97%
2022-11-07,12332806150,3.51%
2022-11-04,11914604100,0.54%
2022-11-03,11850904450,-6.45%
2022-11-02,12667921700,4.19%
2022-11-01,12158324500,1.62%
2022-10-31,11964456000,-1.10%
2022-10-28,12097394400,0.28%
2022-10-27,12064159800,-1.51%
2022-10-26,12249719650,-2.64%
2022-10-25,12582065650,6.79%
2022-10-24,11781665700,-1.07%
2022-10-21,11909065000,0.70%
2022-10-20,11825978500,-4.54%
2022-10-19,12388197150,-2.72%
2022-10-18,12734390900,3.75%
2022-10-17,12274645600,6.90%
2022-10-14,11482554300,-6.68%
2022-10-13,12305110650,-4.98%
2022-10-12,12950415800,-0.81%
2022-10-11,13055658700,-2.20%
2022-10-10,13349231000,-0.19%
2022-10-07,13374156950,-4.42%
2022-10-06,13993151375,-1.01%
2022-10-05,14135783200,-0.80%
2022-10-04,14249334750,2.33%
2022-10-03,13925297400,5.30%
2022-09-30,13224601250,-2.57%
2022-09-29,13573400500,-0.64%
2022-09-28,13660607840,3.17%
2022-09-27,13241449980,1.58%
2022-09-26,13036090760,-2.03%
2022-09-23,13306152200,-2.59%
2022-09-22,13660607840,-2.51%
2022-09-21,14012250340,-3.86%
2022-09-20,14574878340,-4.74%
2022-09-19,15300668460,-1.77%
2022-09-16,15576356180,-4.30%
2022-09-15,16276828040,-1.35%
2022-09-14,16499066100,-1.91%
2022-09-13,16819764060,-5.16%
2022-09-12,17734034560,1.27%
2022-09-09,17511796500,5.24%
2022-09-08,16639723100,2.83%
2022-09-07,16181181280,6.85%
2022-09-06,15143132620,-2.45%
2022-09-02,15522906520,-0.49%
2022-09-01,15598861300,-1.91%
2022-08-31,15902680420,0.09%
2022-08-30,15888614720,-2.23%
2022-08-29,16251509780,-0.17%
2022-08-26,16279641180,-3.82%
2022-08-25,16926663380,4.23%
2022-08-24,16240257220,-0.03%
2022-08-23,16245883500,-1.48%
2022-08-22,16490626680,-5.25%
2022-08-19,17404897180,-4.87%
2022-08-18,18296662560,0.22%
2022-08-17,18257278600,-4.23%
2022-08-16,19064649780,-2.31%
2022-08-15,19514752180,2.06%
2022-08-12,19120912580,2.57%
2022-08-11,18642678780,0.33%
2022-08-10,18580789700,2.37%
2022-08-09,18150379280,-5.27%
2022-08-08,19160296540,0.49%
2022-08-05,19067462920,1.88%
2022-08-04,18715820420,5.20%
2022-08-03,17790297360,-17.56%
2022-08-02,21579596940,4.32%
2022-08-01,20685018420,0.30%
2022-07-29,20623129340,1.09%
2022-07-28,20400891280,0.78%
2022-07-27,20243355440,5.13%
2022-07-26,19255943300,-4.06%
2022-07-25,20071753900,-1.19%
2022-07-22,20313683940,-3.31%
2022-07-21,21008529520,1.83%
2022-07-20,20631568760,4.10%
2022-07-19,19818571300,8.17%
2022-07-18,18321980820,-0.17%
2022-07-15,18352925360,1.94%
2022-07-14,18004096000,-4.51%
2022-07-13,18853664280,-3.14%
2022-07-12,19464115660,-1.44%
2022-07-11,19748242800,-6.70%
2022-07-08,21166065360,-0.84%
2022-07-07,21346106320,2.73%
2022-07-06,20777852040,-0.40%
2022-07-05,20862246240,3.73%
2022-07-01,20111137860,2.58%
2022-06-30,19604772660,-3.28%
2022-06-29,20269607340,-1.00%
2022-06-28,20474898060,-6.38%
2022-06-27,21869164200,-2.23%
2022-06-24,22368134700,6.81%
2022-06-23,20942504700,5.50%
2022-06-22,19850472120,-0.60%
2022-06-21,19970225040,2.17%
2022-06-17,19546812930,-5.96%
2022-06-16,20785685400,-5.40%
2022-06-15,21971809560,5.46%
2022-06-14,20834156819,1.04%
2022-06-13,20620312319,-5.69%
2022-06-10,21863461680,-4.65%
2022-06-09,22929832920,-4.99%
2022-06-08,24133064640,0.40%
2022-06-07,24036121800,1.66%
2022-06-06,23642647920,0.86%
2022-06-03,23440208460,-2.28%
2022-06-02,23987650380,6.17%
2022-06-01,22593384240,0.58%
2022-05-31,22462226280,-1.33%
2022-05-27,22764459840,2.52%
2022-05-26,22205612880,5.99%
2022-05-25,20951058480,2.35%
2022-05-24,20469195540,-4.43%
2022-05-23,21418665120,-2.06%
2022-05-20,21869164200,2.20%
2022-05-19,21398706300,4.42%
2022-05-18,20492005620,-4.86%
2022-05-17,21538418040,-0.28%
2022-05-16,21598294500,-2.27%
2022-05-13,22100116260,5.48%
2022-05-12,20951058480,5.35%
2022-05-11,19887538500,-0.71%
2022-05-10,20030101500,-0.65%
2022-05-09,20161259460,-4.54%
2022-05-06,21119282819,-3.66%
2022-05-05,21920486880,-8.35%
2022-05-04,23916368880,6.15%
2022-05-03,22530656520,-2.07%
2022-05-02,23006816940,1.95%
2022-04-29,22567722900,-3.00%
2022-04-28,23266281600,5.85%
2022-04-27,21980363340,-2.98%
2022-04-26,22656111960,-3.66%
2022-04-25,23517192480,6.70%
2022-04-22,22040239800,-0.46%
2022-04-21,22142885160,-8.23%
2022-04-20,24127362120,-9.89%
2022-04-19,26776182660,3.80%
2022-04-18,25795349220,-1.77%
2022-04-14,26260104600,-4.38%
2022-04-13,27463336319,2.33%
2022-04-12,26838910380,-2.46%
2022-04-11,27514659000,-3.96%
2022-04-08,28649460480,-1.87%
2022-04-07,29196902400,-1.92%
2022-04-06,29767154400,-3.30%
2022-04-05,30782202960,-4.75%
2022-04-04,32316180840,3.96%
2022-04-01,31084436520,0.26%
2022-03-31,31004601240,-1.56%
2022-03-30,31495300480,-0.40%
2022-03-29,31620462440,3.11%
2022-03-28,30667524790,1.01%
2022-03-25,30360309070,-0.31%
2022-03-24,30454180540,4.46%
2022-03-23,29154202910,-1.74%
2022-03-22,29671918290,4.28%
2022-03-21,28454433770,-2.59%
2022-03-18,29211094710,7.80%
2022-03-17,27097564340,3.14%
2022-03-16,26272633240,5.47%
2022-03-15,24910074629,2.95%
2022-03-14,24196082540,-3.83%
2022-03-11,25160398550,-6.81%
2022-03-10,26998003690,-4.06%
