Date,Market Cap,% Change
2023-04-25,143613452200,-1.97%
2023-04-24,146494180880,0.32%
2023-04-21,146031127120,0.81%
2023-04-20,144860135400,0.69%
2023-04-19,143867241280,-3.17%
2023-04-18,148577922800,0.29%
2023-04-17,148141583680,-1.75%
2023-04-14,150772975720,-2.18%
2023-04-13,154139020360,4.58%
2023-04-12,147389121320,-2.12%
2023-04-11,150585973240,-0.23%
2023-04-10,150933263560,-0.10%
2023-04-06,151084646520,-0.88%
2023-04-05,152429283400,-1.27%
2023-04-04,154388357000,-0.44%
2023-04-03,155069580320,0.81%
2023-03-31,153822897120,2.08%
2023-03-30,150683926920,1.93%
2023-03-29,147834365320,2.63%
2023-03-28,144045338880,-1.26%
2023-03-27,145888649040,-0.22%
2023-03-24,146213677160,2.50%
2023-03-23,142642820280,9.01%
2023-03-22,130857211599,-3.89%
2023-03-21,136151162760,0.22%
2023-03-20,135857301720,0.54%
2023-03-17,135131554000,-2.12%
2023-03-16,138052354640,2.06%
2023-03-15,135260674760,3.00%
2023-03-14,131320265360,0.49%
2023-03-13,130683566440,0.26%
2023-03-10,130349633440,-1.69%
2023-03-09,132584758319,-4.49%
2023-03-08,138822626760,1.08%
2023-03-07,137344416680,-1.14%
2023-03-06,138929485320,-1.00%
2023-03-03,140332003920,1.06%
2023-03-02,138862698720,-0.51%
2023-03-01,139575089120,-2.69%
2023-02-28,143426449720,-0.28%
2023-02-27,143827169320,1.85%
2023-02-24,141209134600,-2.01%
2023-02-23,144103220600,-3.35%
2023-02-22,149103310720,-0.78%
2023-02-21,150269850000,-3.01%
2023-02-17,154927102240,-0.78%
2023-02-16,156151523240,-2.96%
2023-02-15,160920086480,0.41%
2023-02-14,160270030240,0.39%
2023-02-13,159651141080,3.23%
2023-02-10,154659955840,-4.18%
2023-02-09,161400950000,-1.18%
2023-02-08,163328856520,1.07%
2023-02-07,161601309800,0.41%
2023-02-06,160946801120,-1.21%
2023-02-03,162914779600,-0.27%
2023-02-02,163355571160,1.35%
2023-02-01,161173875560,2.30%
2023-01-31,157554041840,0.21%
2023-01-30,157220108840,-2.12%
2023-01-27,160630677880,-1.12%
2023-01-26,162456178280,-0.84%
2023-01-25,163831982240,1.14%
2023-01-24,161993124520,1.79%
2023-01-23,159139110480,4.36%
2023-01-20,152496070000,8.46%
2023-01-19,140599150320,-3.23%
2023-01-18,145296474520,0.03%
2023-01-17,145247497680,-1.98%
2023-01-13,148186108080,0.81%
2023-01-12,146988401720,0.88%
2023-01-11,145710551440,-0.09%
2023-01-10,145835219760,3.92%
2023-01-09,140327551480,-0.12%
2023-01-06,140496744200,1.89%
2023-01-05,137892066800,0.09%
2023-01-04,137762946040,4.90%
2023-01-03,131324717800,0.03%
2022-12-30,131280576000,1.29%
2022-12-29,129606624000,5.14%
2022-12-28,123266976000,-2.57%
2022-12-27,126512484000,-3.66%
2022-12-23,131318417999,-0.94%
2022-12-22,132558300000,-0.07%
2022-12-21,132651791999,3.39%
2022-12-20,128302188000,-0.04%
2022-12-19,128351160000,-0.83%
2022-12-16,129424091999,0.10%
2022-12-15,129290532000,-8.63%
2022-12-14,141497916000,-0.78%
2022-12-13,142615368000,1.64%
2022-12-12,140318136000,-1.51%
2022-12-09,142468452000,3.14%
2022-12-08,138127752000,0.60%
2022-12-07,137308584000,0.94%
2022-12-06,136035312000,-2.25%
2022-12-05,139165068000,-2.44%
