Date,Market Cap,% Change
2023-04-26,9590400000,-1.48%
2023-04-25,9734400000,-2.03%
2023-04-24,9936000000,-0.17%
2023-04-21,9953280000,0.06%
2023-04-20,9947520000,-0.75%
2023-04-19,10022400000,0.75%
2023-04-18,9947520000,-0.29%
2023-04-17,9976320000,-0.46%
2023-04-14,10022400000,-1.25%
2023-04-13,10149120000,1.85%
2023-04-12,9964800000,-1.70%
2023-04-11,10137600000,1.15%
2023-04-10,10022400000,0.75%
2023-04-06,9947520000,-0.29%
2023-04-05,9976320000,
2023-04-04,9976320000,-0.57%
2023-04-03,10033920000,0.87%
2023-03-31,9947520000,1.77%
2023-03-30,9774720000,0.24%
2023-03-29,9751680000,1.99%
2023-03-28,9561600000,0.67%
2023-03-27,9498240000,1.66%
2023-03-24,9342720000,0.25%
2023-03-23,9319680000,2.21%
2023-03-22,9118080000,-2.34%
2023-03-21,9336960000,0.87%
2023-03-20,9256320000,1.01%
2023-03-17,9164160000,-2.03%
2023-03-16,9354240000,2.01%
2023-03-15,9169920000,0.06%
2023-03-14,9164160000,1.99%
2023-03-13,8985600000,-2.56%
2023-03-10,9221760000,-1.72%
2023-03-09,9383040000,-2.86%
2023-03-08,9659520000,-0.53%
2023-03-07,9711360000,-1.00%
2023-03-06,9809280000,-1.33%
2023-03-03,9941760000,
2023-03-02,9941760000,2.01%
2023-03-01,9745920000,-1.34%
2023-02-28,9878400000,-0.69%
2023-02-27,9947520000,-0.97%
2023-02-24,10045440000,-0.34%
2023-02-23,10080000000,-1.02%
2023-02-22,10183680000,-3.18%
2023-02-21,10517760000,-3.89%
2023-02-17,10944000000,1.60%
2023-02-16,10771200000,-2.30%
2023-02-15,11024640000,1.70%
2023-02-14,10840320000,-0.26%
2023-02-13,10869120000,1.13%
2023-02-10,10748160000,-9.37%
2023-02-09,11859840000,-1.39%
2023-02-08,12026880000,-0.14%
2023-02-07,12044160000,0.67%
2023-02-06,11963520000,-1.89%
2023-02-03,12193920000,-1.40%
2023-02-02,12366720000,3.62%
2023-02-01,11934720000,2.27%
2023-01-31,11669760000,0.45%
2023-01-30,11617920000,-1.71%
2023-01-27,11819520000,-0.97%
2023-01-26,11934720000,0.39%
2023-01-25,11888640000,5.68%
2023-01-24,11249280000,-0.10%
2023-01-23,11260800000,1.51%
2023-01-20,11093760000,2.94%
2023-01-19,10776960000,-0.85%
2023-01-18,10869120000,-2.08%
2023-01-17,11099520000,-0.98%
2023-01-13,11208960000,0.57%
2023-01-12,11145600000,0.21%
2023-01-11,11122560000,-0.41%
2023-01-10,11168640000,1.68%
2023-01-09,10984320000,0.37%
2023-01-06,10944000000,1.71%
2023-01-05,10759680000,-1.58%
2023-01-04,10932480000,3.72%
2023-01-03,10540800000,0.55%
2022-12-30,10483200000,-0.11%
2022-12-29,10494720000,1.50%
2022-12-28,10339200000,-1.81%
2022-12-27,10529280000,-0.16%
2022-12-23,10546560000,2.81%
2022-12-22,10258560000,0.45%
2022-12-21,10212480000,1.26%
2022-12-20,10085760000,0.46%
2022-12-19,10039680000,-2.24%
2022-12-16,10270079999,0.28%
2022-12-15,10241280000,-4.82%
2022-12-14,10759680000,-0.11%
2022-12-13,10771200000,2.80%
2022-12-12,10477440000,0.78%
2022-12-09,10396800000,-0.55%
2022-12-08,10454400000,-0.27%
2022-12-07,10483200000,-1.52%
2022-12-06,10644480000,-1.28%
2022-12-05,10782720000,-2.09%
2022-12-02,11013120000,-0.21%
2022-12-01,11036160000,0.05%
2022-11-30,11030400000,3.18%
2022-11-29,10690560000,2.03%
