Date,Market Cap,% Change
2023-04-25,6706643560,-2.07%
2023-04-24,6848693450,0.78%
2023-04-21,6795965790,-1.67%
2023-04-20,6911258359,-0.40%
2023-04-19,6939196150,0.31%
2023-04-18,6917554200,-1.21%
2023-04-17,7002154550,-0.32%
2023-04-14,7024976970,0.76%
2023-04-13,6971855820,1.26%
2023-04-12,6884894530,-1.40%
2023-04-11,6982480050,0.76%
2023-04-10,6930145880,1.83%
2023-04-06,6805803040,0.12%
2023-04-05,6797539750,1.30%
2023-04-04,6710184970,-1.33%
2023-04-03,6800294180,0.09%
2023-03-31,6793998340,1.51%
2023-03-30,6692871410,-0.23%
2023-03-29,6708611010,2.68%
2023-03-28,6533507960,-1.34%
2023-03-27,6622043210,5.00%
2023-03-24,6306464230,-0.29%
2023-03-23,6324564770,-0.45%
2023-03-22,6353289540,-1.10%
2023-03-21,6423724250,1.53%
2023-03-20,6326925710,1.00%
2023-03-17,6264360800,-2.97%
2023-03-16,6456383920,2.26%
2023-03-15,6313547050,-3.07%
2023-03-14,6513439970,-0.43%
2023-03-13,6541771250,0.33%
2023-03-10,6520129300,1.96%
2023-03-09,6394605990,-5.41%
2023-03-08,6760158200,-1.56%
2023-03-07,6867187480,-2.71%
2023-03-06,7058817109,-1.95%
2023-03-03,7199293040,-0.45%
2023-03-02,7231952710,-1.30%
2023-03-01,7327570780,0.17%
2023-02-28,7314979100,-3.33%
2023-02-27,7566812700,0.49%
2023-02-24,7529824640,-2.78%
2023-02-23,7745063670,0.45%
2023-02-22,7710043060,0.60%
2023-02-21,7664004730,-2.69%
2023-02-17,7876095840,0.32%
2023-02-16,7851305970,-1.31%
2023-02-15,7955187329,2.17%
2023-02-14,7786380120,0.22%
2023-02-13,7769066560,0.86%
2023-02-10,7702566750,-1.13%
2023-02-09,7790708510,-1.55%
2023-02-08,7913477390,-0.45%
2023-02-07,7948891490,-2.70%
2023-02-06,8169245890,-0.85%
2023-02-03,8238893620,-1.58%
2023-02-02,8371499750,0.89%
2023-02-01,8297523630,2.98%
2023-01-31,8057494730,1.63%
2023-01-30,7928036520,-1.40%
2023-01-27,8040968150,4.13%
2023-01-26,7721847760,2.23%
2023-01-25,7553434040,2.78%
2023-01-24,7349212730,-0.34%
2023-01-23,7374002600,0.80%
2023-01-20,7315372590,2.00%
2023-01-19,7171748740,-0.71%
2023-01-18,7223295930,0.08%
2023-01-17,7217787070,-0.36%
2023-01-13,7243757410,0.53%
2023-01-12,7205588880,-1.11%
2023-01-11,7286254329,0.65%
2023-01-10,7239035530,0.65%
2023-01-09,7192210220,-0.66%
2023-01-06,7239822510,2.35%
2023-01-05,7073376240,0.41%
2023-01-04,7044257980,2.74%
2023-01-03,6856169760,4.39%
2022-12-30,6567650690,-0.86%
2022-12-29,6624310420,1.85%
2022-12-28,6503861590,-1.93%
2022-12-27,6632190250,0.45%
2022-12-23,6602547080,1.32%
2022-12-22,6516619410,-1.25%
2022-12-21,6599170010,2.19%
2022-12-20,6457708300,1.24%
2022-12-19,6378534770,-4.38%
2022-12-16,6670838940,1.83%
2022-12-15,6551140570,-3.83%
2022-12-14,6811925420,0.77%
2022-12-13,6759956065,-2.25%
2022-12-12,6915488900,1.28%
2022-12-09,6828060310,0.03%
2022-12-08,6825808930,0.02%
2022-12-07,6824683240,1.20%
2022-12-06,6743633560,-0.92%
2022-12-05,6805921740,-1.04%
2022-12-02,6877215440,-0.50%
2022-12-01,6911736600,-2.83%
2022-11-30,7112859880,1.04%
2022-11-29,7039690030,7.43%
2022-11-28,6552641490,-0.30%
2022-11-25,6572153450,0.58%
2022-11-23,6534255219,0.64%
2022-11-22,6492979920,2.08%
2022-11-21,6360898960,-0.84%
2022-11-18,6414556850,0.28%
2022-11-17,6396921040,0.83%
2022-11-16,6344013610,-0.89%
2022-11-15,6400673340,1.39%
2022-11-14,6312869520,0.01%
2022-11-11,6312494290,3.41%
2022-11-10,6104616870,2.36%
2022-11-09,5963905620,-5.08%
2022-11-08,6283226350,8.03%
2022-11-07,5816065000,-0.32%
2022-11-04,5834826500,-5.42%
2022-11-03,6169156430,-3.75%
2022-11-02,6409303630,-3.15%
2022-11-01,6617556280,2.95%
2022-10-31,6427689900,-5.35%
2022-10-28,6790912540,1.39%
2022-10-27,6697855500,-3.78%
2022-10-26,6961266960,-2.96%
2022-10-25,7173647140,2.81%
2022-10-24,6977401850,0.96%
2022-10-21,6910986140,1.29%
2022-10-20,6823182320,-0.61%
2022-10-19,6865208080,-1.07%
2022-10-18,6939503620,4.24%
2022-10-17,6657330660,3.03%
2022-10-14,6461460600,-1.82%
2022-10-13,6581534200,3.89%
2022-10-12,6335383320,-1.32%
2022-10-11,6419810070,-0.72%
2022-10-10,6466338590,-0.61%
2022-10-07,6506112969,-1.59%
2022-10-06,6611552600,-1.22%
2022-10-05,6693352740,-0.17%
