Date,Market Cap,% Change
2023-04-25,18981051000,-0.74%
2023-04-24,19121742000,-0.07%
2023-04-21,19136015000,1.72%
2023-04-20,18811814000,0.11%
2023-04-19,18791424000,-4.14%
2023-04-18,19602946000,0.45%
2023-04-17,19515269000,0.74%
2023-04-14,19372539000,0.64%
2023-04-13,19250199000,0.88%
2023-04-12,19083001000,0.02%
2023-04-11,19078923000,0.39%
2023-04-10,19005519000,0.17%
2023-04-06,18972895000,-0.64%
2023-04-05,19095235000,-1.20%
2023-04-04,19327681000,-0.43%
2023-04-03,19411280000,0.91%
2023-03-31,19235926000,1.73%
2023-03-30,18909686000,2.50%
2023-03-29,18448872000,1.97%
2023-03-28,18092047000,0.24%
2023-03-27,18049228000,1.02%
2023-03-24,17867757000,-1.13%
2023-03-23,18071657000,1.13%
2023-03-22,17869796000,-2.51%
2023-03-21,18330610000,1.39%
2023-03-20,18079813000,2.90%
2023-03-17,17570063000,-1.31%
2023-03-16,17802509000,1.91%
2023-03-15,17468113000,-1.95%
2023-03-14,17814743000,2.02%
2023-03-13,17461996000,-2.08%
2023-03-10,17833094000,-0.59%
2023-03-09,17939122000,-2.31%
2023-03-08,18363234000,-0.81%
2023-03-07,18514120000,-1.09%
2023-03-06,18718020000,0.11%
2023-03-03,18697630000,-0.13%
2023-03-02,18722098000,0.38%
2023-03-01,18650733000,0.99%
2023-02-28,18467223000,-0.49%
2023-02-27,18558978000,-0.63%
2023-02-24,18677240000,-0.36%
2023-02-23,18744527000,0.09%
2023-02-22,18728215000,0.45%
2023-02-21,18644616000,-2.43%
2023-02-17,19109508000,0.56%
2023-02-16,19003480000,-0.03%
2023-02-15,19009597000,0.05%
2023-02-14,18999402000,0.22%
2023-02-13,18958622000,2.02%
2023-02-10,18583446000,-2.26%
2023-02-09,19013675000,0.40%
2023-02-08,18938232000,2.16%
2023-02-07,18538588000,-0.14%
2023-02-06,18565095000,-0.72%
2023-02-03,18699669000,-0.13%
2023-02-02,18724137000,4.79%
2023-02-01,17867757000,1.91%
2023-01-31,17533361000,1.36%
2023-01-30,17298876000,-0.52%
2023-01-27,17388592000,-0.87%
2023-01-26,17541517000,-0.84%
2023-01-25,17690364000,0.72%
2023-01-24,17563946000,1.89%
2023-01-23,17237706000,0.91%
2023-01-20,17082742000,2.03%
2023-01-19,16742229000,-0.57%
2023-01-18,16838062000,-1.31%
2023-01-17,17062352000,-0.45%
2023-01-13,17139834000,-0.34%
2023-01-12,17198965000,-0.74%
2023-01-11,17327422000,-0.96%
2023-01-10,17494620000,0.12%
2023-01-09,17474230000,-0.44%
2023-01-06,17551712000,1.13%
2023-01-05,17355968000,0.81%
2023-01-04,17217316000,2.31%
2023-01-03,16827867000,0.34%
2022-12-30,16770791999,-0.02%
2022-12-29,16774904000,1.19%
2022-12-28,16577528000,-0.92%
2022-12-27,16731728000,1.09%
2022-12-23,16550800000,2.18%
2022-12-22,16197168000,0.01%
2022-12-21,16195112000,1.23%
2022-12-20,15997736000,0.65%
2022-12-19,15894936000,0.23%
2022-12-16,15857928000,-1.62%
2022-12-15,16119040000,-3.08%
2022-12-14,16630984000,-0.06%
2022-12-13,16641264000,3.38%
2022-12-12,16096424000,3.49%
2022-12-09,15553640000,0.05%
2022-12-08,15545416000,-0.08%
2022-12-07,15557752000,-0.60%
2022-12-06,15652328000,-1.39%
2022-12-05,15872320000,-1.84%
2022-12-02,16170440000,-1.52%
2022-12-01,16419216000,0.13%
2022-11-30,16398656000,1.27%
2022-11-29,16193056000,0.78%
2022-11-28,16067640000,-1.26%
2022-11-25,16273240000,1.23%
2022-11-23,16075864000,0.12%
2022-11-22,16057359999,2.00%
2022-11-21,15742791999,-0.82%
2022-11-18,15872320000,1.27%
2022-11-17,15672888000,0.07%
2022-11-16,15662608000,-1.06%
2022-11-15,15831200000,0.80%
2022-11-14,15705784000,-1.44%
2022-11-11,15936056000,3.20%
2022-11-10,15442616000,2.39%
2022-11-09,15082816000,-1.00%
2022-11-08,15234959999,1.70%
2022-11-07,14980016000,0.89%
2022-11-04,14848432000,1.52%
2022-11-03,14626384000,-0.68%
2022-11-02,14727128000,-2.01%
2022-11-01,15029359999,0.48%
2022-10-31,14957400000,0.22%
2022-10-28,14924504000,2.02%
2022-10-27,14628440000,-0.34%
2022-10-26,14677784000,-0.45%
2022-10-25,14743575999,0.52%
2022-10-24,14667504000,1.65%
2022-10-21,14429008000,3.25%
2022-10-20,13974632000,-0.64%
2022-10-19,14065096000,-1.26%
2022-10-18,14243968000,2.61%
2022-10-17,13882112000,1.27%
2022-10-14,13707352000,-1.77%
2022-10-13,13954072000,3.32%
2022-10-12,13505864000,1.44%
2022-10-11,13314656000,-0.08%
2022-10-10,13324936000,-0.28%
2022-10-07,13361943999,-1.23%
2022-10-06,13528480000,-0.77%
2022-10-05,13633336000,-0.85%
2022-10-04,13750528000,5.21%
2022-10-03,13069992000,0.76%
2022-09-30,12971304000,-0.44%
2022-09-29,13028338000,-1.63%
2022-09-28,13243903000,2.67%
2022-09-27,12898999000,1.47%
2022-09-26,12712176000,-2.09%
2022-09-23,12983172000,-1.39%
2022-09-22,13165889000,-1.32%
2022-09-21,13342446999,-0.64%
2022-09-20,13428673000,-3.81%
2022-09-19,13960400000,1.51%
2022-09-16,13753046999,-2.84%
2022-09-15,14155435000,1.20%
2022-09-14,13987089000,-1.12%
2022-09-13,14145170000,-3.68%
2022-09-12,14685109000,1.59%
2022-09-09,14455173000,3.71%
2022-09-08,13937817000,0.83%
2022-09-07,13822849000,2.09%
2022-09-06,13539535000,-0.47%
2022-09-02,13603178000,-0.57%
2022-09-01,13681192000,-0.39%
2022-08-31,13734570000,-1.60%
2022-08-30,13958346999,-0.29%
2022-08-29,13999407000,-0.38%
2022-08-26,14052785000,-2.28%
2022-08-25,14381265000,0.66%
2022-08-24,14286827000,-0.17%
2022-08-23,14311462999,-0.07%
2022-08-22,14321728000,-3.77%
2022-08-19,14882196999,-1.00%
2022-08-18,15032066000,0.29%
2022-08-17,14988953000,-0.91%
2022-08-16,15126504000,1.98%
2022-08-15,14832925000,-0.41%
2022-08-12,14894515000,0.51%
2022-08-11,14818554000,0.47%
2022-08-10,14748752000,2.05%
2022-08-09,14453120000,0.24%
2022-08-08,14418219000,1.66%
2022-08-05,14182124000,-1.74%
2022-08-04,14432590000,-0.01%
2022-08-03,14434643000,1.66%
2022-08-02,14198548000,-1.37%
2022-08-01,14395636000,0.40%
2022-07-29,14338152000,0.27%
2022-07-28,14299145000,0.90%
2022-07-27,14171859000,1.86%
2022-07-26,13913181000,-2.35%
2022-07-25,14247820000,0.64%
2022-07-22,14157487999,-0.39%
2022-07-21,14212919000,-1.18%
2022-07-20,14383318000,3.93%
2022-07-19,13839273000,2.93%
2022-07-18,13445096999,0.77%
2022-07-15,13342446999,2.82%
2022-07-14,12977013000,-1.50%
2022-07-13,13174101000,-0.06%
2022-07-12,13182312999,0.09%
2022-07-11,13169995000,-0.48%
2022-07-08,13233637999,0.97%
2022-07-07,13106352000,0.65%
2022-07-06,13022179000,-0.86%
2022-07-05,13135094000,-0.51%
2022-07-01,13202843000,1.10%
2022-06-30,13059133000,0.46%
2022-06-29,12999596000,-0.53%
2022-06-28,13069398000,-1.68%
2022-06-27,13293175000,0.23%
2022-06-24,13262379999,3.23%
2022-06-23,12847674000,-0.90%
2022-06-22,12964695000,-0.58%
2022-06-21,13040656000,0.67%
2022-06-17,12954430000,1.72%
2022-06-16,12734759000,-5.20%
2022-06-15,13432779000,0.74%
2022-06-14,13334235000,-1.61%
2022-06-13,13551853000,-2.91%
2022-06-10,13958346999,-2.66%
2022-06-09,14340204999,-2.32%
2022-06-08,14681003000,-1.42%
2022-06-07,14892462000,-0.26%
2022-06-06,14931469000,1.54%
2022-06-03,14705639000,-2.22%
2022-06-02,15040278000,0.47%
2022-06-01,14970476000,-2.27%
2022-05-31,15317433000,-0.52%
2022-05-27,15397500000,2.68%
2022-05-26,14995112000,1.33%
2022-05-25,14798024000,3.76%
