Date,Market Cap,% Change
2023-04-25,4368171,1.14%
2023-04-24,4318906,-0.38%
2023-04-21,4335327,0.76%
2023-04-20,4302484,-2.24%
2023-04-19,4401014,-2.90%
2023-04-18,4532388,
2023-04-17,4532388,2.22%
2023-04-14,4433858,-4.27%
2023-04-13,4631575,0.73%
2023-04-12,4598075,-3.45%
2023-04-11,4762292,-1.37%
2023-04-10,4828307,0.69%
2023-04-06,4795135,-5.81%
2023-04-05,5090725,2.65%
2023-04-04,4959352,-4.43%
2023-04-03,5189256,-1.25%
2023-03-31,5254942,-1.45%
2023-03-30,5332124,-8.29%
2023-03-29,5813937,-0.55%
2023-03-28,5846123,5.92%
2023-03-27,5519332,3.26%
2023-03-24,5345262,-1.36%
2023-03-23,5419159,3.13%
2023-03-22,5254942,1.27%
2023-03-21,5189256,1.28%
2023-03-20,5123569,
2023-03-17,5123569,5.41%
2023-03-16,4860822,-5.73%
2023-03-15,5156412,-0.63%
2023-03-14,5189256,1.94%
2023-03-13,5090725,-1.27%
2023-03-10,5156412,-8.72%
2023-03-09,5649063,-1.71%
2023-03-08,5747593,-3.31%
2023-03-07,5944654,2.84%
2023-03-06,5780437,-0.56%
2023-03-03,5813280,2.31%
2023-03-02,5681906,4.85%
2023-03-01,5419159,10.00%
2023-02-28,4926509,-6.83%
2023-02-27,5287786,-3.02%
2023-02-24,5452331,0.61%
2023-02-23,5419159,-8.33%
2023-02-22,5911810,-2.17%
2023-02-21,6043184,-0.84%
2023-02-17,6094419,0.85%
2023-02-16,6043184,-2.65%
2023-02-15,6207401,1.61%
2023-02-14,6108871,-2.62%
2023-02-13,6273087,3.19%
2023-02-10,6078983,-4.67%
2023-02-09,6376544,-0.94%
2023-02-08,6437304,1.55%
2023-02-07,6339103,0.26%
2023-02-06,6322353,-0.26%
2023-02-03,6338774,-2.53%
2023-02-02,6502991,0.51%
2023-02-01,6470148,-0.51%
2023-01-31,6502991,1.54%
2023-01-30,6404461,4.28%
2023-01-27,6141714,-4.10%
2023-01-26,6404461,2.63%
2023-01-25,6240244,1.60%
2023-01-24,6141714,-1.06%
2023-01-23,6207401,-0.53%
2023-01-20,6240573,2.16%
2023-01-19,6108871,0.54%
2023-01-18,6076027,-3.65%
2023-01-17,6305931,-3.03%
2023-01-13,6502991,-1.00%
2023-01-12,6568678,-0.99%
2023-01-11,6634365,11.00%
2023-01-10,5976840,3.99%
2023-01-09,5747593,5.42%
2023-01-06,5452003,2.47%
2023-01-05,5320629,-1.65%
2023-01-04,5409963,2.95%
2023-01-03,5254942,5.26%
2022-12-30,4992195,-5.00%
2022-12-29,5254942,3.90%
2022-12-28,5057882,-3.14%
2022-12-27,5222099,6.00%
2022-12-23,4926509,4.17%
2022-12-22,4729448,-4.00%
2022-12-21,4926509,-6.83%
2022-12-20,5287786,13.38%
2022-12-19,4663761,-10.69%
2022-12-16,5222099,-8.09%
2022-12-15,5681906,1.76%
2022-12-14,5583376,5.59%
2022-12-13,5287786,13.38%
2022-12-12,4663761,-4.05%
2022-12-09,4860822,0.68%
2022-12-08,4827978,-1.34%
2022-12-07,4893665,3.47%
2022-12-06,4729448,-1.37%
2022-12-05,4795135,1.39%
2022-12-02,4729448,1.41%
2022-12-01,4663761,3.65%
2022-11-30,4499544,5.38%
2022-11-29,4269641,-2.99%
2022-11-28,4401014,1.52%
2022-11-25,4335327,2.33%
2022-11-23,4236797,-5.15%
2022-11-22,4466701,3.82%
2022-11-21,4302484,1.55%
2022-11-18,4236797,4.88%
2022-11-17,4039737,-3.91%
2022-11-16,4203954,2.40%
2022-11-15,4105424,-11.35%
2022-11-14,4630918,1.44%
2022-11-11,4565231,-2.11%
2022-11-10,4663761,4.84%
2022-11-09,4448309,-3.26%
2022-11-08,4598075,
2022-11-07,4598075,8.53%
2022-11-04,4236797,-3.73%
2022-11-03,4401014,12.61%
2022-11-02,3908363,-9.16%
2022-11-01,4302484,7.38%
2022-10-31,4006894,1.67%
2022-10-28,3941207,-4.00%
2022-10-27,4105424,2.04%
2022-10-26,4023315,-5.77%
2022-10-25,4269641,0.78%
2022-10-24,4236797,4.03%
2022-10-21,4072580,-2.36%
2022-10-20,4171111,7.63%
2022-10-19,3875520,-0.84%
2022-10-18,3908363,1.56%
2022-10-17,3848260,6.62%
2022-10-14,3609160,1.75%
2022-10-13,3547086,-7.69%
2022-10-12,3842677,-5.65%
2022-10-11,4072580,2.48%
2022-10-10,3974050,-5.10%
2022-10-07,4187532,2.82%
2022-10-06,4072580,
2022-10-05,4072580,2.48%
2022-10-04,3974050,1.68%
2022-10-03,3908363,2.59%
2022-09-30,3809833,-3.33%
2022-09-29,3941207,
2022-09-28,3941207,5.26%
2022-09-27,3744146,-2.56%
2022-09-26,3842677,2.18%
2022-09-23,3760568,-3.78%
2022-09-22,3908363,-4.03%
2022-09-21,4072580,-3.12%
2022-09-20,4203954,-7.25%
2022-09-19,4532388,-0.72%
2022-09-16,4565231,-3.47%
2022-09-15,4729448,3.23%
2022-09-14,4581653,-0.87%
2022-09-13,4622050,-4.91%
2022-09-12,4860822,0.68%
2022-09-09,4827978,-3.29%
2022-09-08,4992195,-3.18%
2022-09-07,5156412,0.96%
2022-09-06,5107147,-13.41%
2022-09-02,5898344,1.46%
2022-09-01,5813280,-4.84%
2022-08-31,6108871,6.29%
2022-08-30,5747593,-20.45%
2022-08-29,7225546,-73.66%
2022-08-26,27432225,
