Date,Market Cap,% Change
2023-04-25,14258530000,-2.70%
2023-04-24,14654419999,0.22%
2023-04-21,14621970000,1.72%
2023-04-20,14375350000,-1.82%
2023-04-19,14641440000,3.39%
2023-04-18,14161180000,-1.18%
2023-04-17,14329919999,2.32%
2023-04-14,14005419999,-2.53%
2023-04-13,14368860000,0.05%
2023-04-12,14362370000,-3.28%
2023-04-11,14849120000,2.60%
2023-04-10,14472700000,2.95%
2023-04-06,14057340000,3.14%
2023-04-05,13629000000,-2.82%
2023-04-04,14024890000,-0.83%
2023-04-03,14141710000,-2.33%
2023-03-31,14479190000,2.76%
2023-03-30,14089790000,0.93%
2023-03-29,13959990000,0.47%
2023-03-28,13895090000,3.13%
2023-03-27,13473240000,2.62%
2023-03-24,13129270000,-2.46%
2023-03-23,13460259999,0.24%
2023-03-22,13427810000,-2.64%
2023-03-21,13791250000,6.25%
2023-03-20,12980000000,1.52%
2023-03-17,12785300000,-1.35%
2023-03-16,12960530000,0.86%
2023-03-15,12850200000,0.76%
2023-03-14,12752850000,1.29%
2023-03-13,12590600000,-2.46%
2023-03-10,12908610000,-4.65%
2023-03-09,13538140000,-4.62%
2023-03-08,14193630000,1.82%
2023-03-07,13940520000,-2.54%
2023-03-06,14303960000,-2.43%
2023-03-03,14660910000,1.07%
2023-03-02,14505150000,2.90%
2023-03-01,14096280000,1.40%
2023-02-28,13901580000,-3.03%
2023-02-27,14336410000,-0.94%
2023-02-24,14472700000,-4.86%
2023-02-23,15212560000,0.60%
2023-02-22,15121700000,1.61%
2023-02-21,14881570000,-3.21%
2023-02-17,15374810000,0.81%
2023-02-16,15251500000,-4.24%
2023-02-15,15926460000,9.31%
2023-02-14,14570050000,0.63%
2023-02-13,14479190000,3.33%
2023-02-10,14011910000,-0.92%
2023-02-09,14141710000,-2.81%
2023-02-08,14550580000,-3.98%
2023-02-07,15154150000,-2.95%
2023-02-06,15614940000,-2.20%
2023-02-03,15965400000,-2.57%
2023-02-02,16387250000,3.48%
2023-02-01,15835600000,5.35%
2023-01-31,15030840000,2.43%
2023-01-30,14673890000,-1.99%
2023-01-27,14972430000,2.95%
2023-01-26,14544090000,2.19%
2023-01-25,14232570000,5.28%
2023-01-24,13518669999,-1.56%
2023-01-23,13732840000,4.24%
2023-01-20,13174700000,3.73%
2023-01-19,12700930000,-2.25%
2023-01-18,12992980000,-3.00%
2023-01-17,13395360000,2.89%
2023-01-13,13018940000,-0.84%
2023-01-12,13129270000,1.15%
2023-01-11,12980000000,0.55%
2023-01-10,12908610000,1.74%
2023-01-09,12687950000,2.73%
2023-01-06,12350470000,1.98%
2023-01-05,12110340000,0.86%
2023-01-04,12006500000,8.38%
2023-01-03,11078430000,1.13%
2022-12-30,10955120000,0.66%
2022-12-29,10883730000,4.10%
2022-12-28,10455390000,-2.48%
2022-12-27,10721480000,-0.84%
2022-12-23,10812340000,-1.65%
2022-12-22,10994060000,0.36%
2022-12-21,10955120000,
2022-12-20,10955120000,-0.24%
2022-12-19,10981080000,-2.25%
2022-12-16,11234190000,-1.98%
2022-12-15,11461340000,-8.78%
2022-12-14,12564640000,-1.58%
2022-12-13,12765830000,
2022-12-12,12765830000,3.42%
2022-12-09,12343980000,5.08%
2022-12-08,11746900000,0.50%
2022-12-07,11688490000,-0.77%
2022-12-06,11779350000,-6.97%
2022-12-05,12661990000,-4.27%
2022-12-02,13226620000,1.04%
2022-12-01,13090330000,0.45%
2022-11-30,13031919999,1.67%
2022-11-29,12817750000,2.65%
2022-11-28,12486759999,-3.37%
2022-11-25,12921590000,1.27%
2022-11-23,12759340000,2.72%
2022-11-22,12421860000,3.35%
2022-11-21,12019480000,-0.75%
2022-11-18,12110340000,1.36%
2022-11-17,11948090000,1.49%
2022-11-16,11772860000,-6.69%
2022-11-15,12616560000,5.14%
2022-11-14,12000009999,-1.70%
2022-11-11,12207690000,13.52%
2022-11-10,10753930000,6.70%
2022-11-09,10078970000,-6.33%
2022-11-08,10760419999,1.28%
2022-11-07,10624130000,5.14%
2022-11-04,10104930000,-3.95%
2022-11-03,10520290000,-3.45%
2022-11-02,10896710000,-12.42%
2022-11-01,12441330000,4.64%
2022-10-31,11889680000,-3.68%
2022-10-28,12343980000,3.37%
2022-10-27,11941600000,-4.86%
2022-10-26,12551660000,-1.68%
2022-10-25,12765830000,3.04%
2022-10-24,12389410000,-0.68%
2022-10-21,12473780000,0.58%
2022-10-20,12402390000,0.16%
2022-10-19,12382919999,-2.60%
2022-10-18,12713910000,1.56%
2022-10-17,12519210000,2.77%
2022-10-14,12181730000,-1.98%
2022-10-13,12428350000,3.29%
2022-10-12,12032460000,1.64%
2022-10-11,11837759999,-1.72%
2022-10-10,12045440000,-0.48%
2022-10-07,12103850000,-2.51%
2022-10-06,12415370000,-2.25%
2022-10-05,12700930000,-2.49%
2022-10-04,13025430000,2.29%
2022-10-03,12733380000,3.05%
2022-09-30,12356960000,0.47%
2022-09-29,12298550000,-4.44%
2022-09-28,12869669999,2.22%
2022-09-27,12590600000,-1.32%
2022-09-26,12759340000,-2.53%
2022-09-23,13090330000,-3.35%
2022-09-22,13544630000,-2.48%
2022-09-21,13888600000,-5.35%
2022-09-20,14673890000,-2.12%
2022-09-19,14991900000,1.63%
2022-09-16,14751770000,-1.39%
2022-09-15,14959450000,5.16%
2022-09-14,14226080000,-2.71%
2022-09-13,14621970000,-7.13%
2022-09-12,15744740000,2.54%
2022-09-09,15355340000,4.18%
2022-09-08,14738790000,-1.09%
2022-09-07,14901040000,0.26%
2022-09-06,14862100000,-0.95%
2022-09-02,15004880000,-1.45%
2022-09-01,15225540000,0.30%
2022-08-31,15180110000,-2.78%
2022-08-30,15614940000,-1.15%
2022-08-29,15796660000,-2.25%
2022-08-26,16160100000,-4.01%
2022-08-25,16835060000,3.72%
2022-08-24,16231490000,2.08%
2022-08-23,15900500000,-0.24%
2022-08-22,15939440000,-5.17%
2022-08-19,16809100000,-0.27%
2022-08-18,16854530000,-1.25%
2022-08-17,17068700000,-3.31%
2022-08-16,17652800000,2.41%
2022-08-15,17237440000,1.41%
2022-08-12,16997310000,1.51%
2022-08-11,16744200000,2.83%
2022-08-10,16283410000,1.62%
2022-08-09,16023810000,-2.06%
2022-08-08,16361290000,3.92%
2022-08-05,15744740000,-4.15%
2022-08-04,16426190000,1.08%
2022-08-03,16250960000,2.33%
2022-08-02,15881030000,1.33%
2022-08-01,15673350000,2.11%
2022-07-29,15348850000,-2.87%
2022-07-28,15803150000,-0.73%
2022-07-27,15919970000,1.62%
2022-07-26,15666860000,-4.74%
2022-07-25,16445660000,0.28%
2022-07-22,16400230000,-2.88%
2022-07-21,16886980000,0.04%
2022-07-20,16880490000,3.83%
2022-07-19,16257450000,2.16%
2022-07-18,15913480000,-1.92%
2022-07-15,16225000000,3.65%
2022-07-14,15653880000,-3.60%
2022-07-13,16237980000,-0.28%
2022-07-12,16283410000,3.81%
2022-07-11,15686330000,-5.44%
2022-07-08,16588440000,-1.31%
2022-07-07,16809100000,3.35%
2022-07-06,16263940000,-0.52%
2022-07-05,16348310000,-0.08%
2022-07-01,16361290000,2.15%
2022-06-30,16017320000,-1.59%
2022-06-29,16276919999,-1.88%
2022-06-28,16588440000,-1.62%
2022-06-27,16861020000,0.85%
2022-06-24,16718240000,5.06%
2022-06-23,15913480000,0.33%
2022-06-22,15861560000,-0.65%
2022-06-21,15965400000,0.16%
2022-06-17,15939440000,1.28%
2022-06-16,15738250000,-5.46%
2022-06-15,16646850000,0.94%
2022-06-14,16491090000,-1.55%
2022-06-13,16750690000,-8.12%
2022-06-10,18230410000,-3.64%
2022-06-09,18918350000,-5.17%
2022-06-08,19950260000,0.59%
2022-06-07,19833440000,0.46%
2022-06-06,19742580000,-1.23%
2022-06-03,19989200000,-2.00%
2022-06-02,20398070000,-2.84%
2022-06-01,20995150000,-5.77%
2022-05-31,22280170000,1.24%
2022-05-27,22007589999,4.66%
2022-05-26,21027600000,0.15%
2022-05-25,20995150000,1.73%
2022-05-24,20638200000,-3.90%
2022-05-23,21475410000,1.38%
2022-05-20,21183360000,1.30%
2022-05-19,20910780000,2.12%
2022-05-18,20475950000,-2.38%
2022-05-17,20975680000,15.35%
2022-05-16,18184980000,-1.16%
2022-05-13,18399150000,4.54%
2022-05-12,17600880000,1.61%
2022-05-11,17321810000,-2.66%
2022-05-10,17795580000,-0.07%
2022-05-09,17808560000,-1.68%
2022-05-06,18113590000,-6.09%
2022-05-05,19288280000,-1.52%
2022-05-04,19586820000,1.00%
2022-05-03,19392120000,-1.29%
2022-05-02,19645230000,3.95%
2022-04-29,18898880000,0.24%
2022-04-28,18853450000,0.41%
2022-04-27,18775570000,-1.50%
2022-04-26,19061130000,-5.87%
2022-04-25,20248800000,0.52%
2022-04-22,20144960000,-3.93%
2022-04-21,20969190000,-2.56%
2022-04-20,21520839999,-8.60%
2022-04-19,23545720000,0.86%
2022-04-18,23344530000,-1.21%
2022-04-14,23630089999,0.47%
2022-04-13,23519760000,0.50%
2022-04-12,23402940000,0.42%
2022-04-11,23305589999,-0.08%
2022-04-08,23325060000,1.78%
2022-04-07,22916190000,-1.51%
2022-04-06,23266650000,-2.69%
2022-04-05,23909160000,-2.33%
2022-04-04,24480280000,0.86%
2022-04-01,24272600000,-1.08%
2022-03-31,24538690000,-0.76%
2022-03-30,24726900000,-0.21%
2022-03-29,24778820000,1.54%
2022-03-28,24402400000,-2.29%
2022-03-25,24973519999,1.56%
2022-03-24,24590610000,0.72%
2022-03-23,24415380000,0.51%
2022-03-22,24292070000,2.83%
2022-03-21,23623600000,-1.86%
2022-03-18,24071410000,0.60%
2022-03-17,23928630000,1.71%
2022-03-16,23526250000,2.95%
2022-03-15,22851290000,-1.57%
2022-03-14,23214730000,9.66%
2022-03-11,21170380000,-1.84%
2022-03-10,21566269999,-1.51%
2022-03-09,21897260000,-0.03%
2022-03-08,21903750000,0.69%
2022-03-07,21754480000,-1.61%
2022-03-04,22111430000,-3.87%
2022-03-03,23000560000,0.57%
2022-03-02,22870760000,9.24%
2022-03-01,20936740000,5.39%
2022-02-28,19865890000,3.55%
2022-02-25,19184440000,1.76%
2022-02-24,18853450000,2.29%
2022-02-23,18431600000,1.97%
2022-02-22,18074650000,-1.87%
2022-02-18,18418620000,-3.30%
2022-02-17,19048150000,3.20%
2022-02-16,18457635112,-17.81%
2022-02-15,22457413377,2.74%
2022-02-14,21858382623,-2.69%
2022-02-11,22463653281,0.33%
2022-02-10,22388774437,0.28%
2022-02-09,22326375400,3.62%
2022-02-08,21546387439,1.56%
2022-02-07,21215672543,1.77%
2022-02-04,20847518225,0.94%
2022-02-03,20654081211,1.01%
2022-02-02,20448164389,-2.76%
2022-02-01,21028475432,0.75%
2022-01-31,20872477840,1.46%
2022-01-28,20572962463,4.97%
2022-01-27,19599537488,-0.82%
2022-01-26,19761774983,-3.62%
2022-01-25,20504323523,0.95%
2022-01-24,20310886508,4.16%
2022-01-21,19499699029,-7.35%
2022-01-20,21047195144,-3.82%
2022-01-19,21883342238,-0.40%
2022-01-18,21970700889,-4.37%
2022-01-14,22975325383,1.74%
2022-01-13,22582211451,3.49%
2022-01-12,21820943201,0.03%
2022-01-11,21814703297,0.14%
2022-01-10,21783503779,-1.36%
2022-01-07,22083019156,8.16%
2022-01-06,20416964871,
2022-01-05,20416964871,-1.00%
2022-01-04,20622881693,2.51%
2022-01-03,20117449494,6.83%
2021-12-31,18832029334,-2.57%
2021-12-30,19328817968,3.77%
2021-12-29,18626968215,-0.43%
2021-12-28,18707711992,
2021-12-27,18707711992,-1.50%
2021-12-23,18993420741,4.80%
2021-12-22,18123872375,-0.58%
2021-12-21,18229460391,2.34%
2021-12-20,17813319387,-2.85%
2021-12-17,18335048407,-0.74%
2021-12-16,18471691721,0.61%
2021-12-15,18359892646,-0.14%
2021-12-14,18384736885,-1.62%
2021-12-13,18686631023,-2.85%
2021-12-10,19234969355,0.48%
2021-12-09,19142552782,-2.42%
2021-12-08,19616957856,1.47%
2021-12-07,19333547032,0.84%
2021-12-06,19173358306,0.16%
2021-12-03,19142552782,5.11%
2021-12-02,18212225949,-0.47%
2021-12-01,18298481417,-4.04%
2021-11-30,19068619524,-4.12%
2021-11-29,19888046469,-1.01%
2021-11-26,20091362929,-1.90%
2021-11-24,20479512535,0.88%
2021-11-23,20300840494,-1.76%
2021-11-22,20664345681,-0.36%
2021-11-19,20738278939,-1.67%
2021-11-18,21089461916,-2.42%
2021-11-17,21613155828,-0.20%
2021-11-16,21656283562,-1.76%
2021-11-15,22044433168,1.65%
2021-11-12,21687089087,-1.12%
2021-11-11,21933533281,0.59%
2021-11-10,21804150079,-0.31%
2021-11-09,21871922232,-0.95%
2021-11-08,22081399797,-1.38%
2021-11-05,22389455040,1.23%
2021-11-04,22118366426,-4.39%
2021-11-03,23134948727,0.48%
2021-11-02,23024048840,0.32%
2021-11-01,22950115582,2.84%
2021-10-29,22315521782,-2.16%
2021-10-28,22808410170,3.32%
2021-10-27,22075238692,-3.37%
2021-10-26,22845376799,-1.41%
2021-10-25,23171915357,0.27%
2021-10-22,23110304308,-0.71%
2021-10-21,23276654139,-2.80%
2021-10-20,23948214568,-0.51%
2021-10-19,24071436665,1.40%
2021-10-18,23738737003,-1.00%
2021-10-15,23979020092,-1.39%
2021-10-14,24317880859,0.25%
2021-10-13,24256269811,0.56%
2021-10-12,24120725504,-0.56%
2021-10-11,24256269811,-1.11%
2021-10-08,24527358424,-0.08%
2021-10-07,24545841739,1.71%
2021-10-06,24133047714,-1.01%
2021-10-05,24379491908,1.18%
2021-10-04,24096081085,-1.98%
2021-10-01,24582808368,0.99%
2021-09-30,24342525279,-1.52%
2021-09-29,24718352675,-0.27%
2021-09-28,24786124828,-0.52%
2021-09-27,24915508030,1.13%
2021-09-24,24638258312,-0.17%
2021-09-23,24681386046,2.19%
2021-09-22,24151531028,1.40%
2021-09-21,23818831366,-0.51%
2021-09-20,23942053463,-2.83%
2021-09-17,24638258312,-1.09%
2021-09-16,24909346925,0.15%
2021-09-15,24872380296,3.73%
2021-09-14,23979020092,-3.00%
2021-09-13,24719944871,1.82%
2021-09-10,24279064011,-1.71%
2021-09-09,24701574835,-1.39%
2021-09-08,25050605515,-1.71%
2021-09-07,25485363030,0.82%
2021-09-03,25277169291,-0.63%
2021-09-02,25436376268,0.31%
2021-09-01,25356772779,-0.10%
2021-08-31,25381266160,3.03%
2021-08-30,24634218037,-1.61%
2021-08-27,25038358825,2.33%
2021-08-26,24468887714,-2.47%
2021-08-25,25087345587,0.66%
2021-08-24,24922015265,0.92%
2021-08-23,24695451490,1.56%
2021-08-20,24315804083,0.18%
2021-08-19,24272940666,-2.05%
2021-08-18,24781178323,3.69%
2021-08-17,23899416604,1.32%
2021-08-16,23587125995,-1.63%
2021-08-13,23979020092,-2.00%
2021-08-12,24468887714,-2.11%
2021-08-11,24995495408,0.17%
2021-08-10,24952631991,1.14%
2021-08-09,24670958108,-2.92%
2021-08-06,25411882887,-0.12%
2021-08-05,25442499613,7.12%
2021-08-04,23752456317,0.83%
2021-08-03,23556509269,-5.80%
2021-08-02,25007742098,-0.22%
2021-07-30,25062852206,-1.82%
2021-07-29,25528226447,0.10%
2021-07-28,25503733066,0.75%
2021-07-27,25313909362,-1.94%
2021-07-26,25816023675,2.85%
2021-07-23,25099592278,0.29%
2021-07-22,25026112134,-1.04%
2021-07-21,25289415981,2.25%
2021-07-20,24732191561,1.30%
2021-07-19,24413777607,-1.04%
2021-07-16,24670958108,-2.42%
2021-07-15,25283292636,-1.43%
2021-07-14,25650693352,-1.62%
