Date,Market Cap,% Change
2023-04-26,16231490000,-0.48%
2023-04-25,16309370000,-2.29%
2023-04-24,16692280000,0.16%
2023-04-21,16666320000,1.30%
2023-04-20,16452150000,-1.67%
2023-04-19,16731220000,2.71%
2023-04-18,16289900000,-1.03%
2023-04-17,16458640000,2.59%
2023-04-14,16043280000,-2.64%
2023-04-13,16478110000,-0.12%
2023-04-12,16497580000,-3.01%
2023-04-11,17010290000,2.18%
2023-04-10,16646850000,2.68%
2023-04-06,16212020000,3.74%
2023-04-05,15627919999,-4.48%
2023-04-04,16361290000,-0.04%
2023-04-03,16367780000,-2.40%
2023-03-31,16770160000,2.74%
2023-03-30,16322350000,0.48%
2023-03-29,16244470000,0.52%
2023-03-28,16160100000,2.72%
2023-03-27,15731759999,2.62%
2023-03-24,15329380000,-2.48%
2023-03-23,15718780000,0.33%
2023-03-22,15666860000,-2.46%
2023-03-21,16062750000,5.63%
2023-03-20,15206070000,1.60%
2023-03-17,14965940000,-1.20%
2023-03-16,15147660000,1.21%
2023-03-15,14965940000,0.09%
2023-03-14,14952960000,1.32%
2023-03-13,14758259999,-1.13%
2023-03-10,14927000000,-4.52%
2023-03-09,15634410000,-4.48%
2023-03-08,16367780000,1.69%
2023-03-07,16095200000,-2.17%
2023-03-06,16452150000,-2.27%
2023-03-03,16835060000,1.41%
2023-03-02,16601419999,2.81%
2023-03-01,16147120000,1.22%
2023-02-28,15952419999,-2.92%
2023-02-27,16432680000,-0.35%
2023-02-24,16491090000,-4.94%
2023-02-23,17347770000,0.64%
2023-02-22,17237440000,1.92%
2023-02-21,16912940000,-3.45%
2023-02-17,17516510000,1.20%
2023-02-16,17308830000,-4.27%
2023-02-15,18081140000,8.53%
2023-02-14,16659830000,0.47%
2023-02-13,16581950000,2.78%
2023-02-10,16134140000,-1.19%
2023-02-09,16328840000,-2.86%
2023-02-08,16809100000,-2.34%
2023-02-07,17211480000,-3.18%
2023-02-06,17776110000,-2.35%
2023-02-03,18204450000,-2.50%
2023-02-02,18671730000,3.45%
2023-02-01,18048690000,4.35%
2023-01-31,17295850000,1.99%
2023-01-30,16958370000,-2.46%
2023-01-27,17386710000,2.80%
2023-01-26,16912940000,2.44%
2023-01-25,16510560000,4.43%
2023-01-24,15809640000,-0.90%
2023-01-23,15952419999,3.98%
2023-01-20,15342360000,3.91%
